id,created_at,text
1247293749903966211,2020-04-06 22:42:58,gr8 to hear Dr Fauci emphasize the good job Gov Reynolds is doing @realDonaldTrump daily news conf He said what Iowa is doing is totally compatible w what everyone else is doing/functionally equivalent to other states
1247205702973771777,2020-04-06 16:53:06,2day Gov Reynolds in her news conf said this week is critical &amp;asked Iowans to stay home. I echo this msg! Only go out for essential reasons. Barbara &amp; I hv not left our farm in 9 days ALL Iowans must take state guidelines seriously &amp;we will beat this virus 2gether #IowaStrong
1246912033230147584,2020-04-05 21:26:09,"It’s an unusual Palm Sunday w/out a trip 2 church but I worshiped @ home 2day like so many of u +Pray we soon get thru this virus John 12:13 Took branches of palm trees &amp; went forth to meet him &amp; cried, Hosanna: Blessed is the King of Israel that cometh in the name of the Lord"
1246171714201047046,2020-04-03 20:24:24,Gov Reynolds’ message to Iowans is clear STAY AT HOME AS MUCH AS POSSIBLE/wash ur hands/social distance/essential errands only/work from home if you can/isolate if youre sick/enjoy outdoor activities responsibly &amp; impt THANK U to all essential workers for ur tireless efforts!
1246167739955392517,2020-04-03 20:08:36,@realDonaldTrump watching ur energy discussion.  Mention ethanol plants that are shut down
1246131640553922562,2020-04-03 17:45:09,"RT @GrassleyPress: To the many Americans who get up every morning to serve selflessly in this time of great need: THANK YOU! 

Your spirit…"
1245799098063769618,2020-04-02 19:43:45,Dept of homeland security made the right decision by not expanding h2b worker visas American workers sidelined by coronavirus shldnt hv 2compete w cheap foreign labor/temp foreign workers for job Now is no time to increase visas
1245749521755385857,2020-04-02 16:26:45,Gr8 news from Treasury Scty Mnuchin. Low-income seniors on Social Security won’t have 2file a tax return to get their recovery check As chairman of Finance Cmte I helped write the CARES Act so IRS would b able 2help in this way Pres Trump is helping Americans get thru this crisis
1245471606463516673,2020-04-01 22:02:25,Watching now @realDonaldTrump  virus briefing and notice microphone at the podium. They are so much better than that big ugly microphone that hides the president’s face that’s used most other times
1245469235167539201,2020-04-01 21:53:00,At daily press conf Gov Reynolds &amp; Public Health Dir Clabaugh focused on mental health tips during this time when more Iowans are isolated to combat the coronavirus pandemic We are all in this together If u or a loved one needs resources pls go to https://t.co/1E2HQuNuAl
1245094871418929152,2020-03-31 21:05:24,reassuring to hear ldrs @ Gov Reynolds press conf focus on long term care facilities &amp;issues seniors face during covid-19 It's so important that our most vulnerable r protected w extra precautions taken for the health &amp;safety of all involved in senior care We cant b too careful!
1245090865019858946,2020-03-31 20:49:29,We r learning FBI flubs on Carter Page spying case r just tip of iceberg IG audited 29 other spying applications on Americans+found problems w EVERY ONE OF THEM! Constitutional rights r at stake when FBI fails 2justify use of spying tools Reforms needed 2protect civil liberties
1244756941198561280,2020-03-30 22:42:35,Transparency brings acctability but DoD wants neither Ridiculous proposal 2classify entire DoD future spending plan which has been unclassified since 1989 Shld b roundly rejected by Congress! Ppl deserve to know what Pentagon is planning to spend + it's the ppl’s biz/taxpayer$$
1244701179428458497,2020-03-30 19:01:01,CARES Act delivers $2+ TRILLION in needed aid 2fight pandemic+save economy We must make sure massive investment is spent wisely/we cant afford waste when people are hurting I expect aggressive hard hitting oversight of programs &amp; $$ by special inspector general and Congress
1244672198037639168,2020-03-30 17:05:51,2day = national doctors day I applaud the tireless efforts of our doctors &amp; health care professionals As our country faces the coronavirus pandemic our health care professionals &amp; first responders are heroes to so many Americans THANK U!
1244435881961848839,2020-03-30 01:26:49,Good 2see Cigna &amp;Humana take initiative 2help patients during this unprecedented time Their announcement of no cost sharing for treatments after COVID-19 diagnosis for their customers gives relief 2those battling sickness Public/private partnerships r key Others shld follow suit
1244370504095543297,2020-03-29 21:07:02,2day I pray for those who are sick/suffering/ lost a loved one/ isolated / working on the front lines to keep ppl safe during these unprecedented times We will get thru this 2gether w the strength of our loved ones/communities Keep the faith
1244360561116184577,2020-03-29 20:27:31,Gov Reynolds did gr8 job at her press conference sharing important info on how Iowa is managing the covid-19 health crisis Sen Ernst also gave helpful info abt resources for Iowans in the bill we just passed to help incl $2T+ of relief for hospitals/workers/small biz/families etc
1243913439883468801,2020-03-28 14:50:49,Sorry to hear abt the death of my former colleague Tom Coburn of Oklahoma He was a watchdog for the taxpayer &amp; a dedicated public servant Barbara &amp; I send our condolences to his family
1243649184680607746,2020-03-27 21:20:46,Pres @realDonaldTrump just signed $2.2T economic relief package Very important for our nation while facing the coronavirus pandemic to help public health/hospitals &amp; workers/economy Pres Trump &amp; Scty Mnuchin working w Congress made this unanimous deal possible
1243608107021893639,2020-03-27 18:37:32,As President pro tempore I just signed the bipartisan CARES Act. Now to Pres Trump for his signature https://t.co/IqkXgfkgmI
1243607517395144706,2020-03-27 18:35:11,Iowans are calling my office asking Qs about the Recovery Rebate &amp;if they are eligible. If you have a SSN+are not a dependent u will likely receive $1200/$2400 for married couples+$500/child under 17. Many other Qs answered here. Pls read https://t.co/KcnTiyoEMl
