id,created_at,text
1247206145112059905,2020-04-06 16:54:51,"RT @SecAzar: Six steps we can take to help protect our #mentalhealth as we fight #COVID19 together and work to #SlowTheSpread. 
https://t.c…"
1247183147294265344,2020-04-06 15:23:28,"RT @GovernorLittle: Thank you, @IDNationalGuard! https://t.co/3544dlxQ08 #IdahoCOVID19"
1247141886541721601,2020-04-06 12:39:31,"RT @GOPLeader: Attention small businesses: here's how your workers can 𝒔𝒕𝒂𝒚 𝒆𝒎𝒑𝒍𝒐𝒚𝒆𝒅:

100% federally-guaranteed loans for 8 weeks. If you…"
1247139302204518400,2020-04-06 12:29:15,"As my staff and I are teleworking to help limit the spread of #Covid_19, more than even it’s important we hear your questions and concerns via my website https://t.co/0b8vJQcy3g https://t.co/5LplgSZoqj"
1246146677427384321,2020-04-03 18:44:54,RT @GovernorLittle: Another great example of Idaho's universities and colleges putting innovation to work in a time of need! @IdahoStateU #…
1246132969007239169,2020-04-03 17:50:26,This is an important program and a great opportunity. The deadline quickly approaching https://t.co/7rmi0phnYY
1246112574782857218,2020-04-03 16:29:24,"RT @GOPLeader: Small business owners: this is a two-page form for a 100% federally-guaranteed loan. If you use it for payroll, rent, and ut…"
1246108434736369669,2020-04-03 16:12:57,RT @SenatorRisch: Attention Idaho small businesses who have been impacted by #COVID19: The #PPPloan is now available! Apply with an SBA app…
1245779185970434048,2020-04-02 18:24:38,"Important news for Social Security recipients.
 
For more information https://t.co/PIROONyS1V https://t.co/2bxF38KPjl"
1245756954699608065,2020-04-02 16:56:17,RT @IDHW: Please contact the Department of Labor for questions about unemployment benefits. https://t.co/ke9zRyvS2a
1245742007365992448,2020-04-02 15:56:53,"The #coronavirus is unlike anything we’ve dealt with, which is why @TomColeOK04 and I asked the Coronavirus Task Force to explore innovative technologies that show promise in creating vaccines and treatments for COVID-19.  

Read the full letter below 

https://t.co/S4JjbjoU6g"
1245500323956998145,2020-04-01 23:56:32,"The American farmer and rancher is needed now more than ever. I proudly joined with over 140 of my colleagues in sending a bipartisan letter to @SecretarySonny at @USDA encouraging swift relief for those working in Ag.

Read the full letter below

https://t.co/8Z5w70BdxS"
1245465211185721345,2020-04-01 21:37:00,RT @IdahoSDE: Check out how this Bonneville School District 93 student is starting the first day of online learning - with the Pledge of Al…
1245397841138327552,2020-04-01 17:09:18,"RT @IdahoSDE: Parents, educators, students: find numerous free educational resources and tools through the #Idaho Commission for Libraries'…"
1245385226022531073,2020-04-01 16:19:10,It's #CensusDay2020 - it only takes a few minutes  #BeCounted https://t.co/UjpetEcBFb
1244628635408982023,2020-03-30 14:12:45,"Today is #NationalDoctorsDay 🩺
 
To our heroes in healthcare putting their patients first, today and every day, Thank You!  
We need you now more than ever. 

Join me and #ThankADoctor today! https://t.co/TDMHTeT3y3"
1243960839616393216,2020-03-28 17:59:10,"RT @DeptVetAffairs: Connect with the Veterans Crisis Line if you are a Veteran having thoughts of suicide. Call, text or chat with the Vete…"
1243907372151533571,2020-03-28 14:26:42,"RT @GOPLeader: THANK YOU to the:
 
nurses
doctors
scientists
gig workers
researchers
truck drivers
health experts
manufacturers
lab technic…"
1243612066935603200,2020-03-27 18:53:16,"This legislation is a necessary step towards stabilizing our economy, providing resources for health providers on the front lines, and furthers access to patients who have been stricken by #COVID19 https://t.co/a6LwloClR6"
1243598572685348864,2020-03-27 17:59:39,"The House has passed critical relief package following intense negotiations by @POTUS and Senate passage with Idaho Senators’ support.

These are truly unprecedented times that calls for extraordinary measures.

 #InItTogether 

https://t.co/UG8ZLCMDsf"
1243557549606981633,2020-03-27 15:16:38,"In challenging times humanity shows it’s true colors. There’s so much good in the world, don’t forget to look for it. https://t.co/r0NTSEba00"
1243316762927562753,2020-03-26 23:19:50,"Great to see @StateDept recognizing how important farmers &amp; their labor force are to our country. Food security is of critical importance during this time and State, @USDA, @USDOL &amp; @DHSgov should be applauded for their work to prioritize agriculture.
https://t.co/Dd6izYtSvd"
1243227148673900545,2020-03-26 17:23:44,Let’s be wise about our purchase of food and supplies. The last thing we want to do is leave our vulnerable population without access to resources. https://t.co/kMXG84xNl5
1242908525963218944,2020-03-25 20:17:39,Help get the word out https://t.co/sRxPHnddjV
1242880875278278665,2020-03-25 18:27:46,RT @SocialSecurity: Check out this important update from #SocialSecurity on the #COVID19 pandemic. https://t.co/QaAO5rkmZ5 https://t.co/zv1…
1242834113477763072,2020-03-25 15:21:58,RT @SenatorRisch: Many of Idaho's small businesses are facing immense difficulties due to #COVID19. My website has a list of current @SBAgo…
1242827429304922113,2020-03-25 14:55:24,RT @GovernorLittle: I will make an important announcement about Idaho’s COVID-19 response tomorrow at Gowen Field at 1:30 pm. A public rele…
1242558842329686016,2020-03-24 21:08:08,RT @Dr_Mark_Peters: .@INL is joining the Bank of Idaho and other nonprofit partners in establishing a community fund to help eastern Idahoa…
1242513421637234689,2020-03-24 18:07:39,RT @USDA: Thank you to the heroes in the U.S. supply chain who are continuing to do right and feed everyone during this time ❤️ #NationalAg…
1242463246184931328,2020-03-24 14:48:16,"RT @ThisSpudsForYou: ""She definitely went the extra mile."" https://t.co/8HM4BaNFIV @IdahoStateJ"
1242137322763751424,2020-03-23 17:13:10,"The spread of #COVIDー19 isn't a Republican problem or a Democrat problem, it's an American problem. 
Stay Calm, Stay Informed, and Stay Home! 
We're in this together. 
#TogetherApart https://t.co/Qj71iuV0pi"
1241892097562529792,2020-03-23 00:58:43,Heartwarming story out of Idaho Falls https://t.co/tqXpvG63sf
1241836297997729794,2020-03-22 21:17:00,Let’s end the spread of rumors about COVID-19 only share information from trusted sites and sources. https://t.co/7yEgev3h7d
1241825154482745353,2020-03-22 20:32:43,RT @maggieKTVB7: #BREAKING Central District Health is suggesting a two-week shelter in place for anyone who has recently traveled to Blaine…
1241133377652228096,2020-03-20 22:43:51,"I joined @RepRussFulcher @RepDelBene @cathymcmorris and @repblumenauer in reaching out for additional ventilators for our states, as we are in dire need for more devices.  #Covid_19 

https://t.co/y4uHjAwxWC"
1240788320105287680,2020-03-19 23:52:42,I’m mindful of our friends in @BlaineCountyID and ask that they stay home to slow the spread of #COVID19 https://t.co/2D7gUUubSf
1240772491452153856,2020-03-19 22:49:49,"RT @SecretarySonny: ICYMI: @USDA and @USDOL Announce Information Sharing to Assist H-2A Employers

Ensuring minimal disruption for our agri…"
1240756360603553792,2020-03-19 21:45:43,"RT @GovernorLittle: I will host a press conference Thursday, March 19, 2020, at 5 p.m. MST to update Idahoans on community spread of the no…"
1240729070976942080,2020-03-19 19:57:16,RT @MikeCrapo: Upcoming Service Academy Days with the Idaho congressional delegation have been POSTPONED until further notice. More info he…
1240716264697253888,2020-03-19 19:06:23,COVID-19 Coronavirus Updates from Saint Alphonsus https://t.co/IID7EDSwEl
1240641243115225088,2020-03-19 14:08:17,Great work Senator to ensure our farmers and their labor needs will be prioritized during this difficult time. https://t.co/04jwssZI3W
1240373291761557504,2020-03-18 20:23:32,"This is what @GovernorLittle meant when he said “History will remember our reaction to coronavirus, so let’s be there for each other”

https://t.co/nKjV0f0r1d"
1240358624209166336,2020-03-18 19:25:15,Join me in thanking all those on the front lines keeping America safe and healthy https://t.co/kzvkRBkgV9
1240354212501811200,2020-03-18 19:07:43,Thank you @SenatorRisch for your leadership on this. We are working with farmers throughout #Idaho to ensure we have a safe and reliable Ag workforce so our nation and world can stay fed. https://t.co/sCCP5SLqG2
1240331028197265408,2020-03-18 17:35:36,Important information for our Veterans to know https://t.co/QfkfHB2zwe
1240325027335208962,2020-03-18 17:11:45,"Congratulations to all these great high school artists. Our students are fortunate to have such phenomenal art teachers throughout Idaho. @conginst 

https://t.co/RfqjqBMRCX"
1240298998532988935,2020-03-18 15:28:19,RT @SBAgov: #ICYMI: We've got #Coronavirus (#COVID19) guidance and loan resources for small businesses right here. 🔽
1240277447456600064,2020-03-18 14:02:41,#DontBeASpreader https://t.co/JawVVfCT6u
1240015974084087808,2020-03-17 20:43:41,RT @GovernorLittle: I want history to remember that Idahoans were there for each other during this very challenging and uncertain time. htt…
1240013886302097412,2020-03-17 20:35:23,"""St. Luke's announced they will begin conducting drive-up coronavirus testing and putting up tents to hold supplies. 
Additional testing sites will come to Boise on Wednesday.""

https://t.co/aIbuSD9HDj"
1239976381250826244,2020-03-17 18:06:21,📚 https://t.co/FlKrXRjiGL
1239928371196211202,2020-03-17 14:55:35,"At 9:05 MST this morning I will be talking about the government response to #COVID2019 
with Neal Larson and Julie on @kidnewsradio 

Tune in here https://t.co/64AoyRt4Ng"
1239669035752701952,2020-03-16 21:45:04,RT @realDonaldTrump: I ask all Americans to band together and support your neighbors by not hoarding unnecessary amounts of food and essent…
1239666224260407297,2020-03-16 21:33:54,"Idaho will receive $4.5 million  to assist in our efforts to combat #COVID2019 
This is good news for #Idaho 
https://t.co/XSvNErdH5o"
1239632383244148742,2020-03-16 19:19:26,"The bipartisan ""Families First #coronavirus  Response Act"" passed by the House is crucial assistance for #Idaho and families throughout America. https://t.co/tYMXzcxWHZ"
1239619649089818624,2020-03-16 18:28:50,"I fully support the President's call to pass the 2nd emergency supplemental package in response to #COVID2019 &amp; stand ready to continue to work w/ my colleagues in Congress &amp; the President to help the American people through these challenging times.

https://t.co/xwzGuhdJnO"
1239311000840499200,2020-03-15 22:02:22,"RT @GovernorLittle: There is no shortage of food. Stores will restock, so please don’t hoard. 

The water supply is clean and safe to drink…"
1239220968007946240,2020-03-15 16:04:37,#NationalDayOfPrayer https://t.co/eIf16cgM1U
1238559227658067971,2020-03-13 20:15:05,"We are fortunate there are no confirmed cases of the novel coronavirus (COVID-19) in the state, it is important we all remain calm, yet vigilant.
The web page below will be updated frequently to provide each of you with information as it becomes available.
https://t.co/s1dU2IpWzP"
1238507002260672513,2020-03-13 16:47:34,"FDA’s hotline (1-888-INFO-FDA) is available 24 hours a day for labs to call regarding difficulties obtaining supplies for collecting patient samples for COVID-19 testing, including swabs, media needed for transport, and  conservation of the samples."
1237175844470050816,2020-03-10 00:38:01,Happy Birthday to my 2nd favorite Congressman from Idaho @RepRussFulcher 🎂 - We are lucky to have you Russ! https://t.co/FconSdU0i6
1237056202443538434,2020-03-09 16:42:36,RT @MikeCrapo: This #MilitaryMonday I am honoring Retired Staff Sergeant Allen Jake Versteeg. Staff Sergeant Versteeg earned two purple hur…
1236003315424595970,2020-03-06 18:58:48,Idaho high school art students have submitted fantastic pieces for the Congressional Art Contest. You can see them displayed starting tomorrow at  @TAMeasternidaho 👩‍🎨🎨 https://t.co/oUJgwZx1VC
1235652036730839041,2020-03-05 19:42:57,"I applaud committee passage of H.R. 6020 and am pleased Congress continues to stand up for rural and small town America. #SaveTheMinorLeague Task Force fellow Co-Chairs @RepLoriTrahan @RepMcKinley @RepMaxRose have been great teammates on this issue ⚾️
https://t.co/xlpeVzZGL1"
1235597462493999106,2020-03-05 16:06:06,My wife and I have a great appreciation for the humanities and will continue to support it in our communities. https://t.co/JYQ9wnheUw
1235597054052839425,2020-03-05 16:04:28,RT @GovernorLittle: Idaho farmers have one month to nominate schools for $15K STEM grants: https://t.co/3kyV4Tkj7X
1235283776051302400,2020-03-04 19:19:37,RT @IdahoPotato: Celebrating #IdahoDay #Idaho #OnlyInIdaho #IdahoPotatoes 🥔💕 https://t.co/zrOAap9wFR
1235261150574653441,2020-03-04 17:49:42,RT @Jeopardy: A one-year update from Alex: https://t.co/W9101suZeZ
1235212665359708160,2020-03-04 14:37:03,Happy #IdahoDay https://t.co/XfUZclSHWl
1234972815377358848,2020-03-03 22:43:58,"Restoring our National Parks and permanently funding LWCF are great ideas. 
The LAND ACT would do both! 
With your leadership @realDonaldTrump we can make this happen. #FixOurParks 

https://t.co/MgXY8R6Z3P https://t.co/dPmRJ21LHM"
1234940857339523076,2020-03-03 20:36:59,"LWCF has accomplished important conservation and local community projects in #Idaho as well. Thank you Mr. President for signing the Public Lands Package into law in 2019 and also the fiscal year 2020 funding which are both important for #LWCF. 

@realDonaldTrump https://t.co/oxFTRKC7E3"
1234938137023000577,2020-03-03 20:26:10,"RT @INL: In anticipation of the upcoming wildfire season in eastern #Idaho, the U.S. Department of Energy recently transferred a brush fire…"
1234912671385800704,2020-03-03 18:44:59,RT @IDNationalGuard: The Idaho State Veterans Home Boise provides nationally-recognized care to Idaho's veterans. Idaho's best deserves the…
1234570110221901825,2020-03-02 20:03:46,"The A-10 has proven itself to be a reliable workhorse of American airpower, and I am pleased that Congress continues to recognize the A-10’s critical mission and the Airmen who support it. ✈️

https://t.co/GpSugwW90p"
1234498031107526658,2020-03-02 15:17:21,RT @ThisSpudsForYou: Doing what’s right is not always easy. Via @ThePostRegister https://t.co/onwxoVl6Zd
1233510038695809035,2020-02-28 21:51:25,Please join Idaho's Congressional delegation for Service Academy Days. https://t.co/oHtNdw788v
1233141729102114825,2020-02-27 21:27:53,RT @GovernorLittle: I strongly support President Trump's plans to modernize NEPA - the National Environmental Policy Act. Speaker Bedke and…
1233092094987776000,2020-02-27 18:10:39,"RT @MichaelHKrieger: Thank you, James from @CongMikeSimpson office for taking time out of your day to talk with @NHFIdaho about our experie…"
1233092051413143552,2020-02-27 18:10:29,"RT @dairyidfa: IDFA and #dairy industry leaders met with  @CongMikeSimpson today to discuss #icecream research, the SNAP fluid #milk incent…"
1232785868307542017,2020-02-26 21:53:49,"Proud to join @ThisSpudsForYou at the steps of the Capitol with @RepZoeLofgren @RepNewhouse @RepJimmyPanetta 
@RepLaMalfa asking the US Senate to take up agriculture labor reform. https://t.co/yj3cHeiY7G"
1232415272306434055,2020-02-25 21:21:12,"Cancer impacts too many of our family and friends. 
Wishing @Jeopardy's Alex Trebek well wishes in his battle w/ pancreatic cancer. 
I'm proud to support @NIH funding to prevent and fight this disease. Thank you @OfficialPCA for your advocacy &amp; support to those fighting cancer. https://t.co/r5dOoTWUPn"
1232348319063691266,2020-02-25 16:55:09,"US potatoes for processing will have immediate access to China markets. 
This is a big deal for Idaho, well done to the Trump administration on implementation of U.S. China Phase One. 

@USDA @USTradeRep @realDonaldTrump 

https://t.co/mI1m7niuTm"
1232075806693830662,2020-02-24 22:52:17,RT @ThisSpudsForYou: On Wed potato growers &amp; @usapples will join Farm Workforce Modernization Act sponsors and supporters @CongMikeSimpson…
1231010117119660032,2020-02-22 00:17:37,"Pleased to be with friends and colleagues  @GovernorLittle @SenatorRisch @lawrencewasden @Dr_Mark_Peters to celebrate  a successful negotiation to the 1995 Idaho Settlement Agreement. This is a great thing for Idaho,  @INL @ENERGY and our whole nation. https://t.co/dccSCw0FFG"
1230974603289333760,2020-02-21 21:56:30,RT @NEAArtsChair: So pleased that @NEAarts supported Idaho Theater for Youth which takes Shakespeare performances into more than 100 school…
1230967293141712897,2020-02-21 21:27:27,"Let's take a moment and appreciate ""Drive Your Tractor to School Day"" at Rigby High School🚜#Idaho 

@NationalFFA https://t.co/BtBwfp7wPN"
1230947153050128384,2020-02-21 20:07:25,"It’s never too late 

https://t.co/e4qekJe3QS"
1230598125410078720,2020-02-20 21:00:31,"#USMCA is a very important agreement for Idaho agriculture and Idaho in general. I was pleased to support @realDonaldTrump when this agreement was voted on in the House and I look forward to future agreements with the EU and China.
 @GovernorLittle @MikeCrapo 
@SenatorRisch https://t.co/G4QZSp1mSg"
1230321367083446272,2020-02-20 02:40:46,"RT @MikeCrapo: Big news on USMCA impacts for Idaho with @GovLittle on Thursday! Looking forward to joining Idaho leaders, the Governor, @Se…"
1229858835088707585,2020-02-18 20:02:50,"If you've ever wondered what goes on at @INL you can take a virtual field trip below. 
https://t.co/2yItITUkvj

#EngineersWeek"
1229467273951203330,2020-02-17 18:06:55,Happy #PresidentsDay 🇺🇸 https://t.co/ucFu8y2QFc
1226947002761654273,2020-02-10 19:12:15,"RT @ThisSpudsForYou: Growing up on the family farm and being the third Raybould to lead the NPC, is an example of the generational strength…"
1225920426821529600,2020-02-07 23:13:00,I am pleased to be able to support the Trump administration's new Navigable Water Protection Rules. This is particularly important to our friends in Ag. #wotus https://t.co/B9S0wsZnmD
1225875032427069441,2020-02-07 20:12:38,It’s the only way to stay warm when I’m in #Idaho 🥶 https://t.co/NQyhmtj87O
1225533899402547203,2020-02-06 21:37:05,"RT @IDNationalGuard: “We always say that the dogs and warriors rescue each other,” said Alana Dole. #ThursdayThoughts 

https://t.co/uu2cYn…"
1225185152210325504,2020-02-05 22:31:17,"RT @GOPLeader: So cool. Welcome home, Sergeant Williams! https://t.co/4tR86NM37r"
1225184963445678080,2020-02-05 22:30:32,It’s an honor to be named the Idaho Head Start Association Legislator of the Year. Unfortunately I couldn’t be there in person due to votes in the House of Representatives but my lovely wife Kathy was there to accept the award on my behalf. https://t.co/2pReehtSRr
1225178271421104128,2020-02-05 22:03:57,Congratulations to @GovernorLittle @lawrencewasden and @SecBrouillette on this historic agreement. https://t.co/t3KBLtsoRJ
1224901515065745409,2020-02-05 03:44:13,Read my statement following #SOTU2020 below https://t.co/lVZrT8OOAR
1224836445845651457,2020-02-04 23:25:39,"It was a great morning with the National Council of Ag Employers discussing the Farm Workforce Modernization Act. 
Thanks for keeping our world fed! https://t.co/yjJfPZKu0b"
1224737940170952705,2020-02-04 16:54:14,On #CancerDay2020 we remain committed to a cure. During my time on @HouseAppropsGOP  I’ve fought for robust @NIH funding so that we won’t continue to lose our loved ones to that horrible disease.
1222931980100276226,2020-01-30 17:17:59,"ICYMI - 
https://t.co/tlZs6V6hR3"
1222605323011284992,2020-01-29 19:39:58,"I'm pleased to see the  ""DAIRY PRIDE Act""  received a hearing in the @HouseCommerce committee today. This bill is very important to dairy farmers in Idaho and throughout the country 🐄🥛

https://t.co/eawzUxcvV9"
1222572546199031813,2020-01-29 17:29:43,"The #USMCA is a win, it's a win for Idaho, it's a win for our nation, and I applaud @POTUS  for getting this across the finish line. https://t.co/lTUaXgCaui"
1221874043948797952,2020-01-27 19:14:08,"It was great to chat with @AgInfoNet about the administration's announcement regarding #WOTUS 

https://t.co/VpsYQHHg3z"
1221842184506347532,2020-01-27 17:07:32,On  #HolocaustRemembranceDay and the 75th anniversary of the liberation of Auschwitz #WeRemember  and pledge to learn from the dark days of the past. https://t.co/Ud57QloBhZ
1220811926063677440,2020-01-24 20:53:39,RT @BLMIdaho: BLM-Idaho’s Jennifer Myslivy is working alongside international partners to help with communication and information needs for…
1220750050730610689,2020-01-24 16:47:47,"RT @Dr_Mark_Peters: Welcome Christine!   Look forward to an exciting future for @GAINnuclear,  @INL, and advanced nuclear energy https://t.…"
1220494605189124096,2020-01-23 23:52:44,I applaud this Administration for hearing the concerns of rural Idaho and rewriting the Waters of the United States Rule. It was an honor to stand alongside EPA and the US Army Corps to announce this important action which gives clarity to farmers and businesses around the state. https://t.co/2V3YFi3nTs
1219279944557056000,2020-01-20 15:26:06,On #MLKDay we remember the champion of civil rights and honor the legacy left by Dr Martin Luther King Jr. https://t.co/pWLEiayng4
1218962017127563265,2020-01-19 18:22:46,"Our hearts go out to the Duvall family @ZippyDuvall, Kathy and I send our thoughts and prayers your way as you mourn the passing of Bonnie."
1217847076761096192,2020-01-16 16:32:24,"It was great to have @IdahoGrain in the office, we discussed #USMCA and the Farm Workforce Modernization Act. https://t.co/YuCtm0EgZe"
1217122726105665536,2020-01-14 16:34:05,https://t.co/KAJdFJ1KXM
1216389182999760897,2020-01-12 15:59:15,"This video of US firefighters being welcomed in Australia, including Idaho’s Juston Fenton, is certainly worth watching.

https://t.co/nAoOGyQoUy"
1215409765251051520,2020-01-09 23:07:23,"Knee replacement recovery is going well and I look forward to returning to  Washington next week. 
See my statement on the War Powers Resolution below https://t.co/pO6sa9sR36"
1215345393770299397,2020-01-09 18:51:36,NEPA reform is long overdue and Idaho’s infrastructure will benefit from desperately needed projects that are waiting for approval. Not to be overlooked is the health of our forests and the reduced risk of wildfires. https://t.co/vfGab9rEKo
1215309249145790464,2020-01-09 16:27:59,"Today, we honor and applaud the brave men and women of our federal, state, and local law enforcement for their daily commitment to keeping our streets safe 🚓
#LawenforcementDay https://t.co/U5ezarS2Uc"
1214331312192008192,2020-01-06 23:42:00,RT @BLMIdahoFire: @BLMIdahoFire resources are starting to be assigned to #engines alongside #australia firefighting personnel. #BLMIFDFire…
1214305862086471683,2020-01-06 22:00:52,It's a special thing to see Idaho send some of our heroes to help our neighbors in Australia. We'll be praying for their safe return. https://t.co/UwysFKMlRm
1214270774644805633,2020-01-06 19:41:27,RT @RepRussFulcher: Thank you to my colleagues who joined this letter to @SecretarySonny requesting Resource Advisory Committee vacancies b…
1214261219764379655,2020-01-06 19:03:29,"RT @IDNationalGuard: Idaho @GovernorLittle awarded Staff Sgt. Kyle Perkins, @124FighterWing, the Idaho Cross Thursday for helping save a ma…"
1213180380267679744,2020-01-03 19:28:37,"Today, because of decisive action taken by @realDonaldTrump and the US military, an avowed terrorist and enemy of the US has been brought to justice.  See my full statement below. https://t.co/xeSvBFK4aZ"
