id,created_at,text
1247307347900301317,2020-04-06 23:37:00,"#GoodNewsOfTheDay → Since the pandemic began, 40,000 Americans have been returned home. 

On 3/25, I asked POTUS to utilize military air to ramp up repatriation efforts, he's now utilizing @US_TRANSCOM to aid the State Dept. in repatriation efforts. 

https://t.co/YIUOQ7zIYE"
1247286869492142080,2020-04-06 22:15:37,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1247283458822586373,2020-04-06 22:02:04,RT @MSEMA: Mississippians are now encouraged to wear face masks while in public to help slow the spread of #COVID19. There are several alte…
1247176620861009921,2020-04-06 14:57:32,Good news for Mississippi ➡️ President Trump has approved Mississippi's Disaster Declaration https://t.co/ugapsjb2nk via @whitehouse
1247176196128997377,2020-04-06 14:55:51,"4/6/20: from 9 a.m. - 4 p.m. there will be a drive-through COVID-19 testing site in Moss Point at 4320 McInnis Ave (across from City Hall).

Anyone experiencing COVID-19 symptoms &amp; wants to be tested must first be screened using the telehealth app. 

APP: https://t.co/xS5OPRbhVI"
1247174532634497025,2020-04-06 14:49:14,"#ICYMI the @CDCgov has issued new guidance for individuals to wear face coverings in public settings. 

More: https://t.co/bLSuDMU3bn https://t.co/NFuusrWpmL"
1247174472379117571,2020-04-06 14:49:00,".@MPBOnline has created a site for parents, students, and teachers to help prevent learning loss. 

You can check it out here: https://t.co/F3OAqE78Fu"
1247174137665196036,2020-04-06 14:47:40,"RT @CDCgov: If you’re 65 and older or have an underlying medical condition, learn how you can take steps to protect yourself from #coronavi…"
1247172119085092864,2020-04-06 14:39:39,"Tonight at 6PM, Mississippi will ring our church bells, cowbells, and any other noisemakers from our front yards for one minute in recognition our health care community. Let's show these men and women how much we support them! https://t.co/S7I4bto7Ij"
1246814131971395587,2020-04-05 14:57:08,"They took palm branches and went out to meet him, shouting, “Hosanna!” “Blessed is he who comes in the name of the Lord!” “Blessed is the king of Israel!”John 12:13

May you and your loved ones be blessed and safe this #PalmSunday https://t.co/6puGLaG9iw"
1246212283145039877,2020-04-03 23:05:36,"RT @CDCgov: Breaking: CDC’s recommendation on use of cloth face coverings, especially in areas of significant community-based transmission…"
1246197031921573888,2020-04-03 22:05:00,"I am urging all Mississippians to comply with the shelter-in-place order issued by Governor Reeves. 

The order is in effect now and will remain in place through April 20, 2020. 

https://t.co/3RoaXLQaHl https://t.co/mdErQEHXoR"
1246195773668286465,2020-04-03 22:00:00,"Mississippi is officially under a shelter-in-place order from Governor Reeves through April 20, 2020 at 8 a.m. 

To answer some of the most frequently asked questions, 
@MSEMA has created a page to provide you with answers. 

MORE -&gt; https://t.co/1LKRhxaH73"
1246129587219607552,2020-04-03 17:37:00,"I've completed the 2020 Census! Have you? 

As we continue following social distancing guidelines, you can take this time to complete the 2020 Census. 

➡️ https://t.co/G3DgUlzLkd"
1246106551309479937,2020-04-03 16:05:28,"Anyone who chooses to partake in any of these activities must continue adhering to the guidelines below. 

-no gatherings of more than 10 people
-maintain a 6 ft distance"
1246106214326468609,2020-04-03 16:04:07,"Many south Mississippians have asked about fishing during the shelter-in-place for MS. 

-commercial fishing has been defined as an essential business by the Governor &amp; may cont. operations. 

-Recreational boating &amp; fishing is permitted w/no more than 10 ppl per vessel."
1246085295432482817,2020-04-03 14:41:00,"Starting TODAY at 5 pm Mississippi will be under a shelter-in-place order from Governor Reeves through April 20, 2020 at 8 a.m. 

To answer some of the most frequently asked questions, 
@MSEMA has created a page to provide you with answers. 

MORE -&gt; https://t.co/1LKRhxaH73"
1246085295377965056,2020-04-03 14:41:00,"All Mississippi businesses &amp; non-profits that are severely impacted by COVID-19 are eligible to apply for low-interest federal disaster loans. 

Small business owners can begin the process immediately and apply through this link: https://t.co/xZPeqqoxEP"
1246069458743054336,2020-04-03 13:38:04,RT @tatereeves: There is plenty of bad news in a time like this. I want to share a bit good news. Mississippi scientists and health care wo…
1246068620414922753,2020-04-03 13:34:44,RT @HSBCgop: BREAKING: Applications are open for the Paycheck Protection Program.  These 100% federally guaranteed loans can be forgiven if…
1246017599369953280,2020-04-03 10:12:00,".@MPBOnline has created a site for parents, students, and teachers to help prevent learning loss. 

You can check it out here: https://t.co/F3OAqEoJx2"
1245802047884099585,2020-04-02 19:55:28,"RT @HouseGOP: If you think you're sick…
 
🚫 DON'T get in the car.
 
📱 Call your doctor.
 
👩🏼‍⚕️ Listen to their advice and instructions. ht…"
1245792745018527748,2020-04-02 19:18:30,"We are all in this together. Social distancing is not easy, but it is necessary to #SlowTheSpread https://t.co/dF7LzPx3qx"
1245792167882350592,2020-04-02 19:16:13,"RT @WhiteHouse: Stay home. 🏠 
Wash your hands. 👐 
Don't touch your face. 🚫 https://t.co/VW9FgwWwjy"
1245791971286843392,2020-04-02 19:15:26,"The @UMMCnews is hosting a drive-through testing site this Saturday (April 4, 2020) at the Pearl River County Health Department from 9 am - 4 pm.

Anyone looking to get tested must first go through a free screening on this app ➡️ https://t.co/xS5OPRbhVI https://t.co/rNQhi3M3U8"
1245790639213760514,2020-04-02 19:10:08,RT @WLOX: WATCH: Gov. Reeves discusses response to coronavirus https://t.co/0iIhmpB6Ar
1245786969277378571,2020-04-02 18:55:33,"RT @SBAgov: #ICYMI: Due to the #CARESAct, small businesses &amp; non-profits can get up to a $10,000 advance on an Economic Injury Disaster Loa…"
1245786930475872261,2020-04-02 18:55:24,"RT @MSEMA: Do you have #COVID19 questions about the shelter-in-place order, unemployment benefits, SBA loans and other topics? Well, we hav…"
1245756937557487624,2020-04-02 16:56:13,RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq
1245732509800976385,2020-04-02 15:19:09,"Starting tomorrow at 5 pm Mississippi will be under a shelter-in-place order from Governor Reeves through April 20, 2020 at 8 a.m. 

To answer some of the most frequently asked questions, @MSEMA has created a page to provide you with answers. 

MORE -&gt; https://t.co/1LKRhxaH73"
1245506076474253313,2020-04-02 00:19:23,"RT @Hattiesburg_MS: Hattiesburg - As we continue to stay home and practice social distancing, you can also help our city move forward simpl…"
1245473691456208897,2020-04-01 22:10:42,RT @MSyallpolitics: Lt. Gov. @DelbertHosemann and @CongPalazzo issue statements supporting Governor @tatereeves’ statewide shelter-in-place…
1245464616181944322,2020-04-01 21:34:38,Governor Reeves has issued a shelter-in-place for the state of Mississippi. I urge all Mississippians to comply with this order and do your critical part to slow the spread. #ShelterInPlaceMS https://t.co/uUMIZVR1M4
1245434847667130368,2020-04-01 19:36:21,Teachers throughout south Mississippi have been doing all they can to continue helping our students during the COVID-19 outbreak. Thank you to all of our great educators - for everything you do! https://t.co/tLE329MHY5
1245433902698844161,2020-04-01 19:32:36,RT @tatereeves: We will be making a major announcement regarding a new phase in Mississippi’s efforts to combat COVID-19 at 3:30. It will r…
