id,created_at,text
1247323880018063360,2020-04-07 00:42:41,"In uncertain times, it is critical that we have strong leaders.

Thank you @realDonaldTrump &amp; @mikepompeo for bringing U.S. citizens home to their families! https://t.co/p3ShMhOrwe"
1247275511711219714,2020-04-06 21:30:29,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1246161028255305734,2020-04-03 19:41:56,RT @SteveScalise: Make no mistake: Pelosi's proposed committee to investigate the Coronavirus crisis is just another excuse to harass @real…
1246160691054219265,2020-04-03 19:40:35,RT @JamesComer: China has LIED about #Covid_19 from day one. They have grossly underreported their cases/mortalities &amp; they have not been f…
1246103194620645382,2020-04-03 15:52:07,"This is preposterous.

@SpeakerPelosi wants a new special committee — not the Oversight Committee — to oversee the federal #coronavirus response.

Who's to lead it?

House Dem @WhipClyburn, who says the virus is ""a tremendous opportunity to restructure things to fit our vision."" https://t.co/IYBNLCeDbQ"
1246096353249439744,2020-04-03 15:24:56,RT @RepBuddyCarter: Join me in praying for our health care heroes. THANK YOU for everything you are doing to save lives and fight the pande…
1245408527323148288,2020-04-01 17:51:46,RT @RepGosar: You don’t say? https://t.co/JNxxEmIV7o
1245378785932972032,2020-04-01 15:53:35,"FISA is broken. Democrats &amp; Deep Staters can no longer deny it.

New DOJ IG findings confirm there's a systematic problem in FISA.

The IG found problems with every single FISA application reviewed!

The surveillance on @realDonaldTrump's campaign was the tip of the iceberg. https://t.co/igwxH9o67J"
1245358783456575489,2020-04-01 14:34:06,RT @RepMarkGreen: Great news! Drug manufacturers Novartis and Bayer have announced they will donate hydroxychloroquine to fight COVID-19. T…
1245348369209405445,2020-04-01 13:52:43,RT @GOPoversight: “Americans are already worried enough about their wellbeing as a result of the coronavirus emergency and now is not the t…
1245348075482341377,2020-04-01 13:51:33,"RT @dcexaminer: .@CongressmanHice is sounding the alarm on NYC's plan to release ""potentially dangerous and contagious inmates.""

“American…"
1245343250560495616,2020-04-01 13:32:22,"RT @GOPoversight: .@CongressmanHice ""the top Republican on the House Oversight Subcommittee on Government Operations, is calling for inform…"
1245106835872526339,2020-03-31 21:52:57,"RT @GOPoversight: Now is not the time to put Americans' health and safety at greater risk!

If NYC plans to release inmates because of the…"
