id,created_at,text
1247309401268129794,2020-04-06 23:45:09,".@jonkarl's Everett McKinley Dirksen Award, his Joan Shorenstein Barone Award, and his news Emmy watching from home. https://t.co/1vpvNic5vR https://t.co/04TurKxQ8b"
1247294693517471745,2020-04-06 22:46:43,"@ttyda20 @jaketapper Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247294659283562496,2020-04-06 22:46:35,"@TheRealWildhair @OversightDems @RepMaloney @HHSGov @fema @RepStephenLynch @GerryConnolly @RepHarley @RepRaskin Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247294623820767234,2020-04-06 22:46:26,"@sandygarner1223 @washingtonpost Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247294578291625992,2020-04-06 22:46:15,"@JumpsuitWedgie @sandygarner1223 @washingtonpost Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247293029288992768,2020-04-06 22:40:06,"@classclown87 @CAFA1968 @washingtonpost Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292939656626183,2020-04-06 22:39:45,"@blakley_angie Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292903162105863,2020-04-06 22:39:36,"@scone_eater @USCPSC Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292815270387719,2020-04-06 22:39:15,"@mjp523 Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292773285466112,2020-04-06 22:39:05,"@trianglelube Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292742088241152,2020-04-06 22:38:57,"@run2wine69 Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292710823825409,2020-04-06 22:38:50,"@the_nitnat Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292667471581191,2020-04-06 22:38:40,"@jetpackkittens Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292602472431616,2020-04-06 22:38:24,"@Suzanne55601 @thinkkimthink Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292555840106498,2020-04-06 22:38:13,"@ingridkirschba3 Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
1247292518171136001,2020-04-06 22:38:04,"@FranceslkTn Thank you for asking this question. If it hasn’t already been answered on this page or if you have additional questions, please feel free to call my office directly at 847-413-1959 or you can find additional resources as https://t.co/O39avlIVhU"
