id,created_at,text
1246809303702548480,2020-04-05 14:37:57,"RT @IvankaTrump: A blessed Palm Sunday to all. As we begin this Holy Week, keep praying, stay safe, stay healthy! 

We will overcome Covid1…"
1246600758226755587,2020-04-05 00:49:16,RT @jsolomonReports: Trump: 'We have to get back to work. We have to open our country again.' https://t.co/hbLMwmqMRy
1246600626055888897,2020-04-05 00:48:44,"RT @IngrahamAngle: Remember: Zaosong Zheng, was indicted for trying to smuggle 21 vials of biological material out of the US to China and l…"
1246430769779814402,2020-04-04 13:33:47,RT @ByronYork: From @USATODAY: 'Fact check: Did the Obama administration deplete the federal stockpile of N95 masks?' Verdict: 'True.' http…
1246184306034302986,2020-04-03 21:14:26,"RT @RepTimBurchett: If you own a small business, please do this... also, banks &amp; credit unions are still working to ensure they’re equipped…"
1245705444783423489,2020-04-02 13:31:36,RT @tedcruz: Not China. The Chinese communist govt has murdered over 60 million people. They currently have over 1 million people imprisone…
1245538090233532416,2020-04-02 02:26:36,"RT @TreasurySpox: .@SocialSecurity recipients will automatically receive Economic Impact Payments, no action needed! Payments will be direc…"
1245447874818818049,2020-04-01 20:28:07,Proud to represent Nissan of Tennessee and many patriotic employees in Smyrna and Decherd who will manufacture Personal Protective Equipment to help our country overcome coronavirus. We are making great strides. https://t.co/jIrEYy6TLj
1245425912612519938,2020-04-01 19:00:51,RT @stevenmnuchin1: I encourage small business to apply for Paycheck Protection Program so you can keep your employees paid! Program will b…
1245424829257388038,2020-04-01 18:56:32,"When Donald Trump warned the country of coronavirus from China and declared the U.S. would work to defeat it — Nancy Pelosi tore up his speech. She was too busy with impeachment to help Donald Trump protect the country, which he has worked hard to do despite these childish antics https://t.co/IBFAB8Nxdq"
1245345245321138177,2020-04-01 13:40:18,"RT @RichLowry: The idea that the press shouldn’t be covering these briefings is completely insane. Today’s, for example, is particularly in…"
1245345080958947334,2020-04-01 13:39:39,RT @KatiePavlich: Dr. Birx says we were missing a significant amount of data from China. Sad she has to explain this obvious point to repor…
