id,created_at,text
1247290990098087945,2020-04-06 22:32:00,"You can fill out your #Census2020 form today &amp; help our community get the resources that it needs for hospitals &amp; schools. 

You can respond:
💻Online: https://t.co/zY7NVik33T 
☎️By Phone: 844-330-2020
✉️By Mail: Check your mailbox for the 2020 form

Let’s make SJ Count! #WeCount"
1247276798485897217,2020-04-06 21:35:36,".@NJLaborDept released a new, comprehensive FAQ page to help NJ workers struggling with unemployment.

For more information visit ➡️ https://t.co/ecr14ELEd4"
1246905197965819908,2020-04-05 20:59:00,"South Jersey small businesses are the backbone of our local economy.

I will continue fighting #ForThePeople to make sure they have the support they need in these tough times. #FamiliesFirst

Info &amp; resources are available from @SBAgov ⬇ 
https://t.co/2U4g4u6LGK"
1246868204477087744,2020-04-05 18:32:00,"We are going through unprecedented times.
💗 Please remember, you are NOT alone 💗 

Reach out for help &amp; encourage others to reach out if they need to:
Crisis Text Line: text “NJ” to 741741
NJ Family Helpline: 1-800-843-5437
NJ Mental Health Hotline: 866-202-4357"
1246834985333428224,2020-04-05 16:20:00,"Community Health Centers are on the front lines of the fight against the #coronavirus.

We need to make sure they have the tools to win. #FamiliesFirst https://t.co/L5FpDWZUvx"
1246796481677459458,2020-04-05 13:47:00,"It’s inspiring to see young students innovating new PPE to help our health care workers combating #COVID19.
https://t.co/BsuJJUfN8a"
1246524187482734599,2020-04-04 19:45:00,"If you feel unsafe while in quarantine, there are resources available:
NJ Domestic Violence Hotline: 1-800-572-7233
NJ Coalition Against Sexual Assault Hotline: 1-800-601-7200
Women's Referral Central: 1-800-322-8092

💓You're not alone💓 https://t.co/8wqYFwCPIC"
1246492226693128192,2020-04-04 17:38:00,"New Jerseyans have questions &amp; @NJLaborDept Chief has answers.
https://t.co/eM9PngpBqo"
1246471339332063233,2020-04-04 16:15:00,"On this day 52 years ago, the world lost a leader, pioneer &amp; champion for justice. 
 
We honor Dr. Martin Luther King Jr. by continuing his fight #ForThePeople. https://t.co/GznYnr0COV"
1246461317537505283,2020-04-04 15:35:10,"It’s heartwarming to see communities coming together in times like these.

I’m so grateful for the bravery &amp; dedication of our health care professionals &amp; first responders. #TogetherNJ
https://t.co/Kj0a1v4gF4"
1246135679395954689,2020-04-03 18:01:12,"Social Security beneficiaries will automatically receive the #CARESAct direct payments without filing a simplified tax return.

For more information from #IRS ➡️https://t.co/I9o0Mxl4zO https://t.co/K16t7cOjyE"
1246128888612356097,2020-04-03 17:34:13,"We are working to ensure the inclusion of #SALT cap relief in the next emergency relief package.

I'll continue to work in Congress to help SJ residents as we combat #COVID19. https://t.co/WUnRbYe0C5"
1246096479007256578,2020-04-03 15:25:26,"‼️NJ small businesses can now apply for the #PaycheckProtectionProgram ‼️

Learn more about how to apply to protect your business &amp; employees visit @SBAgov ⬇️ 
https://t.co/OeHFz7pndj"
1245806203227209732,2020-04-02 20:11:59,"Josh Harris, David Blitzer &amp; @sixers generously donated to @CooperHospital's @CooperFdn &amp; @ChildrensPhila to help our local health care professionals combat #COVID19.

Thank you for supporting our heroes on the front lines. 
https://t.co/bvpFA6vDS9"
1245790180600172547,2020-04-02 19:08:19,"Food insecurity is a reality for too many people in SJ during the #coronavirus outbreak.

Learn more about the resources available to you &amp; your loved ones here: https://t.co/o0JfZzry6I"
1245790174103117826,2020-04-02 19:08:17,"This week, my granddaughter &amp; I had the opportunity to volunteer with @camdencountynj Senior Services &amp; deliver food to local residents.

I’m so grateful to all the volunteers who are helping our neighbors as we fight #COVID19. https://t.co/g8hGhDIRyy"
1245756102832263170,2020-04-02 16:52:54,More information is available for NJ workers: https://t.co/yGOoLXP00t
1245756091771863042,2020-04-02 16:52:51,"The #CARESAct expands Unemployment Insurance for workers &amp; provides:

➡️An additional 13 weeks of UI coverage (on top of standard 6 months) for those currently receiving UI &amp; new applicants

➡️An additional $600 per week benefit for up to 4 months (expires July 31)"
1245740395356708874,2020-04-02 15:50:29,Our discussion has begun!➡️ https://t.co/q8bLKIADCf https://t.co/EHShtQDEeq
1245739770866794501,2020-04-02 15:48:00,"‼️HAPPENING NOW‼️

https://t.co/q8bLKIADCf https://t.co/Gp2LlImkJC"
