id,created_at,text
1246908790890360832,2020-04-05 21:13:16,The CDC is now recommending we wear a cloth face covering when out in public. Please keep an eye on all of the latest recommendations and continue to stay home to help combat the spread. https://t.co/EBawfMKihE
1246133911773515777,2020-04-03 17:54:11,"If you have questions on the process, qualifications, or amount of the economic impact payments, make sure to keep your eye on the IRS website as information continues to become available. https://t.co/HqY7ddyrnB"
1245765901644746752,2020-04-02 17:31:50,"Last night, @IRSnews reversed their decision and will allow Social Security beneficiaries to receive their payments automatically. Though it’s a partial victory, we’re still fighting so that Supplemental Security Income recipients and veterans receiving pensions can too."
1245765899979612161,2020-04-02 17:31:50,"Yesterday, I joined my fellow leaders of the House Task Force on Aging &amp; Families calling on @USTreasury to IMMEDIATELY ensure all older Americans, individuals with disabilities, and veterans automatically get their #COVID19 stimulus checks without having to file a tax return. https://t.co/C49eT6hD3t"
1245407532161495041,2020-04-01 17:47:48,"Filling out the #2020Census only takes a few minutes and makes a huge impact on how community resources are distributed. We ALL need to be counted. See link below to fill out your census today: 

https://t.co/rT4aT9EmaC"
1245407529863012352,2020-04-01 17:47:48,"Today is Census Day and we all have to a vital role to play! Making sure you are counted ensures that our community receives critical funding for hospitals, schools, and roads over the next decade. https://t.co/FJel9LXbvP"
1245130366094127110,2020-03-31 23:26:27,"Nevertheless, they proceeded with this reckless rollback today – ignoring the science and choosing instead to exacerbate the health crisis and financial burden Americans are already facing across the country."
1245130364835807234,2020-03-31 23:26:27,"The new rule increases emissions, contributing to the burden placed on our health care system by the #COVID19 pandemic. Amid this crisis, I called on the @EPA and @NHTSAgov to halt this rollback of climate standards.

https://t.co/qlDhyh6m8Q"
1245130363674021891,2020-03-31 23:26:26,"Today, the Trump Administration finalized Part Two of the so-called SAFE Vehicles Rule - significantly relaxing fuel efficiency standards and preventing many of the gains in greenhouse gas reductions that would have been achieved under the Obama-era standards."
1245043558077403140,2020-03-31 17:41:30,"Last year, a full-time working woman earned just 81 cents for every dollar earned by her male counterpart. Women of color made even less.
 
As we face a global crisis on this #EqualPayDay, ensuring ALL workers are treated equally is more crucial now than ever before. https://t.co/HkCEzH3mcM"
1244709721363427328,2020-03-30 19:34:57,CA's health care workers are saving lives everyday in the fight against #COVID19. Thank you to everyone who comes forth to serve our community during this crisis! https://t.co/7wetxvlj06
1244394717090967552,2020-03-29 22:43:14,"As most of us stay at home to do our part to contain the #coronavirus, there are many who cannot to perform the essential functions we all need. This week, I want to thank our retail workers. You are keeping our community going through these tough times. We all thank you! https://t.co/WOuJEVbqgb"
1243626906693623814,2020-03-27 19:52:14,"However, our work is not done - I will continue to fight to make sure the federal government does everything in its power to protect &amp; support our region during this #COVID19 crisis. 

https://t.co/kdOMEiSD0Z"
1243626904042733569,2020-03-27 19:52:14,"We are in a crisis. Today, the House passed a crucial piece of legislation to get aid to workers and families. With Sacramentans in need, we had to step up &amp; get support to all of the people who cannot afford to wait.  #COVID19 #CARESActStatement https://t.co/Srq5A24aVb"
1243286349181890561,2020-03-26 21:18:59,"The uncertainty of the #COVID-19 crisis can take its toll.  To find guidelines on taking care of your emotional health during the emergency, visit:
https://t.co/MdnEmg0DZf"
1242948184126545920,2020-03-25 22:55:14,"Coronavirus is impacting the daily lives of all families. It is important to help our kids understand why staying home saves lives to provide them comfort and reassurance during this difficult time. For tips on how to approach this conversation, check out: https://t.co/k0ivvCrKmm"
1242583219385532416,2020-03-24 22:45:00,"I was proud to join my colleagues in supporting our national service members during this crisis. When we need help, our national service members are always there to lend a helping hand. We need to stand up for them during this difficult time &amp; get them the resources they deserve. https://t.co/HLul8oxOiO"
1242519510348746752,2020-03-24 18:31:50,"To date, over 3 million Californians have access to health coverage through the #AffordableCareAct. If you are uninsured, or lost your employer coverage due to the #COVID19 crisis, you can now enroll in ACA coverage through June 30. See below to enroll:

https://t.co/R242B6ACoK"
1242182327775592448,2020-03-23 20:12:00,"Amid this crisis, we must ensure everyone has access to treatment. Yet, that cannot happen if the #ACA is struck down by the #SCOTUS. On this 10th anniversary, I’ve joined 126 colleagues to call on @POTUS to drop its support of the lawsuit &amp; #ProtectOurCare during this pandemic. https://t.co/YiOoZZYO6Z"
1242182325204480000,2020-03-23 20:11:59,"Today, through the #AffordableCareAct more than 20 million Americans have gained coverage, and over 133 million Americans have protections for their pre-existing conditions. Yet our fight is not over – we will ALWAYS #ProtectOurCare and build upon the progress of the #ACA. https://t.co/ld3qdZ5zsV"
1242182322209697793,2020-03-23 20:11:58,"Ten years ago, my colleagues and I sought out to reform our health care system and get millions of Americans covered with affordable, high quality health care - regardless of their income or health condition. #ACA10 https://t.co/MYGW4HMdDt"
1241457898816864256,2020-03-21 20:13:22,"As most of us stay at home to do our part to contain the virus, I want to thank several of those who cannot stay at home to perform the essential functions we all need. Today, I want to thank our health care workers, you are all literally lifesavers and our country thanks you! https://t.co/cRFfig1AAw"
1241055094608515072,2020-03-20 17:32:46,"Our FQHCs provide comprehensive care to patients across the region. Unlocking telehealth improves access to care, speeds diagnosis &amp; treatment, and limits exposure to promote social distancing during this crisis. I am glad #Sac patients will have access to these vital services. https://t.co/clsFvILZtA"
1240682564542779392,2020-03-19 16:52:28,RT @GeoffreyStarks: I agree with @DorisMatsui that we should take common sense steps to ensure Lifeline can serve newly eligible subscriber…
1240682459483815936,2020-03-19 16:52:03,RT @JRosenworcel: Millions of low-income Americans count on the Lifeline program to stay connected. We need to make sure that during this c…
1240677612856528897,2020-03-19 16:32:48,#COVID19 has created an unprecedented amount of uncertainty in how our students will learn outside of the classroom. The Lifeline program is a vital program that needs to be quickly retooled to handle the new applicants as a result of this pandemic.
1240677611413610498,2020-03-19 16:32:47,"Yesterday, I called on @AjitPaiFCC to expand the Lifeline program quickly and get those in need connected through internet and phone service. In this time of crisis, we can ill-afford to be disconnected.

https://t.co/0rGIKBHhcN"
1240344731470696452,2020-03-18 18:30:03,"As we continue to face the #COVID19 crisis together, please make sure you stay informed with the most up to date federal, state, and county resources available. Click the link below:
 
https://t.co/fLq6AnZYzE https://t.co/636vaaProv"
1240066445196890118,2020-03-18 00:04:14,"Sacramento County has directed us all to stay at home. We must all listen to our public health officials to protect our fellow community members and our families. My office will continue to monitor the situation and provide updates in the coming days.
https://t.co/DoM5SFIYTC"
1239979048316448776,2020-03-17 18:16:57,"Yesterday, I called on the SBA to ensure that emergency loans for our small businesses get administered quickly and applications streamlined. With our current economic challenges we must make sure we support our small business community and the families they support!

See below: https://t.co/AxbTEIcUu6"
1239685374793986048,2020-03-16 22:50:00,"I called on Congressional leaders to oppose any bailout of the cruise industry. I have long advocated for improving safety, security and medical standards aboard cruise vessels. We must direct our resources toward American families during this crisis. 

See my letter below: https://t.co/VLpe9lUlTG"
1239622081412653056,2020-03-16 18:38:29,Everyone needs to take the restrictions announced by the @CAgovernor seriously. These are measures that will help us combat the outbreak of #COVID19 in our communities and keep us all safe. https://t.co/9geOHRFJ4c
1238953409417334784,2020-03-14 22:21:26,I was proud to support the Families First Coronavirus Response Act to get much needed aid and free #COVID19 testing to our communities. It is our duty to make sure we do everything in our power to prevent this outbreak from harming American families. https://t.co/P8MMTFzmc8
1238202508217946113,2020-03-12 20:37:37,"Today, I called on @realDonaldTrump to issue a federal emergency declaration amid the current #COVID19 crisis. Doing so will equip our California health care providers with all the necessary tools to help them combat this outbreak. 
 
Read my letter below: https://t.co/JfMyklmkzb"
1238146398953943040,2020-03-12 16:54:39,"Today the Census begins! Soon, you will be receiving your U.S. Census Bureau official invitations to respond. Make sure you and your family are counted – for your future and the future of your community! Click the link for more information #Census2020 https://t.co/LoXEf614EP"
1237467317228810240,2020-03-10 19:56:14,"As the #coronavirus situation is ever evolving, stay informed with the most up-to-date local information by visiting @SacCountyCA’s #COVID19 webpage. 

https://t.co/NYgJfxwD4J"
1237129283954282496,2020-03-09 21:33:00,My office is in close contact with state and local agencies as the #GrandPrincessCruise situation continues to advance. We must prioritize the safety of the public and the passengers while keeping our communities protected. https://t.co/XjWkS93TsM
1237104816922308610,2020-03-09 19:55:47,"RT @CAPublicHealth: If you’re looking for the latest information on #COVID19 in California, be sure to check out the @CAPublicHealth websit…"
