id,created_at,text
1247301995058397186,2020-04-06 23:15:44,Today's COVID-19 update. https://t.co/PG8SsLHmxJ
1247259476178198531,2020-04-06 20:26:46,"States are being forced to bid against one another in order to get the medical supplies they desperately need.
 
This is outrageous &amp; it’s why the President has to appoint a medical supplies czar to streamline distribution &amp; put an end to this madness. https://t.co/0JCXQLTtxo"
1247224578356719621,2020-04-06 18:08:06,"This is reprehensible and EXACTLY why my colleagues and I wrote to @FTC on Friday urging the Commission to take action against scammers taking advantage of Americans during the #COVID19 pandemic.
 https://t.co/jmhs18u09e"
1247209069544386563,2020-04-06 17:06:28,"Federal government is now providing funds to expand or reopen hospitals and health care facilities. We need to reassess any future closures or cutbacks to health care infrastructure in light of COVID-19 and potential pandemics. 
https://t.co/pHC92s3OVC"
1247196615896694784,2020-04-06 16:16:59,"Antibodies testing may give us clues to help more effectively deal with COVID-19.
https://t.co/QRfBMnwBHo"
1246912365477662720,2020-04-05 21:27:29,"Trump’s rollback of fuel efficiency standards is part of his science denial that impacts both environmental protection and public health. The pandemic should be a warning that the use of good science is the only way to prepare for future calamities. 
https://t.co/5GNky14Vdf"
1246887304154828809,2020-04-05 19:47:54,"On #PalmSunday, thinking about the commandment, love thy neighbor as thyself. This pandemic affects all of us and we shouldn’t let racial, religious, or political differences divide us."
1246879735302545410,2020-04-05 19:17:49,"Treatment options studied in New Jersey may hold promise for coronavirus patients, but no reason to believe these drugs work until larger studies are completed. 
https://t.co/L9G7Uxubju"
1246851178098548738,2020-04-05 17:24:20,#PalmSunday marks the final week of lent and the beginning of the holy week for Christians across the world. It is important that we continue to hold on to our traditions even during uncertain times.
1246539128545710087,2020-04-04 20:44:22,College students are encouraged to complete the #2020Census. It is so important that we get an accurate count so that NJ gets its fair share of federal resources. More information below: https://t.co/iYrqFqsStr
1246521321019846656,2020-04-04 19:33:36,"Trump’s refusal to nationalize the government response to the COVID-19 pandemic and instead leave most actions to states and local governments, makes little sense when dealing with a health emergency that affects all Americans and most other countries.
https://t.co/JpmvETV8im"
1246521151259582467,2020-04-04 19:32:56,"As we continue to face the coronavirus pandemic, it's important the we focus on our mental and physical health. Starting a garden is a great way to unwind.
https://t.co/2iU7Ys4vcN"
1246480138457538560,2020-04-04 16:49:58,"If the President continues to fire federal officials like the IG of the intelligence community, whose job it is to investigate official misconduct, then corruption will only increase."
1246446058294652929,2020-04-04 14:34:32,I joined other Congressional health leaders in discussing how we can really provide treatment for all #COVID19 patients. I believe we must cover treatment for everyone. https://t.co/Y6Y6FzpduT
1246446056298164225,2020-04-04 14:34:32,Trump’s #COVID19 treatment doesn’t go far enough. That’s why my colleagues and I are calling for more action to meaningfully address the dire needs of Americans who are dealing with the #coronavirus pandemic and its economic impact by: https://t.co/i6Erin6vv9
1246240708689899525,2020-04-04 00:58:33,Daily COVID-19 update. https://t.co/cqCEPibLHU
1246223443521089536,2020-04-03 23:49:57,".@POTUS, this is no time for distractions. Oil companies don’t need your help right now — working families and health care workers do. Begging autocrats to cut production in order to raise prices at the pump should not be your focus.
https://t.co/FuYbeKEt2h"
1246208915454509056,2020-04-03 22:52:13,"Join me NOW for my weekly update. https://t.co/LxIWzDS9wW
#FridaysWithFrank"
1246195722594197504,2020-04-03 21:59:48,"Americans are fearful of both the spread of the coronavirus &amp; the financial instability that follows.
 
That’s why my colleagues &amp; I are urging @FTC to protect Americans from scammers seeking to take advantage of consumers during the #COVID19Pandemic.  https://t.co/hui8ggbg7J"
1246176254128242688,2020-04-03 20:42:26,"In the midst of a global pandemic, the Trump Administration is rolling back paid leave protections passed by Congress. This is an assault on working families and weakens our ability to combat this virus. 
https://t.co/3knYNoifRi"
1246161523699040257,2020-04-03 19:43:54,"Kids need to keep learning as we continue social distancing, &amp; those that have been laid off need internet access to sign up for unemployment benefits &amp; get back to work when the time comes."
1246161522335928326,2020-04-03 19:43:54,"Congress must help ensure those measures continue &amp; are expanded. I've been advocating for increased @FCC funding specifically to help Americans get internet access even when they can't pay, including connections for students &amp; teachers stuck at home. https://t.co/oysEB89vGR"
1246161520662401026,2020-04-03 19:43:53,"We've seen some carriers step up to say they won't disconnect people &amp; won’t charge fees for a period of time, at the urging of @FCC and Congress. Some are even offering free or reduced-cost service for a certain time. Those are great measures &amp; industry should do even more."
1246161519349547008,2020-04-03 19:43:53,"I’m encouraged by how well our broadband networks have held up during #COVID19Pandemic.

That said, it will be critically important to make sure that struggling Americans continue to have access to these networks as unemployment rises &amp; schools close. https://t.co/IvZZtPRTR5"
1246151661493649412,2020-04-03 19:04:43,"FYI: The @USPS offers many of its services online - like stamp delivery and mailing a package. Take advantage of these services so we can limit our exposure and flatten the curve.
https://t.co/3TEqffqUCE"
1246135918349746177,2020-04-03 18:02:09,"Starting Monday, NJ’s students in 3rd through 6th grade can tune into public television to catch up on some of the learning that they have missed. Great example of New Jerseyans working together during this crisis. 
https://t.co/zcnxVa4bVU"
1246127587727998977,2020-04-03 17:29:03,"Small businesses and nonprofits are now eligible to apply for financial assistance through the Small Business Administration’s Paycheck Protection Program. Contact your local bank to apply!
 
More information here ⬇️
https://t.co/uTBgcwXFeD"
1246120516391440385,2020-04-03 17:00:57,"It is critical that regional, state and local emergency managers stress through all available channels the importance of Americans staying indoors and following the social distancing guidelines. The WEA system is well suited to that task and should be used as needed."
1246120515410038784,2020-04-03 17:00:57,"The Wireless Emergency Alert system is one of the most effective tools at the disposal of state and local governments for getting reliable, emergency information about the #COVID19Pandemic out to the public. 
https://t.co/nc3o1crVqQ"
1246118904474284035,2020-04-03 16:54:33,"It is critical that regional, state, and local emergency managers stress through all available channels the importance of Americans staying indoors and following the social distancing guidelines. The WEA system is well suited to that task and should be used as needed."
1245863011266387970,2020-04-02 23:57:43,Daily COVID-19 update. https://t.co/Hm5Y7Srz8g
1245844254691397633,2020-04-02 22:43:11,"After Trump’s campaign threatens broadcasters airing advertisements critical of his #coronavirus pandemic response, @USRepMikeDoyle and I are urging the @FCC to reaffirm broadcaster licenses won’t be revoked for airing protected speech. 
https://t.co/0aaVXFAibB"
1245829396696465411,2020-04-02 21:44:09,"We shouldn’t even have to ask, but it’s time for President Trump to do the right thing and let people sign up for health coverage. It’s that easy.   
https://t.co/NaHuztMEqT"
1245829395379621889,2020-04-02 21:44:08,"There are millions of uninsured Americans who are terrified that they either won’t be able to see a doctor or will end up with outrageous medical bills due to #COVID19.

Trump has the power to let them #getcovered, but he simply refuses to use it. https://t.co/Tk5lI9Lwuw"
1245816556157837318,2020-04-02 20:53:07,"One of the best ways to stimulate our economy is to invest in infrastructure, particularly in areas stressed due to our efforts to combat the #coronavirus. We’re now building on a plan we unveiled back in January. 
https://t.co/xEZVqEmBKQ"
1245816555021185036,2020-04-02 20:53:07,"Today’s devastating unemployment numbers show Congress must act on another package to help struggling families and boost our economy. Yesterday, I joined Speaker Pelosi and other leaders to outline our plan.
https://t.co/CqfTDpmiHq"
1245809545722638340,2020-04-02 20:25:16,".@EPAAWheeler must get to work increasing enforcement &amp; monitoring, and improving communication with impacted communities. Stop wasting time making excuses and attacking oversight authorities."
1245809544707616773,2020-04-02 20:25:16,"This is an unprecedented, shameless attempt to muzzle an independent oversight body. Moreover, this is part of a dangerous trend of @EPA failing to enforce its own rules and protections."
1245809543566766081,2020-04-02 20:25:15,A new @EPAoig report says the Trump EPA has failed to alert communities across the country about the health risks of living near ethylene oxide plants — a toxic air pollutant. How does @EPAAWheeler respond? By pressuring @EPAoig to take it back. https://t.co/FM5Pg9aDZP
1245787018090680322,2020-04-02 18:55:45,Important update for Social Security beneficiaries.  No need for action - you will automatically receive direct economic assistance. https://t.co/qJ1nwhQP7V
1245733518275219456,2020-04-02 15:23:10,"🚨Important information for American citizens abroad: If you are trying to get home, you must register with the Smart Traveler Enrollment Program (STEP) program by April 6th. STEP is the State Department’s program used to repatriate Americans. 

Link ➡️ https://t.co/7CEd8Qebn8"
1245489968186822658,2020-04-01 23:15:23,Daily COVID-19 update. https://t.co/unkDGk9ysG
1245487628042067968,2020-04-01 23:06:05,"As we learn more about the broader impact of #COVID19, we must also remember the individual lives lost. Recently, our own district lost Richard Weber – a former Metuchen Borough councilman and an ally to the LGBTQ+ community.
He will be missed.
https://t.co/Jkbff8YBXp"
1245461092094050306,2020-04-01 21:20:38,"It is now clear that @EPA has no intention of addressing the threat of asbestos. 

Congress must act and pass the Alan Reinstein #BanAsbestosNow Act and put an end to this public health threat once and for all. https://t.co/CWVF1d7X6e"
1245454519066079233,2020-04-01 20:54:31,"As the number of #COVID19 cases climb, the U.S. should be using every tool to protect people and ensure they have access to health care.

Today, I joined my colleagues in condemning Trump’s refusal to reopen ACA enrollment so people can #GetCovered. https://t.co/vIzGF2igEG"
1245443622788530183,2020-04-01 20:11:13,"The CARES Act provides direct cash assistance to Americans as we endure the #coronavirus pandemic. The IRS will process payments automatically in the next few weeks based on your 2018 or 2019 tax return. For more information, visit https://t.co/2LzQrlYUFb https://t.co/eqK4uDJIrF"
1245427311953969154,2020-04-01 19:06:24,"Lost your job? The CARES Act bolsters unemployment benefits for out of work Americans.

New Jerseyans can apply here⬇️
https://t.co/aeK3s7vyMP https://t.co/BhEBcvs3IE"
1245414504785047552,2020-04-01 18:15:31,"Today is #CensusDay 

Fill out your #Census2020 form today or anytime in the next few weeks at https://t.co/KZi758BeTC and help New Jersey get the resources that it needs for hospitals and schools. https://t.co/Fus0sUoElq"
1245408311282991104,2020-04-01 17:50:54,UPDATE: NJ Tax deadline has been extended from April 15th to July 15th to conform with the federal tax deadline extension. More info below 👇 https://t.co/nnOso2Ftnd
1245169658547838977,2020-04-01 02:02:35,"UPDATE: Small business owners can apply for 100% forgivable loans through qualified lenders beginning this Friday, April 3rd.  Spread the word.  
 
Fact sheet here ➡️ https://t.co/zuniZXGHfn
 
Application here ➡️ https://t.co/ptDMDYuqxY https://t.co/dPI3LL1fkF"
1245131856732917761,2020-03-31 23:32:22,Daily COVID-19 update. https://t.co/DZqvErVtiW
1245117632665223177,2020-03-31 22:35:51,"Conoravirus pandemic has made clear what we already knew: We are nothing without our nation’s workers.

From the hospital to the grocery store, we must ensure—now more than ever before—that ALL workers receive #EqualPay. https://t.co/buhOTJI3OY"
1245096118205243393,2020-03-31 21:10:22,"Congress has given the Trump Admin the authority and resources it needs — what is missing is leadership.

The federal government needs one leader who is accountable for getting equipment to where it is needed most. I discussed this on a call yesterday. https://t.co/TnyeIHxMLl"
1245096117018165258,2020-03-31 21:10:21,The supply chain is stressed. States are forced to compete with other states for the very equipment they need to protect workers and treat patients. This is unacceptable and unsustainable. https://t.co/2nYH7DPRRo
1245096115789332481,2020-03-31 21:10:21,"Courageous health care workers and first responders are treating coronavirus patients without the appropriate PPE they need to stay safe.  The Trump Admin must do more to make sure this equipment is getting to them.  
https://t.co/3pbYZZ1AKo"
