id,created_at,text
1247199104268197895,2020-04-06 16:26:52,Economic impact payments: What you need to know | Internal Revenue Service| ⁦”Some taxpayers who typically do not file returns will need to submit a SIMPLE TAX RETURN to receive the economic impact payment.”-⁦@IRSnews⁩  https://t.co/YTFsOHqJ1v
1247197886045134850,2020-04-06 16:22:02,RT @IRSnews: Social Security beneficiaries who are not typically required to file tax returns will not need to file to receive an economic…
1246853512874668038,2020-04-05 17:33:37,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1246171641954144256,2020-04-03 20:24:06,"The #COVID19 pandemic has impacted us all and I know you have many questions. I invite NC-01 constituents to join me for a call where I respond to some of your most pressing questions. To submit your questions, please visit my website at https://t.co/0USDVfIq2S https://t.co/qcHqCrEGAL"
1245846984281505792,2020-04-02 22:54:02,"This public health crisis underscores a simple truth: where you live shouldn’t determine your access to the internet. Our students, workers, and families need Congress to invest in expanding high-speed broadband access immediately! #FamiliesFirst https://t.co/6YVpEX7BjX"
1245421726395179008,2020-04-01 18:44:13,Many of us are spending more time with our families indoors to #flattenthecurve. Use this time to help your community get the resources it needs by completing the #2020Census online at https://t.co/F5AvsHMFwj. https://t.co/RgbiI3DEfi
1245405515007606784,2020-04-01 17:39:47,Democrats are working to put #FamiliesFirst as we confront the coronavirus. Learn more about the resources available to you and your family in this toolkit: https://t.co/ywxNEvZPVE
1244746317143912451,2020-03-30 22:00:22,"NC coronavirus updates: COVID-19 cases exceed 1,000 | Raleigh News &amp; Observer https://t.co/SU8ufWNngv"
1244686334398287873,2020-03-30 18:02:01,"You can fill out your #Census2020 form today or anytime in the next few weeks at https://t.co/F5AvsHMFwj and help our community get the resources that it needs for hospitals, schools and more! https://t.co/lKBEJ5TEyN"
1244677736695767043,2020-03-30 17:27:52,"This past Friday, the CARES Act was signed into law in response to the spread of #COVID19. Learn more here. Details Of The Coronavirus Relief Bill, The CARES Act : NPR https://t.co/ZddKTDMDq0"
1244325771063287808,2020-03-29 18:09:16,"RT @CDCgov: While #socialdistancing for #COVID19, take the time to check in on friends and family to see how they are doing. Set up a daily…"
1244325729472569345,2020-03-29 18:09:07,RT @CDCgov: Is your child or teen feeling stressed about #COVID19?  Talk to them and reassure them that they’re safe. Learn other tips to s…
1244250340159098884,2020-03-29 13:09:32,"RT @TheBlackCaucus: The @TheBlackCaucus mourns the loss of Rev. Joseph Lowery, a pastor, an organizer of the March on Washington, a co-foun…"
1244250239747477506,2020-03-29 13:09:08,"RT @NMAAHC: We are saddened by the passing of civil rights leader and social justice advocate Reverend Joseph E. Lowery. 

View objects rel…"
1244078936373559296,2020-03-29 01:48:26,"I am deeply saddened by the passing of #CivilRights icon and true public servant Rev. Dr. #JosephLowery. My deepest condolences to the family, friends and loved ones during this difficult time. https://t.co/YXLIbT8L3v"
1243592642035843074,2020-03-27 17:36:05,Butterfield Praises Passage of the CARES Act | Representative G. K. Butterfield https://t.co/teIPeBgU95
1243309105646895104,2020-03-26 22:49:25,Butterfield Statement on the Passing of North Carolina State Representative MaryAnn Black | Representative G. K. Butterfield https://t.co/mHhePBMZxM
1243232988718080005,2020-03-26 17:46:57,Masks. Face shields. Ventilators. These are the tools our health care workers need to take on the coronavirus. Resources secured by Democrats in the relief package will help them access the tools and more. #FamiliesFirst https://t.co/ZxbZaWwrVM
1243216714013331458,2020-03-26 16:42:17,"RT @HouseDemWomen: Happy Birthday @SpeakerPelosi! 

A fearless leader and advocate #ForThePeople, she broke the marble ceiling and continue…"
1243159844644945920,2020-03-26 12:56:18,"As we approach the 1st of the month amid this health and economic crisis, know that many banks &amp; financial institutions will allow payment deferment, but you MUST contact them with this request. Don’t delay.  https://t.co/4qYFzTDrEQ"
1242839802778660868,2020-03-25 15:44:34,Butterfield Urges Swift Passage of Third Coronavirus Bill | Representative G. K. Butterfield https://t.co/6q1GyG60NR
1242674881793265666,2020-03-25 04:49:14,"RT @SpeakerPelosi: The best way to protect our economy in this crisis is to protect workers &amp; families, who are the life-blood of it. That…"
1242545780197638146,2020-03-24 20:16:14,State and local governments are leading the charge against COVID-19. Congress must ensure they have the resources needed to keep up the fight and protect our communities. #FamiliesFirst
1242182753560510466,2020-03-23 20:13:41,"RT @ProtectNCCare: TONIGHT: Join @RepDavidEPrice, @NatalieforNC, @FeliciaBurnettt, and @StacyStaggs3 at 7:00PM for a telephone town hall to…"
1242182713307729921,2020-03-23 20:13:32,"RT @RepDavidEPrice: COVID-19 shows us how essential the ACA is for millions to access health care.

After @realdonaldtrump failed to repeal…"
1242180245349961728,2020-03-23 20:03:43,"10 years later, the Affordable Care Act is protecting over 133 million Americans with pre-existing conditions to ensure they access to the health care they need as we fight the coronavirus. #ProtectOurCare https://t.co/iG2dYYsxnr"
1242155306827857920,2020-03-23 18:24:37,Taxpayers who qualify can do their taxes for free from the comfort of their living room! Find out more about these easy-to-use IRS-sponsored programs at https://t.co/TaqP99rsy7. #FreeFile #EITC #FreeTaxPrep https://t.co/Ew0rfMt3WL
1242069206067294215,2020-03-23 12:42:29,"On this day 10 years ago, President Obama transformed American health care and affirmed the fact that quality, affordable health care is a right. #ACA #ProtectOurCare https://t.co/kSeRrr8yFM"
1242065651335864329,2020-03-23 12:28:22,"RT @CDCgov: Patients with #COVID19 have reportedly had mild to severe respiratory illness. Symptoms include fever, cough, or shortness of b…"
1241725028921729029,2020-03-22 13:54:51,Butterfield Update on Congressional Response to Coronavirus Outbreak | Representative G. K. Butterfield https://t.co/tyJAbYPH5k
1241014129311219712,2020-03-20 14:50:00,UPDATE: Tax Day has been moved from April 15 to July 15. All taxpayers and businesses will have this additional time to file and make payments without interest or penalties. https://t.co/Kb0xFqyYSP
1240973738889314305,2020-03-20 12:09:30,"RT @SpeakerPelosi: .@SenSchumer &amp; I are beginning to review Senator McConnell’s proposal and on first reading, it is not at all pro-worker…"
1240783904346431490,2020-03-19 23:35:10,"RT @WhipClyburn: The #2020Census is underway. Given the current health crisis, the safest ways to respond are by phone or online. 

☎️
Engl…"
1240783716496166914,2020-03-19 23:34:25,"RT @TheBlackCaucus: Do you have questions about the #FamiliesFirstCoronavirusResponseAct? 

Join the @TheBlackCaucus for a Telephone Town H…"
1240678940785684482,2020-03-19 16:38:04,RT @NC_Governor: NC 2-1-1 is now available 24/7 as a resource for assistance related to COVID-19. Dial 2-1-1 to get connected to resources…
1240678805062238217,2020-03-19 16:37:32,"RT @ncdhhs: .@NC_Governor Roy Cooper and members of the Coronavirus Task Force will hold a media availability about #COVID19NC at 1 p.m. 
📹…"
1240669227356499970,2020-03-19 15:59:28,"Thanks to my concerned constituents who reached out about my well-being. Gratefully, I am doing well. I’ve been in NC01 this week talking with NCO1 residents and am now heading to DC for meetings regarding #COVID19 stimulus 3.0"
1240629703058296832,2020-03-19 13:22:25,Let us remember our dedicated healthcare professionals who have been diligently serving on the frontline during this difficult time. #ThankYou #COVID19 https://t.co/jUzpyx5ELn
1240389976921124865,2020-03-18 21:29:50,"Today, Congressman Butterfield’s bill, the Protecting Vulnerable Americans in Times of Crisis Act of 2020 (H.R. 6273), passed out of the U.S. Senate as part of the #FamiliesFirst Coronavirus Response Act. 
https://t.co/rZ0Wyj5TBp"
1240359168642551817,2020-03-18 19:27:25,RT @CDCgov: Think you might have #COVID19? Learn steps you can take to manage your health at home and help prevent the spread to others in…
1240358919085719552,2020-03-18 19:26:25,RT @CDCgov: Older adults &amp; persons with severe chronic conditions: Talk to your doctor about getting extra necessary medications or conside…
1240356617557860355,2020-03-18 19:17:16,COVID-19 Resources for Artists and Arts Organizations | NEA https://t.co/TmfFijU3bt
1240242734662852609,2020-03-18 11:44:45,"RT @CDCgov: Practice social distancing by putting space between yourself and others. Continue to practice healthy habits, like washing your…"
1239999790483718144,2020-03-17 19:39:22,"RT @RepDavidEPrice: COVID-19 presents many challenges like food insecurity, but there are services available to help ease the burden. NC re…"
1239999729725050883,2020-03-17 19:39:08,"RT @SpeakerPelosi: Everyone, young and old, needs to act now to slow the spread of COVID-19.  The best thing Americans can to do fight coro…"
1239978949939208192,2020-03-17 18:16:34,RT @NC_Governor: 🔴LIVE NOW: Gov. Cooper Coronavirus Task Force Update - 3/17/2020 https://t.co/UV6mwCj17u
1239926795111145473,2020-03-17 14:49:19,"This #StPatricksDay, let us remember to cherish our loved ones, remain joyful and celebrate life—even during difficult times. #HappyStPatricksDay https://t.co/P6yGYRbcRR"
1239904361393917955,2020-03-17 13:20:10,"RT @HouseDemocrats: To our health care professionals, first responders and all the brave Americans who keep our country going: Thank you.…"
1239712192431378433,2020-03-17 00:36:34,Visit my website for NC-01 healthcare centers and ⁦@CDCgov⁩ #COVID19 Information &amp; Contact Numbers | Representative G. K. Butterfield https://t.co/w9gpxnsQfl
1239563536784936960,2020-03-16 14:45:51,"Stay informed, be prepared—Coronavirus in NC: North Carolina has 33 cases of COVID-19 | Raleigh News &amp; Observer https://t.co/TYdKNQPPOi"
1239562208025219077,2020-03-16 14:40:35,RT @CDCgov: CDC Briefing Room: Dr. Nancy Messonnier gives an update on #COVID19. For more info visit https://t.co/pMpAwCPFVU. https://t.co/…
1239515668497735680,2020-03-16 11:35:39,"RT @CDCgov: New: Starting immediately and for the next 8 weeks, CDC recommends cancelling all events of 50 or more people. Full recommendat…"
1239215756249894913,2020-03-15 15:43:54,@ncpublicschools: School Nutrition team received waiver approval from the @USDA that allows schools closed due to Coronavirus #COVID19 to serve meals to students through the summer meals programs in a non-congregate setting. Read more here - https://t.co/7O6iZr2MeF
1238933800425590788,2020-03-14 21:03:30,BREAKING NEWS for North Carolina Schools. https://t.co/y6Hr0692cE
1238788326284460032,2020-03-14 11:25:27,Butterfield’s Bill Passes House in Response to Coronavirus Outbreak | Representative G. K. Butterfield https://t.co/ZR1RVTv0ah
1238788188279316481,2020-03-14 11:24:54,"RT @WhipClyburn: From the beginning of this health crisis, @HouseDemocrats have been committed to providing support for American families h…"
1238788077474189313,2020-03-14 11:24:27,"RT @SpeakerPelosi: From food security to paid family leave, the bipartisan #FamiliesFirst Coronavirus Response Act, which we vote on tonigh…"
1238529272282779650,2020-03-13 18:16:03,"-Free #coronavirus testing
-Paid emergency leave
-Enhanced food security
This is how we confront this public health crisis. Congress must pass the #FamiliesFirst Act now! https://t.co/vCKijvpNLs"
1238520976134021120,2020-03-13 17:43:05,"Coronavirus NC live updates: CDC encouraging social distancing, here's what that means | https://t.co/yoPi2BYMAa https://t.co/JOV9Uw3Ldz"
1238448030862446593,2020-03-13 12:53:14,NASA Astronaut and North Carolina State grad Christina Koch set a record for the longest single spaceflight by a woman. #WHM #WHM2020 #NC #RecordBreaker #ChangeMaker @Astro_Christina https://t.co/xVYs1j7oOL
1238179815540342784,2020-03-12 19:07:26,The #FamiliesFirst Coronavirus Response Act gives American workers the support they need as we confront this public health crisis. Learn more here: https://t.co/jD71m7fa5w
1238175628119224323,2020-03-12 18:50:48,Stay informed: Coronavirus and Travel in the United States #COVID19 ⁦@CDCgov⁩  https://t.co/rdYmaVPb1B
