id,created_at,text
1247264192329134080,2020-04-06 20:45:31,"The Employment Security Dept. is hosting webinars throughout the week on how to apply for  unemployment insurance – the first begins tmw, April 7 @ 3:00pm. ESD asks you register through the link below. https://t.co/WUjalv1DGl"
1247214444465336323,2020-04-06 17:27:50,"SW WA small businesses: If you’re looking for eligible lenders to issue loans under the Paycheck Protection Program, the SBA is offering a lender finder tool - click the link below, type in your zip code &amp; you’ll be shown a list of lenders in your area. https://t.co/2ZLPE4kqFJ"
1246242333449785345,2020-04-04 01:05:01,"I'm making my website a one-stop shop for small business help, unemployment assistance &amp; other resources to help get folks through this time. (Thanks to my little helper on this announcement...😊) 

Hope you and yours are staying safe &amp; healthy! https://t.co/fMEgS2bS8p"
1246132759363563522,2020-04-03 17:49:36,Southwest Washington small businesses: today is the first day businesses may apply for the Paycheck Protection Program. More info ⬇️ https://t.co/1N4yGrNFfw
1245741215670206470,2020-04-02 15:53:45,"During these challenging times, we shouldn’t force seniors to jump through hoops to obtain the relief they need."
1245741214902738944,2020-04-02 15:53:45,"Attention seniors receiving Social Security: you will NOT be required to file a tax return before receiving your COVID-19 economic payment, even if you didn’t file a tax return for 2019 or 2018.  https://t.co/cOsO0e3MGx"
1245397765598961664,2020-04-01 17:09:00,"Reminder: I am hosting a Tele-Town Hall today, April 1 @ 5:30pm PST. We will have experts on hand to discuss public health info, economic assistance for impacted workers &amp; support for small businesses during COVID-19.

CALL: 1-877-229-8493
PASSCODE: 116365"
1245007409392877575,2020-03-31 15:17:52,"SW WA small businesses: do you have questions about applying for disaster loans?

Below you will find the SBA's FAQs and resources to help you through this process. ⬇️https://t.co/9IhR2u27Uo"
1244719593064710149,2020-03-30 20:14:11,Looking forward to speaking with you this Wednesday with our experts who will provide info on public health &amp; economic assistance for impacted workers &amp; small businesses during COVID-19. https://t.co/iTfzkq2mDU
1244684790080602118,2020-03-30 17:55:53,"On this #NationalDoctorsDay, I want to thank all the doctors – and health care workers – who are working on the frontlines to keep our families and communities safe and healthy during this difficult time. https://t.co/ihZouVDWAP"
1244650749512110085,2020-03-30 15:40:37,RT @CDCgov: Take simple daily precautions to help prevent the spread of respiratory illnesses like #COVID19. Learn how to protect yourself…
1243626540908318720,2020-03-27 19:50:47,"COVID-19 relief update: The House unanimously passed the CARES Act, which will provide emergency relief for workers, families, and small businesses throughout Southwest Washington. 

Read my full statement ⬇️ https://t.co/cId4UpAOHY"
1243330392905703424,2020-03-27 00:14:00,"Last night, I joined my Washington colleagues in pushing the administration to fulfill Governor Inslee's request to send more ventilators to our state, which we desperately need at this time. 

Read more ⬇️  https://t.co/VhvoXeFXdl"
1243253744588017665,2020-03-26 19:09:25,To our Southwest Washington front line responders serving during this pandemic — thank you. https://t.co/VHYE5QJv5M
1243212002694246408,2020-03-26 16:23:33,Great to see you Mayor @adriancortes! I am going to continue to fight for solutions and relief for Battle Ground &amp; all our communities in Southwest Washington. We are in this together. https://t.co/IShOnic5gx
1242993603154239489,2020-03-26 01:55:43,"I’m encouraged the Senate has finalized the next COVID-19 relief package to bring much-needed assistance to our SW WA communities. 

We need to get it passed &amp; signed into law to get this assistance into our homes, businesses &amp; hospitals – now. https://t.co/SiT6E0OqHE"
1242835510759952384,2020-03-25 15:27:31,"I am deeply saddened to hear the news of @wastatepatrol Trooper Justin Schaffer, who died in the line of duty last night. 

My heart goes out to the family, friends &amp; colleagues of Justin, as they grapple with this profound loss. https://t.co/jf4p7MiOm3"
1242579369807273984,2020-03-24 22:29:42,"The small business disaster loan program is vital, but I'm hearing loud &amp; clear from restaurants, shops &amp; other small employers that more is needed.

I joined with @RepDerekKilmer in formally pushing additional economic relief for small businesses in the next COVID-19 package. https://t.co/hwYIUZ7g6h"
1242500877589590016,2020-03-24 17:17:48,"There is a blood shortage nationwide &amp; if you are healthy &amp; able to donate blood, please consider doing so. 

We can continue to combat COVID-19 &amp; its effect while also giving back to our communities – this is a great way. https://t.co/Rymcxrf4dA"
1242162432673492994,2020-03-23 18:52:56,Please refer to these helpful guidelines below to keep your homes safe and disease free. https://t.co/T8VzBWLxAJ
1241789992667697153,2020-03-22 18:13:00,"ICYMI: Small business throughout all of SW WA may now apply for disaster assistance loans here ➡️ https://t.co/DnsbO5jCGS

Please take a second to RT so others know where to access disaster assistance loans for their small businesses. https://t.co/GnAUlvQcVk"
1241731960759889920,2020-03-22 14:22:24,https://t.co/onZblaII24
1241452555416342529,2020-03-21 19:52:08,"Yesterday I joined the entire WA delegation, urging the administration to support @GovInslee’s request for a major disaster declaration. Read our letter ⬇️ https://t.co/5bBTvqTwhO"
1241452554048999427,2020-03-21 19:52:08,I support @GovInslee’s request to the administration for a major disaster declaration for WA. Folks across our state &amp; in SW WA have been deeply impacted by COVID-19 – underscoring the necessity of declaring a major disaster that will bring relief to our communities &amp; families.
1241150003202207744,2020-03-20 23:49:54,Update on small business assistance: small businesses located in Clark &amp; Cowlitz Counties can now submit an application for an Economic Disaster loan through the SBA. We’ve been told the link has been tested &amp; will allow all eligible businesses to apply⬇️https://t.co/JbRjR3sHQC
1241018731754553345,2020-03-20 15:08:17,"Southwest Washington residents: the deadline for filing taxes has officially been moved from April 15th to July 15th this year. 

This is something I was formally pushing for &amp; I know it will help our small businesses &amp; workers during this difficult time &amp; I welcome this move. https://t.co/aoWCZuoKj9"
1240720565884813319,2020-03-19 19:23:29,"I’ve added new info to my COVID-19 resource page ➡️ https://t.co/zAj6ohzhMA.

It includes info on small business disaster loan assistance, contact info for local public health departments, steps Congress is taking to combat the effects of the virus &amp; other resources. https://t.co/E8FvSN4IiA"
1240714739581431813,2020-03-19 19:00:19,RT @LibnOfCongress: Parents! Here’s some smart fun for your kids. @librarycongress has millions of resources online – including some of his…
1240639800719351808,2020-03-19 14:02:33,"What an encouraging story! Our communities are stronger when we help our friends, neighbors and even total strangers out – especially during times like these. https://t.co/OA4gkG0KaW"
1240405400886947844,2020-03-18 22:31:07,"This crucial bill will provide support for Southwest Washington workers and small businesses through paid leave, ensure free COVID-19 testing and provide nutritional support for our seniors and children."
1240405400123510786,2020-03-18 22:31:07,COVID-19 relief update from Congress ➡️ the Senate passed the House’s part 2 coronavirus relief package that is now on the way to the president’s desk to be signed into law.
1240355400630878209,2020-03-18 19:12:26,"My colleagues &amp; I in the WA congressional delegation are pushing for increased economic assistance in the next COVID-19 emergency package. We’re asking for more small business relief &amp; resources, emergency housing help, &amp; assistance for tribes – all beneficial to those in SW WA. https://t.co/8qfuJVXHjh"
1240337136731271169,2020-03-18 17:59:52,I had a productive day meeting with local health stakeholders here in Southwest Washington who are working to help us confront COVID-19 with therapy and testing solutions. https://t.co/bj46WwxI7o
1240029983017500673,2020-03-17 21:39:21,(2/2) The Small Business Administration is announcing a resolution to this issue. More info here: https://t.co/iMK42gaNyI
1240029981771730949,2020-03-17 21:39:20,"(1/2) Small business disaster assistance update: 

I’ve been in touch with a number of small businesses today located in Clark and Cowlitz County concerned that they did not yet qualify for disaster assistance."
1239986276130045953,2020-03-17 18:45:40,RT @CDCgov: Older adults appear to be twice as likely to have serious #COVID19 illness. Take everyday precautions to reduce your risk of ex…
1239712355157782528,2020-03-17 00:37:12,"Correction on call in #: 1-877-229-8493. 
Looking forward to speaking with you!"
1239711847063961601,2020-03-17 00:35:11,"@dgijsel So sorry about that, Diana! Thank you for pointing it out. Correct number is 1-877-229-8493."
1239701864196853763,2020-03-16 23:55:31,Had a good visit with Clark County Public Health. I want to thank them for all the work they’re doing right now in the midst of this difficult situation. https://t.co/FiItCAsFJ4
1239653107715506177,2020-03-16 20:41:47,"Reminder: I’m hosting a Tele-town hall at 5:25pm tonight w/special guest, Clark Co. Public Health Officer Dr. Alan Melnick, who will discuss COVID-19 &amp; help answer questions you may have about this public health topic.

Call: 1-877-299-8493
Passcode: 116365"
1239325028350558211,2020-03-15 22:58:06,"Looking forward to speaking with you tomorrow, along with our special guest, Dr. Alan Melnick, who will help provide useful information regarding the novel coronavirus. https://t.co/icUtrwNmW4"
1239283944287358976,2020-03-15 20:14:51,It’s important to be prepared and have supplies ready during quarantining — but please read this article from the @WADeptHealth on responsible ways to do that without depleting resources for frontline efforts. https://t.co/kinzADnWkT
1238691124065247233,2020-03-14 04:59:12,I will continue to work with my colleagues on solutions to help combat this pandemic and protect folks throughout Southwest Washington.
1238691123381575681,2020-03-14 04:59:12,"This legislation is expected to pass the senate and the president has already signaled he’ll sign it. It includes improved testing access, family &amp; sick leave &amp; tax credits for small businesses."
1238691122735656965,2020-03-14 04:59:12,"COVID-19 update from Congress: the House just passed a bipartisan coronavirus relief bill that will assure our Southwest Washington communities, families and small businesses receive the resources they need during this difficult situation."
1238613566187622400,2020-03-13 23:51:01,"Attn SW WA residents: I will be hosting a Tele-Town Hall on Monday, March 16 @ 5:25pm PST w/special guest, Clark Co. Public Health Officer Dr. Alan Melnick, who will provide info about preventing the spread of the novel coronavirus &amp; more.

CALL: 1-877-229-8493 
PASSCODE: 116365"
