id,created_at,text
1247280835360886784,2020-04-06 21:51:39,We need free testing and treatment for all. Period.
1247249556435275777,2020-04-06 19:47:21,"Holding people in prison for hundreds of dollars in cash bail is always immoral. 

During a global pandemic, it can be a death sentence."
1247218711976648705,2020-04-06 17:44:47,"COVID-19 shows that we are all connected.
 
Today at 2pm CT/3pm ET I will be joining the Racial Justice Has No Borders virtual town hall to talk about militarization during this pandemic.
 
You can watch and register here: https://t.co/Ak2Q4tE1oM"
1247199749737938946,2020-04-06 16:29:26,"Today I led letters to @Apple, @Amazon, @Google, and others condemning their use of forced Uyghur labor in China. 

American companies represent this country in business abroad. 

It is essential their values are in line with basic human rights. https://t.co/Kix5glDT3D"
1247141189150703616,2020-04-06 12:36:44,Cancel it all right now. https://t.co/oPHnbznYcz
1246984386341470209,2020-04-06 02:13:40,"RT @US2SOMALIA: @harunmaruf is a respected, professional @VOANews journalist &amp; one of the most influential #Somali journalists.  @HSNQ_NISA…"
1246814853186162690,2020-04-05 15:00:00,"Millions of people are waiting for money from the $2.2 trillion spending bill.

It shouldn’t be this hard to hand out money in a time of crisis. 

The President is failing once again. #WhereIsTheMoney"
1246527963606192128,2020-04-04 20:00:00,"Refugees saving the world 💗💪🏽

https://t.co/y4QHGWeSM5"
1246467567759364096,2020-04-04 16:00:01,"Abortion is healthcare. 

Stripping this essential right is unconstitutional. 

We have our eyes on all states trying to rollback reproductive rights.

https://t.co/5zbmxoGDW4"
1246151630342565889,2020-04-03 19:04:35,"We need to publicly guarantee healthcare now.

How is this even controversial during a pandemic? https://t.co/SB5uyeN72F"
1246132949583609858,2020-04-03 17:50:21,Proud of our city for going above and beyond and not discriminating against our neighbors based on their immigration status! https://t.co/727a7AvKVd
1246112984767909890,2020-04-03 16:31:01,"We need to cancel school meal debt. 

Today, @RepDebHaaland and I introduced legislation to stop collecting unpaid meal fees during this pandemic. 

No child should go hungry due to ongoing meal debt."
1246096742245941251,2020-04-03 15:26:29,Good thing he has his mind on the pandemic. https://t.co/6kc2enrhLn
1246075745400532992,2020-04-03 14:03:03,"RT @SXMProgress: ""The level of incompetency and narcissism... Is completely appalling. We want [Trump] to pay attention, lead, be honest, n…"
1246059879107788801,2020-04-03 13:00:00,"10 million people have lost their jobs in the last two weeks.

We need to put an end to the immoral system that ties healthcare coverage to employment.

We need Medicare for All."
1245828133036519430,2020-04-02 21:39:07,Grateful the Minnesotans on board will be able to get home and get the care they need. ❤️ https://t.co/agLY7bF1Lj
1245811974954463239,2020-04-02 20:34:55,RT @DeanObeidallah: Tonight Rep @Ilhan (D-MN) joins me on my @SXMProgress show to discuss the coronavirus outbreak situation in her state a…
1245801282180460544,2020-04-02 19:52:26,"I stand with @GoIUPAT and ALL workers across the country demanding guaranteed healthcare, expanded family leave, and pension relief. 
 
We need to put #WorkersFirst.✊🏽 https://t.co/w6CerKppCc"
1245780800563556354,2020-04-02 18:31:02,.@realDonaldTrump where are the tests and supplies? https://t.co/FDjXgElMUA
1245750640158138370,2020-04-02 16:31:12,"RT @RepRaulGrijalva: Republicans wanted to scale back relief for Native Americans. The White House wanted to give $0 to tribes.

Democrats…"
1245744631914147846,2020-04-02 16:07:19,"Jan 22:
Reporter: Are there worries about a pandemic? 

Trump: No, not at all. We have it totally under control. 

Now:
Trump: I’ve always known this is a real pandemic.                               

🤔
https://t.co/qpjdKsi7W2"
1245719232014360577,2020-04-02 14:26:23,"6.6 million Americans filed for unemployment this week.

We can't just put a band-aid on this crisis. We need:

-Universal and monthly cash assistance
-Rent and mortgage moratorium
-Student debt cancellation
-Free testing AND treatment for all"
1245501793846648839,2020-04-02 00:02:22,"Trump’s COVID-19 response then vs. now. 
 
His gross negligence will forever be remembered. https://t.co/qpjdKsi7W2"
1245471330243416064,2020-04-01 22:01:19,"At 5:30pm CT I will be hosting a digital small business roundtable with @MayorFrey and @Mohamudnoor to discuss available resources to small business owners. 

Make sure you tune in at: https://t.co/HPYO1d9cuF"
1245452916447739908,2020-04-01 20:48:09,"Trump’s failed leadership led to this dismal projection. 
https://t.co/aXOgHxgRWo"
1245433471725711360,2020-04-01 19:30:53,THE TRUMP ADMINISTRATION IS DISTRIBUTING OUR NATIONAL STOCKPILE OF FACE MASKS TO ICE AGENTS INSTEAD OF HOSPITALS. HOW DEPRAVED CAN THEY GET? https://t.co/jIoMI2fMz5
1245430738343911426,2020-04-01 19:20:01,"RT @RepBarragan: Talk about wrong priorities!

Nat'l stockpile of protective equipment for doctors &amp; nurses is nearly empty, but Trump Admi…"
1245422086342029314,2020-04-01 18:45:38,"TONIGHT: I’ll be hosting a digital small business roundtable at 5:30pm CT. 

Make sure you tune in to learn about federal, state and local resources for small business owners. 

Watch at: https://t.co/bJ5twV5Ej8 https://t.co/df5werbqlj"
1245388418542120963,2020-04-01 16:31:51,"It’s April 1st and millions won’t be able to pay rent. 

|￣￣￣￣￣￣| 
| HALT             | 
| ALL                | 
| EVICTIONS   | 
| ＿＿＿＿＿__| 
(\__/) || 
(•ㅅ•) || 
/ 　 づ"
1245337416623435776,2020-04-01 13:09:12,"Today is Census Day.
 
Now more than ever, it’s crucial you participate to get the funding our communities deserve.
 
You can fill it out online at https://t.co/Ks1lomlpor. Let’s get counted! https://t.co/oZz1hLTqI8"
1245131259325476864,2020-03-31 23:30:00,"Women. Deserve. Equal. Pay. For. Equal. Work. 

https://t.co/4AJhofha9R"
1245107595695861760,2020-03-31 21:55:58,"Retaliating against an employee for labor organizing is a federal crime. 

This is at best cruel and at worst criminal. https://t.co/hKjEJqKltD"
1245094768847224838,2020-03-31 21:05:00,"Happy #TransDayofVisibillity to all non-binary and trans people.  

You are seen, supported, and valued."
1245075397504573440,2020-03-31 19:48:01,"I led a letter with @RepAOC and @SenSanders demanding this Administration end sanctions against Iran during the COVID-19 pandemic. 

These sanctions aren’t changing the behavior of the Iranian government, but directly punishing innocent civilians. 
https://t.co/odymQAN3cn"
1245002002808991744,2020-03-31 14:56:23,"Too many small businesses in Minnesota are hurting. 
 
I’ll be hosting a digital roundtable this Wednesday at 5:30pm CT to answer your questions and discuss available resources to small business owners during this difficult time. https://t.co/1HseskWVeA"
1244986865985499138,2020-03-31 13:56:14,We need to cancel all economic sanctions during this crisis
1244745456648945664,2020-03-30 21:56:57,RT @GovTimWalz: Our front-line health care professionals deserve our complete support - that starts with giving them the tools they need to…
1244728507810414594,2020-03-30 20:49:36,"Release all migrant children from ICE custody. 

It will save lives.
https://t.co/em4oPyXaGp"
1244694170293415936,2020-03-30 18:33:10,"🗣️@Amazon stop neglecting the safety of your employees. 

Solidarity with all Amazon workers.✊🏽 https://t.co/SWhwsWyFM9"
1244655711935758343,2020-03-30 16:00:20,"This crisis has shown why we need to pass Medicare for All. 

We needed it before and we need it now more than ever."
1244362916964466690,2020-03-29 20:36:53,"🇩🇰 75% of people’s salaries funded.

🇬🇧 80% of workers’ wages paid for.

🇨🇦 Everyone out of work gets $2,000 a month.

🇺🇸 One-time $1200 check for some.

$1200 is not enough to address this crisis. We need universal and monthly financial relief for all Americans!"
1244323437897637890,2020-03-29 18:00:00,"Fear is never an excuse for racism. 

This Administration has repeatedly injected an ethnic qualifier to COVID-19. This is not only xenophobic, but extremely dangerous to Asian Americans.  

Hate has no place here. 

https://t.co/sdZMociByO"
1243945949363179526,2020-03-28 17:00:00,"46 million Americans are shackled by student debt. 

During this uncertain time, the last thing people need to think about is making a loan payment. 

It’s time to cancel student debt. All of it. 

https://t.co/Yl1OxGBAj7"
