id,created_at,text
1247214580641796098,2020-04-06 17:28:22,"RT @SylvesterTurner: In this unprecedented time of the #COVIDー19 public health emergency, I deeply appreciate City of Houston employees and…"
1247214063240843270,2020-04-06 17:26:19,"RT @FOX26Houston: Additional federal funds coming 
@JacksonLeeTX18  joins press conference announcing child care options for essential work…"
1247201232898461696,2020-04-06 16:35:20,"RT @SylvesterTurner: 🚨Spanish Broadcast 🚨

Joining @LinaHidalgoTX, @JacksonLeeTX18, and others as we announce a new resource to help essent…"
1247200712976711680,2020-04-06 16:33:16,".@WFSolutions partnership to provide childcare press conference w/ @houmayor @LinaHidalgoTX,  Juliet Stipeche and others.  

Watch Live Here:  https://t.co/jjI10zd6Uf"
1247199105014730752,2020-04-06 16:26:53,RT @CarolforTexas: #TeamAlvarado joined @JacksonLeeTX18 &amp; United Memorial Medical Center for the opening of a mobile #COVID19 testing site…
1247178363011203072,2020-04-06 15:04:27,"Mobile COVID-19 Testing at Jacinto City — Seniors and First Responders

Tune in Here:  https://t.co/ig22QOoiXA"
1246448985839206401,2020-04-04 14:46:10,"On this day 52 years ago, the world lost a leader, pioneer and champion for justice. 
 
We honor Dr. Martin Luther King Jr. by continuing his fight #ForThePeople.
 
#RestInPower https://t.co/HZ9LsSBK3c"
1246279488956248064,2020-04-04 03:32:39,"RT @DrQWright: Attention @LSCHoustonNorth families. 

@FallbrookChurch is partnering with @JacksonLeeTX18 to host a drive thru food drive t…"
1246248372958347269,2020-04-04 01:29:00,"Americans who have lost their healthcare due to the #Coronavirus pandemic need to access to healthcare any form, to provide them with vital coverage they need to survive. Preventing them from enrolling is shameful! 

2/2"
1246248372102717440,2020-04-04 01:29:00,Shame on the Administration! Preventing Americans in dire need of healthcare from enrolling in #Obamacare. This decision to not reopen Obamacare exchanges during the #Coronanavius pandemic increases the likelihood of a dangerous and avoidable healthcare crisis...
1246129355648118785,2020-04-03 17:36:05,"My condolences to the entire Marsalis family on the passing of their patriarch, including Ellis Marsalis, III and musical geniuses - @wyntonmarsalis, @bmarsalis @Delfeayo, @JasonMarsalis. Ellis Marsalis, Jr. was a renown jazz pianists and teacher - an American icon #Jazz"
1246121843574046725,2020-04-03 17:06:13,"Site 3: COVID-19 Drive-through Testing at Forest Brook Middle School 📷: Marcus Williams 
https://t.co/Plgh8xskfj"
1246115449626116098,2020-04-03 16:40:49,RT @RodneyEllis: Yesterday I joined @JacksonLeeTX18 at a press conference to announce the launch of the third free COVID-19 testing site. L…
1246114179452416001,2020-04-03 16:35:46,"North East Houston where #ForestBrook Middle school is located has been disproportionately under-serviced and I am dedicated to bringing this life-saving effort to my constituents regardless of their zip code.        
2/2 
#ForThePeople #HousonNews #COVID19 #TestingForCovid19"
1246114175660822529,2020-04-03 16:35:45,"Yesterday, I joined United Memorial Medical Center (#UMMC), @HoustonISD, and a number of elected officials to launch the third COVID-19 drive-through testing site at #ForestBrook Middle School providing free testing conducted by the #UMMC from 9am - 4pm, Monday - Friday... https://t.co/mHduLYBBKj"
1245731768289935361,2020-04-02 15:16:12,"Happening Now: COVID-19 Testing Site @ Forest Brook Middle School
.
.
Watch Live Here: https://t.co/PpthAKLUzZ"
1245381491535810560,2020-04-01 16:04:20,"RT @RepSylviaGarcia: It’s #CensusDay2020!

I urge folks in #Houston to accept the #2020CensusChallenge.

Get five friends or family members…"
1245379967896227841,2020-04-01 15:58:17,"It’s #CensusDay2020 — remember to fill out your #Census2020 info today! It took me five minutes. 
.
.
All you need is the code that was mailed to you, then visit:
https://t.co/W5ieX8xI1B 
.
.
You matter. We Matter. Be counted. #ForThePeople"
1245377798761480192,2020-04-01 15:49:39,"RT @HouseDemocrats: On #TransVisibilityDay, let us honor and celebrate our trans community. Now more than ever, we must ensure that EVERY A…"
