id,created_at,text
1243605731812802563,2020-03-27 18:28:06,"Rep. Sensenbrenner Statement on Coronavirus Aid, Relief, and Economic Security (CARES) Act: https://t.co/nMtqhbJ73O"
1241018486517911556,2020-03-20 15:07:18,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1240734569629958146,2020-03-19 20:19:07,"RT @CDCgov: Practice social distancing by putting space between yourself and others. Continue to practice healthy habits, like washing your…"
1240725429448835072,2020-03-19 19:42:48,RT @SBAgov: #ICYMI: We've got #Coronavirus (#COVID19) guidance and loan resources for small businesses right here. 🔽
1240383038531518465,2020-03-18 21:02:16,"RT @davidcicilline: No one should be exploiting this crisis for their personal profit, but we’re already seeing it happen. 

That’s why @Re…"
1239662417816289281,2020-03-16 21:18:46,RT @realDonaldTrump: https://t.co/tit0HdkE4e
1239662387667574784,2020-03-16 21:18:39,RT @realDonaldTrump: https://t.co/ZLmk41FA3H
1237867177891360784,2020-03-11 22:25:08,"Today, I voted in favor of the USA FREEDOM Act reauthorization bill. The bill offers substantial reforms to the Foreign Intelligence Surveillance Act. https://t.co/veK81MH3GT"
1228090741970395137,2020-02-13 22:57:04,Sensenbrenner statement on Major Disaster Declaration Request for Wisconsin: https://t.co/x2mhckLDuv
1228081595841699840,2020-02-13 22:20:43,Sensenbrenner statement on the Equal Rights Amendment (ERA) House Floor debate: https://t.co/y5s059IfFF
1227374796465475584,2020-02-11 23:32:09,Sensenbrenner Congratulates Congressman Jim Jordan on his Appointment as Ranking Member of the House Judiciary Committee: https://t.co/YdXaUx764d
1227237351228919808,2020-02-11 14:26:00,RT @JudiciaryGOP: Chairman Nadler’s words have jeopardized the committee’s ability to perform bipartisan work in the big tech antitrust inv…
1225558985970941952,2020-02-06 23:16:46,Rep. Sensenbrenner Statement on the Statement of Harm to the American Majority (SHAM) Act: https://t.co/X4r3JehaRL
1225195616646594561,2020-02-05 23:12:52,Rep. Sensenbrenner statement on Senate Impeachment Vote: https://t.co/tBTdzQShym
1225065191299276801,2020-02-05 14:34:36,Rep. Sensenbrenner statement on the State of the Union Address: https://t.co/wonDhuwxfY
1222927946069004288,2020-01-30 17:01:57,"Rep. Sensenbrenner statement on USMCA: 

“I was proud to support the USMCA in the House. This historic bipartisan agreement will help modernize trade and expand America’s economy. It is a victory for Wisconsin farmers, manufacturers, businesses, and workers.”"
1220075610950774785,2020-01-22 20:07:48,https://t.co/eYeWOahdwt
1219691126225063936,2020-01-21 18:39:59,"RT @_McKnightsSL: Age discrimination in the workplace is the focus of national, state bills. https://t.co/6bgVIohJks @BobbyScott @JimPressO…"
1219690889804685313,2020-01-21 18:39:03,"RT @NickSSolheim: Had a great meeting with @JimPressOffice discussing the Arctic Ambassador Establishment Act this morning.

In addition to…"
1219653823914037248,2020-01-21 16:11:46,MUST READ piece from the @JudiciaryGOP Ranking Member: https://t.co/y5eghtUY6U
1216553071846793218,2020-01-13 02:50:29,"RT @packers: MOVIN' ON! 

#Packers defeat the Seahawks to advance to the NFC Championship Game! 

#ThePackIsBack | #GoPackGo https://t.co/x…"
