id,created_at,text
1247361126599450625,2020-04-07 03:10:42,"RT @JoaquinCastrotx: Farmworkers are—and always have been—essential workers.

The mostly Latino, mostly immigrant, mostly undocumented work…"
1247276157835317255,2020-04-06 21:33:03,"RT @jrusmiller8: @JoaquinCastrotx San Antonio ICU nurse here: Please consider proposing t/fed gov make first responders,  healthcare, groce…"
1247274315424444419,2020-04-06 21:25:44,"My grandmother worked as a maid, a cook, &amp; a babysitter. Her hard work &amp; sacrifices enabled @JulianCastro &amp; I to attend @Stanford.

I hope my alma mater &amp; other universities pay contract workers such as janitors &amp; chefs during #COVID19 #paystanfordworkers 
https://t.co/cYdfRwBJad"
1247251086697811968,2020-04-06 19:53:26,"RT @HispanicCaucus: Protecting farmworkers is a matter of national security since they’re the backbone of our food supply.

Farmworkers hav…"
1247206156487077890,2020-04-06 16:54:54,RT @COSAGOV: Our Neighborhood and Housing Services Department offers Emergency Housing Assistance to pay rent or mortgage payments during t…
1247153516805869568,2020-04-06 13:25:44,"“could take several more weeks for San Antonio’s outbreak to reach a crescendo”

“patient volumes here could surge sometime in May/early June. After that, it could take months for the virus to abate”

Stay home. Work safe. Social distancing saves lives.

https://t.co/VQwcQ3NIK1"
1246957651365441536,2020-04-06 00:27:26,"“Trump Administration squandered nearly two months that could have been used to bolster the federal stockpile of critically needed medical supplies &amp; equipment.”

Congress will investigate and the American people will hold this Administration accountable.

https://t.co/mW1CfY9fLu"
1246912705488969736,2020-04-05 21:28:50,RT @CBSNews: This med student now detained at an ICE detention center describes the horrifying situation she and other women face amid the…
1246909194781052928,2020-04-05 21:14:53,"""Detention centers are very unsanitary and already lacking basic resources. The President is playing Russian Roulette with people's lives. ICE and the Trump Administration should do the right thing and place these folks outside of detention centers.""

@MSNBC @AliciaMenendez https://t.co/yoLSW0ZoYI"
1246879117636755457,2020-04-05 19:15:22,RT @SarabiaTX: .@JoaquinCastrotx on @MSNBC w/ @AliciaMenendez: “what’s the Trump Administration’s strategy in Puerto Rico to make sure peop…
1246864043706650625,2020-04-05 18:15:28,"RT @AliciaMenendez: Joining me today 2pmET @MSNBC @choo_ek
@MaryKayHenry
@SEIU
@SenGillibrand
@AlxThomp
@ZerlinaMaxwell
@JoaquinCastrotx
@J…"
1246860422709420038,2020-04-05 18:01:04,"Farmworkers are—and always have been—essential workers.

The mostly Latino, mostly immigrant, mostly undocumented workers who ensure all Americans can eat deserve protection from deportation, higher wages, better conditions, &amp; citizenship.

Read @mirjordan https://t.co/7nmgwXXq1C"
1246606603874447365,2020-04-05 01:12:29,"RT @HispanicCaucus: Good first step. But there is still more than 30,000 people in detention.

ICE can swiftly &amp; safely release the vast ma…"
1246576639003238401,2020-04-04 23:13:25,RT @RepFletcher: I have heard from too many in our community who have been unable to get the unemployment benefits they need as provided th…
1246545706636230656,2020-04-04 21:10:30,RT @JoaquinCastrotx: Trump is executing retribution against a civil servant who informed the American people of a whistleblower complaint.…
1246541477569859584,2020-04-04 20:53:42,"More than 29,000 essential health care workers could face deportation because of the Trump Admin’s efforts to end #DACA.

They are American heroes. #DACA allows them to work, treat sick patients &amp; serve their communities—they deserve permanent protection.
https://t.co/ZwFNujdD6F"
1246513287900119041,2020-04-04 19:01:41,RT @News4SA: Congressman Joaquin Castro sends letter asking for resources at Texas Workforce Commission https://t.co/jeSGivfIpM https://t.c…
1246490254229544964,2020-04-04 17:30:09,RT @HispanicCaucus: Are you an entrepreneur or small business owner in need of relief during the coronavirus crisis? Learn more about what…
1246288332210016256,2020-04-04 04:07:47,Trump is executing retribution against a civil servant who informed the American people of a whistleblower complaint. This decision not only undermines our system of checks &amp; balances but will enable more corruption &amp; lawlessness. No one is above the law—not even the President. https://t.co/ITppj9DX7l
1246287911710064640,2020-04-04 04:06:07,RT @LoopEmma: House Intelligence Committee member @JoaquinCastrotx: https://t.co/NwISqD4QyZ
1246286265269530627,2020-04-04 03:59:35,"RT @CBSNews: “America is not prepared, and nurses are not being protected”: In tears, a nurse says she quit her job after she was asked to…"
1246280575599685632,2020-04-04 03:36:58,@PacheoAlisha Please send me an email with your info to Castro.covid@mail.house.gov and we’ll try to help.
1246204353339371520,2020-04-03 22:34:05,"The program's called PREDICT for reason.

Trump's decision to shut down an early warning system fits a pattern of neglecting public health preparedness and global leadership.

Another reason why the Trump Administration was caught flat-footed by #coronavirus. https://t.co/W69XshhVE2"
1246189754569371649,2020-04-03 21:36:05,"RT @HispanicCaucus: Latinos, who have been historically undercounted for decades, need #Census2020 to be done right. @HispanicCaucus is cal…"
1246189049565585412,2020-04-03 21:33:17,RT @BexarCounty: .@BexarBibliotech continues to offer innovative solutions throughout the Stay Home/Work Safe Order. Registration is free t…
1246177483591991299,2020-04-03 20:47:19,"Too many Texans have been unable to get the unemployment benefits they need just to make ends meet. @TXWorkforce needs more staff and resources to get the job done for every Texas worker who seeks assistance. ⤵️

https://t.co/qj60wcHxhm"
1246172196017496072,2020-04-03 20:26:18,"RT @SenWarren: Puerto Rico is still struggling from a debt crisis, hurricanes, and earthquakes. Now its vulnerable health system must fight…"
1246137643802472449,2020-04-03 18:09:01,"Attention Small Businesses! 

The #CARESAct created a new $349 billion loan program to cover payroll for the next 8 weeks during the #coronavirus pandemic.

Forgives 100% of the loan if you do not layoff your workers. https://t.co/4Cav6xvE3H"
1246132463300157440,2020-04-03 17:48:25,"RT @TUSK81: Five of those employees work directly in detention facilities.  As Rep. @JoaquinCastroTX said earlier this week, ICE detainees…"
1246113193614860295,2020-04-03 16:31:51,"RT @NBCLatino: NEW: @ewarren @NydiaVelazquez @RepRaulGrijalva @JoaquinCastrotx wrote to @VP Mike Pence, giving him two weeks to appease the…"
1246083060308815873,2020-04-03 14:32:07,"RT @MMViverito: @SenWarren, alongside @NydiaVelazquez @RepRaulGrijalva &amp; @JoaquinCastrotx, sent a letter to Pence Friday asking for informa…"
1246074629606817792,2020-04-03 13:58:37,"RT @Nicolemarie_A: NOW: @ewarren @NydiaVelazquez @RepRaulGrijalva @JoaquinCastrotx wrote to @VP Mike Pence, giving him two weeks to appease…"
1245901148961353728,2020-04-03 02:29:16,"RT @SarabiaTX: “just reeks of complete self-interest”

“@JoaquinCastrotx, who hasn’t owned stocks since he joined Congress, explained”

via…"
1245864073092190208,2020-04-03 00:01:56,RT @ErikaAndiola: Members of congress should follow the lead of the @HispanicCaucus on calling for eBond access for immigrant families to p…
1245861889856266240,2020-04-02 23:53:16,"RT @RepSylviaGarcia: Today, I was proud to lead an effort with the entire Texas Democratic Congressional Delegation, urging Governor Abbott…"
1245835799003901953,2020-04-02 22:09:35,"RT @abigailtracy: “In the regular course of the job in Congress, you’re being tipped off all the time in your meetings, in your discussions…"
1245835692975980545,2020-04-02 22:09:10,"If this is happening to you, please email me at Castro.covid@mail.house.gov and I will try to help. https://t.co/CUBu2K0TzI"
1245835571735539714,2020-04-02 22:08:41,"Captain Brett Crozier raised the alarm when American sailors were threatened by #coronavirus, and then Trump fired him. Make no mistake, the goal is to silence dissent no matter the cost.

President Trump is failing to protect us as Commander-in-Chief.

https://t.co/tzXVQxpHy2"
1245835306231889920,2020-04-02 22:07:38,@MsAmericana_13 Send me an email at Castro.covid@mail.house.gov and we’ll try to help or connect you with the people who can.
1245808496236474369,2020-04-02 20:21:06,"To my constituents: if work is canceled or if your work hours are reduced, you are eligible to apply for UI right now through @TXWorkforce. I will keep pushing for more capacity and resources for our state. We will get through this together. https://t.co/nk7IbERNrU"
