id,created_at,text
1247271224830541824,2020-04-06 21:13:27,"Reminder: the #PaycheckProtectionProgram is available NOW to provide small businesses with a lifeline as they navigate this crisis. The loan can be forgiven if the funds are used to maintain payroll.

I encourage Arkansas #smallbiz to apply.

More info: https://t.co/sUwdsBLRbq https://t.co/H7mRjEbYaa"
1247250593460228097,2020-04-06 19:51:28,"We must all do our part to help slow the spread of this virus, especially over the next two weeks which our public health experts have said will be a critical time. Please take every precaution you can and follow the official guidance and recommendations.

https://t.co/vaQ3h6S3fg"
1247248390750167041,2020-04-06 19:42:43,"After Jonesboro suffered immense damage when a tornado ripped through the area, @AnheuserBusch––a strong presence in the community because of its rice mill––is donating 9,000+ cans of emergency drinking water. On behalf of impacted Arkansans, thank you for this tangible support. https://t.co/RlY0bXc4jX"
1247224130002354177,2020-04-06 18:06:19,"“If you look for the helpers, you’ll know that there’s hope.” - Fred Rogers

We should be encouraged by the response to COVID-19 from friends, neighbors and strangers across the country and in Arkansas. READ my latest column on the Natural State's helpers.
https://t.co/WQ9OuY9GQ3"
1247218243288342529,2020-04-06 17:42:56,@HomeDepotGR @RepRickCrawford @CityofCabot @RepFrenchHill @SenTomCotton @AsaHutchinson @AGRutledge Great job and very encouraging. I know this is hard but a positive attitude and hard work sure go a long way. Stay safe.
1247190924700127239,2020-04-06 15:54:22,RT @branon_thiesse: The University of Arkansas Cooperative Extension Service is here to help keep our farming communities safe and healthy…
1247190792956973056,2020-04-06 15:53:51,"Arkansas farmers are working hard to ensure the continuity of our food supply. @USDA @SecretarySonny should provide them relief measures throughout this pandemic &amp; recovery.

READ our letter about helping them get through these extraordinary circumstances:
https://t.co/uECflj3Q1W"
1246896501260984322,2020-04-05 20:24:26,"This Palm Sunday, I pray we’re all strengthened and encouraged in the face of a trying time like nothing we’ve seen in our lives. Let’s reflect on what scripture teaches us about loving and serving one another, and remember where our hope is found this Holy Week. https://t.co/TVNhFwWKoU"
1246886368145551368,2020-04-05 19:44:10,"The AR congressional delegation has written to @POTUS in support of Gov. Hutchinson’s request for additional funding and resources for the @arkansasguard in order to support the ongoing response to COVID-19 in the Natural State.

READ our letter here:
https://t.co/FF0kJFAVqh"
1246563741803712515,2020-04-04 22:22:10,"@TysonFoods Absolutely. We appreciate what you all — everyone, from start to finish — do to keep food on the plates of Americans. We can always count it being there, and it’s no different now even in a challenging time. Stay strong and well, and pass along our gratitude to your entire team."
1246522747443970049,2020-04-04 19:39:16,"@SarahHuckabee I know you understand how important this is and how hard everybody in the process works to keep our shelves stocked and food on the table, across the country and especially in Arkansas. Thanks for helping recognize and highlight that! Stay safe and healthy."
1246517966532984833,2020-04-04 19:20:17,"Thank you, Mr. President. In addition to our healthcare professionals, the folks keeping the supply chain strong are doing vital work that underpins our society. I’m proud to join you in acknowledging their efforts and showing great appreciation to these sometimes unsung heroes. https://t.co/XAgSJS6jxj"
1246517101738819584,2020-04-04 19:16:50,RT @realDonaldTrump: America owes our very hard working food supply workers so much as they produce and deliver high quality food for us du…
1246472846135738368,2020-04-04 16:20:59,VA has also expanded its telehealth and electronic Rx refill requests in order to better serve and protect our veterans. I encourage AR veterans to take advantage of these services and contact my office if you experience difficulties. We are here to help. https://t.co/m7iAe8P8Vw
1246187246253940738,2020-04-03 21:26:07,I’m pleased Arkansas’s disaster declaration request has been approved by the president. COVID-19 has devastated our state’s economy while also burdening our health care system. We will need a strong partnership with the federal government to recover. Thank you @realDonaldTrump https://t.co/qM5ETxFNDc
1246155368671084552,2020-04-03 19:19:26,"@idrtherbhuntin @SenTomCotton Thanks for the feedback, Nick. I'm aware of this issue and agree that community banks should be part of this program to get money out to small businesses. I'm pressing the Trump Administration to fix this."
1246134300820549632,2020-04-03 17:55:44,"@Duckmaster100 Andrew, it was Congressional intent that farmers and ranchers be eligible for these important loans. I am working with the Administration to make that as clear as possible. Please reach out if you encounter issues."
1246131034351075328,2020-04-03 17:42:45,"We need to get this assistance out to those impacted as quickly as possible. With nearly 10 million people filing for unemployment in the last two weeks, the system is already being stretched thin. This guidance is needed immediately. https://t.co/AyptUGUuOf"
1246109168412569600,2020-04-03 16:15:51,"Good news for NWA as the Bella Vista Bypass project moves another step forward. Getting this corridor up to interstate quality is critical and has been years in the making. I'm proud to have secured funding for the Arkansas/Missouri connector's completion.
https://t.co/R5odgn5JHJ"
1246093221702311939,2020-04-03 15:12:30,"RT @SenateGOP: 🚨 ATTENTION 🚨

Today is the FIRST DAY small businesses can apply for cash flow assistance under the Paycheck Protection Prog…"
1246068212531441664,2020-04-03 13:33:07,"The #PaycheckProtectionProgram provides #smallbiz with 8 weeks of cash, with loan forgiveness eligibility for what's used on rent/mortgage, utilities &amp; payroll costs like salaries and cash tips.

Apply now @SBAgov-approved banks &amp; other lenders near you: https://t.co/sUwdsBLRbq https://t.co/4JOG61WmJM"
1245811946185768961,2020-04-02 20:34:48,"RT @THV11: “I am different, not less” ❤️ https://t.co/4nt3YngLlU"
1245804731165028355,2020-04-02 20:06:08,".@FTC has reported an increase in complaints of fraud and nationwide losses of $4M+ to consumers. Arkansans must remain vigilant and learn how to identify and avoid schemes scammers use seeking to prey on fears related to the coronavirus.

Learn more: https://t.co/QtxcZVL1GZ"
1245766054636408833,2020-04-02 17:32:27,"NEWS: $23M+ in relief funds are headed to AR communities. They need help addressing the complex struggles presented by this pandemic. We appreciate how quickly Sec. Carson &amp; @HUDgov have acted to award these grants to help Natural State municipalities.

https://t.co/F3nBd6B0Yv"
1245728877609132032,2020-04-02 15:04:43,"Arkansas seniors don't need any extra hurdles to getting their recovery checks, so I'm pleased the IRS is following congressional intent and NOT requiring SS beneficiaries to file a tax return in order to receive the payment.

https://t.co/vSoJhTmFDn"
1245708876911194113,2020-04-02 13:45:15,99% of AR businesses are small businesses and perhaps no one has been impacted more by coronavirus' economic fallout. I encourage them to apply for this assistance which provides critical aid to help them stay in operation &amp; keep employees on payroll as we all weather this storm. https://t.co/h3Zm80bGr3
1245525487545397248,2020-04-02 01:36:31,"RT @AsaHutchinson: Today I announced a partnership w/the state, Walmart &amp; Quest Labs to start a pilot, drive-thru testing site in Benton Co…"
1245454750969147396,2020-04-01 20:55:26,"RT @ARAARP: Thanks Senators @JohnBoozman and @TomCottonAR for requesting the IRS get older Americans their $1,200 stimulus payment without…"
1245426849095843840,2020-04-01 19:04:34,"REMINDER: I continue updating my website with new COVID-19 information and resources to help Arkansans get answers to their questions about this pandemic and its impact on just about every part of our lives. Be sure to check back regularly. #COVID19Ark

https://t.co/fI0Eu2ZfSQ"
1245400257984450566,2020-04-01 17:18:54,It’s #CensusDay2020-a reminder to complete the census if you haven’t done so yet. It’s so important to be counted because of the impact that has on the funding &amp; resources available to Arkansas in the next decade. So get counted &amp; spread the word! #ARCounts #20for2020 @ar_census https://t.co/q4ehiBgdlC
1245363756902821889,2020-04-01 14:53:52,"I led our state’s Congressional delegation in asking Pres. Trump to support the governor’s disaster declaration request. The resourcefulness of Arkansans in this crisis has been incredible to see, but we will undoubtedly need more federal assistance.

https://t.co/QyDpSdGANB"
1245083768676921345,2020-03-31 20:21:17,"Rural hospitals and health care providers are often in precarious positions to begin with, but this pandemic poses a unique and very real threat to them. That's why I joined a number of my colleagues to urge @SecAzar to provide them with vital support.

https://t.co/eDoxNLrEs4"
1245078836045385733,2020-03-31 20:01:41,"RT @AsaHutchinson: If you suspect you have COVID-19 symptoms or have questions regarding children and COVID-19, call @ADHPIO at 1-800-803-7…"
1245074929839636480,2020-03-31 19:46:10,"Sadly, scammers and con artists are preying on Americans' fears related to coronavirus. Be sure you're informed and prepared so as not to fall victim to these deceptive schemes.

CHECK OUT and SHARE these warnings and advisories from federal agencies ⬇️
https://t.co/hzI0u29udv"
1245030551142256641,2020-03-31 16:49:49,"RT @SBA_Arkansas: Low interest, long term Economic Injury Disaster Loans for up to $2 million: The first payment is deferred for 12 months.…"
1244997972171149314,2020-03-31 14:40:22,"Reminder to visit my website for important #COVID19 resources for Arkansans, including this latest guide with answers to FAQs and setting the record straight on some myths about the CARES Act. https://t.co/aL44856FEN"
1244972845349974016,2020-03-31 13:00:31,"I'll be on @1037TheBuzz in about 10 minutes to talk about the latest with the coronavirus and the response efforts in Arkansas and nationally.

You can listen here:
https://t.co/11NpwpBVol https://t.co/blBkQpWMRb"
1244773996564021252,2020-03-30 23:50:22,"Here are answers to some FAQs related to the CARES Act, including topics like the recovery rebate checks, plus some information to correct the record about certain aspects of this bill as it begins to be implemented. I encourage Arkansans to check it out.

https://t.co/MCmpUqwWbR"
1244748725307744260,2020-03-30 22:09:57,"RT @AR_Emergencies: If you're looking for guidance on cleaning facilities and homes during #COVID19, look no further!  Check out this guida…"
1244718395356053505,2020-03-30 20:09:25,"Thank you to the doctors working incredibly hard across every sector of the medical community. We value the care and treatment you provide patients, especially at a time like this. Our health care professionals are heroes in every sense of the word. #NationalDoctorsDay https://t.co/RoCtocsxIK"
1244689610082603010,2020-03-30 18:15:02,"The CARES Act is a broad legislative attempt to provide Americans relief and economic security. It’s not a stimulus plan, it’s an existence plan. READ my latest column about the vital help it offers on the medical front, and crucial financial assistance.

https://t.co/dww6kNCeFt"
1244362960304300034,2020-03-29 20:37:03,RT @DeptVetAffairs: More than 8.7 million men and women served during the Vietnam War. Today we thank the 6.2 million living Veterans for t…
1244269186936901637,2020-03-29 14:24:26,"Gov. @AsaHutchinson has declared today a Special Day of Prayer in Arkansas. I’m praying for all those affected by this disease and economic fallout, as well as the Arkansans serving others in various capacities during this unique time of need. May God bless and strengthen us."
1244045501240131584,2020-03-28 23:35:35,"My heart breaks for the Jonesboro community. I’m praying for the safety of citizens and first responders. This is certainly a challenging time and I will be working to ensure the community has the resources it needs to respond, rebuild and recover."
1243974088533643267,2020-03-28 18:51:49,"Tom's love for his country, desire to leave a brighter future for our children and grandchildren, and faith-driven service to others defined his life and his legacy. I know his loved ones and the people of Oklahoma take great pride in that. My prayers go out to them at this time."
1243974087451586562,2020-03-28 18:51:49,"Tom Coburn was a man of principle, integrity &amp; faith. He fought fiercely for his conservative beliefs, but also didn't let that stop him from being the kind of person we should all aspire to be – one who could get past differences of opinion and build real, lasting relationships."
1243674428912828418,2020-03-27 23:01:04,"Attention: the @SocialSecurity Inspector General is warning the public about a scam related to the suspension of SS benefits amid the COVID-19 pandemic. Please share this information with those you know who may be susceptible to this fraudulent behavior.

https://t.co/CvgcvokCxM"
1243642160668454912,2020-03-27 20:52:51,".@realDonaldTrump has signed the CARES Act into law, a sweeping measure to strengthen our fight against COVID-19 + provide relief and aid to America's people &amp; businesses. This is the third major legislative component enacted as part of the federal response to this crisis. https://t.co/ayhHLO8Gkf"
1243615604944371712,2020-03-27 19:07:20,"RT @ASBTDC: We have added more #COVID19 webinars:
*Applying for SBA Economic Injury Disaster Loans
*Take Your Business Online
*¡Calma! Cont…"
1243561764115099649,2020-03-27 15:33:23,Gov. @AsaHutchinson and our state and local officials have done a tremendous job navigating this crisis and keeping Arkansans informed. We appreciate their leadership and will continue working together closely to support our state's needs and protect families and communities. https://t.co/hKMPQNOpjl
1243527975976517634,2020-03-27 13:19:07,RT @GrantMerrill: I appreciate Senator @JohnBoozman for joining me to talk about the relief package before Congress. Hope great days are ah…
1243308049395310598,2020-03-26 22:45:13,RT @ASBTDC: Good news! The website to apply for @SBAgov Economic Injury Disaster Loans has been updated and the process has been simplified…
1243269110395473921,2020-03-26 20:10:29,"My staff has taken an all-hands-on-deck approach to serving constituents amid this crisis. As travel has become more restricted, we've been offering support &amp; help to  Arkansans trying to return to home. Positive outcomes like this are the goal. @KNWAFOX24
https://t.co/RFVqtH4WYR"
1243222833439936513,2020-03-26 17:06:36,"RT @SenateAgGOP: Today in #WomensHistoryMonth, we're celebrating women in ag! Meet Arkansan Sloane Holzhauer, who was raised on a row crop…"
1243208727861366784,2020-03-26 16:10:33,"Arkansans need confidence we're going to make it through these challenging times. The #CARESAct provides relief, economic security, and support for our medical professionals. #COVIDー19

Learn more about the bill's provisions and what I worked to include:
https://t.co/pTSGE1XzG6"
1243167071283884033,2020-03-26 13:25:01,"We knew #COVIDー19's economic consequences were major, but today's news that 3M+ Americans have filed for unemployment makes that even clearer.

The CARES Act, passed by the Senate yesterday, seeks to help them and all Americans as we endure this crisis. 

https://t.co/ZtYFpzUO2q"
1243024295930007552,2020-03-26 03:57:41,"This vital bill provides funds directly to hardworking Americans, resources to help job creators continue operations &amp; support for the men &amp; women of the medical community who are on the frontlines treating patients &amp; working to find a cure is necessary to address this emergency."
1243024295275769856,2020-03-26 03:57:40,The CARES Act provides emergency relief to those upended by the devastation this outbreak is causing.
1243024294571057152,2020-03-26 03:57:40,"The Senate just unanimously passed the CARES Act. 

The coronavirus is overwhelming our healthcare system and is inflicting a dramatic financial toll on American workers, families and small businesses. The magnitude of this crisis urgently requires us to think big and act big."
1242924051133317122,2020-03-25 21:19:20,"Reminder: My COVID-19 Updates &amp; Resources guide has information and links to reliable sources Arkansans can turn to for guidance regarding the work being done across local, state and federal government to respond to this crisis and protect public health.

https://t.co/wjg0LUCSqJ"
1242878611658604544,2020-03-25 18:18:47,RT @FLOTUS: It is inspiring to see the American spirit come alive through acts of kindness. Americans young &amp; old are unifying around their…
1242876009873104897,2020-03-25 18:08:26,"Today, in the midst of all the news and tumult and disruptions, let's not forget to honor those who have performed heroic acts of valor in defense of our nation. Their bravery and sacrifice inspires us all to be better Americans worthy of their heroism. #MedalofHonorDay https://t.co/DgWL616oRM"
1242858439908483073,2020-03-25 16:58:37,"RT @ADHPIO: Wondering how decisions about who to test for COVID-19 are made? Click here for ADH guidelines, which are adapted from US Depar…"
1242836530571476995,2020-03-25 15:31:34,"""This is not a stimulus plan. It's an existence plan. We have to pass this bill.""

That's what I told my colleagues yesterday. I'm pleased to see a bipartisan deal has been reached. Now it's time to see it, and then to vote. Americans are counting on us.

https://t.co/QoH1Mzbl81"
