id,created_at,text
1247324413407748103,2020-04-07 00:44:48,RT @violadavis: Not everyone is safer at home. There are people living in situations around this country and abroad that we couldn’t possib…
1247324240115892226,2020-04-07 00:44:07,RT @LeaderHoyer: The IG’s report that details a severe shortage of hospital medical supplies is a damning indictment of the Trump Admin’s f…
1247320101872783360,2020-04-07 00:27:41,"When #CaptainCrozier requested help for his crew, @SECNAV fired him and said he was “too naive or too stupid to be a commanding officer.” Our troops deserve better. https://t.co/h536tedvfu"
1247318244417064961,2020-04-07 00:20:18,"RT @LacyClayMO1: Come on #STL, you're at home. Let's get this done.  City and County need a complete count.  Complete the #2020Census today…"
1247260310957948930,2020-04-06 20:30:05,"Come on #STL, you're at home. Let's get this done.  City and County need a complete count.  Complete the #2020Census today online, by phone or by mail. $1.75 trillion of your money allocated each year via census data. #CompleteCount  Go to https://t.co/KhdUixdtB6 https://t.co/YWB2zKAvue"
1247196955756945418,2020-04-06 16:18:20,"RT @cnnbrk: The former intelligence community inspector general, who informed Congress of the whistleblower complaint that led to Trump's i…"
1247194888082460673,2020-04-06 16:10:07,RT @LIUNA42: .@STLCityGov's response rate is only at 36.8% and @SaintLouCo is at 54.8%. Missouri's overall response rate is 46.1%. Make sur…
1247173391037149185,2020-04-06 14:44:42,Tune in today at 10:20AM CDT for another radio #TownHall on #COVID19 with ⁦@charliekmox⁩ ⁦@AmyMarxkors⁩ ⁦@kmoxnews⁩ Listen live at https://t.co/ubYpDiyvpg #CoronaVirusUpdates https://t.co/P4yz1mTlUW
1247147288448942083,2020-04-06 13:00:59,"The #CARESAct was a good start, but @HouseDemocrats are still hard at work to make sure we put #FamiliesFirst and hold the administration accountable during #COVID19 https://t.co/SfUdrOKjzq"
1246963658078539789,2020-04-06 00:51:18,"RT @LacyClayMO1: Thanks to those on the COVID-19 front lines, providing care and hope for St. Louis | https://t.co/8Tm4nhjUqG #COVID19heroe…"
1246963631037825026,2020-04-06 00:51:11,RT @LacyClayMO1: 10 days left until the extended #CensusDay! Make sure you respond at https://t.co/w0jyquM7Cu to help St. Louis get the res…
1246909573325258754,2020-04-05 21:16:23,"Hope you enjoy this. So remarkable to hear the wisdom, strength and courage of #QueenElizabeth today as she rallies her nation to stand together in the face of #Covid_19 What leaders sound like. #KeepCalm #HaveCourage #BeKindToEachOther #CarryOn #CoronaVirusUpdates https://t.co/e2tIbguGBv"
1246879228945149957,2020-04-05 19:15:48,"RT @SarahUnsicker: To sum up, Missouri does not provide adequate services for low-income families and individuals. This lack of service wil…"
1246830074348929028,2020-04-05 16:00:29,10 days left until the extended #CensusDay! Make sure you respond at https://t.co/w0jyquM7Cu to help St. Louis get the resources it needs in the coming decade! https://t.co/zAdCFrwgnC
1246649121735348230,2020-04-05 04:01:26,"Thanks to those on the COVID-19 front lines, providing care and hope for St. Louis | https://t.co/8Tm4nhjUqG #COVID19heroes ⁦@BJC_HealthCare⁩ ⁦@SSMHealthSTL⁩ ⁦@mercysaintlouis⁩ ⁦@StLukesHealth⁩ #CoronaVirusUpdates  https://t.co/Kmev80ALWo"
1246644046736621568,2020-04-05 03:41:16,RT @SenKamalaHarris: The firing of the Intelligence Community’s IG is dangerous. It is further evidence Trump will do anything he can to es…
1246508237266059266,2020-04-04 18:41:37,"Everyone counts,and everyone deserves to be counted. #Census2020 #completecount Help your community, help our country, while you #StayHomeSaveLives, complete #census online, by phone or by mail. #CompleteCount https://t.co/7e1it5xckr"
1246501937064837120,2020-04-04 18:16:35,#StayHomeSaveLives #CoronaVirusUpdates https://t.co/KPF1k2NRse
1246499090004877312,2020-04-04 18:05:16,"RT @charliekmox: Looking forward to talking with @LacyClayMO1 and @RepAnnWagner on Monday morning with @AmyMarxkors.  Plus, Bob Clark of Cl…"
1246296629679882241,2020-04-04 04:40:46,RT @RepAdamSchiff: Trump’s dead of night decision to fire ICIG Michael Atkinson is another blatant attempt to gut the independence of the I…
1246296560842964992,2020-04-04 04:40:29,RT @PhilipRucker: Navy captain who was fired for raising concerns about the spread of coronavirus aboard the aircraft carrier he commanded…
1246250273468747776,2020-04-04 01:36:34,@misenplace13 @GerardFCraft Join me Monday morning at 10:20am CDT with @CharlieKMOX for another bipartisan #TownHall on @kmoxnews re the #CARESAct and #CoronaVirusUpdates Happy to take your questions listen at https://t.co/e77JdeGS7v
1246188458990854145,2020-04-03 21:30:56,"@GerardFCraft Actually, we're just getting started helping #SmallBusinessRelief The #CARESAct was a positive beginning, but much more work to do, that's why we're already working on phase four legislation.  And regarding your question, I vote for restaurants every time. #FamiliesFirst"
1246183216668708865,2020-04-03 21:10:06,"During this difficult time, @SpeakerPelosi and @HouseDemocrats are hard at work fighting for even more relief #ForThePeople during #COVID19 #FamiliesFirst https://t.co/4DnQ5yuoxP"
1246180779895459842,2020-04-03 21:00:25,"State and local governments are leading the fight against the coronavirus epidemic. Under the bipartisan #CARESAct, Congress is taking crucial steps to support them in their effort. #FamiliesFirst https://t.co/rqhBOlFPpm"
1246150608219971590,2020-04-03 19:00:32,"This public health crisis underscores a simple truth: where you live shouldn’t determine your access to the internet. Our students, workers, and families need Congress to invest in expanding high-speed broadband access immediately! #FamiliesFirst #COVID19 https://t.co/6ZkxrA7bav"
1246140180354027531,2020-04-03 18:19:05,"RT @MSNBC: Videos show cheering crowd of sailors aboard the USS Theodore Roosevelt saying goodbye to their captain, who has been relieved o…"
1246120388645588994,2020-04-03 17:00:27,"Dependable, clean water is essential to the fight against the coronavirus. Congress must take steps to modernize America’s water infrastructure. #FamiliesFirst https://t.co/hWplvujVda"
1246101441372205057,2020-04-03 15:45:09,Community Health Centers are on the frontlines of the fight against the coronavirus. We need to make sure they have the tools to win. #FamiliesFirst https://t.co/UFPEdouEAv
1245905986549940226,2020-04-03 02:48:29,"RT @thehill: WATCH: Fauci calls for all states to have stay-at-home orders: ""I just don't understand why we're not doing that."" https://t.c…"
1245905883206385665,2020-04-03 02:48:05,"RT @CNNPolitics: Dr. Anthony Fauci on some states still not issuing stay-at-home orders: ""I don't understand why that's not happening. … If…"
1245905726851162112,2020-04-03 02:47:27,RT @SpeakerPelosi: The House will not walk away from its duty to ensure that the resources provided through our #FamiliesFirst legislative…
1245905656361684992,2020-04-03 02:47:10,"RT @RepAdamSchiff: First, Trump says he alone will do the oversight on billions in relief money.

Then, he says he’ll ignore the transparen…"
1245905204492546048,2020-04-03 02:45:23,RT @ChrisMurphyCT: My nightly COVID-19 update: good news for seniors on Social Security and what you can do right now to lend a helping han…
1245904606187716608,2020-04-03 02:43:00,Everything you need to know about the CARES Act Rebate | Covid 19 | https://t.co/QIsKxCNFyj ⁦@StLouisAmerican⁩ #CARESAct #COVID-19 #CoronaVirusUpdates #FamiliesFirst #WorkersFirst ⁦@HouseDemocrats⁩ ⁦@TeamPelosi⁩ ⁦@indivisiblestl⁩  https://t.co/Y0BrtekrCw
1245803244070342660,2020-04-02 20:00:13,"The #CARESAct provides $995 million for aging and disability services, including Independent living, family caregivers, elder justice, senior nutrition, and home and community-based supportive services. #coronavirus #COVID19 #ForThePeople https://t.co/u5iCyWcBQU"
1245799063775318018,2020-04-02 19:43:37,"RT @morethanmySLE: Speaker Pelosi: More needs to be done in the next stimulus package for our hospitals

State and local municipalities are…"
1245798800842686466,2020-04-02 19:42:34,"RT @morethanmySLE: Speaker Pelosi: ""So sad that the uninsured can't be covered. The President NOT doing a special an ACA open enrollment is…"
1245798165653139456,2020-04-02 19:40:03,"RT @TeamPelosi: Millions of people are uninsured and facing unemployment in our country.

It's sad that Trump refuses to extend the Afforda…"
1245798002020753409,2020-04-02 19:39:24,#CARESAct #CoronaVirusUpdates https://t.co/Q3st9ie1Mm
1245695005500542981,2020-04-02 12:50:07,"America’s health care workers are fighting coronavirus night &amp; day. With the bipartisan #CARESAct, we are working to give them the resources they need. #FamiliesFirst https://t.co/kxlWxGGIV7"
1245579515532677128,2020-04-02 05:11:12,RT @morethanmySLE: .@SenSchumer THANK YOU! ❤️❤️
1245552689209098244,2020-04-02 03:24:37,RT @LacyClayMO1: Very important good news for seniors who don't file a tax return #CARESAct #FamiliesFirst #WorkersFirst #Seniors #ForThePe…
1245550055274283009,2020-04-02 03:14:09,RT @congressman_1: Everything you need to know about the CARES Act Rebate | Covid 19 | https://t.co/g9Qg4m82gD #FamiliesFirst #WorkersFirst…
1245550030427127810,2020-04-02 03:14:03,RT @congressman_1: Hosted another telephone #COVIDー19 #TownHall meeting today.  Special thanks to ⁦@LydaKrewson⁩ Alderwoman Pamela Boyd and…
1245544141007839232,2020-04-02 02:50:38,#StayHomeSaveLives #COVIDー19 #CoronaVirusUpdates #ShelterInPlace https://t.co/dr84OxBCNN
1245509316632813568,2020-04-02 00:32:16,Very important good news for seniors who don't file a tax return #CARESAct #FamiliesFirst #WorkersFirst #Seniors #ForThePeople @AARPadvocates @AARP https://t.co/ckLgJMScAK
1245508005447315457,2020-04-02 00:27:03,"RT @SenSchumer: To the IRS and the Social Security Administration:

Social Security recipients, our vulnerable seniors, and people with dis…"
1245507959544741893,2020-04-02 00:26:52,"RT @RoKhanna: We are in a health care crisis. We need to provide health care. 30 million Americans may lose their jobs. The next stimulus,…"
1245506096455995392,2020-04-02 00:19:28,"RT @ValerieJarrett: Someone asked me today how would @BarackObama have handled this crisis?   Answer in one word - Better.   Ok, two words.…"
1245506060531765253,2020-04-02 00:19:19,RT @RepAdamSchiff: We lost precious weeks in responding to the coronavirus pandemic. But it's not too late for us to make the right decisio…
1245431671417176064,2020-04-01 19:23:44,"RT @NationalAction: The census affects funding for schools, roads and hospitals, firefighters, and resources for people who need it most. I…"
1245431645831942144,2020-04-01 19:23:38,"RT @NationalAction: From your house, by going online, calling the Census Bureau, or by filling out your paper from once it comes in the mai…"
1245430074725281794,2020-04-01 19:17:23,RT @LacyClayMO1: April 1 is census day which has been extended to April 15. Please Respond to census questionnaire at https://t.co/zefOqWxv…
