id,created_at,text
1247174565954031617,2020-04-06 14:49:22,RT @BreitbartNews: Rep. @Lancegooden (R-TX) has unveiled the Stop China-Originated Viral Infectious Disease (COVID) Act of 2020 to allow th…
1246977572669399041,2020-04-06 01:46:35,"America is going to lose thousands of lives this week because of Chinese inaction and dishonesty. 

I think that is unforgivable.

https://t.co/XDyBMjAjwG"
1246478981211267074,2020-04-04 16:45:22,"Nancy Pelosi’s forming ANOTHER committee to investigate President @realDonaldTrump 

Americans are hurting and need leadership that puts their needs FIRST- not another witch hunt."
1246219338597752833,2020-04-03 23:33:38,"The Stop COVID Act will give our Justice Department the authority it needs to shed light on this pandemic.

I’m calling on both sides of the aisle to support this bill. 

 #StopCOVIDAct

https://t.co/k1OgpyHF3D"
1246160491921244161,2020-04-03 19:39:48,"RT @guypbenson: Stoked for this lineup. Fun w/ @KennedyNation, an announcement from @Lancegooden, a charitable appeal with the inimitable @…"
1246142910875213826,2020-04-03 18:29:56,"RT @GuyBensonShow: Today on the #GuyBensonShow 

@KennedyNation - Host of Kennedy on FBN (3:35pm ET)

@Lancegooden - Congressman (R-TX/5)(4…"
1246115648033472512,2020-04-03 16:41:36,"The Stop COVID Act will give our legal system the power to investigate the origin of the virus and, if found guilty, hold accountable those responsible for creating and releasing it.

#StopCOVIDAct

https://t.co/Ilffbyyfwy"
1246085024069361664,2020-04-03 14:39:55,"The Chinese Communist Party is protected from litigation by US law, even if they were to be found responsible for manufacturing and spreading #COVID19.

I’ve introduced the #StopCOVIDAct to change that, because our laws should protect Americans, not the #CCP."
1245867530658279424,2020-04-03 00:15:41,"3M distributors need to IMMEDIATELY stop the export of N95 masks to foreign countries while we need them here. 

Companies need to step up and put AMERICA FIRST."
1245866226540146690,2020-04-03 00:10:30,RT @RepArrington: Proud to have @SteveScalise &amp; 41 of my colleagues join me in sharing our thoughts w/@realDonaldTrump about helping our en…
1245801134805090306,2020-04-02 19:51:51,Talking down to people who turn to God or self protection in times of crisis seems to be the standard playbook elites use these days. https://t.co/b7OcbKcyFI
1245788024119726080,2020-04-02 18:59:45,"China is using this crisis to spread their power all over the globe. 

More aggressive military maneuvers, buying up oil reserves, and pushing blame on the US.

They can’t be trusted - their end goal is to unseat America as a world leader.

https://t.co/K1n92TcC4a"
1245747989747924993,2020-04-02 16:20:40,"Iran has been asking for relaxed sanctions due to Coronavirus while attempting to hack the WHO.

They’re bad actors who cannot be taken seriously.

https://t.co/BP7gJP3y35"
1245705623582498826,2020-04-02 13:32:19,"Proud to be an original sponsor of this bill with Wisconsin Rep. Bryan Steil. @RepBryanSteil 

https://t.co/TwdN1MQb74"
1245404896586878980,2020-04-01 17:37:20,"Nothing the #CCP tells us can be trusted. Not the number of cases, not the number of deaths, and ESPECIALLY not the origin of the virus.

#COVID19 https://t.co/04uX5b4QW5"
1245149928134971392,2020-04-01 00:44:11,"In November 2019, the FBI warned of biosecurity threats being smuggled into the country by China #Covid19

https://t.co/At5zcJlC68"
1245104719669923846,2020-03-31 21:44:32,"Democrats launched an assault on your 2nd Amendment rights while the country is focused on fighting Coronavirus. 

Who will join me in standing against H.R. 5717?"
1245025023842226177,2020-03-31 16:27:51,"RT @TrumpStudents: We are happy to support and endorse our good friend Congressman @Lancegooden’s re-election come this November! 

TX-05,…"
1245017688063250433,2020-03-31 15:58:42,@ChrisCuomo Hang in there. You will beat this!
1244725077414948864,2020-03-30 20:35:58,"It’s irresponsible for the media to be showing fake footage during this crisis. 

The public deserves accurate information about #Covid19 https://t.co/z0OEyTxx8A"
1244279362775666689,2020-03-29 15:04:52,"Liberal politicians used this crisis as an excuse to forcibly end gun sales. 

The Department of Homeland Security made the right call to classify gun stores &amp; manufacturers as essential businesses. 

https://t.co/NI8hnrXAtj"
1244007798188408832,2020-03-28 21:05:46,"RT @dcexaminer: .@Lancegooden breaks down what happened yesterday with @RepThomasMassie before voting on the $2T relief bill.

Watch the fu…"
1244004015018565634,2020-03-28 20:50:44,Full Interview: https://t.co/SVI12ADfZZ
1244003930994073601,2020-03-28 20:50:24,"I joined @SirajAHashmi on ""Hashing it Out"" to discuss Coronavirus and our latest actions in Washington. https://t.co/VRo3xjfHCg"
1243982939484020739,2020-03-28 19:26:59,"RT @SirajAHashmi: On the latest ""Hashing it Out,"" Rep. @Lancegooden, R-Texas, weighs in on the $2 trillion pandemic rescue package and @Rep…"
1243650724539629575,2020-03-27 21:26:53,"America is ready to get back to work once we beat the Chinese virus.  

I’m working hard to make sure the red tape is out of the way to get this economy jump started. 

MAKE AMERICA GREAT AGAIN

https://t.co/Yz5XvRzGXO"
1243639412388442112,2020-03-27 20:41:56,"RT @SirajAHashmi: Chatted with Rep. @Lancegooden (R-TX) this afternoon for the next “Hashing it Out,” following the House passing the $2 tr…"
