id,created_at,text
1247213112132018177,2020-04-06 17:22:32,"Over the weekend, @SBA and @POTUS both clarified that faith-based organizations are also eligible for the #PaycheckProtectionProgram.

https://t.co/szPpiyIjrK"
1247170676655620096,2020-04-06 14:33:55,RT @jepence: 🇺🇸 Dios los bendiga @MarioDB y cada persona luchando este virus. https://t.co/snlLLGFvPy
1247159072752795649,2020-04-06 13:47:48,"RT @jdanielferrer: @MarioDB Mi abrazo fraterno y mi gratitud para con Ud y su equipo, buen cubano."
1247158841394987009,2020-04-06 13:46:53,RT @carlosvecchio: Great news congressman @MarioDB . I wish you all the best .  I am glad you are back with your family https://t.co/G8pxBM…
1247158324472225792,2020-04-06 13:44:50,"RT @RepTedDeutch: Fantastic news @MarioDB!

Rest up and enjoy the reunion with your family.

Welcome home! https://t.co/M0VOFaVk45"
1246870603908423688,2020-04-05 18:41:32,"RT @RosLehtinen: Oh, @MarioDB, such wonderful news for you y tu familia. 

Man, the virus is a whopper but what a blessing that u are with…"
1246870500762103808,2020-04-05 18:41:07,RT @williamsdavila: I had been worried about your health thanks God for your recovery
1246869050749304835,2020-04-05 18:35:22,"I want to reiterate the seriousness of this sickness, and I encourage everyone to continue to follow the @CDCgov guidelines. I thank you all for the prayers and well wishes, and a special thank you to the healthcare providers risking their lives to treat and protect us."
1246868905148264456,2020-04-05 18:34:47,"Today, after being deemed #COVID19 free by my doctor, I was able to reunite with my family in Miami. Though still a bit weak, I feel well, &amp; I applied to participate in the @RedCross plasma donation to help those with serious or immediately life-threatening COVID-19 infections."
1246499440644554755,2020-04-04 18:06:40,"RT @SBAJovita: Latest #PaycheckProtectionProgram numbers: 17,503 loans valued at more than $5,400,000,000. 

@SBAgov + over 1,100 local len…"
1246482942521683974,2020-04-04 17:01:06,RT @jdanielferrer: Mi primer twit luego de 6 meses en una tumba sucia y fría en una horrible prisión. Gracias a todos los amigos solidarios…
1246168576807108617,2020-04-03 20:11:56,"Today I spoke with @SecArmy to discuss the efforts of the men and women of @USArmy and @USNationalGuard to combat #COVID19, including vital medical research to find a vaccine. Thank you for your heroic service during this critical time."
1246164252903211010,2020-04-03 19:54:45,"RT @IRSnews: For most people, no action is needed to get an economic impact payment from #IRS. Parents will also receive $500 for each qual…"
1246153522095304707,2020-04-03 19:12:06,"Después de muchos meses, el valiente preso político, @jdanielferrer, fue liberado.  Debe ser sometido a revisión médica, no recibir más amenazas o intimidaciones y ser liberado del arresto domiciliario. Todos los presos políticos cubanos deben ser liberados de inmediato."
1246152725487812610,2020-04-03 19:08:56,"After many months, the courageous political prisoner, @jdanielferrer has been released. He must receive medical care, suffer no further threats or intimidation, &amp; be released from house arrest. All #Cuban political prisoners must be released immediately and without condition."
1246126611621167108,2020-04-03 17:25:10,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246107797802160128,2020-04-03 16:10:25,RT @carlosvecchio: Importante información del congresista @MarioDB de interés para nuestros emprendedores venezolanos en Estados Unidos. 👇
1246091809668976646,2020-04-03 15:06:53,"Hoy, las pequeñas empresas podrán solicitar un préstamo dentro del  Programa De Protección De Pago De Cheques. Visite mi sitio web para obtener más información.
https://t.co/dJ7dAF7ybE"
1246072078316392449,2020-04-03 13:48:29,"Today, small businesses can apply for the #PaycheckProtectionProgram! Visit my website for more info and FAQs.
https://t.co/FXjj3yXunB"
1245829693376520194,2020-04-02 21:45:19,"Today, @GovRonDeSantis issued an Executive Order providing targeted, temporary relief from certain mortgage foreclosures and evictions for 45 days."
1245772190907346950,2020-04-02 17:56:50,"Thank you, @UnbrandedBrew for producing free hand sanitizer for @cityofhialeah residents! https://t.co/O7Fyo0cCGt"
1245742402578657281,2020-04-02 15:58:28,Important information for @SocialSecurity recipients who don't file taxes 👇 https://t.co/Bif2T2UrRg
1245738496146452489,2020-04-02 15:42:56,"Today, @AHCA_FL released a data dashboard of real-time, self-reported hospital bed availability to provide the community with greater transparency on hospital capacity. 

https://t.co/x4Pq0FAAp5"
1245733902800617475,2020-04-02 15:24:41,"Although my team and I were not able to #LightItUpBlue this year, I wanted to share last year’s efforts to honor #WorldAutismAwarenessDay and to encourage understanding and acceptance of those living with Autism. https://t.co/uENdt9HBOc"
1245723123783274497,2020-04-02 14:41:51,"RT @mayorbermudez: Join us today at 1:00PM as we host a webinar to help businesses decipher the $2 trillion CARES Act, the economic stimulu…"
1245715757142544386,2020-04-02 14:12:35,"RT @WIOD: Listen live at 10:05 as Congressman @MarioDB joins @brianmuddradio with an update on how he is doing. Also, his thoughts on what…"
1245481201818906629,2020-04-01 22:40:33,"RT @marcorubio: If you have just be indicted for narcotics trafficking &amp; have a $15 million reward for your capture,having @Southcom conduc…"
1245479170815275008,2020-04-01 22:32:28,"We must not let drug cartels take advantage of this pandemic and put the lives of the American people at risk. I thank @POTUS, @Southcom, and the 22 partner nations who are committed to increasing eradication efforts. https://t.co/c1MOLPTv6A"
1245453892323880968,2020-04-01 20:52:02,"RT @WHAAsstSecty: Ayer, @SecPompeo presentó el marco propuesto por EE.UU. para una transición democrática en #Venezuela: un camino claro y…"
1245443630275444736,2020-04-01 20:11:15,"Many thanks to our close friend and ally #Taiwan for sending crucial PPE to the United States. We greatly appreciate Taiwan’s generosity as we confront this unprecedented challenge.
https://t.co/DrQ8qirvxN"
1245440592089206784,2020-04-01 19:59:10,"RT @HouseGOP: The CARES Act signed by President Trump last week provides direct relief for American workers and families who need it.
 
Rea…"
1245408456942784513,2020-04-01 17:51:29,"(3/3) Insto a la administración a continuar esa política robusta, y aumentar la presión sobre el tiránico régimen de Maduro. Seguiré trabajando con el Presidente Trump, su administración y mis colegas para promover la democracia y la libertad en #Venezuela."
1245408455982297089,2020-04-01 17:51:29,"(2/3) En los últimos tres años, @POTUS impuso duras sanciones a Maduro y sus matones, acusó a los agentes venezolanos por sus crímenes y extendió una fuerte solidaridad con el pueblo de Venezuela a través de la promoción de la democracia y la ayuda humanitaria."
1245408455021809669,2020-04-01 17:51:28,"(1/3) Al rechazar el ""Marco de Transición Democrática"", el régimen de #Maduro demuestra que solo le preocupa mantener su control ilegítimo del poder."
1245406822531502086,2020-04-01 17:44:59,"(3/3) I urge the administration to continue that robust policy and step up pressure on the tyrannical Maduro regime. I look forward to working with President Trump, his administration, and my colleagues to promote democracy and liberty in #Venezuela."
1245406821386522627,2020-04-01 17:44:59,"(2/3) Over the past three years, @POTUS has imposed tough sanctions on Maduro &amp; his cronies, indicted Venezuelan operatives for their crimes, &amp; extended strong solidarity with the people of #Venezuela through democracy promotion and humanitarian aid."
1245406820291747855,2020-04-01 17:44:59,"(1/3) The #Maduro regime appears to have rejected the ‘Democratic Transition Framework’, demonstrating that it is only concerned with maintaining its illegitimate grip on power."
1245404777472819200,2020-04-01 17:36:52,"RT @HouseGOP: It takes just 5 minutes to #BeCounted.
 
You can respond to the #Census2020 three ways:
 
💻 online
📞 by phone
📨 by mail https…"
1245369203881803776,2020-04-01 15:15:30,"RT @MDCPS: Thank you @dominos for your generosity! By providing 46.5k ‘grab and go’ meals, together, we are fighting food insecurity across…"
