id,created_at,text
1247170618220515328,2020-04-06 14:33:41,"The President didn't even bother coming up with an excuse for firing the intelligence community's chief watchdog.

He fired Mr. Atkinson for following the law. https://t.co/f8vhbmPWRe"
1246270815466926081,2020-04-04 02:58:11,The work of the intelligence community has never been about loyalty to a single individual -- it’s about keeping us all safe from those who wish to do our country harm. We should all be deeply disturbed by ongoing attempts to politicize the nation’s intelligence agencies.
1246270616208097280,2020-04-04 02:57:24,"In the midst of a national emergency, it is unconscionable that the President is once again attempting to undermine the integrity of the intelligence community by firing yet another intelligence official, the ICIG, simply for doing his job."
1246131802328227840,2020-04-03 17:45:48,"The #PPPLoan is a lifeline for small businesses…but only if it works. Seeing concerning reports of technical problems with @SBAGov’s E-Tran site preventing loans from getting out to small businesses. I know people are working hard on this, but we need to get it sorted out ASAP."
1246087783225200641,2020-04-03 14:50:53,"RT @Olivia_Gazis: Senate Intel Vice Chairman @MarkWarner calls on OMB to offer clear direction to intel &amp; natsec agencies, many of which ha…"
1245825081730875398,2020-04-02 21:27:00,"From what I can see, Capt. Crozier is a patriot who was just trying to do what’s best for his crew. If this report is accurate, I don’t know why he would be punished for that -- especially with so many lives at stake. https://t.co/BfnegDNeqt"
1245422826858917888,2020-04-01 18:48:35,"I’m concerned about the safety of Virginians serving aboard the USS Theodore Roosevelt who’ve been exposed to coronavirus, but frankly this could happen aboard any Navy ship. 

@TimKaine and I just sent a letter to @SECNAV calling on the Navy to do more to protect our sailors. https://t.co/TBobPghvVr"
1245123904030588930,2020-03-31 23:00:46,Had a call earlier with faith leaders from around Virginia. I'm grateful for their prayers of support and working hard to make sure our congregations are getting the assistance they need. 🙏
1245070965240999936,2020-03-31 19:30:25,RT @WAVY_News: Sen. @MarkWarner will hold a virtual town hall with Virginians on Facebook to tackle questions regarding the coronavirus out…
1245024492931473410,2020-03-31 16:25:45,"A few weeks ago, I’m willing to bet 0/100 Senators had ever used @zoom_us. 

Now here I am, talking to 100+ business owners with @NOVAChamber about how we keep businesses open and workers on the payroll. https://t.co/BIAM3fB9r7"
1244738637343883267,2020-03-30 21:29:51,I also talked with the mayors about how we can make sure funds from the “Phase III” coronavirus bill move quickly to the local communities who need it. We need to do the same for the funding for small and mid-sized businesses.
1244738636240818182,2020-03-30 21:29:51,"Just got off a call with mayors from across Virginia, and I’m hearing a lot of concern for first responders who do not have adequate PPE. We need a coordinated federal supply chain to make sure our police, fire, EMS, and healthcare workers have the gear they need."
1243949924191997952,2020-03-28 17:15:48,RT @GovernorVA: Secretary of Defense @EsperDoD just authorized Virginia's request to fund the @VaNationalGuard to help save lives and prote…
1243592817156513799,2020-03-27 17:36:47,"RT @GovernorVA: I urge the President to quickly approve our request. Thank you to @MarkWarner, @timkaine, and the entire Virginia congressi…"
1243536765077671939,2020-03-27 13:54:03,"RT @LoudounBiz: ""I believe that we will get through this."" 💪

LISTEN to the debut episode of the #LoudounPossible Pod, a Loudoun business-f…"
1243532891180711938,2020-03-27 13:38:39,RT @jpasanello: Thank you ⁦@MarkWarner⁩ ⁦@timkaine⁩ ⁦@ElectConnolly⁩ and especially Va. HD13’s ⁦@pwcdanica⁩.  We know how hard you worked o…
1243208571120160768,2020-03-26 16:09:55,"These kinds of COVID-19-targeted cyber threats are beginning to emerge, and we need to get ahead of them. As we rely on home networks for telework, telehealth, and online education, home network security is key. 

I’ve called on leading device vendors to act. https://t.co/99Jnlqw0tm"
1243197333313073156,2020-03-26 15:25:16,"I just want to say thank you to everyone on the front lines of the coronavirus outbreak. Not only the doctors, nurses, first-responders, but also the food workers, truck drivers, and other folks who maybe didn’t sign up to be on the front lines. You are doing the Lord’s work. https://t.co/xCYmGhTBDL"
1243178138366066688,2020-03-26 14:08:59,"This means immunocompromised kids won’t have to choose between their safety and next meal. We’re going to have to keep pushing for changes like this that keep Virginians safe, and I’m glad to have partners like @TimKaine, @GerryConnolly, @RepSpanberger &amp; @pwcdanica in that fight. https://t.co/dMVRDw6C8b"
1243157089939226625,2020-03-26 12:45:21,"RT @kojoshow: Today's Show: 

1. Will coronavirus change consumer spending habits?

2. U.S. Senator @MarkWarner of Virginia will discuss th…"
1243024065171947520,2020-03-26 03:56:46,"I will remain in close touch with state, local and health officials to ensure that we are doing everything possible to provide the resources needed to fight the coronavirus."
1243024064463220737,2020-03-26 03:56:45,"This is a challenge unlike any we have faced in recent memory, but I believe that we as a country can and will get through this together."
1243024063657885700,2020-03-26 03:56:45,"I strongly urge the House of Representatives to pass the CARES Act without delay, so that we can get this urgently-required relief to those who so badly need it."
1243024062869311489,2020-03-26 03:56:45,"This bipartisan bill also includes a massive infusion of resources for hospitals, frontline caregivers, and states and localities dealing with the brunt of COVID-19."
1243024060684087298,2020-03-26 03:56:44,And it includes tax credits and other incentives I negotiated with the Trump Administration to help small businesses keep workers on payroll and keep them from going out of business during this crisis.
1243024059799085056,2020-03-26 03:56:44,"The CARES Act greatly expands access to unemployment benefits – including, for the first time, gig workers, contractors and the self-employed."
1243024055789371393,2020-03-26 03:56:43,"This is not the first step Congress has taken to deal with the COVID-19 pandemic, nor will it be the last. This bill provides significant financial relief to our families and businesses struggling with the effects of widespread closures and other public health measures. https://t.co/8mr5ECpFY7"
1242858492957995008,2020-03-25 16:58:50,"It is beyond irresponsible for the President of the United States to be misleading the public and spreading half-truths in the middle of a pandemic.
 
When this is over we need to find out how this administration so badly screwed up the testing situation in the first place. https://t.co/7CzJtLNGI4"
1242852107759300609,2020-03-25 16:33:28,"RT @ericgeller: With more Americans working from home, @MarkWarner is asking networking equipment makers Google, Netgear, Belkin, Eero, Asu…"
1242832731530280960,2020-03-25 15:16:28,"It took a lot of hard work with @StevenMnuchin1 , @RonWyden, and @SenatorCardin to get it done, but this is going to mean a lot more people will be able to keep their healthcare and have a job to come back to when this is all over. https://t.co/p1u6tlW81G"
1242828567332954113,2020-03-25 14:59:55,"“If the administration had reacted to the ventilator shortage in February, a private sector effort starting now might have made lifesaving equipment in mid- to late April. Now it is unlikely to be before June.” 
https://t.co/k2kKjosZ8I"
1242621839374987265,2020-03-25 01:18:27,"RT @AlexMillerNews: Senator @MarkWarner says he hopes the expanded unemployment will be a good experiment for our economy.
Warner says he h…"
1242510859861098501,2020-03-24 17:57:28,"RT @Zachary_Cohen: .@MarkWarner on #China/#Huawei providing PPE for Europe's #coronavirus response: ""With President Trump’s retreat from th…"
1242212180537245697,2020-03-23 22:10:37,"I’m hearing every day from doctors, nurses, and hospital management that we need more masks, gowns, and other PPE.
 
Some companies are stepping up, but right now it’s a free-for-all because no one is in charge.
 
Mr. President, invoke the Defense Production Act NOW."
1242194768756707328,2020-03-23 21:01:26,RT @CDCgov: Together we can help stop the spread of coronavirus. Learn ways to protect yourself and others at https://t.co/inSgagJeDe. #COV…
1242190693046550531,2020-03-23 20:45:14,Today marks the ten-year anniversary of the Affordable Care Act. I don’t even want to think about the problems we’d be having right now if the ACA hadn’t provided coverage and protections for pre-existing conditions to millions of Americans. https://t.co/FchLrohPSV
1242168869965398018,2020-03-23 19:18:31,"If taxpayers are being asked to give corporations a multi-billion-dollar lifeline, there need to be some strings attached.
 
We’ve got to make sure that money is spent keeping workers on the payroll, not on stock buybacks or executive compensation."
1240997738990514179,2020-03-20 13:44:52,"How about instead of trying to keep the public in the dark about unemployment data, we focus on trying to help people who are losing jobs and paychecks because of the coronavirus.
 
We will get through this, but fudging the numbers isn’t going to help. https://t.co/J7YN3h4sSq"
1240996208400838656,2020-03-20 13:38:47,RT @YahooFinance: Sen. Warner: Fed needs to lend to Main St. amid coronavirus https://t.co/ioEksf3Qo2 by @bcheungz https://t.co/Yo17fzxwjG
1240749944044244995,2020-03-19 21:20:13,"The federal government stepped in to bail out the banks during the 2008 crisis. 

We should at least provide a lifeline to small and mid-sized businesses, and we need to do it soon. https://t.co/oLWmWUQ4FQ"
1240736166288207880,2020-03-19 20:25:28,Pleased to report that Virginia has received a statewide @SBAgov Disaster Declaration. SBA federal disaster loans are now available to small businesses statewide. Find out more here: https://t.co/NjUA00BjRs
1240684650659446786,2020-03-19 17:00:46,"As the federal government moves into an unprecedented experiment in telework, it’s also expanding opportunities for malicious actors to attack and potentially disrupt vital government services. We need to get ahead of this. https://t.co/HA5NkPams4"
1240633985052573697,2020-03-19 13:39:26,"I’ve been getting calls, emails, even Twitter DMs from Virginians who are stuck abroad amid the coronavirus outbreak. We need an aggressive response from the State Department to get these folks home safe.
 
My letter to @SecPompeo: https://t.co/2yvQmETsDF"
1240446340540350470,2020-03-19 01:13:48,RT @AHLA: Thank you @timkaine and @MarkWarner for raising several ideas to protect hotel industry workers suffering tremendous economic har…
1240392261772423174,2020-03-18 21:38:55,RT @LevarStoney: We have to get money back into our businesses to survive this public health emergency. That’s why I am urging Congress to…
1240388455793901570,2020-03-18 21:23:47,"A few days ago, I sent letters to the largest ISPs calling on them to suspend caps and fees during the coronavirus outbreak. So far @ATT, @Comcast, @CharterNewsroom, @CenturyLink, @TMobile, @Sprint @Verizon, @CoxComm &amp; others have agreed to waive these barriers to tele-presence. https://t.co/7GAUBbDygO"
1240365825841868801,2020-03-18 19:53:52,Attacking the press and stifling accurate coverage of the Chinese Communist Party’s failings while the world is distracted by a pandemic is a deeply cynical move and shows you exactly what kind of regime President Xi is running. https://t.co/8Frbs1ISqj
1240354640669048833,2020-03-18 19:09:25,"The coronavirus outbreak is making it pretty clear our system is just not set up to deal with this. I’m glad @Uber, @Lyft, @DoorDash, @Instacart, and @Postmates have answered my call to assist workers, but we need to figure out a way to help these folks who are struggling. https://t.co/nVhWd1ZoZu"
1240309444338122752,2020-03-18 16:09:50,RT @13NewsNow: Sen. Warner pushing for protections for workers hurt by pandemic's fallout https://t.co/HUuxY0xmNm
1240267573075288068,2020-03-18 13:23:27,RT @tristanharris: “These revelations taken together illustrate yet again what I’ve been saying about the dark underbelly of the entire beh…
1240086698849193984,2020-03-18 01:24:43,"Some companies frequently suggest that collection of users’ web browsing history is trivial. But when ad platforms allow unscrupulous and predatory ads that exploit people’s legitimate fears, the lack of privacy protections has huge consequences."
1240086696278056968,2020-03-18 01:24:42,"Why is @Google still running ads for facemasks and other coronavirus scams? 
 
Despite promises from the company, all it takes is one Google search for ""coronavirus"" and ""mask"" and this is what you get. https://t.co/2UsqviuQzt"
1240016852920795141,2020-03-17 20:47:10,"Much more must be done to stave off a deepening economic recession. One part must be to get cash flow back to small and mid-sized businesses so they can remain open, retain their employees, and survive through this public health emergency. Here's my plan: https://t.co/oi0KoaupAQ"
1239692508453617666,2020-03-16 23:18:21,"This is extremely troubling, especially when the Trump administration keeps telling us they've finally fixed our coronavirus testing shortfalls. 

Why isn't @DeptVetAffairs testing more? https://t.co/oTTs6egVcD"
1239688567510761472,2020-03-16 23:02:41,"RT @Constance8News: Tune in tonight at 7 for the 
@8NEWS
 special report: ""Virginia Responds: Your Questions Answered""

@SpanbergerVA07
 
@…"
1239621590557614081,2020-03-16 18:36:32,We have work to do. Senate GOP leadership should have had us in town through the weekend working on #coronavirus legislation. https://t.co/EZLuVGA4IZ
1239599379520139264,2020-03-16 17:08:17,"RT @mitchellreports: .@MarkWarner: ""I don't think we should have gone out of session on Friday. This is a national emergency. The congress…"
1238611324114014208,2020-03-13 23:42:06,"RT @ChrisVanHollen: Along with @SenatorCardin, @MarkWarner, and @TimKaine, we’re urging financial regulators to use their powers to mitigat…"
1238572317418061825,2020-03-13 21:07:06,RT @SenatorMenendez: Hardworking Americans shouldn’t be hit for going over their data plan as they work from home &amp; practice social distanc…
1238540317068058625,2020-03-13 18:59:57,"It's been a week since I wrote to OPM about this. Federal workers need the flexibility to protect themselves and their families from coronavirus, while also keeping our government up and running during this crisis. https://t.co/5jfqQhYQPT"
1238539893757956097,2020-03-13 18:58:16,"I hope this is in the works already, but federal workers really need to hear from @USOPM soon about telework guidance for next week, especially with all of the school closures."
1238493919878483969,2020-03-13 15:55:35,Add @CharterNewsroom to the list of ISPs stepping up to respond to the #coronavirus outbreak in response to my letter yesterday. Free broadband for students switching to online learning is an important way to help our country through this crisis. https://t.co/e4b6O4BPIu
1238481912563470336,2020-03-13 15:07:52,RT @brodyjab: A big THANK YOU to @MarkWarner @RonWyden @SenWarren @SenatorBaldwin @SenBlumenthal @SenSanders @SenMarkey @SenBooker @timkain…
1238472110860898305,2020-03-13 14:28:55,"RT @RedCross: What do blood and platelet donations have to do with #coronavirus? As concerns rise, there may be fewer people eligible to gi…"
1238466891645100034,2020-03-13 14:08:11,"If you are healthy and able to do so, please consider donating blood to help meet the need during the #COVID19 outbreak: https://t.co/oA9lyYPMdl https://t.co/prVYaPnDAE"
1238280969137897473,2020-03-13 01:49:23,"RT @GeoffreyStarks: Couldn't agree more. More and more schools and businesses are announcing closures this afternoon, and the telecom secto…"
1238277682359676928,2020-03-13 01:36:20,RT @matthewstoller: Good job Senator @MarkWarner for getting ISPs like Comcast and AT&amp;T to act.
1238258947536142338,2020-03-13 00:21:53,I appreciate @ATT &amp; @Comcast taking the responsible step &amp; suspending restrictions that could interfere with the remote technologies we’ll rely on during the #coronavirus outbreak. I hope all ISPs will do so and look for other ways to help our country get through this challenge. https://t.co/GgZ3QbHfjN
1238247797746475008,2020-03-12 23:37:35,RT @ktullymcmanus: Sen. @MarkWarner  @SenSherrodBrown &amp; @SenatorDurbin are urging Congress to protect contract workers who serve the Capito…
1238247747024756740,2020-03-12 23:37:23,RT @SenatorMenendez: BREAKING: @SenateDems are calling on the EU to sanction “Putin’s Chef” Prigozhin ahead of the #2020Election. Prigozhin…
1238211927882584072,2020-03-12 21:15:03,Congress also needs to step up and pass bipartisan legislation like I’ve proposed to improve transparency and accountability when it comes to social media.
1238211926309691394,2020-03-12 21:15:02,"None of us – the executive branch, Congress, the platform companies, or individual Americans – should grow complacent about this threat."
1238211924661284870,2020-03-12 21:15:02,I’ve said for years now that it would be foolish to believe there was only the one well-publicized IRA facility in St. Petersburg. This new reporting is a reminder of the continuing threat we face from Russia and its continuing efforts to divide and manipulate us on social media. https://t.co/WuzDedxNMc
1238208457070784512,2020-03-12 21:01:15,"#COVID19 is already creating an unprecedented need for teleworking, telehealth, and online education technology.
 
ISPs should suspend data caps and overage fees that present a barrier to the telepresence services we’ll need to rely on during the #coronavirus outbreak. https://t.co/u6Zr0TP96K"
1238190608893849601,2020-03-12 19:50:20,"It is so important that we all educate ourselves about #coronavirus. Take a few minutes to look at the @CDCgov’s https://t.co/1W6DNMbGoA page, give yourself a refresh on proper hand-washing, and make sure you know how to protect yourself and your family from #COVID19."
1238165310546509824,2020-03-12 18:09:48,Proud to receive a 100% rating from @LCVoters and stand with @VirginiaLCV members in fighting to preserve our natural heritage for future generations. https://t.co/ycr3tk7BEX
1238128817161584651,2020-03-12 15:44:47,Testing for #COVID19 should be free.
1238125437592776704,2020-03-12 15:31:22,"RT @OpptyatWork: Senator @MarkWarner references the story of two janitors, and how our system is failing STARs like them from the @nytimes.…"
