id,created_at,text
1247332127278063616,2020-04-07 01:15:28,"From what I can see, this is exactly the guy you want in charge when things get tough. There’s a reason he was cheered by his sailors when he was relieved of command.

https://t.co/QEIL50G1aO"
1247212354414280705,2020-04-06 17:19:32,The New Mexicans going above and beyond are an inspiration and give me hope that there's still real good happening in the midst of a daunting time. I’ll be sharing their stories on social media w/ the hashtag #HometownHeroesNM—be sure to follow along and join me in thanking them!
1247212352686219264,2020-04-06 17:19:31,Do you know someone in New Mexico who has made a significant difference in your life or community during the #COVID19 pandemic? Nominate a Hometown Hero here: https://t.co/gzVnW8mnRW #HometownHeroesNM
1247207608047591425,2020-04-06 17:00:40,"With the school year cut short, Andrea Tafoya, a first grade teacher in Las Vegas, drove to visit her students—from a safe distance away in her car—to tell them she's still their teacher &amp; will do everything she can to support them. #HometownHeroesNM https://t.co/4lKw2wor5O"
1247203578399334404,2020-04-06 16:44:39,"Our small business community is finding creative ways to help out fellow New Mexicans. When there were shortages in supplies, the Rolling Still distillery in Taos turned their attention to making hand sanitizer. #HometownHeroesNM https://t.co/gQ44XIhXFW"
1247176632957370375,2020-04-06 14:57:35,"For more guidance on the new face covering recommendation, visit: https://t.co/mVpJStbTS2"
1247176631908737033,2020-04-06 14:57:35,"While 6-feet physical distancing is still the best way to slow the spread of #COVID19, @CDCgov now also recommends using face coverings when going into public places like grocery stores and pharmacies. Here's how to make your own with household items. https://t.co/qyR7z783GB"
1247157771180654592,2020-04-06 13:42:38,The last thing we need is to put our state’s workers and the surrounding communities at risk when they already lack the health care infrastructure to handle this public health crisis. https://t.co/ATLe0eXvAM
1246915314916495365,2020-04-05 21:39:12,"My statement on President Trump firing intelligence community inspector general, Michael Atkinson. https://t.co/k4F2R1Sfml"
1246569958223622147,2020-04-04 22:46:52,"It’s called science. It made the United States of America great to begin with. It’s time to embrace it again.

https://t.co/LGx8kRY3DE"
1245829044437790726,2020-04-02 21:42:45,"In the middle of a public health emergency, POTUS is rolling back #CleanerCars standards. Not only will this worsen the climate crisis, but Consumer Reports analysis indicates it will cost states at least $1 billion in net consumer losses over time. https://t.co/b1mLW6FFj9"
1245760997383643136,2020-04-02 17:12:21,"I sent a letter urging the Trump administration to get desperately needed resources out as quickly as possible to the Navajo Nation, New Mexico’s Pueblos, and the Mescalero and Jicarilla Apache Tribes. https://t.co/IrnAVHKvdI"
1245760996398043136,2020-04-02 17:12:21,"Medical supplies, hospital beds, and health care workers in Indian Country are facing great strains. We must do everything we can to deliver supplies like PPE and ventilators to hospitals and clinics serving tribal communities before it’s too late. #CoronavirusIndianCountry"
1245533090782613506,2020-04-02 02:06:44,Good. Congress made it explicitly clear in the law that Social Security beneficiaries do not need to take any additional action in order to receive their payments. https://t.co/ncX01QKLJK
1245376672091852800,2020-04-01 15:45:11,El censo es confidencial; su información no será compartida con otras agencias. Y el censo NO incluye una pregunta sobre la ciudadanía. Complete el censo para apoyar los programas críticos de los que dependen nuestras comunidades.
1245376671055777792,2020-04-01 15:45:11,"Hoy es #CensusDay, y también es el Día de los Inocentes. Pero contar a todos no es un chiste. El censo ayuda a Nuevo México a recibir su parte justa de los fondos federales. Puede completer el censo por télefono, correo postal, o en línea. Empieza aqui: https://t.co/AnSFuhPgBR"
1245362244810129412,2020-04-01 14:47:51,The census is confidential; your information will not be shared with other agencies. And the census DOES NOT include a citizenship question. Fill out the census to support the critical programs and infrastructure that our communities depend on.
1245362243769860102,2020-04-01 14:47:51,"Today is #CensusDay and it’s also April Fool’s Day. But getting everyone counted is no joke. The census helps make sure New Mexico gets its fair share of federal funds. You can fill out the census by phone, mail, or online. Get started here: https://t.co/AnSFuhPgBR"
1245065024621744130,2020-03-31 19:06:48,"Health care personnel are working around the clock and need all the support we can give. Great work by a group of @UNM med students, who developed a way to connect these workers with volunteers who can help with things like child care and grocery shopping. https://t.co/YiWzA2hdo4"
1245039735229288448,2020-03-31 17:26:19,"The workers who make it possible for more Americans to turn to online shopping in order to comply with physical distance guidelines deserve more than they are getting.

It's critical these workers have access to paid sick leave and a safe work environment. https://t.co/0GKqxyNUB2"
1245008716585406464,2020-03-31 15:23:03,"RT @susanmbryanNM: New Mexico's congressional delegation, tribes, environmentalists and others have called for more time to comment on a pl…"
1244998165121699850,2020-03-31 14:41:08,"This #EqualPayDay, so many New Mexico women are on the front lines of this crisis making sure we're safe and healthy––and they are still earning less than their male counterparts.
 
The gender wage gap hurts families across NM now more than ever. Women deserve equal pay, now."
