id,created_at,text
1247157146686455808,2020-04-06 13:40:09,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1246078964654882816,2020-04-03 14:15:50,"#SmallBiz owners: the Paycheck Protection Program is up &amp; running.  A #PPPloan through SBA is federally guaranteed if used to cover payroll &amp; other business expenses during the coronavirus pandemic. More info available from @SBAgov ⬇️

https://t.co/4LTcyUsrqB"
1246071493093703686,2020-04-03 13:46:09,"RT @WaysandMeansGOP: We are #InItTogether. Thanks to the CARES Act, small businesses can use the #PaycheckProtectionProgram to keep paying…"
1245714481713491968,2020-04-02 14:07:31,"Social Security recipients: you do NOT have to file a tax return to receive a stimulus payment. Per @USTreasury, you will receive the money however you receive your benefits payments automatically.

Thank you @stevenmnuchin1 for simplifying this process for seniors. https://t.co/YhLZw7PIln"
1245462178305576962,2020-04-01 21:24:57,"RT @HSBCgop: 📣 On Friday, applications for the Paycheck Protection Program go live! These loans will support small businesses, 501(c)(3)s,…"
1245461147458961414,2020-04-01 21:20:51,RT @WaysandMeansGOP: The Paycheck Protection Program helps millions of Americans by authorizing up to $349 billion toward job retention and…
1243634172167622667,2020-03-27 20:21:06,"Today I received word that I tested positive for COVID-19. My symptoms are mild, and I will continue serving Pennsylvania's 16th District from home until I fully recover.

Read my full statement here: ⬇️

https://t.co/63g1zGHK9L"
1243593884514557959,2020-03-27 17:41:01,"The CARES Act is headed to @POTUS @realDonaldTrump, and help is on the way to American workers, businesses, and health care heroes. 

https://t.co/DJszPO94TK"
1243227419428995075,2020-03-26 17:24:49,"The Senate CARES bill helps workers during the coronavirus pandemic by temporarily increasing unemployment benefits &amp; expanding access to the self-employed &amp; independent contractors.

Check out the @WaysandMeansGOP's analysis for more info. ⬇️

https://t.co/VvHlL1fJJa"
1242912592315781122,2020-03-25 20:33:48,"RT @GOPLeader: Unlike the financial crisis, this is not the result of fraudulent or irresponsible business practices. This is a black swan…"
1242866596869296130,2020-03-25 17:31:02,"RT @GOPLeader: This is NOT just another political battle. Our country is on the edge, but we must be #InItTogether. Let's send this agreeme…"
1242608321951121410,2020-03-25 00:24:45,"RT @WaysandMeansGOP: Key facts about the Senate’s “CARES” bill. It will:

⏺Give money to American families

⏺Allow folks to pull from their…"
1242489519271747585,2020-03-24 16:32:40,RT @WaysandMeansGOP: Senate Democrats continue to obstruct getting help to Americans that they desperately need as we continue to face a gl…
1242449389085491206,2020-03-24 13:53:12,"RT @GOPLeader: How does bailing out the postal service save lives?
How does ballot harvesting help a family pay rent?
How does regulating a…"
1242441694282481664,2020-03-24 13:22:38,"Rahm Emanuel once said “never allow a crisis to go to waste.”  Chuck Schumer &amp; Nancy Pelosi are following that advice as they obstruct relief for workers &amp; businesses hurt by coronavirus shutdowns. Why? To ram through a series of progressive pet projects!

https://t.co/QkWpWAIbr1"
1242297138232639490,2020-03-24 03:48:13,RT @realDonaldTrump: Republicans had a deal until Nancy Pelosi rode into town from her extended vacation. The Democrats want the Virus to w…
1242251021331677185,2020-03-24 00:44:58,"RT @SteveScalise: Schumer on Saturday: “There's been a great deal of bipartisan cooperation"" on the relief bill.

Schumer Today: Blocked th…"
1242249568395329536,2020-03-24 00:39:11,RT @GOPLeader: Democrats' behavior is a national disgrace. They are blocking aid for sick people and unemployed workers over Pelosi's 𝒕𝒐𝒕𝒂𝒍…
1242180774931116032,2020-03-23 20:05:50,RT @WaysandMeansGOP: Senate Democrats continue to obstruct getting help to Americans that they desperately need as we continue to face a gl…
1242163236155334656,2020-03-23 18:56:08,"RT @senatemajldr: These are just some of the unrelated demands Senate Democrats have used to slow relief for workers and families:
 
✖️ Tax…"
1242132663751921671,2020-03-23 16:54:39,"RT @SenateGOP: ✓ PHASE 1: Passed March 5
 
✓ PHASE 2: Passed March 18
 
✖ PHASE 3: Delayed by Democrats
 
The American people need action N…"
1241880965519224837,2020-03-23 00:14:29,"RT @GOPLeader: Leader Schumer—Americans are sick, losing jobs, and losing hope. Get over yourself, and get back to work."
1241383310766624768,2020-03-21 15:16:59,"RT @GOPLeader: Three very important new developments:
1 - @USTreasury moved Tax Day from April 15 to July 15
2 - @SBAgov announced disaster…"
1241054160801468420,2020-03-20 17:29:04,"At 2:00 p.m., @GovernorTomWolf &amp; Secretary of Health Dr. Rachel Levine will update Pennsylvanians on efforts to combat the coronavirus.

WHAT: Update on COVID-19 via Virtual Press Conference
WHEN: Today, 2:00 PM
WHERE: Live Stream ⬇️

https://t.co/q5q3q69sci"
1241036827978588161,2020-03-20 16:20:11,RT @stevenmnuchin1: I encourage all taxpayers who may have tax refunds to file now to get your money.
1241019835137564673,2020-03-20 15:12:40,"RT @PAHealthDept: Pennsylvanians are asking where they can get masks + personal protection equipment.

The best way to limit your exposure…"
1241006754424672256,2020-03-20 14:20:41,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1241004703078592513,2020-03-20 14:12:32,RT @SBAgov: What's the process for applying for an SBA disaster loan and what documentation is required? This fact sheet breaks it down: ht…
1240669497473880066,2020-03-19 16:00:33,"Want to know how Congress and @POTUS  @realDonaldTrump are fighting the #coronavirus and supporting Americans during this public health emergency?  Check out the detailed summary by @WaysandMeansGOP at the link below. ⬇️

https://t.co/jocxWaKQNL"
1240647803870892032,2020-03-19 14:34:21,"RT @IvankaTrump: The Families First Coronavirus Response Act passed!

+ Free coronavirus testing

+ Paid Sick Leave

+ Paid Leave for careg…"
1240639472187969536,2020-03-19 14:01:14,"This week I urged @USTreasury &amp; @IRSNews to delay the 2020 tax filing deadline beyond April 15 as we confront #coronavirus.

The agency has done so in prior emergencies, most recently to bring relief to victims of hurricanes Harvey &amp; Irma.

#InItTogether

https://t.co/Hm7RDXj4Ob"
1240369046853488642,2020-03-18 20:06:40,"RT @SenateGOP: ✓ PASSED: The Families First Coronavirus Response Act

Here's what it includes ⤵️

+ Free coronavirus testing

+ Paid sick l…"
1240368182604582914,2020-03-18 20:03:14,"RT @SecretaryCarson: Today, HUD is authorizing FHA to provide immediate relief for homeowners amid the national #coronavirus response by su…"
1240362498492170240,2020-03-18 19:40:39,RT @SteveScalise: 🚨 HUGE → @realDonaldTrump directed @HHSGov to issue a regulation to allow all doctors and medical professionals to practi…
1240330887323148292,2020-03-18 17:35:02,"RT @SecretarySonny: 🚨🚨🚨We've partnered with @BaylorCoHP, McLane Global &amp; @PepsiCo to provide 1 MILLION MEALS PER WEEK to rural children in…"
1240330585761091586,2020-03-18 17:33:50,"RT @WaysandMeansGOP: NEWS ➡️ TAX HELP IS HERE. Families and small businesses can defer tax payments for 90 days, in the wake of #coronaviru…"
1240316023078891525,2020-03-18 16:35:58,"""@POTUS and I are deeply proud that the American people have already pulled together in so many ways in response to this virus, just as we’ve always done during other challenging times in our history."" -@VP 

https://t.co/pRBfKQC85S"
1240314421492232193,2020-03-18 16:29:36,RT @ButlerEagle: County commissioners have declared a disaster emergency in Butler County at Wednesday’s press conference with the Butler C…
1240299846503993344,2020-03-18 15:31:41,"RT @PAHealthDept: Fear and anxiety can be overwhelming and cause strong emotions—please remember to be kind to each other online, in person…"
1240299770704527369,2020-03-18 15:31:23,"RT @HouseGOP: What is social distancing?
 
Why are we doing it?
 
Dr. Anthony Fauci, Dr. Deborah Birx, and Surgeon General Jerome Adams exp…"
1240014879978897410,2020-03-17 20:39:20,RT @WHNSC: The United States calls on China’s leaders to refocus their efforts from expelling journalists and spreading disinformation to j…
1239990440151126016,2020-03-17 19:02:13,"RT @SocialSecurity: #BREAKING Due to #COVID19 pandemic, we are closing #SocialSecurity field offices to the public for in-person services,…"
1239989975044755468,2020-03-17 19:00:22,"RT @WhiteHouse: NEW: Medicare will dramatically expand telehealth services in response to the Coronavirus.

Medicare patients can now visit…"
1239983842347401217,2020-03-17 18:36:00,"Great news for America's seniors! @POTUS @realDonaldTrump is expanding access to telehealth services through Medicare.

This will allow seniors to receive safer care as we combat #coronavirus. https://t.co/T20fGMvasL"
1239971600717336576,2020-03-17 17:47:21,"RT @KrogerNews: “Be patient. Be kind to one another and our associates. Shop responsibly and purchase what you need, knowing that we will c…"
1239955721321697281,2020-03-17 16:44:15,We all have a part to play to slow the spread of #coronavirus. Young and healthy people have a crucial role in getting us through this public health emergency. https://t.co/jba898KQfs
1239714637463126022,2020-03-17 00:46:17,"RT @NIH: Launched in record speed, #NIH started enrollment for a Phase 1 #clinicaltrial of an investigational vaccine for #COVID19 for heal…"
1239654832279113729,2020-03-16 20:48:38,RT @realDonaldTrump: I ask all Americans to band together and support your neighbors by not hoarding unnecessary amounts of food and essent…
1239651972594241536,2020-03-16 20:37:16,"Together, we can slow the spread of coronavirus, ease the burden on our most vulnerable populations, and prevent our healthcare system from being overwhelmed by new cases.

Check out @POTUS @realDonaldTrump’s coronavirus guidelines for America. https://t.co/oPTtcYhL3Q"
1239375144352649217,2020-03-16 02:17:15,"RT @GOPLeader: While Americans are being vigilant with social distancing, our medical professionals are fighting on the front lines of this…"
1239203295102713859,2020-03-15 14:54:23,"RT @PAHealthDept: ➡️ Are you a patient and think you may need tested for #COVID19? 

➡️ Are you a provider who has a patient that you think…"
1238905944970612737,2020-03-14 19:12:49,"RT @WhiteHouse: The bipartisan Coronavirus aid package the House approved includes:

✔️Free tests for Americans who should be tested
✔️Paid…"
1238566070706933760,2020-03-13 20:42:17,"RT @PAHealthDept: 🔴 LIVE at 5 pm: @GovernorTomWolf, @SecretaryLevine, @PADeptofEd + @PAChamber will provide an update on #COVID19 and outli…"
1238565837839237123,2020-03-13 20:41:21,RT @Mike_Pence: We’re bringing an all of America approach to confronting the Coronavirus and putting the health and safety of the American…
1238557337218093058,2020-03-13 20:07:35,RT @GOPLeader: Very supportive of President Trump’s declaration of a National Emergency. It’s the right next step to protect our citizens a…
1238557158129745922,2020-03-13 20:06:52,"Thank you @POTUS @realDonaldTrump and @VP for bringing the goverernment and private industry together to fight the #coronavirus. 

Americans will defeat this threat. https://t.co/wqf9S2mUni"
1238540992581640194,2020-03-13 19:02:38,RT @PAStatePolice: Community Awareness Bulletin 01-2020: Coronavirus Related Scams. View PDF ➡️ https://t.co/w1YhvZcKV2 https://t.co/SzNYKB…
1238530281864339456,2020-03-13 18:20:04,"We will defeat the #coronavirus.  Most who contract this disease will have mild symptoms, but together we can slow the spread to the elderly &amp; those with underlying medical conditions who are at particular risk.

For key info, please visit my website. ⬇️

https://t.co/JpBcCAGHpj"
1238496334669385728,2020-03-13 16:05:10,"RT @PAHealthDept: ➡️ Think you may need tested for #COVID19? 
𝗥𝗲𝘀𝗶𝗱𝗲𝗻𝘁𝘀: contact your health care provider. No provider? Call 1-877-PA-HEAL…"
1238489400406925317,2020-03-13 15:37:37,"RT @PAHealthDept: PA now has 22 presumptive positive + 6 confirmed cases of coronavirus. Total cases = 28
Counties impacted to date:
• Buck…"
1238275282353754114,2020-03-13 01:26:48,"RT @GovernorTomWolf: Pennsylvanians with recent travel history and those who have been in contact with a known #COVID19 exposure:

Call the…"
1238117287871340544,2020-03-12 14:58:59,RT @WaysandMeansGOP: Congress provided over $8 billion in funding so that the health professionals are better equipped to combat the #coron…
1237939440439496704,2020-03-12 03:12:17,"RT @WaysandMeansGOP: From @realDonaldTrump on #coronavirus: Our economic prosperity gives us flexibility, reserves, &amp; resources to handle a…"
1237819154952007681,2020-03-11 19:14:18,"RT @HHSGov: Know the symptoms of #COVID19. These include mild to severe respiratory illness with: 
     • Fever
     • Cough
     • Shortne…"
1237815654117498880,2020-03-11 19:00:24,"RT @realDonaldTrump: America is the Greatest Country in the world. We have the best scientists, doctors, nurses and health care professiona…"
1237743680401932289,2020-03-11 14:14:24,"RT @WaysandMeansGOP: Here’s what you need to know about the fight against #coronavirus:

▶️ Seniors are covered for tests under Medicare Pa…"
1237530372872626176,2020-03-11 00:06:47,"RT @GOPLeader: Here we go again.→ Democrats are trying to score political points by calling Republicans racist.

Coronavirus is a China-bor…"
1237412833341603841,2020-03-10 16:19:44,RT @Mike_Pence: Keep yourself and those around you safe from the Coronavirus: https://t.co/XHz9BWzxq0
1237407501936742400,2020-03-10 15:58:33,RT @Surgeon_General: There is no better time than now to practice #PublicHealth prevention. Everyone should follow daily measures to preven…
