id,created_at,text
1247337315686645761,2020-04-07 01:36:05,"President Trump undermining the work of @OIGatHHS, an independent entity solely focused on accountability &amp; oversight, is downright dangerous. This is a frightening time, and the American people need solutions and truth—not denial. https://t.co/Cf0Q20WTz5"
1247322756624105474,2020-04-07 00:38:13,"New grants, loans, and other assistance are available for small businesses struggling to make ends meet because of the coronavirus pandemic. Learn more about what’s available and how to apply. https://t.co/zpSRlXutnM"
1247282937826926592,2020-04-06 22:00:00,"I will not let the Trump Administration turn a blind eye to the health care workers &amp; nurses in WA &amp; across the country who are on the frontlines of the coronavirus pandemic and need more personal protective equipment. 
https://t.co/A1O8QFHZF5"
1247241413374259201,2020-04-06 19:15:00,".@rosadelauro and I demanded the Trump Admin make sure children who are being held at the border are treated properly. Keeping people—esp. children— in custody for unnecessary periods of time may have lethal consequences during this pandemic. 
https://t.co/dupDGFZSL2"
1247221280769814529,2020-04-06 17:55:00,".@SenatorCantwell and I urged the President to make sure tribal provisions in the CARES Act are implemented quickly and effectively as tribes in WA state and across the country work to respond to the coronavirus crisis. 
https://t.co/JdAw1G4YSv"
1246955139325403137,2020-04-06 00:17:27,"While the coronavirus pandemic upends the lives of families &amp; communities across the country, Republicans are still callously trying to take away your health care.
https://t.co/vqflPzjXoh"
1246901872562262018,2020-04-05 20:45:47,"Right now, improved internet access is crucial to helping families work and learn from home &amp; access telehealth resources. I joined @SenateDems to call for better internet service for people with low incomes impacted by the coronavirus pandemic.
https://t.co/8mbPtlGqHK"
1246858881571205121,2020-04-05 17:54:57,"Great news—@WAplanfinder extended the special enrollment period to May 8. If you’re a Washington state resident who currently doesn't have health insurance and you qualify, sign up now.
https://t.co/CGJOAWoUgq https://t.co/Cw2RliLZfa"
1246603445215338499,2020-04-05 00:59:56,"Now is not the time to retreat—we all must continue to stay home, practice social distancing, and wash our hands. These critical steps will help slow the spread of the coronavirus.
 
Check out the latest @CDCgov guidance here:
https://t.co/on6itq2vQv"
1246564698419535872,2020-04-04 22:25:58,"The next coronavirus relief package must include additional support to expand home internet access so more students can access online learning while schools are closed.
https://t.co/EqifGmR1a9"
1246534612949651458,2020-04-04 20:26:25,"I fought to include a provision in the CARES Act that will help ensure all Hanford and PNNL workers, including those who can’t telework, won’t miss a paycheck while clean-up work is stopped. 
https://t.co/2yeARqdxBW"
1246498665805615104,2020-04-04 18:03:35,"I will not sit by while the Trump Administration creates loopholes in laws that Congress passed. @USDOL must rewrite the paid leave guidance so it is implemented as intended and workers receive the paid leave this law guarantees.
https://t.co/PBsqS5Wcf2"
1246242330232983554,2020-04-04 01:05:00,"I'm glad WA received $50M+ from the CARES Act to support critical housing needs during this crisis, but it’s only a first step. I won’t stop fighting to make sure WA has the funding to help keep families off the street as we work to slow the virus’ spread. https://t.co/5AXTTUuwdl"
1246230250603679744,2020-04-04 00:17:00,"During this uncertain and frightening time in our country, it's important to connect with loved ones, take a break from reading the news, and get some fresh air (while social distancing!).
 
We are in this together, and we will get through it together."
1246222197506490369,2020-04-03 23:45:00,"The CARES Act's direct payments will help workers &amp; families nationwide during this uncertain time. If you're wondering:
 
💰 how much you'll receive,
📅 when you'll receive the payment, or
📨 how you’ll receive the payment,
 
learn more here:
https://t.co/l9Z2wV8jnf"
1246211124695052290,2020-04-03 23:01:00,I absolutely will not allow our special education law to be waived and will protect students’ rights. @BetsyDeVosED should not take advantage of the coronavirus crisis to suggest pulling back protections for students with disabilities. https://t.co/VRuwbdvich
1246199044776644615,2020-04-03 22:13:00,"Today I spoke with WA state small business owners about how hard the coronavirus pandemic has been on them, their families, their businesses, and their employees. Their feedback will be helpful as I keep fighting for the assistance they need to get through this crisis. https://t.co/cWEQJxOS72"
1246191998429614081,2020-04-03 21:45:00,".@rosadelauro and I urged @SecAzar to address the shortage of life-saving medical equipment in our Strategic National Stockpile. This equipment is central to our coronavirus response and could help save hundreds of thousands of lives.
https://t.co/vKTXEyiC5a"
1246173124917366786,2020-04-03 20:30:00,".@SenateDems &amp; I are committed to making sure tribes in WA &amp; nationwide have what they need to address the coronavirus pandemic in Indian Country. $10 billion is a start, but there's more to do to support tribal families and communities during this crisis.
https://t.co/OHo9uplvLH"
1246154249823813633,2020-04-03 19:15:00,"The lack of sufficient coronavirus testing in Washington state &amp; across the country isn’t just unacceptable, it’s dangerous. I will keep pushing the Trump Administration to ramp up testing capacity as fast as possible. 
https://t.co/Rf0NynYs0a"
1246135627248062464,2020-04-03 18:01:00,"It's critical that we help small businesses survive the coronavirus crisis, &amp; the Paycheck Protection Program was designed with that in mind. Starting today, small biz owners can apply for forgivable loans to help pay workers &amp; more. Click below for info. https://t.co/AjbKvaCwW2"
1246113112434118656,2020-04-03 16:31:32,"This is just wrong. The point of the stockpile is to provide states like WA the additional supplies they need to keep patients alive at times like this. The Trump Admin needs to stop playing politics, get its act together, &amp; get states and communities the support they need—now. https://t.co/RSy7wHGMfh"
1245852259877097478,2020-04-02 23:15:00,"If your small business is struggling right now because of the coronavirus pandemic, learn more about new federal resources and support available to help your business get through this challenging time. 
https://t.co/074X8jlL9T"
