id,created_at,text
1246211865648250881,2020-04-03 23:03:56,"As America experiments with government ownership of business, we should not forget the disaster that socialism was and still is! https://t.co/4fMtcaDC2t"
1246092388008853507,2020-04-03 15:09:11,Congrats to Judge Justin Walker on his nomination to the DC Circuit. Great decision by @POTUS to pick from outside the swamp! I was proud to recommend him for the federal bench in KY &amp; know he’ll be an impartial defender of our Constitution at the nation's #2 most powerful court.
1245373609452937218,2020-04-01 15:33:01,"""Former Kentucky basketball star Rex Chapman announced Monday the first recipients of grants from his COVID-19 Relief Fund."" https://t.co/sfDAc6nP9f"
1245335779657822210,2020-04-01 13:02:41,The Constitution guarantees an individual right to keep and bear arms. The protections afforded by the 2nd Amendment are indispensable and they have served our nation well through tranquil times as well as turbulent ones. Our circumstances are no different https://t.co/7fHEoQSYHD
1245034963780751371,2020-03-31 17:07:21,"The protections afforded by the Second Amendment are indispensable, and they have served our nation well through tranquil times as well as turbulent ones. Our current circumstances are no different. Read more here: https://t.co/kYKPbHHE2h https://t.co/QBAPzWhEVx"
1245004514643652608,2020-03-31 15:06:22,Part of my commitment to always putting Kentucky first means looking ahead and taking action immediately to ensure the Commonwealth’s needs are prioritized when disasters affect our communities. Read more here: https://t.co/EZUkrXad5E
1243951618825035776,2020-03-28 17:22:32,"Rest In Peace Tom. Kelley and I are praying for the entire family. A Republican, who believed that deficits, do indeed matter.  https://t.co/hxYz8XvNnc"
1243664392652292097,2020-03-27 22:21:12,"In times of panic, it is good to have someone with a cool, level MIT head asking the tough questions. Thank you @RepThomasMassie"
1242897517123186688,2020-03-25 19:33:54,Wishing all our soldiers well on their deployment. https://t.co/AGNfpLrZC2
1242847149370544128,2020-03-25 16:13:46,Our office is ready to provide assistance to all Kentuckians in need of help navigating the federal response and ongoing community needs related to COVID-19. View our full coronavirus resource guide here: https://t.co/YOMGMYR9oq
1242211189079322624,2020-03-23 22:06:41,RT @kelseyc00per: I also attended the Speed Museum Ball w/ Sen. Paul and his wife Kelley. We all received the same guidance from public hea…
1242174364772155392,2020-03-23 19:40:21,"Kelley and I, wish John a speedy recovery.  https://t.co/1s8L0jJJzu"
1242134885034348549,2020-03-23 17:03:28,"Statement from Senator Rand Paul: 
https://t.co/L3dA7FkReg"
1242083064253120513,2020-03-23 13:37:33,RT @IvankaTrump: https://t.co/YAYqzQQohP
1241899783570284545,2020-03-23 01:29:16,Thank you Mr. President! https://t.co/GIsaQTbgQU
1241834265580638210,2020-03-22 21:08:55,RT @dcexaminer: .@RandPaul is not interested in voting for any monstrosity that explodes our nation’s debt so we can send checks to rich pe…
1241820090804379654,2020-03-22 20:12:36,"We want to be clear, Senator Paul left the Senate IMMEDIATELY upon learning of his diagnosis. He had zero contact with anyone &amp; went into quarantine. Insinuations such as those below that he went to the gym after learning of his results are just completely false &amp; irresponsible! https://t.co/yqfxydsXBG"
1241780759087677440,2020-03-22 17:36:18,"He expects to be back in the Senate after his quarantine period ends and will continue to work for the people of Kentucky at this difficult time. Ten days ago, our D.C. office began operating remotely, hence virtually no staff has had contact with Senator Rand Paul."
1241780756617273345,2020-03-22 17:36:18,Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was tested out of an abundance of caution due to his extensive travel and events. He was not aware of any direct contact with any infected person.
1241523042699878402,2020-03-22 00:32:14,"We absolutely must, must, resist government run amok taking advantage of a crisis.  This is how your liberty dies. Stand up America and resist. 

DOJ seeks new emergency powers amid coronavirus pandemic - POLITICO https://t.co/kN6twMTR4f"
1241375115557974017,2020-03-21 14:44:25,My prescription for combating the coronavirus crisis. https://t.co/V5MHbuvdlJ
1241090125372817408,2020-03-20 19:51:58,"RT @RandPaul: For everyone who's looking for Coronavirus resources:
· Coronavirus Guidelines for America: https://t.co/2ttY7E0opK
· The fed…"
1241088087347920896,2020-03-20 19:43:52,"American ingenuity steps up to fight Coronavirus:

Novartis, Mylan and Teva to supply tens of millions of chloroquine tablets to fight COVID-19 | FiercePharma https://t.co/1VK8j40akd"
