id,created_at,text
1247231820388802561,2020-04-06 18:36:53,"Trump's conduct at his coronavirus “briefings”—spreading misinformation, contradicting medical experts, and attacking reporters—demonstrates both a lack of leadership and why we need real oversight.

His decisions now are a matter of life and death. Accountability matters. https://t.co/xWEndr0Jdt"
1246986615462993925,2020-04-06 02:22:31,"A powerful message from Inspector Gen. Atkinson after his retaliatory firing:

“The American people deserve an honest and effective government. They are counting on you to use authorized channels to bravely speak up...

“Please do not allow recent events to silence your voices.” https://t.co/J6lCRHDSeJ"
1246564448036433921,2020-04-04 22:24:59,"Trump just admitted firing Inspector General Atkinson as retribution.
 
“He’s a total disgrace.”

Actually, he abided by the law and the complaint was spot on.

Someone who follows the law and their conscience is no disgrace.

A president that fires him, he’s the disgrace. https://t.co/9N410DQuL7"
1246537497359912960,2020-04-04 20:37:53,"In the midst of a global pandemic, with thousands of Americans dying, what is Trump doing?

Retaliating against perceived enemies. Putting cronies in charge of oversight. And gutting the independence of the intelligence community.

All to hide the truth.

He will not succeed. https://t.co/vJLRwH1Jnt"
1246463430686576640,2020-04-04 15:43:34,"After being caught trying to cheat in the next election, Trump opposes vote by mail over concerns about “cheating.”
 
Nonsense. He prefers making voting dangerous for millions of Americans if it helps his re-election.
 
Every American must be able to cast a secure ballot by mail. https://t.co/tARS7ub9ng"
1246265995435573250,2020-04-04 02:39:02,"Trump’s dead of night decision to fire ICIG Michael Atkinson is another blatant attempt to gut the independence of the Intelligence Community and retaliate against those who dare to expose presidential wrongdoing.

It puts our country and national security at even greater risk. https://t.co/Pnm7chdIkl"
1246078792470274048,2020-04-03 14:15:09,"It's not too early to conclude a bipartisan after-action review of this crisis will be necessary.

To assess what went wrong, what went right, and protect us in the future.

The American people deserve no less.

I'm circulating a bill to accomplish this: https://t.co/mJddc3ilva https://t.co/I7WI7tV6u1"
1245858907882270721,2020-04-02 23:41:25,"First, Trump says he alone will do the oversight on billions in relief money.

Then, he says he’ll ignore the transparency provisions required by Congress.

Now, he says any oversight is a “witch hunt.”

But here’s the truth:

Real oversight is vital, because incompetence kills. https://t.co/sSC4RiN0tk"
1245736106475302913,2020-04-02 15:33:27,"We're in the eye of the storm now, but we will get through this.

And when we do, we'll need to review our Coronavirus response in a nonpartisan fashion to ensure we're better prepared for the next pandemic.

I'm working on a bill to establish a 9/11-style commission to do so: https://t.co/2CvokGyX8Y"
1245503612048019459,2020-04-02 00:09:36,"We lost precious weeks in responding to the coronavirus pandemic. But it's not too late for us to make the right decisions to slow the spread.

A nationwide stay-at-home order. Increasing testing capacity. Investing in vaccine research and development.

What we do now matters. https://t.co/Av2dvgB3G3"
1245352023433887744,2020-04-01 14:07:14,"After Pearl Harbor and 9/11, we looked at what went wrong to learn from our mistakes.

Once we've recovered, we need a nonpartisan commission to review our response and how we can better prepare for the next pandemic.

I’m working on a bill to do that.

https://t.co/uqO3BwVldN"
1244757876108857349,2020-03-30 22:46:18,"A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to account.

But local papers are being stretched by the coronavirus crisis.

If you can, this is a great time to subscribe and support your local papers."
1244684960428105729,2020-03-30 17:56:34,"This is how democracies die:

When they cede too much power, give in to the decrees of an autocratic ruler, punish dissent, and forget the past horrors of dictatorship.

Democratic freedoms must be safeguarded, especially in times of crisis. https://t.co/brYmZ3JJcu"
1244434329381502977,2020-03-30 01:20:39,"New crisis, same narcissism.

The President considers himself the state and finds its interests and his own indistinguishable.

But America is so much more than any one person. She is strong, generous and resilient. Everything he is not.

That is why we will overcome. https://t.co/rC1TtczN19"
1243953375105945601,2020-03-28 17:29:30,"Many Americans are wondering how the $2 trillion funding package will provide real relief.

How will it help us weather the impacts of this crisis? How will it help American families like mine? Workers? Small businesses?

Here's how this bill can help:

https://t.co/KKyP2sblNr"
1243685801650720769,2020-03-27 23:46:16,"Whether it’s military aid or ventilators, a foreign ally or an American governor, 

I’ve said it before, and I’ll say it again:

You cannot count on Donald Trump to do what’s right for this country.

You can count on him to do what’s right for Donald Trump. https://t.co/f3JJprk3uJ"
1243614990776635393,2020-03-27 19:04:53,"As usual with “this” president, Donald Trump defects responsibility for his own failures and incompetence.
 
Stop talking about invoking the Defense Production Act — and just do it.
 
How many Americans must struggle to breathe before you act? https://t.co/0VoO4UV2Is"
1243596327591858178,2020-03-27 17:50:44,"We cannot see what course this virus will take.

As John F. Kennedy once said, many months of sacrifice and self-discipline lie ahead.

But we will rise to meet the challenge. Our healthcare workers already are.

To help them and all American families,

I voted YES. https://t.co/Xpmv5y6lJ9"
1243217906101628930,2020-03-26 16:47:01,"This $2 trillion relief package will help American workers, families, and small businesses weather the impacts of this crisis.

There's more to do, and we must keep working to protect those who need it most.

These are difficult times, but we will get through them. Together. https://t.co/0B3Bx4g5pV"
1243175092693143554,2020-03-26 13:56:53,"It can be difficult to discern good coronavirus information from misinformation. To make matters worse, Trump’s briefings are now like rallies, more self-promotion than insight.

To help, here’s a valuable summary of where we are and what we know:
https://t.co/wvGWpTXrpt"
1242503393559658497,2020-03-24 17:27:48,"First Trump fails to take Coronavirus seriously, losing precious weeks.

Then claims he’s a wartime president and follows expert advice.

Now he's going weak at the knees watching Fox and debating deadly laxity.

Leaders make tough calls for the greater good.

Based on facts."
1242255665151836161,2020-03-24 01:03:25,"The same guy who said “I alone can fix it,”

And then said “I take no responsibility,”

Now wants to be in charge of a $500 billion slush fund with the power to reward friends and punish enemies, and says, “I will be the oversight.”

My answer: “No you won’t.” https://t.co/8SKWPxxYBE"
1242159561320075264,2020-03-23 18:41:32,"Experts agree: Coronavirus can be stopped.

We need to listen to scientists and doctors. Practice rigorous social distancing. Restrict non-essential activity. Make tests widely available. Produce more ventilators and masks.

We can do this — and will — by working together. https://t.co/xdwNReNsOh"
1242087554528223233,2020-03-23 13:55:24,"We need to put families first, not corporations.

A $500 billion slush fund where states have to compete with big businesses?

Controlled by Secretary Mnuchin with no oversight, transparency, or protections for taxpayers?

That should be unacceptable to everyone. https://t.co/BsJwjgOCy9"
1241504277048238080,2020-03-21 23:17:40,"We need to bring people together to fight Coronavirus.

Blaming China may seem like good politics, but it doesn’t solve anything, or mitigate the Trump Administration’s failures.

Calling it the “Chinese virus” only breeds disunity, discrimination and division.

Enough already."
1241180614117797889,2020-03-21 01:51:33,"Months ago, I warned the Intelligence Community was being politicized by Trump.

Withholding testimony on climate, and documents on Russia and Ukraine. 

Purging community leadership, and misleading on election interference.

This is dangerous. And just the way Trump wants it. https://t.co/qQuydzlkgR"
1241107974388678656,2020-03-20 21:02:54,"Congress is doing its job by providing emergency funding. But the president must do his.
 
Where are the tests?
Where are the field hospitals?
Where are the ventilators?
Where are the masks?
 
We won’t be distracted by his baseless attacks on the press."
1241060606377168896,2020-03-20 17:54:41,"A real president would answer:

We will tap into the immense talents of the American people to find effective treatments and a vaccine and produce all the ventilators and gear we need.

We’ll respect and care for each other even at a distance.

That‘s how we’ll get through this. https://t.co/IQM2IG3XQ5"
1241018889674412032,2020-03-20 15:08:54,"Last night, California issued a mandatory, statewide order to stay at home.

Essential services like health care, groceries, and banks will remain open.

The rest of us must do our part – now – to flatten the curve.

We will get through this, as a community, state and nation. https://t.co/PrAFu8lnWG"
1240707074310295552,2020-03-19 18:29:52,"Freelance, contract and gig economy workers are being hit hard by the economic impacts of this pandemic.

Especially my constituents in the entertainment industry.

Many can’t qualify for unemployment or other benefits.

We are working to fix that in the next relief bill: https://t.co/Ny3qhPXEXV"
1240646380915474432,2020-03-19 14:28:41,"Our nurses, doctors, and hospital staff are telling us that they need more ventilators and protective gear. Now.

This isn't a future problem. There’s no time to delay.

The President must use every power to increase critical medical supply production. Lives are at stake. https://t.co/t5THjs8g8G"
1240052472435138560,2020-03-17 23:08:43,"Health care workers and hospital staff are our first line of defense against Coronavirus — and they’re telling us they don’t have sufficient supplies.
 
President Trump must use his authority under the Defense Production Act to address this critical medical supply shortage. https://t.co/d0uTarH6UU"
1240009402364710915,2020-03-17 20:17:34,"This brazen assault on the free press by the Chinese Communist Party is appalling.

That it occurred in the midst of a public health crisis, when the flow of unbiased information to the public is critical, is also dangerous.

China’s attempts to silence the truth must not stand. https://t.co/Sd6krWKysY"
1239929409647316994,2020-03-17 14:59:42,"The doctors, nurses and other health care workers treating patients and keeping our hospitals &amp; clinics open are heroes.

To help, we must do all we can to flatten the curve so they can care for the most at-risk patients.

Thinking of them as we do our part and keep our distance. https://t.co/d8ZrdYuvng"
1239653798425120776,2020-03-16 20:44:31,"We need an economic response to this crisis as well as a health response.

Let’s start by keeping it simple.

An immediate payment of $1,000 for every adult. $500 for every kid.

This will help keep families afloat and businesses that depend on them.

We are all in this together."
1239281337040867336,2020-03-15 20:04:30,"I’m working (and tweeting) from home today. And will be for some time.

Not just because someone I know came down with the virus. But because it’s good for everyone. 

Slowing the rate of infection means hospitals won’t be overwhelmed, which saves lives.

Help flatten the curve. https://t.co/DYGThKBgPm"
1239258579821092871,2020-03-15 18:34:04,"Mr. President, keep your focus on the current crisis. The delay in testing and your failure to lead are already costing us dearly.

Your attacks on the independence of the justice system and rewarding of cronies who lied for you can wait.

Incompetence kills. https://t.co/uebbLzWBtE"
1239214809629036545,2020-03-15 15:40:08,"I was informed that a former staffer who left our office 10 days ago has tested positive for COVID-19.

Although doctors believe the staffer contracted the virus after leaving my office, I'm taking additional distancing precautions, including postponing meetings and teleworking: https://t.co/EfwsDo1BZG"
1238893745866772481,2020-03-14 18:24:21,"The House passed legislation to respond to the health and economic crisis.

This is just a first step.

I represent thousands in the entertainment industry who have lost their jobs, but may not qualify for unemployment insurance.

More will be needed for Americans, everywhere."
1238691015403417600,2020-03-14 04:58:46,"The House just passed another bipartisan bill putting American families first as we respond to Coronavirus:

Coronavirus tests at no cost to all who need them. Paid sick leave, expanded food security, enhanced unemployment insurance and more. 

We’re all in this together."
1238497561012510720,2020-03-13 16:10:03,"Hundreds of constituents have contacted our office with questions about Coronavirus, so I sat down with Dr. @RebeccaKatz5, a public health and infectious disease expert, to get answers.

Our first defense is good information.

Watch our conversation:
https://t.co/WvGAWCmSUF"
