id,created_at,text
1246877709197873159,2020-04-05 19:09:46,"Today, I condemn Texas Governor Greg Abbott’s failure to protect innocent lives. Watch live here:

https://t.co/ptuadZB1kL"
1246498455700353024,2020-04-04 18:02:45,"At Southern News Group with Chairman &amp; CEO Mr. Wea Lee, distributing 10,000 procedural masks to the City of Houston. Watch live at the link below!
https://t.co/TZYCf0Gr1E"
1245349281307004929,2020-04-01 13:56:20,"Small business owners, micro business owners, and self-employed individuals! Don't miss this webinar with SBA reps today at 12 PM CST! https://t.co/sXnQ0BZCWG"
1245343069588860931,2020-04-01 13:31:39,It's #CensusDay2020! Have you been counted? https://t.co/7mU4tovw2A
1245038797982703625,2020-03-31 17:22:35,"If you have a small business that has been impacted by #COVID19, join us TOMORROW at 12 noon CST to learn about the opportunities for which your business may qualify. https://t.co/tTENPLOZ7b"
1244618885179027456,2020-03-30 13:34:00,RT @JohnBonifaz: Trump's reckless response to this pandemic is an impeachable offense. Given that Trump is a direct and serious threat to o…
1243946430282137602,2020-03-28 17:01:55,Live from Mevo https://t.co/EzwBdQHF0e
1243647290100912134,2020-03-27 21:13:14,Missed my Floor speech on the CARES Act today? Watch it here: https://t.co/T9yMwv3nwb
1243632891843809287,2020-03-27 20:16:01,"Proud to support the $2T emergency COVID-19 relief package, the CARES Act, which has passed the House today. For my detailed thoughts on the bill, visit my website here:
https://t.co/yCQSLpmBfo"
1243326859733073925,2020-03-26 23:59:57,"I'm headed back to Washington, D.C., to vote on the CARES Act. I am proud to continue to fight for the needs of my constituents and all Americans during this unprecedented #COVID19 crisis."
1243326720192774146,2020-03-26 23:59:24,".@realDonaldTrump enough with the fake news! 
The American people demand the truth. #FactsMatter"
1243284404497252352,2020-03-26 21:11:15,RT @RepFletcher: The @TXWorkforce Commission's ability to help newly unemployed people relies on state administrators providing guidance an…
1243012750999203844,2020-03-26 03:11:48,RT @texashospitals: Do you have extra medical supplies that can be used to help fight #COVID19 in TX? There is a central hub where you can…
1242559674253221888,2020-03-24 21:11:26,"I traveled to Washington, D.C., to introduce 3 bills for the next #coronavirus response package. For exclusive coverage on my experience, please read here: 
https://t.co/KvHjcOPFCi"
1242505959001534465,2020-03-24 17:37:59,"To whom it may concern,

Decisions about going back to business as usual during a pandemic should be medical NOT political. We should rely on Dr. Fauci‘s medical expertise regarding #COVID19 NOT President Trump’s political whims. #NotDying4WallStreet"
1242487872860704768,2020-03-24 16:26:07,"RT @SpeakerPelosi: The best way to protect our economy in this crisis is to protect workers &amp; families, who are the life-blood of it. That…"
1241849425116270592,2020-03-22 22:09:10,Live from Mevo https://t.co/mVDqyrq9wu
1241089490502012928,2020-03-20 19:49:27,"Missed the LIVE press conference? Here are my thoughts on the opening of the first city-county drive thru #COVID19 testing site in Houston. #HoustonStrong
https://t.co/rKV44Ju2Fu"
1241054961263403009,2020-03-20 17:32:15,There are people who are suffering. I extend my prayers and my concerns for all who are suffering from #COVID19. This is a time of great need for a good many people. This is what the government is for. The government is for the people during a time of crisis.
1241051339205021699,2020-03-20 17:17:51,"Not on Facebook? 
Watch LIVE here. Proud to have the first city-county drive thru testing site in my congressional district at Butler Stadium. https://t.co/pKfyfMeMFr"
1241049535486574593,2020-03-20 17:10:41,Special announcement with @houmayor at City Hall! Watch LIVE via https://t.co/9dpis4mqRx.
1240401152539230208,2020-03-18 22:14:14,My proposal for offering 0% loans to minority banks was adopted today as part of @RepMaxineWaters’ COVID-19 relief package. @FSCDems are hard at work on economic relief for all of our communities during this time of hardship. https://t.co/HVQjOfZRbp
1240307345646915584,2020-03-18 16:01:29,"RT @AURNOnline: AURN Washington Bureau Chief @AprilDRyan speaks with #Texas @RepAlGreen about @realDonaldTrump $1trillion stimulus plan, ho…"
1240290448603844610,2020-03-18 14:54:21,"🚨IMPORTANT #COVID2019 UPDATE🚨
Effective immediately, my congressional staff will practice social distancing by teleworking as a result of COVID-19. We urge you to take the necessary precautions to protect your health and the health of others.  
https://t.co/6GG5JZ6BIj"
1238817993016172548,2020-03-14 13:23:20,"An impeached president who's been exposed to #coronavirus, but does not get tested, while encouraging others to be tested for the virus is worse than a bad example. He is unfit and constantly shows us why he should have been removed from office by the Senate. #CoronaVirusUpdates"
1237798313770078209,2020-03-11 17:51:29,"While @RODEOHOUSTON is an annual attraction that I'm proud to hold in the 9th Congressional District of TX, I'm supportive of the decision to close due to COVID-19 concerns. We must take the risks seriously &amp; exercise extreme caution to ensure the health &amp; safety of the public."
1237785134117552129,2020-03-11 16:59:07,"Missed my Q&amp;A with former WF Board Members Ms. Duke and Mr. Quigley during this morning's @FSCDems ""Holding @WellsFargo Accountable"" hearing? Watch it here:
https://t.co/nBLFjQfB4U"
1237784723960803328,2020-03-11 16:57:29,"Missed my opening statement in this morning's @FSCDems ""Holding @WellsFargo Accountable"" hearing? Watch it here:
https://t.co/mLw2bUO0tP"
1237765776318386177,2020-03-11 15:42:12,"We are now at a point in our history where we have to rethink the @WellsFargo paradigm. At some point, the long arm of the law has to reach Wells Fargo."
1237765364357967873,2020-03-11 15:40:34,@WellsFargo created 1.5M fraudulent accounts. Yet no one has been prosecuted.
1237749389344595970,2020-03-11 14:37:05,"The total amount of penalties that @WellsFargo has paid since 2000 amounts to $17,296,835,949. The evidence speaks for itself!
https://t.co/nsKuFWfGDx"
1237747549227954179,2020-03-11 14:29:46,"""Wells Fargo, the nation's fourth-largest bank, agreed ... to pay a $3 billion fine to settle a civil lawsuit and resolve a criminal prosecution filed by the Justice Department over its fake account scandal."" - NBC News 2/21/2020
https://t.co/nsKuFWfGDx"
1237746818722791425,2020-03-11 14:26:52,"""Many of the crimes involved relatively small amounts of money at smaller banks, rather than massive fraud at Wall Street banks."" - CNN Money 4/28/2016
https://t.co/QNvpFW6sou"
1237745704661069824,2020-03-11 14:22:26,"Wells Fargo has been running a criminal enterprise, and we must hold them accountable."
1237742630576013312,2020-03-11 14:10:13,HAPPENING NOW! https://t.co/Y3IMw6rmOM
1237385824750223361,2020-03-10 14:32:24,"This cannot be resolved by just paying off the government. @WellsFargo must atone for its transgressions by addressing how it treats employees &amp; what will be done to ensure it never happens again. Most importantly, WF cannot continue withwhat appears to be a criminal enterprise."
1237385055401660417,2020-03-10 14:29:21,"Of all of the top banks - the so called ‘too big to fail’ banks, there has never been a CEO or top officer of any of these banks to go to jail. It seems that they are not only ‘too big to fail,’ they’re also too big to jail."
1237384893920940032,2020-03-10 14:28:42,"How is that  @WellsFargo can pay a $3B fine, commit fraud, open accounts without knowledge of customers, and not one person goes to jail? https://t.co/ZiU13EYce0"
1237381779079790593,2020-03-10 14:16:20,Hope you’re watching as @FSCDems works to hold Wells Fargo accountable for its harmful actions to WF customers. https://t.co/pDBrWcCRXy
1235957916026486787,2020-03-06 15:58:24,"Honored to be in New York with my colleague and friend @RepGregoryMeeks to explore this pressing issue. 

Tune in LIVE via https://t.co/Z44txYukWU https://t.co/UeNx4nEp4v"
1235944669818818560,2020-03-06 15:05:46,Starting soon. Hope you’ll be watching. https://t.co/2lt87FoI5Q
1235411884259422212,2020-03-05 03:48:40,"RT @FSCDems: #BREAKING: In Advance of #WellsFargo Hearings, Chairwoman @RepMaxineWaters and Subcommittee Chairman @RepAlGreen Release Inves…"
1235372936116174849,2020-03-05 01:13:54,"RT @JackRodgersCNS: EXCLUSIVE: @RepAlGreen and I met after impeachment, chatted a little about the national impact of Trump's acquittal and…"
1233760906275905537,2020-02-29 14:28:16,"Mr. President, blaming CNN for reporting news and Democratic politicians for speaking out is more propaganda than a plan when it comes to dealing with the coronavirus. PLEASE let the healthcare experts take the lead on this one. Too much is at stake. #hoax"
1233426994865594368,2020-02-28 16:21:26,"HR 149 - the Housing Fairness Act - passed @FSCDems 33-25. Visit my website for more info on what this bill does to end invidious discrimination in housing. 
https://t.co/NJU0NntoxT"
1233418039493906434,2020-02-28 15:45:51,RT @civilrightsorg: NEW: The House Financial Services Committee just approved @RepAlGreen’s Housing Fairness Act (#HR149). This legislation…
1233134939706732550,2020-02-27 21:00:54,RT @FSCDems: The Fair Housing Act was meant to protect Americans from housing discrimination &amp; @RepAlGreen is working to do the same. The H…
