id,created_at,text
1247202290483806209,2020-04-06 16:39:32,Your credit reports and scores play an important role in your future financial opportunities. You can use the steps below to manage and protect your credit during the #COVID19 pandemic. https://t.co/2jU4sBEnBH
1246580225305165830,2020-04-04 23:27:40,This is amazing! https://t.co/CoRFMAxFIs
1245832065330941957,2020-04-02 21:54:45,Tune in to WCGL Victory Radio Station (94.7FM &amp; 1360AM #Jacksonville) tonight at 8:30PM as we discuss the recently passed relief package that will assist businesses &amp; millions of Americans amid an unprecedented halt in our economy. Stream it live: https://t.co/gwL8qrz8X7 #FL05
1245748828357021696,2020-04-02 16:24:00,#SmallBusiness owners in #Florida are eligible to apply for a #SBA Economic Injury Disaster Loan. The program provides businesses with working capital loans that can provide economic support during the #COVID19 outbreak. To apply: https://t.co/ft43WyhWyi #SmallBizRelief #FL05 https://t.co/gJuMMxUveF
1245697892419067904,2020-04-02 13:01:36,Catch me on the @MelissainJax Show this morning as we discuss the economic relief package passed last week by Congress. Listen now:  https://t.co/5mJd7ro4jR
1245470242656018432,2020-04-01 21:57:00,"With the #Census2020, we can ensure communities receive the critical funding they need for schools, hospitals, roads &amp; so much more. There are a few ways to complete the #2020Census:
💻Online
📬By mail
📱By telephone 
Don’t meet me there – beat me there at https://t.co/C89jooW2j9 https://t.co/L2oRl0xeXB"
1245458448688582661,2020-04-01 21:10:08,RT @EWCAthletics: We’re all missing the competition 😔. Stay Safe &amp; Stay Healthy #TigerNation. We’ll be back at it again soon. 📷 Credit: Ama…
1245448600026370048,2020-04-01 20:31:00,Many of us are spending more time with our families indoors to #flattenthecurve. Use this time to help your community get the resources it needs by completing the #2020Census online at https://t.co/lKvF2hCQp0.
1245410347940372480,2020-04-01 17:59:00,"Behind every Member of Congress, there is a great, hardworking staff. My #DC, #Jacksonville &amp; #Tallahassee offices are closed, but my staff continues to #telework for you. 

If you have any federal issues, connect with us (904-354-1652 #Jax; 850-558-9450 #TLH; 202-225-0123 DC). https://t.co/0xc95wyjiM"
1245407899955925005,2020-04-01 17:49:16,RT @FAMUExt: Here are some tips and activity suggestions for making social distancing with kids a bit less stressful. #my4-hproject #boredo…
1245383973418741760,2020-04-01 16:14:12,"Today is #CensusDay. You can respond in one of three ways: 
• Online at https://t.co/lKvF2hlfxs;
• By phone at 844-330-2020;
• Or by mail by returning the questionnaire in the envelope you may have received in your home mailbox from the 2020 Census. https://t.co/FlQml0kVKY"
1245383445896929282,2020-04-01 16:12:06,"RT @nikkifried: .@GovRonDeSantis, you now have your permission from the White House to issue Florida’s #StayAtHome order.

What are you wai…"
1245095130509574145,2020-03-31 21:06:26,RT @TheBlackCaucus: Tomorrow April 1 at 2pm join @ThirdWayTweet and @RepRichmond for a discussion on how COVID-19 is affecting Black commun…
1245091320089149440,2020-03-31 20:51:18,"We may be #socialdistancing, but that does not stop Congress from legislating. For the economic relief package, I advocated on behalf of #smallbusinesses. Through these efforts, we secured $375 billion to ensure small businesses continue to thrive &amp; serve our local communities. https://t.co/AKVXjqzjPq"
1245062203037843456,2020-03-31 18:55:35,"This year, #EqualPayDay falls during a time of national crisis that impacts many Americans. Women, who are overrepresented in many frontline job, are experiencing massive layoffs. As we face this global crisis, ensuring ALL workers are treated equally is more crucial than ever. https://t.co/ofbk8lIVdG"
1245061654250954757,2020-03-31 18:53:25,"RT @DuvalSchools: UPDATE - Following the recommendation of the Florida Department of Education, Duval County Public Schools will remain on…"
1243953746880745472,2020-03-28 17:30:59,"This week, I sent a letter with our #Florida delegation to urge the @USDA to purchase more produce from our #farmers &amp; feed families in-need. #Agriculture #Ag #ThankAFarmer #coronavirus https://t.co/RkNwCEH32Z"
1243914762913792000,2020-03-28 14:56:04,The public health and economic consequences of #COVID19 are significant. The $2 trillion #stimulusbill passed provides direct payments to nearly every American. These #rebates help Americans afford what they need during this public health crisis. #Stimuluscheck #coronavirus #FL05 https://t.co/xmut0kZIwy
1243662942844919808,2020-03-27 22:15:26,"America is facing an unprecedented public health &amp; economic emergency due to the #COVID19 pandemic. This is an important step in our ongoing effort to ensure workers, businesses &amp; families have the resources they need throughout this crisis. #coronavirus 

https://t.co/RU4XrzvHwo"
1243230838298497024,2020-03-26 17:38:24,"In light of the #coronavirus pandemic, &amp; the economic hardships, my Debt Collection Moratorium Act would prohibit debt collection, repossession &amp; garnishment of wages. The Act would allow time for families &amp; businesses to get back on their feet. #FL05 https://t.co/DmkavcJixl"
1243229128209416198,2020-03-26 17:31:36,RT @SpeakerPelosi: We must heed the guidance of the experts as we confront this pandemic. Science is an answer to our prayers. #FamiliesFir…
1243214333234085888,2020-03-26 16:32:49,Happy birthday @SpeakerPelosi. I am thankful for your vision and steady leadership as we go through these unprecedented times. Our nation is stronger because of your work #ForThePeople. #HappyBirthdayMadamSpeaker 🎈🎈 https://t.co/OCkPOtls7F
1243211621855645698,2020-03-26 16:22:03,"RT @RepDarrenSoto: 🚨 NO UTILITY SHUTDOWNS!!! 🚨 

We led bipartisan letter with majority of Fla Delegation to ask for no utility shutdowns d…"
1243192960835104769,2020-03-26 15:07:53,"RT @CDCgov: As of March 25, 41 US states and 1 US territory report some community spread of #coronavirus (COVID-19). Of those, thirteen sta…"
1243192537608794113,2020-03-26 15:06:13,"The #COVID19 Economic Disaster Relief Grant Program offers a lifeline to local #smallbusinesses, and sustain their viability during the application period for State/Federal relief programs and incentives. 
Business owners, based in #LeonCounty, may apply https://t.co/s3ya6DBTEt."
1243170218647699457,2020-03-26 13:37:31,"Do your part:
• Wash your hands
• Practice social distancing
• Remember, even if you don’t feel sick, you can still spread coronavirus
More prevention tips: https://t.co/YogO6qYOpM"
1242111863707643907,2020-03-23 15:32:00,Social Distancing is hard. Taking care of your mental health is important during this emergency. Learn how to support yourself and others if you’re in a mental health crisis. https://t.co/AK4OA66uSg https://t.co/8R0VHe1BrC
1241841079067881472,2020-03-22 21:36:00,"#Census2020 will ask a few questions and will keep ALL responses confidential. It will ask your name, phone #, gender, age, date of birth, &amp; race, as well as how many other members live in your household. Be ready, because #WeCount and we must be counted!
https://t.co/y3s2tmn4Xq"
1241749979099734017,2020-03-22 15:34:00,"Communities of color have been under-counted in the Census for decades, leading to mass under-funding of our:
Schools📚
Roads🚗
and cities🌇
Let’s get it right in #Census2020 to make sure #WeCount in our democracy 🇺🇸
https://t.co/4jv3OcyUBj"
