id,created_at,text
1247287572675596297,2020-04-06 22:18:25,"RT @wvgov: For COVID-19 updates on West Virginia’s natural resources, hunting and fishing opportunities, please follow @wvdnr and visit the…"
1247238866249056260,2020-04-06 19:04:52,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1247208617880817664,2020-04-06 17:04:41,"Looking for the most updated protective guidance for non-healthcare settings? #WV #WVgov #COVIDー19 

For more information visit @WV_DHHR at https://t.co/eU8PCv5ivv 🌐
OR
Check out this one page overview ⬇️ https://t.co/m2qZIi4omP"
1247147924838133761,2020-04-06 13:03:30,"❕Faith-Based Organizations❕

Check out this @SBAgov FAQ regarding participation in the #PaycheckProtectionProgram (PPP) and the #EconomicInjuryDisasterLoanProgram (EIDL). 

⬇️🌐
https://t.co/xLkmOznAZF https://t.co/4BBTntXQRC"
1247137717676359680,2020-04-06 12:22:57,"RT @Surgeon_General: Some #MondayMotivation- 
No doubt it’s going to be a rough week, but remember the virus spreads person to person, and…"
1247137571412590594,2020-04-06 12:22:22,"RT @SBAJovita: Faith-based organizations are eligible to participate without restrictions based on their religious identity or activities,…"
1247137384086614016,2020-04-06 12:21:37,"RT @FinancialCmte: The #PPP will continue to build capacity as it continues to roll out, find additional information from @USTreasury for #…"
1247136955743326215,2020-04-06 12:19:55,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1247136362647740416,2020-04-06 12:17:34,RT @WhiteHouse: .@SecWilkie gives an update on Coronavirus response efforts by @DeptVetAffairs. https://t.co/AQs9JBv26k
1247136125048807424,2020-04-06 12:16:37,RT @WVGovernor: My excellent team of medical professionals and government leaders are working around the clock to keep you informed about #…
1246467176967610368,2020-04-04 15:58:27,"RT @WhiteHouse: “Success in this fight will require the full, absolute measure of our collective strength, love, and devotion.”

Each of us…"
1246466388132274180,2020-04-04 15:55:19,"RT @RedCross: Blood donors and collections staff represent the best of us during #COVID19. Thanks to you, we have met immediate needs of pa…"
1246466054391574534,2020-04-04 15:54:00,"RT @WVGovernor: Today I signed an Executive Order to further protect West Virginians in Berkeley, Jefferson, and Morgan counties as COVID-1…"
1246180715848400896,2020-04-03 21:00:10,"🚨 JUST IN: MAJOR DISASTER DECLARATION FOR THE STATE OF WEST VIRGINIA 🚨

Granted by @realDonaldTrump this triggers the release of Federal funds to help communities recover from #COVIDー19. This week our WV delegation sent a letter to @POTUS  in support of @WVGovernor's request. https://t.co/sO8QSNqidK"
1246156684831207434,2020-04-03 19:24:40,"I hope that every eligible small business in our great state applies for the #PaycheckProtectionProgram today!

#PPPloan https://t.co/Pm9A5SCYcy"
1246115810273263619,2020-04-03 16:42:15,"RT @RepCarolMiller: We need innovative solutions to address #COVID19 in the US. That is why I held a call with @Battelle, @WVHospitals, @Re…"
1246097887681003526,2020-04-03 15:31:02,"""#PaycheckProtectionProgram is in addition to substantial work the @SBAgov has &amp; will continue to do to help small businesses, including providing advances on SBA disaster loans &amp; forgiving existing SBA loan payments over the next six months."" @SBAJovita

#PPPloan → apply today! https://t.co/4p1uUD6tsD"
1246045956962955266,2020-04-03 12:04:41,"🟨 ATTN WEST VIRGINIA SMALL BUSINESSES 🟦

Apply today for #PaycheckProtectionProgram for funds to pay:
✔️up to 8 weeks of payroll costs including benefits
✔️most mortgage interest, rent and utility costs

⬇️ @SBAgov guidance on #COVIDー19 &amp; loan resources
https://t.co/lnWSOU7tbv https://t.co/QPRndo4JaW"
1246011640786583553,2020-04-03 09:48:19,RT @RepArrington: Proud to have @SteveScalise &amp; 41 of my colleagues join me in sharing our thoughts w/@realDonaldTrump about helping our en…
1245881826759053316,2020-04-03 01:12:29,"🚨 TOMORROW 🚨

☑️ Small Businesses
☑️ Sole Proprietorships

#PaycheckProtectionProgram applications will open❗️

@SBAgov details HERE → https://t.co/lnWSOU7tbv https://t.co/jKrogOsuSq"
1245878051659005953,2020-04-03 00:57:29,"RT @WVGovernor: In an effort to slow the spread of #COVID19, I issued an executive order to move West Virginia's Primary Election to June 9…"
1245835463543283712,2020-04-02 22:08:15,"RT @SBAgov: Stay updated on #COVID19 programs and resources for small businesses. Here's how:
👉 Go to: https://t.co/18P7pOPxWI
👉 Get email…"
1245835136106524675,2020-04-02 22:06:57,"RT @HouseGOP: If you think you're sick…
 
🚫 DON'T get in the car.
 
📱 Call your doctor.
 
👩🏼‍⚕️ Listen to their advice and instructions. ht…"
1245834911795249154,2020-04-02 22:06:04,"RT @HHSGov: Today, @US_FDA issued guidance for immediate implementation to address the urgent &amp; immediate need for blood &amp; blood components…"
1245834774809210882,2020-04-02 22:05:31,"RT @SteveFDA: Today, as part of FDA’s ongoing commitment to fight the #COVID19 pandemic, we issued guidance for immediate implementation to…"
1245833419277426689,2020-04-02 22:00:08,"RT @WhiteHouse: DON'T gather in large groups! 🚫 

Every person who is out and about is another person who can spread disease. https://t.co/…"
1245789419904303108,2020-04-02 19:05:18,"RT @wvdnr: If you decide to venture out into nature, follow CDC guidelines. This includes fishing, hiking, biking and other outdoor activit…"
1245781041664741376,2020-04-02 18:32:00,"RT @WhiteHouse: ""Every citizen, family, and business can make the difference in stopping the virus. This is our shared patriotic duty."" — P…"
1245773102547636224,2020-04-02 18:00:27,"We recognize #WorldAutismAwarenessDay and throughout the month of April, we continue to encourage acceptance and support.

🔹 Tonight, the @WhiteHouse will be lit blue in recognition of all children and adults with autism. 🔹

➡️ https://t.co/pMLo8D2jkD @autismspeaks https://t.co/qwTqsey5yM"
1245765875757703168,2020-04-02 17:31:44,"Good news for our seniors:

@USTreasury &amp; #IRS announced that Social Security beneficiaries who are not typically required to file tax returns will not need to file an abbreviated tax return to receive an Economic Impact Payment.

@IRSnews https://t.co/7jn9xqbINS #COVIDreliefIRS https://t.co/T0ixPfmnkW"
1245751523692498945,2020-04-02 16:34:42,"RT @WestVirginiaU: These are uncertain times, but we do know one thing: We are Mountaineers. Our community can give strength to the world.…"
1245749714630455297,2020-04-02 16:27:31,"RT @HHSGov: Together, we can slow the spread of #COVID19. Here are the most recent guidelines for Americans from the @WhiteHouse and @CDCgo…"
1245749434769707008,2020-04-02 16:26:24,"RT @marcorubio: Today’s unemployment numbers are stunning.

Especially since real number is far larger due to state UI systems being overwh…"
1245692388535869447,2020-04-02 12:39:43,"The Supply Chain Stabilization Task Force, run by @fema, published a fact sheet detailing its four-pronged approach to address issues related to critical protective &amp; life-saving equipment:
✅Preservation
✅Acceleration
✅Expansion
✅Allocation
#COVID19 
https://t.co/ZQetUYIZ1P https://t.co/K32S4UqAm6"
1245466997124739074,2020-04-01 21:44:06,"RT @Scavino45: THANK YOU @AbbottNews!
https://t.co/dkjOOFrYn9"
1245466866694402052,2020-04-01 21:43:35,"RT @WhiteHouse: 🇺🇸Meet ""Team USA""—50 great American companies answering President @realDonaldTrump's call to action as our nation fights th…"
1245465247131095040,2020-04-01 21:37:09,"RT @WVNationalGuard: #FlattenTheCurve 😷🧤🧼
Task Force - CBRNE Response Enterprise (CRE) is ensuring front line workers are trained and empow…"
1245441781459755009,2020-04-01 20:03:54,"#IRS and @USTreasury announce that the distribution of economic impact payments will begin in the next three weeks.

✔️Eligible people who filed taxes for 2019 or 2018 will automatically get an economic impact payment

See latest @IRSnews info ➡️ https://t.co/7jn9xqbINS https://t.co/ERvKmOVCaU"
1245414413747748865,2020-04-01 18:15:09,"RT @GOPoversight: #CensusDay2020 fact: 
Even if you haven't gotten your Census ID in the mail yet, you can still take the census online.…"
1245412140158259201,2020-04-01 18:06:07,"Today, @WVGovernor announced that the West Virginia primary election, originally set for May 12, will be moved to to June 9.

#WV #WVGov #COVIDー19 
  https://t.co/hLrj5cOYW5"
1245408722022731781,2020-04-01 17:52:32,RT @wvmanufacturers: https://t.co/fNGIvAbdY9
