id,created_at,text
1247255388107538433,2020-04-06 20:10:32,"Some good news in our fight against #COVID19: Indiana has been awarded $4.2 million from @CDCgov through the #CARESAct to help us slow the spread of the virus. This is a huge help, and I’ll keep working to bring more federal dollars back to our state for these efforts!"
1246570524190412801,2020-04-04 22:49:07,"Today, on the 52nd anniversary of the assassination of Dr. Martin Luther King Jr., his values and his legacy ring clearer and truer than ever. In this time of turmoil, we must follow his example by choosing hope over fear, and action over despondency."
1246498137646215168,2020-04-04 18:01:29,"Good news from @SBAgov: Faith-based organizations, including houses of worship (churches, temples, mosques, synagogues, etc.) are eligible for SBA loans under the #PPP and #EIDL programs. For more info, visit https://t.co/MfxwL7vwba."
1246447890295291904,2020-04-04 14:41:49,RT @RepAdamSchiff: Trump’s dead of night decision to fire ICIG Michael Atkinson is another blatant attempt to gut the independence of the I…
1246189435714240513,2020-04-03 21:34:49,BREAKING: @FEMA has approved IN's request for a disaster declaration. That means our state will now have additional resources &amp; flexibility to respond boldly to the #COVID19 crisis. I'll continue working closely with state &amp; local leaders to help get us through this challenge.
1246157316682022913,2020-04-03 19:27:11,"I applaud the @US_FDA for this decision, though it should have been made long ago. This restriction was based on discrimination and misinformation, not facts or science.  

Thankful that more #LGBTQ Americans can now help save lives in this way. https://t.co/XW7qAu4wdT"
1246089257829240832,2020-04-03 14:56:44,"Another way the House’s #FamiliesFirst #Coronavirus Response Act is helping Hoosiers in need. In times of crisis and in times of prosperity, we must work to make sure nobody goes hungry. https://t.co/4dGEZRjT22"
1245787812810629125,2020-04-02 18:58:54,"Important update for Social Security beneficiaries! You do NOT need to file a tax return to receive your stimulus payments from the #CARESAct. Instead, payments will be automatically deposited into your bank accounts. For more info, visit https://t.co/qc3lSUIRXl. https://t.co/ZnenOAhPSk"
1245752898656636929,2020-04-02 16:40:10,"Today at 1:30 pm, I’ll be talking with @tcosby18 on “Community Connection” about the #CARESAct and the work we must do to make it through this #COVID19 crisis. Click the link to listen live! https://t.co/2K2LdWhkRW"
1245376640965840903,2020-04-01 15:45:03,"Today is #CensusDay! I encourage everyone to take the time to fill out their Census form. It's a fairly quick task that has long-lasting implications on the resources, funding, and representation our communities will receive. Fill it out to say, ""I count!"" #CountMeIndy https://t.co/AsZu0NQyTz"
1245065249939689474,2020-03-31 19:07:42,"Happy #CesarChavezDay! As we battle #COVID19, the message of this iconic activist is clearer than ever: We’re nothing without our workers. This is particularly true for the farm workers, who are risking their lives to keep Americans fed. We must do all we can to protect them. https://t.co/suT66cWvPG"
1245008966989623298,2020-03-31 15:24:03,"Today is #EqualPayDay, which represents how far into 2020 a woman must work to make as much money as a man makes in 2019 alone.

Women are in the front lines of the #COVID19 pandemic, risking their lives for us all. All of them, and all women, deserve equal pay for equal work."
1244980128947539969,2020-03-31 13:29:28,"#ICYMI, here's the full video of yesterday's Instagram Live Q&amp;A on help for small businesses hurt by the #COVID19 crisis. Thanks to @SBAgov rep Marty Anderson for joining me. Additional contact info can be found in the video description.
https://t.co/ABmAefw8Ku"
1244740856353099780,2020-03-30 21:38:40,Happy #NationalDoctorsDay to the hard-working doctors who are on the front lines of the #COVID19 pandemic. We can't thank you enough &amp; we'll keep working to get you the resources you need. Give a shout-out to the doctors in your life &amp; let them know how much you appreciate them!
1244699939843772417,2020-03-30 18:56:05,We’re live! Head on over to my official Instagram to hear the chat. https://t.co/AQMwLGcRbS https://t.co/aNyiE5nYaI
1244695553193246721,2020-03-30 18:38:39,I’ll be going live on Instagram in just a few minutes. Don’t miss this important conversation! https://t.co/aNyiE5nYaI
1244642685157326848,2020-03-30 15:08:35,Today I’m going live on Instagram at 3 pm ET with a local rep from @SBAgov. We’ll be answering your questions about help available to small businesses hurt by the #COVID19 crisis. I hope you’ll join us! https://t.co/eoEcAZVGa2
1243622398550818816,2020-03-27 19:34:19,"Today, the House passed the #CARESAct -- a major, bipartisan #COVID19 relief package that will help Americans get through this unprecedented crisis. We can't stop here though. Let's keep working to support Americans in need, now &amp; in the future. Read more: https://t.co/QR1nPG0LII https://t.co/oy19s9VyrX"
1243308635612160002,2020-03-26 22:47:32,"Next Monday, I'll be live on Instagram with a local rep from @SBAgov to answer your questions about assistance available to small business owners hurt by the #COVID19 crisis. Submit your Q's ahead of time by replying below or ask live. We'll do our best to answer them all! https://t.co/Zjh5c6F9Ui"
1243260494854717440,2020-03-26 19:36:15,"#COVID19 is challenging our community and our nation, but I believe we'll weather this storm thanks to countless Americans who have bravely stepped up. In my latest @IndyRecorder op-ed, I'm outlining the ways America should be supporting these helpers. 
https://t.co/M8I1QPBhHr"
1243250069769523200,2020-03-26 18:54:49,"And for additional guidance, please visit this website: https://t.co/UgGcEwcfuI"
1243250068972503040,2020-03-26 18:54:49,"Incredibly grateful that these Hoosiers were able to get home, and that our office was able to help. My staff and I are continuing to work tirelessly to help constituents abroad return home. Please call my district office at 317-283-6516 for assistance.
https://t.co/N3LHmNzXMk"
1242984843937550338,2020-03-26 01:20:54,"RT @Ilhan: I will not support a bill that prioritizes a $500 billion corporate slush fund over financial relief to workers, families, and c…"
1242892201211891719,2020-03-25 19:12:47,"And for additional questions or concerns, don't hesitate to call my district office at 317-283-6516. As always, we're here to help you."
1242892200171712516,2020-03-25 19:12:46,"I've compiled a list of local, state and federal resources on my website for Hoosiers in need of assistance during this difficult time. I'll continue updating this list as more resources become available, so be sure to check back regularly. https://t.co/O1sRWSTF7j"
1242572190148591617,2020-03-24 22:01:10,Full bill text here: https://t.co/J4UR2rtOLh
1242563255773642753,2020-03-24 21:25:40,"The House has introduced a third #COVID19 relief package called the ""Take Responsibility for Workers and Families Act."" This is our boldest and biggest effort yet, investing trillions into the health and well-being of everyday Americans. Read more:
https://t.co/5yWTusHpB1"
1242557364294778881,2020-03-24 21:02:15,RT @IndyParksandRec: Many Family Centers and other locations around Indianapolis will still be offering free meals for youth ages 18 and un…
1242532688386502656,2020-03-24 19:24:12,RT @ezraklein: I don't know how you could look at this chart and say the US is in a good place to begin *easing* restrictions. https://t.co…
1242467349556375553,2020-03-24 15:04:34,Attention: Indiana's hotline to help business and industry comply with @GovHolcomb's #StayAtHome order is temporarily down. You can still contact the hotline with business/industry questions via email at covidresponse@iedc.in.gov or visit this FAQ page: https://t.co/f0fdeYDiY3
1242193152511029249,2020-03-23 20:55:01,"It's an important question people all over America are asking: Where are the tests? 
 
My colleagues and I are seeking answers from @VP about why states are still unable to access the necessary supplies to conduct tests approved by @CDCgov. Read more: https://t.co/zRqu4TKEvQ"
1242188323789197315,2020-03-23 20:35:49,"RT @janschakowsky: The #ACA turns 10 today! Almost every American relies on the law for health care, protections for preexisting conditions…"
1242149847081385987,2020-03-23 18:02:56,"It also bars involuntary payments and wage garnishment during this public health crisis. This bill will help Americans focus more on their health today, and build a better future for tomorrow. Let's come together to take this revolutionary step to help end the cycle of debt."
1242149843533017089,2020-03-23 18:02:55,"The student loan debt crisis is out of control, and the economic devastation of #COVID19 makes that even clearer. That's why I have cosponsored the “Student Debt Emergency Relief Act,"" which cancels at least $30K in loan debt per borrower."
1242124875592011776,2020-03-23 16:23:42,I applaud this bold but necessary move by @GovHolcomb. We have our best shot at lessening the severe impact of #COVID19 when we #StayAtHome as much as possible. https://t.co/BmR5RVO1pn
1242094407425368067,2020-03-23 14:22:38,"10 years ago today, Pres. Obama signed the #AffordableCareAct into law. I was honored to vote for it &amp; will continue to strengthen &amp; defend this lifeline for millions of Americans. As we face an unprecedented public health crisis, it’s more important than ever to #ProtectOurCare. https://t.co/tcVI0dLQh6"
1241071935007662082,2020-03-20 18:39:41,RT @RepJimmyGomez: 🚨 Tax Deadline Update 🚨 @IRSnews has just announced that the filing deadline for federal taxes has been pushed back from…
1241032437792112640,2020-03-20 16:02:45,"Wishing a very happy #Nowruz to Iranian-Americans and all around the world who are marking the start of the Persian New Year. This year especially, I pray for the health and safety of our communities in the months ahead."
1241001174079340544,2020-03-20 13:58:31,".@HouseDemocrats will continue working hard and working across the aisle whenever possible to provide relief during this crisis we are facing. Now more than ever, we must remain strong and united as Americans. https://t.co/q1Qc2fbH26"
1240779195468451848,2020-03-19 23:16:27,RT @GleanersFBIndy: The bread guy looks familiar! @RepAndreCarson is working the distribution this afternoon with his Indianapolis staff. #…
1240778167608119299,2020-03-19 23:12:22,Today I was pleased to volunteer at @GleanersFBIndy. Food banks are playing a huge role in getting our communities through the #COVID19 crisis. I’ll keep working to make sure they have the support they need to support others! https://t.co/AthQu0S4dB
1240747996414988292,2020-03-19 21:12:28,RT @FSSAIndiana: NEWS RELEASE: Indiana Medicaid allows telemedicine and telephone options for most health care and mental health interactio…
1240714053808459776,2020-03-19 18:57:36,"Another good reason to #StayAtHome. Be safe, everyone! https://t.co/20ZgAvt901"
1240628765962756102,2020-03-19 13:18:42,RT @SenSchumer: One of the reasons industries are so short on cash right now is that they have spent billions buying back their own stocks…
1240460276266401794,2020-03-19 02:09:11,Excellent news! Thanks to @SBAgov for its fast work to ensure our Hoosier small businesses get the help they need. https://t.co/zF04gfBBJ4
1240402794395336704,2020-03-18 22:20:46,"Very encouraged by this news! Now more than ever, businesses like @LillyPad must partner with our local, state and federal government to protect the health of Hoosiers and all Americans. https://t.co/g37qTh1Y5D"
1240383240030031892,2020-03-18 21:03:04,"My Congressional colleagues and I have written to @BetsyDeVosED urging her to put plans in place to mitigate #COVID19's financial impact on higher ed students. School closures have raised many important questions, and these students need answers.
https://t.co/Oj1yzTMt4Y"
1240381816948903943,2020-03-18 20:57:24,"RT @thehill: #BREAKING: Senate passes House's coronavirus aid bill, sending it to Trump https://t.co/HTLba8q8q4 https://t.co/EhlonJ8VOx"
1240343122820947969,2020-03-18 18:23:39,"RT @GerryConnolly: BREAKING: Today, we're urging @realDonaldTrump to mandate telework for feds and contractors during the #COVID19 crisis.…"
1240337955400683520,2020-03-18 18:03:07,"A huge thank you to the health care workers, first responders, and all others here in Indiana and across the world on the front lines of this pandemic. Your commitment to our communities is remarkable, and we pledge to continue supporting you any way we can! https://t.co/oZDSO9jeb7"
1240312234267553793,2020-03-18 16:20:55,"Pleased to add my voice to this call for much-needed relief. To help #SlowTheSpread of #COVID19, House leaders are urging Americans to stay home. And that must also include Americans who are unable to pay the rent or mortgage during this unprecedented public health crisis. https://t.co/uDD0PqdCk6"
1240019894697066498,2020-03-17 20:59:16,"RT @StateHealthIN: NEW toll free number for Indiana's COVID-19 Call Center - 877-826-0011! 

If you are calling with GENERAL QUESTIONS abou…"
1239953008559038464,2020-03-17 16:33:29,"America has the best military in the world, and it has a major role to play in fighting #COVID19. My colleagues and I sent a letter to President Trump urging him to better utilize @DeptofDefense resources to #StopTheSpread of this virus. Read our letter:  https://t.co/sn23TPEqax"
1239946046006013953,2020-03-17 16:05:49,"#317Day is an occasion to celebrate our amazing city and the folks who make it great. This year, as we all work to slow the spread of #COVID19 I'm giving a special shout out to Hoosiers on the front lines who keep our community safe and healthy -- today and every day. Thank you! https://t.co/9AgGxdxxo9"
1239687898120716291,2020-03-16 23:00:01,"This pandemic has reached crisis levels in our state and all over America. I’ll continue working across the aisle and with every level of government to ensure Indiana’s hospitals, first responders and health care workers are supported."
1239687896342450176,2020-03-16 23:00:01,"Tonight, I participated in a call with @GovHolcomb and my fellow Hoosiers in elected office about all that our state is doing to respond to the #COVID19 outbreak and how we can improve those efforts even more."
1239626937041125378,2020-03-16 18:57:47,"My deepest sympathies are with the loved ones of this member of our community who has died from #COVID19. We all have a role to play in preventing future loss of life. Stay home, stay informed, and heed the advice of public health officials. Together, we will overcome this. https://t.co/dTirObdfJ7"
1239584903836073984,2020-03-16 16:10:46,Please note that many of these exhibitors may also be closed or have reduced hours in an effort to slow the spread of #COVID19.
1239584902347177985,2020-03-16 16:10:45,"Though I’m unfortunately no longer hosting my Youth Opportunities Fair this year due to concerns over #COVID19, I’m pleased to connect you via my website to the exhibitors who had planned to attend. Click the link for a full list and their contact info. https://t.co/AlsBhzhEZv"
1239347407319638017,2020-03-16 00:27:02,"RT @MuslimAdvocates: ""Hello, brother.""
 
The last words spoken by Haji-Daoud Nabi as he and 50 other Muslims were massacred by a white nati…"
1238691901508857857,2020-03-14 05:02:17,My statement on the passage of the bipartisan #FamiliesFirst #Coronavirus Response Act: https://t.co/6xVPWKYo7w
1238571249875529728,2020-03-13 21:02:52,https://t.co/TB5MAg8ZsV
1238208239260532736,2020-03-12 21:00:23,"#COVID19 threatens us all. That's why we must make #COVID19 testing free to all.
 
@HouseDemocrats’ #FamiliesFirst Coronavirus Response Act achieves that goal, which will help America weather this pandemic. We can't wait another moment to make it law.
 
Lives are at stake. https://t.co/Nb4OoW4kLQ"
1238120164375384065,2020-03-12 15:10:25,"Beginning 5pm ET tonight, the US Capitol is temporarily suspending tours. Also, House &amp; Senate office bldgs will be closed to anyone who is not a Member of Congress, staff, credentialed press, or official business visitor. For questions, please call my DC office at 202-225-4011."
1237811860575043585,2020-03-11 18:45:19,"My staff and I will continue working hard to serve our constituents. And right now, taking necessary steps to protect everyone's health is a particularly vital act of service. Read my full statement:

https://t.co/n5FmhrddBY"
1237811859601973251,2020-03-11 18:45:19,"In addition, my Washington, D.C. and Indianapolis offices will temporarily suspend face-to-face meetings, based on official guidance from the U.S. House of Representatives Attending Physician. In lieu of face-to-face meetings, we will arrange telephone meetings whenever possible."
1237811858364665857,2020-03-11 18:45:19,"Please check my website, https://t.co/AI6AMPR07J, where a full list of exhibitors who were scheduled to attend will be made available by Monday, March 16th. We will also include their contact information so people can still connect with these excellent resources."
1237811857425158146,2020-03-11 18:45:18,"In an effort to protect my constituents from the spread of #COVID19, I am cancelling my upcoming Youth Opportunities Fair."
1237491014832721920,2020-03-10 21:30:24,"and Indiana members of the @RetireCoalition. 

Thanks to all for stopping by and for your great work! https://t.co/Ly5qtItc5B"
1237491006502731782,2020-03-10 21:30:22,The @AmericanLegion https://t.co/qMN861RRWy
1237490997564710914,2020-03-10 21:30:19,The Professional Firefighters Union of Indiana https://t.co/nKitw8DenU
1237490988286971909,2020-03-10 21:30:17,"Great meeting today with hard-working #Hoosiers visiting DC, including folks from @inphilanthropy https://t.co/hnpdTDNRti"
1237427660030164993,2020-03-10 17:18:39,"As part of #WomensHistoryMonth, I'm paying special tribute to a remarkable Hoosier, Madam C.J. Walker. Born to parents who were once enslaved, she fought racism and sexism to build a successful hair care empire, making her one of the wealthiest self-made women of her time. https://t.co/pCE8QQHj82"
1237413521693896705,2020-03-10 16:22:28,"RT @RepBera: America’s state &amp; local health agencies are essential in fighting #coronavirus.

To help them keep up the fight, our emergency…"
