id,created_at,text
1247292463871655936,2020-04-06 22:37:51,"On today's update, I take a moment to recognize @CouncilmanYun, who we lost today. I also announced another telephone town hall for this Friday. Check it out here: https://t.co/u6gTn9aonf"
1246912182576730114,2020-04-05 21:26:45,"Quick update today with new #coronavirus numbers from New Jersey, and answering questions I've been getting from small business owners about the #CARESAct. https://t.co/fxbvSHjWTp"
1246800185570836481,2020-04-05 14:01:43,"Even in the darkest times, the best of New Jersey shines through. Proud of Captain Hawley and all of the men and women at Joint Base McGuire-Dix-Lakehurst who are doing their part to put an end to this crisis. https://t.co/Ewjo6K9xnA"
1246535744753152004,2020-04-04 20:30:55,"On today's update, new tragic numbers on the number of cases and deaths from the #coronavirus pandemic, information about potential scams, and news about our fight to get more tests to NJ. https://t.co/xtbTGUyIGo"
1246454050528378885,2020-04-04 15:06:18,Our next telephone town hall is coming up this Wednesday. We'll focus on a major question I've been getting over the past weeks: what can I do if I've been laid off or had hours cut. Visit my website here for details: https://t.co/1mHKCi1Hvh
1246217706203996160,2020-04-03 23:27:09,"My daily update on the #coronavirus crisis: a tough day in New Jersey with more than 4,000 new cases, and an update on getting New Jerseyans back home from abroad. https://t.co/8nzE6rOU1e"
1246104125948993541,2020-04-03 15:55:49,"Important information for retirees near JBMDL. This decision isn't convenient, but it is critical for the safety of our service members and the surrounding community. https://t.co/aHmKFwgzuU"
1245866210182320129,2020-04-03 00:10:26,"These farms don’t just create jobs, they feed our communities, and they need our help. https://t.co/Z5FQkKqQc9"
1245838111499747334,2020-04-02 22:18:46,"If you or someone you know is still stuck abroad right now, and can't get back because of travel restrictions, please reach out. We'll do everything we can to help."
1245837782058229760,2020-04-02 22:17:28,"The #coronavirus crisis has left thousands of Americans stuck abroad, struggling to get home. I'm proud to say that my team has helped bring 14 New Jerseyans back home. https://t.co/tTWYoNwBIr"
1245826680226287617,2020-04-02 21:33:21,Dismissing him sends a dangerous message to our leaders across the military. He should be reinstated at once.
1245826603134877696,2020-04-02 21:33:03,"Our servicemen and women sign up and put themselves in harm’s way for the defense of our country, they shouldn’t be put in harm’s way because of indecision by leadership at the Pentagon to address a crisis that endangered thousands who wear the uniform."
1245826518175174656,2020-04-02 21:32:42,The decision to remove Captain Crozier from his command for speaking truth to power is shameful. https://t.co/NuPBJ3dquX
1245718241684738048,2020-04-02 14:22:27,@DRJCATERING message me your contact info.
1245718125624143879,2020-04-02 14:22:00,It's why we're going to have to keep working to make sure those hardest hit by this have every resource and opportunity to get back on their feet. Ending this pandemic and the economic crisis it has caused is our top priority for every individual represented in those numbers.
1245717665898991619,2020-04-02 14:20:10,"Help is coming; unemployment insurance has been increased, direct payments will be on their way soon, and tomorrow begins the @SBAgov process for small biz to get paycheck protection help. But for a lot of people, it won't be enough."
1245717177308778496,2020-04-02 14:18:14,"These numbers are absolutely shocking, but we should remember what each one represents: a neighbor who now has to worry about paying bills without a job while staying safe, a small business owner who might not be able to reopen after the pandemic is over. https://t.co/6vFto9Tk88"
1245687412409405440,2020-04-02 12:19:57,I heard a lot of concerns this week about seniors and others who might have to file a tax return to get the direct payments from the #CARESAct. I called on the Administration to act and am glad to see they listened. https://t.co/zodn4WNAij
1245486890226245632,2020-04-01 23:03:09,"Lots in my daily #coronavirus update today: tax deadline updates, answers on questions about how we're keeping our service members safe, and an update on the fight for more PPEs. https://t.co/9OxaTGaDNe"
1245451041686073346,2020-04-01 20:40:42,"There's a lot going on today, but in the middle of it, it's also #CensusDay. Since a lot of us are inside, there's no better time than now to fill out your Census, which you can do right here. https://t.co/aR8fLi8fhG #2020Census"
1245450180377395206,2020-04-01 20:37:17,"@mantoloking16 For the same reason it's important to provide direct payments and expand unemployment insurance: the pandemic is and will continue to have a serious financial import on working families, and this can provide immediate relief."
1245349716629630977,2020-04-01 13:58:04,The deadline for your federal and state taxes has been extended. This is great news in these tough times. https://t.co/o6jTNDM9n2
1245349446918877189,2020-04-01 13:57:00,Congress should absolutely take immediate action to restore the full SALT deduction. I’ve heard from too many families already weighing if they’ll be able to pay their bills; the last thing they should be worried about during this crisis is the after effects of a failed tax bill. https://t.co/aHCiJjnTPQ
1245330180811481090,2020-04-01 12:40:26,You may have seen that the CARES Act included direct financial help for families struggling with the economic impact of the Coronavirus. Check out the graphic below for information on if you're eligible and how much to expect. https://t.co/2eRgBNWIYI
1245104250990071810,2020-03-31 21:42:41,"Today's daily update on the #coronavirus: updated numbers in New Jersey, our fight to get more equipment for our frontline personnel, and answers to your questions about direct payments from the #CARESAct. https://t.co/2WsaRjFfDB"
