id,created_at,text
1247277764807360515,2020-04-06 21:39:27,"I am live NOW with @MariManoogian @MalloryMcMorrow @MichiganSBDC &amp; @MEDC to answer your small business questions.

https://t.co/XZEYEIEyzw https://t.co/TPIp0uinF3"
1247257772980396032,2020-04-06 20:20:00,"This is so wrong. Haiti had a ""Do Not Travel"" @StateDept advisory weeks before the global one. It warns ""Emergency response, including ambulance service, is limited or non-existent."" If this leads to more cases, #Haiti isn't prepared to respond &amp; our whole region remains at risk. https://t.co/4nc0cL32Vp"
1247255388199751689,2020-04-06 20:10:32,"Germany’s experience with COVID-19 makes me furious and hopeful, all at once. They have done so well. We have done so poorly. We can and must ramp up massive and comprehensive testing and tracing, even if it’s harder with a leadership vacuum at the top. https://t.co/S0SS4bM98L"
1247249392781983747,2020-04-06 19:46:42,#MiMaskChallenge
1247224251272384513,2020-04-06 18:06:48,"Now that the @CDCgov recommended wearing a cloth mask in public to make sure you don’t inadvertently spread the virus without knowing you even have it, Mary went into home production. Her first mask is a masterpiece!! https://t.co/ZPcgfvZJFG"
1247191101708144641,2020-04-06 15:55:04,"Tune in tonight at 5:30 on https://t.co/MOjxDY7yZp where I will answer your small business questions with @MariManoogian @MalloryMcMorrow @MichiganSBDC &amp;  @MEDC.  

You can submit questions live or in advance at this link: https://t.co/IoU2EaXVmG https://t.co/1AQTXly5bx"
1246580892874743811,2020-04-04 23:30:19,"RT @WSJPolitics: Congress is on recess from Washington, but it isn’t a break. How @RepSpanberger @RepAnnWagner @RepJohnCurtis @RepKatiePort…"
1246138974843867143,2020-04-03 18:14:18,.@HouseDemocrats are putting #FamiliesFirst as we confront the coronavirus. Learn more about the #CARESAct and the resources available to you and your family in this toolkit: https://t.co/gw1MOwGu0S
1245826021158350853,2020-04-02 21:30:44,RT @RepHastingsFL: I joined @RepAndyLevin &amp; many of my colleagues who represent small localities in urging @SpeakerPelosi to ensure direct…
1245794624872079360,2020-04-02 19:25:58,Proud to partner with @repbenraylujan @RepMalinowski @RepJoeNeguse &amp; so many others to advocate for direct assistance to help America's small communities as they respond to #COVID19. https://t.co/692nTAfxAz
1245794623819321351,2020-04-02 19:25:58,"Just like their larger neighbors, America's small communities are stretching every resource to provide the emergency services &amp; supports that will get us through this pandemic. It's on us to make sure they can keep up that tremendous work.

https://t.co/R1V7tP7Dpg"
1245780652273909762,2020-04-02 18:30:27,"RT @repbenraylujan: Today I, @RepAndyLevin, and 120+ bipartisan members wrote a letter urging that the next round of stimulus and relief fu…"
1245772804764680192,2020-04-02 17:59:16,"Please stay home, stay safe, and stay focused on protecting our community. #schoolclosures https://t.co/uEiQAuEIKM"
1245759064472240130,2020-04-02 17:04:40,RT @DailyTrib: Congressman Andy Levin to host teletown Hall at 6 p.m. April 2 on coronavirus impact https://t.co/vaeEBYYykx https://t.co/um…
1245699008280100865,2020-04-02 13:06:02,"RT @SHDetroit: I'll talk with @RepAndyLevin and @SenStabenow about what the federal stimulus package will mean for families, and @elianmo9…"
1245689017540239360,2020-04-02 12:26:20,"This is not nationalizing business — it’s paying manufacturers to do what they do. 

Read my op-ed on the need for the Defense Production Act. 

https://t.co/rkR9XxDoSC"
1245393249403113474,2020-04-01 16:51:03,"RT @DavidEggert00: On call with reporters, Michigan Rep. Andy Levin says school districts in his congressional district can't get personal…"
1245344024577392641,2020-04-01 13:35:27,"The rights to organize and bargain collectively are even more important during a pandemic, not less.
 
The NLRB must allow mail-in ballots and should develop a process for electronic voting to ensure that workers can exercise their basic rights under the law safely."
