id,created_at,text
1247268344782295046,2020-04-06 21:02:01,Thank you to all of the stakeholders who came together today to join me for a virtual roundtable on addressing COVID-19 in Greater Minnesota. We’ve got to make sure rural areas have the resources they need to keep folks safe and healthy. https://t.co/5iH9a6j9Co
1247202902487302144,2020-04-06 16:41:58,"RT @CDCgov: Take action to slow the spread of #COVID19 by wearing a cloth face covering in public spaces, keeping at least 6 feet of physic…"
1247165731642281990,2020-04-06 14:14:16,We will get through this together. We’ve put together a resource guide for you and we will update it daily. Please share it with your loved ones. https://t.co/OgmDAsbben
1246924371807141894,2020-04-05 22:15:11,"As we learn more about COVID-19, keep up with the latest information on how to protect yourself and others from @CDCgov and @mnhealth. https://t.co/CuWjQWfE7B"
1246851800180932608,2020-04-05 17:26:49,"If your individual stock portfolio is more important to you than serving your constituents, then you should not be a member of Congress.  https://t.co/zXSdMuabLt"
1246551850712592385,2020-04-04 21:34:55,Thank you to @SenatorDurbin &amp; @SenTinaSmith for leading this in the Senate. We’ve got to correct this and ensure that all families get the relief they need. https://t.co/qtJHcfKEd6
1246491929539420160,2020-04-04 17:36:49,Thank you to the 118 colleagues from both sides of the aisle who have joined me to try to fix this issue in the CARES Act rebates. We can’t leave college students and parents providing long-term care for their disabled children behind. https://t.co/0hoEDI1IPq
1246206028250861568,2020-04-03 22:40:45,Our family farmers are struggling and it’s essential that we keep supply chains working and food stocked at our grocery stores. I was proud to join colleagues on both sides of the aisle to call for @SBAgov disaster relief to be expanded to our family farmers. https://t.co/m6sTLotdhe
1246184324984188934,2020-04-03 21:14:30,Hi Taylor! I’m actually leading a bipartisan bill to fix this. I agree that we must act now to ensure dependent students are included. Thank you for advocating for our hard-working college students. https://t.co/aL1ogNfRLp https://t.co/xEjFPt6Vmd
1246155482462633984,2020-04-03 19:19:54,"Thank you so much for sharing, Amy. This is exactly why we’ve got to pass my bill, the All Dependent Children Count Act, to make sure students and disabled adults aren't left out from CARES Act rebates.  https://t.co/aL1ogNfRLp https://t.co/UfBYcrZ8RI"
