id,created_at,text
1246282450466148358,2020-04-04 03:44:25,"If you’re feeling anxious or depressed during these uncertain times and need to talk to someone, you can call the Lifeline crisis line @800273TALK for support at 800-273-8255 or visit 👇
https://t.co/DpKayQR68D"
1246196475433975809,2020-04-03 22:02:47,HAPPENING NOW: I'm holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID19 and answer your questions. You can listen online and ask questions 👇 https://t.co/JsNupwLdS2 https://t.co/yEyLH7IGl5
1245825872759750657,2020-04-02 21:30:09,Tomorrow I'll be holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID19 and answer your questions. Sign up here 👉https://t.co/JsNupwLdS2 https://t.co/lWOwZ2OFsO
1245451556058804224,2020-04-01 20:42:44,"I applaud the FDA’s decision today to protect consumers by recalling the drug from the market and recommending that people safely dispose of any tablets they have at home.

https://t.co/L8gHBc5jTV"
1245451553877774340,2020-04-01 20:42:44,"In Sept 2019, I wrote to the @US_FDA asking them to move quickly to address the potential cancer risk of #Zantac (also known by its generic name ranitidine). Zantac is a highly common drug with 15 million prescriptions written annually, including for infants and pregnant women."
1245420693312942080,2020-04-01 18:40:06,The scammers are out in full force using fear and confusion around the #coronavirus to victimize our older adults and persons with disabilities. Don’t give your Medicare number to anyone over the phone or at your door. Learn more: https://t.co/blAw6Vnsmi
1245365425497653249,2020-04-01 15:00:29,"Today is Census Day. While we’re at home, take a few minutes to #GetCounted. You can log onto https://t.co/XiyWK93E6m to complete your form online. It took me a few minutes to do. #CensusDay"
1245105352833667074,2020-03-31 21:47:03,Do you have federal student loans? Unable to make your payments? Good news: the #CARESAct passed by Congress allows borrowers w/ federal student loans to defer payments for six months and waives all interest. Contact your lender for more info or visit 👇 https://t.co/rQj2uBHjmg
1245061204617367553,2020-03-31 18:51:37,I’m proud to support the #PaycheckFairnessAct in the House and I’ll keep fighting to close the #wagegap because the need for equal pay does not begin and end with #COVID19. #EqualPayDay
1245061203061362689,2020-03-31 18:51:37,"And when the #COVID19 pandemic ends, only 17% of the workforce will have access to #paidleave."
1245061201727545344,2020-03-31 18:51:37,Women working as grocery store cashiers and physicians caring for #COVID19 patients are paid approximately 65 percent of what their male counterparts are being paid.
1245061199328395264,2020-03-31 18:51:36,Today is #EqualPayDay which marks how far into the year a woman must work on average to earn as much as a man earned the previous year. https://t.co/lQjCGsIwLj
1244792053772488706,2020-03-31 01:02:07,".@sccounty has created a safe, online system for donating personal protective equipment. The County needs eye protection, disinfecting wipes, medical gowns, and unopened N-95 and surgical masks. To donate, visit: https://t.co/CXOAprEbwD"
1244758423750823936,2020-03-30 22:48:29,"Today is #NationalDoctorsDay and every doctor has my unending gratitude, especially during these times of crisis. 

You are angels of mercy to every American."
1243183037854224384,2020-03-26 14:28:28,"Tonight I'll be holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID2019 and answer your questions. Sign up 👇👇
https://t.co/JsNupwLdS2"
1242914701174026241,2020-03-25 20:42:11,RT @StephenCurry30: Hyped to talk all things COVID-19 with Dr. Fauci of the @NIAIDNews tomorrow. This is a conversation for YOU so submit q…
1242913474184974338,2020-03-25 20:37:19,The best thing Americans can do to fight coronavirus: #StayHomeSaveLives https://t.co/CcSijjwwG2
1242662559590879232,2020-03-25 04:00:16,"BRAVA to @129RQW @GavinNewsom and @USNationalGuard for stepping up to help feed the most vulnerable during #COVID19 🙏

https://t.co/mLTLMSrMPz"
1242285693226885131,2020-03-24 03:02:44,"Tomorrow I'm co-hosting a Telephone Town Hall Meeting w/ @RepZoeLofgren @RepJimmyPanetta @RepRoKhanna &amp; @HealthySCC about #COVIDー19 in Santa Clara County 

I hope you'll join us tomorrow at 1:00 p.m. PT

📞855-962-1194 https://t.co/LrAeYz4dRZ"
1242147814634934277,2020-03-23 17:54:51,"If you are overseas during these uncertain times, you should register under the @StateDept’s Smart Traveler Enrollment Program so that you can receive the latest updates from the nearest U.S. Embassy or Consulate: https://t.co/pCFqIFqOzQ"
1242135677858439169,2020-03-23 17:06:38,"Today is the 10th anniversary of the Affordable Care Act. As we confront the coronavirus outbreak, 20 million more Americans have health coverage thanks to the ACA. We need to #ProtectOurCare and keep making progress towards affordable, quality health care for all. #ACA10"
1241866794148737026,2020-03-22 23:18:11,The President must immediately use the powers of the Defense Production Act to produce and coordinate distribution of protective personal equipment for our nation’s health care workers. We can’t wait any longer. Hospitals are running out of supplies. How can this be in America???
1241832084727087107,2020-03-22 21:00:15,"THANK YOU to all the health care workers and first responders who are working 24/7 to care for so many of us. I'm fighting to make sure you have the protective equipment you need to stay safe and healthy. You have my lasting gratitude for your courage, strength, and dedication🙏"
1241822337466540032,2020-03-22 20:21:31,"RT @RepZoeLofgren: Join us on Tuesday March 24 @ 1pmPT for a Tele-Town Hall on #COVID19 in Santa Clara County.

📞855-962-1194
@RepAnnaEshoo…"
1241108077602111488,2020-03-20 21:03:19,I urge CMS to urgently give California the flexibility to care for all #MediCal patients during #COVID19 👇👇👇 https://t.co/VE0C8N5PVL
1241056998051008517,2020-03-20 17:40:20,"🚨🚨There's a severe blood shortage across the U.S. Healthy individuals need to roll-up a sleeve and give blood now. It's safe and allowed under the shelter in place order.

Find #BloodDrives near you: https://t.co/9cpJ8V5zS5 https://t.co/Zau8EmvzTG"
1241038992084172800,2020-03-20 16:28:47,"RT @SpeakerPelosi: Today, we join our Iranian American friends &amp; neighbors in marking the celebration of Nowruz and praying for the health…"
1240763348381323264,2020-03-19 22:13:29,Today I urged the President and VP to protect data privacy in our #COVID_19 response. Sensitive location and health data collected to #FlattenTheCurve should only be used for public health. Thanks @RepDelBene &amp; @RonWyden for joining me https://t.co/Zus471Pz0V
1240722003436371969,2020-03-19 19:29:11,"My thanks to the 3,000 constituents who joined my Telephone Town Hall yesterday to discuss what Congress is doing to respond to the #coronavirus. 

REMINDER: if you haven't already, you can sign up for today's Telephone Town Hall below 👇👇👇

https://t.co/JsNupwLdS2"
1240307080462024704,2020-03-18 16:00:26,Proud to join @GerryConnolly in urging the President to require mandatory teleworking for all eligible federal workers to #FlattenTheCurve and protect the public from #COVID19 https://t.co/E5pmJc1htd
1240037619368591366,2020-03-17 22:09:41,"During these challenging and uncertain times, it’s essential for me to hear from you directly, and ensure that you and your loved ones have the information you need to stay safe and healthy. Click on the link below to register 👇

https://t.co/JsNupwLdS2"
1240037618668232709,2020-03-17 22:09:41,"This week on Wednesday, March 18th and on Thursday, March 19th I will be holding Telephone Town Hall Meetings to update my constituents on what Congress is doing to respond to the novel #coronavirus and answer your questions ☎️☎️"
1239962837084061698,2020-03-17 17:12:32,"RT @HouseDemocrats: House Democrats worked with our Republican colleagues and the president to fight #COVID19 on a bipartisan basis. 

#Fam…"
1239385509685837824,2020-03-16 02:58:26,RT @RepThompson: THREAD: Every single person in California must take the restrictions just announced by @CAgovernor Gavin Newsom very serio…
1238700710432313344,2020-03-14 05:37:17,"The House is meeting the coronavirus crisis head on by providing access to free testing for all Americans and expanding paid leave, unemployment insurance, nutrition assistance, and federal funds for Medicaid. #FamiliesFirst https://t.co/h0SozvPfaR"
1238669064412827650,2020-03-14 03:31:32,Politics has no place in the decennial census. Period. I’m pleased @GOP will end its shameful attempts to undermine the 2020 Census. I introduced the Honest Census Communications Act to specifically combat these intentionally deceptive campaigns https://t.co/qQkNKHOluF
1238262311565090817,2020-03-13 00:35:15,"RT @BarackObama: If you’re wondering whether it’s an overreaction to cancel large gatherings and public events (and I love basketball), her…"
1238220930217803778,2020-03-12 21:50:49,We must protect working families from facing the terrible choice between staying home to avoid spreading the virus and losing the paycheck they need to survive. Congress must pass the #FamiliesFirst Coronavirus Response Act https://t.co/TylolZBXpx
1237820612137099264,2020-03-11 19:20:06,".@HouseDemocrats are taking #coronavirus seriously. Last week we passed an emergency response bill that provides nearly $1 billion for state &amp; local health agencies to conduct vital public health activities, such as lab testing &amp; infection control. https://t.co/6miRFqBdtc"
1237732996939161601,2020-03-11 13:31:57,RT @CaCities: It’s exciting to have California’s own Congresswoman @RepAnnaEshoo win the @leagueofcities President’s Award! The #CACities d…
1237382933272551426,2020-03-10 14:20:55,The Coronavirus has already caused one drug shortage and it’s unclear if there are more to come. I wrote to @US_FDA  to ask questions about how the agency is preparing. Read the letter below 👇👇 https://t.co/KTidVHBGfu
1236726080255426560,2020-03-08 18:50:49,"RT @SpeakerPelosi: Today, and every day, we commit ourselves to the ongoing fight for genuine equality for all of the world’s women and gir…"
1236080767031291911,2020-03-07 00:06:34,BRAVA to the extraordinary Guardian Angels of the @129RQW for completing their critical mission to assist the Grand Princess cruise ship. I’m exceptionally proud of the women and men of the @129RQW headquartered in my district who serve ‘so others may live’ https://t.co/Woe6B4WjPC
1235339019887800323,2020-03-04 22:59:08,"🚨🚨The House just passed $8.6 billion in emergency funding to help the federal, state, and local governments fight the #Coronavirus.🚨🚨The money will support purchasing medical supplies, testing for the disease, and researching and developing vaccines. https://t.co/obCSIFcsNo"
1235327959667527685,2020-03-04 22:15:11,"RT @BarackObama: Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when sick a…"
1234926658349621248,2020-03-03 19:40:33,Questions about the novel #Coronavirus outbreak? Check out a list of resources on my website 👇👇👇 https://t.co/3PGTTNwsmo
1234621713901551616,2020-03-02 23:28:49,"RT @SenMarkey: Without the Telephone Consumer Protection Act, there would be no restrictions on robocalling. The constant bombardment could…"
1233895509271699456,2020-02-29 23:23:08,"My latest statement on the coronavirus case of unknown origin in Santa Clara County:

https://t.co/gqdLDM2kg8"
1233802486022049797,2020-02-29 17:13:30,"✅Washing your hands frequently
✅Covering your mouth when you cough and sneeze
✅Staying home when you’re sick continue to be the most important steps to protect yourself from #COVID19 https://t.co/XnYxEw9riJ"
1233482084318052352,2020-02-28 20:00:20,There’s been a reversal of our progress on tobacco use because of flavored products and a tobacco industry that preys on our nation’s youth. Today the House passed H.R. 2339 to save future generations from a lifetime of addiction. https://t.co/UCSSNwEAOz
1233166283727872001,2020-02-27 23:05:27,"RT @HouseDPCC: It’s been one year since the House passed commonsense, bipartisan gun safety bills and one year @senatemajldr has blocked th…"
1232729004312059904,2020-02-26 18:07:52,RT @EnergyCommerce: WATCH LIVE: Health Subcommittee hearing on the 2021 @HHSGov budget and coronavirus with @SecAzar →
1232714679547498499,2020-02-26 17:10:56,"RT @RepAdamSchiff: In September, @RepAnnaEshoo and I warned that our reliance on China for pharmaceutical ingredients is a national securit…"
1232713418693644291,2020-02-26 17:05:56,The President claims the United States has the #coronavirus outbreak “very much under control.” His own policies could threaten that promise. https://t.co/YbyzUjgkkX
1232058942903246849,2020-02-24 21:45:17,Bravo to all of the first responders and community members who helped locate Carol Kiparsky and Ian Irwin in Marin County. Our thoughts are with Carol and Ian as they receive care at Marin General. https://t.co/2BUnlwDBvh
1230646668581838848,2020-02-21 00:13:24,Tune in to our Election Security Town Hall Meeting in San Jose! @RepZoeLofgren @CASOSvote @PrezPapazian https://t.co/7Pbg1Y04of
1229890763665952773,2020-02-18 22:09:42,"Thursday, February 20th I’m hosting an in-person Election Security Town Hall Meeting at the @SJSU Hammer Theatre with @RepZoeLofgren @CASOSvote &amp; @PrezPapazian. It'll be a great opportunity to answer questions and hear your concerns. Details &amp; RSVP below! https://t.co/jYoHVSiyl1"
1228094150341484544,2020-02-13 23:10:36,RT @JRosenworcel: The FCC has sponsorship identification rules that require disclosure when programming is paid to air. Why isn't the FCC e…
1224843781045776384,2020-02-04 23:54:48,"It’s an honor to have #PanCan survivor @DianeBorrison as my guest at #SOTU. Her presence highlights the national need for affordable health care for every American and robust funding for research and development #StateOfHealthCare
 
https://t.co/xooJ6yXxn7"
1221236599024951296,2020-01-26 01:01:09,A happy and healthy #LunarNewYear to all those celebrating! https://t.co/gfvrMCYziE
1220156712818106369,2020-01-23 01:30:04,"Check out my interview with Michael Krasny on @KQEDForum:
https://t.co/upCszZ5SGF"
1219397844257427463,2020-01-20 23:14:36,Today is the only federal holiday designated as a national day of service. It is only appropriate that we honor Dr. King by encouraging all Americans to volunteer to improve their communities. Thank you to all the volunteers in San Jose today who embraced the spirit of Dr. King! https://t.co/bDmvmLyk14
1217217071874039810,2020-01-14 22:48:59,"RT @JimBridenstine: It's #NationalBiotechnologyMonth! We're using biotech for new space solutions. @NASAAmes is researching how to ""grow"" p…"
1215684346524438536,2020-01-10 17:18:29,@SpeakerPelosi has delivered on our #ForThePeople agenda at every step. The House passed over 400 bills last year. More than 275 are bipartisan. They're sitting on @senatemajldr's desk. Perhaps you two will go down as the laziest Senate Majority Leader and President in history. https://t.co/G9VtI4FepC
1215419877328150530,2020-01-09 23:47:34,It’s about time Congress exercised its war powers authority under the Constitution. This is long overdue. https://t.co/1x4Xo4HOy7
1215353190494896128,2020-01-09 19:22:35,RT @JRosenworcel: @FCC Today @RonWyden @SenMarkey @RepAnnaEshoo @RepYvetteClarke and @tedlieu wrote the @FCC calling on the agency to updat…
