id,created_at,text
1247292747893088260,2020-04-06 22:38:59,Granite State nonprofits: the @NatlCouncilNPs is hosting a free webinar TOMORROW. This presentation will explore how the legislation Congress passed in response to COVID-19 can help your organization continue to keep its doors open. Register here: https://t.co/aENKwkzssh https://t.co/KQMNlckUJo
1247277505704341504,2020-04-06 21:38:25,"Kudos to @SoClean in Peterborough for stepping up to help Granite State medical providers stay safe as they treat COVID-19 patients. Thanks to them, 250,000 masks will make their way to facilities across New Hampshire. https://t.co/mpIrgv8jjz"
1247270989794344962,2020-04-06 21:12:31,Proud to introduce bipartisan legislation to help ensure @NBRC_Team can continue to provide critical resources to accelerate job creation &amp; economic prosperity in Granite State communities that need it most. https://t.co/3Vg9EJHcAy
1246212526825705478,2020-04-03 23:06:34,"TODAY: The Admin approved NH’s Major Disaster Declaration request.

Earlier this week, I joined our federal delegation &amp; @GovChrisSununu in urging the President to swiftly approve this request to ensure our state has critical resources &amp; support as we address the #COVID19 crisis. https://t.co/p5JonEVTPw"
1245818130460553216,2020-04-02 20:59:23,Dial (866)478-3366 now to join us! https://t.co/DEtya8iGvz
1245797669970288643,2020-04-02 19:38:04,Join @RepChrisPappas and I TODAY at 5PM for our telephone town hall on COVID-19. We will be joined by public health experts and small business officials to provide updates and answer your questions. We hope to hear from you. https://t.co/HjjWqyGIdv
1245775162915590146,2020-04-02 18:08:38,Pleased to join my colleagues to announce this important funding to bring much-needed assistance to populations especially vulnerable to COVID-19. I'll continue working to ensure NH communities have the resources and support they need during this crisis. https://t.co/UsVam3NojG
1245758299255046145,2020-04-02 17:01:38,"Grateful to the talented scientists and doctors at @DartmouthHitch, who are joining a clinical trial for a COVID-19 treatment. Kudos to the dedicated health care workers on the frontlines working tirelessly to keep us healthy &amp; safe.
https://t.co/XSW14A4wPp"
1245747441347018755,2020-04-02 16:18:29,Love seeing New Hampshire businesses step up to help those on the frontlines of this crisis. Milford’s Alene Candles is making the Granite State proud! https://t.co/B31IFU2Ct9
1245504488842166275,2020-04-02 00:13:05,"Today is #CensusDay! 

The census takes about 10 minutes to complete. An accurate count is important to ensure New Hampshire communities have the resources, funds, and representation they deserve!

Visit https://t.co/Fj1FtnEp5x. #Census2020"
1245462609454923778,2020-04-01 21:26:40,Join @RepChrisPappas and me tomorrow for a telephone town hall on COVID-19. We will be joined by public health officials to provide updates and hear directly from you. All are welcome and we hope to hear from you. https://t.co/TtCmpJVivx
