id,created_at,text
1247275424805089281,2020-04-06 21:30:09,RT @CEXAlsobrooks: Reminder: Applications for the Prince George’s County COVID-19 Hourly Employ Relief Fund open today! Visit https://t.co/…
1247212503614074885,2020-04-06 17:20:07,"We are behind on getting lifesaving equipment into the hands of our frontline medical professionals.

We can solve this. President Trump must fully invoke the Defense Production Act in order to ramp up production and bring order to our supply chain. We need to act now #COVID19 https://t.co/rXkdFELlB2"
1247180193665556480,2020-04-06 15:11:44,"Tomorrow, join me, health experts and reps from @SBAgov, state agencies and county government for a TeleTownhall. 

I want to make sure you have all the information you'll need to get through this. Sign up below ⬇️ #COVID19

https://t.co/9PioEwQfTK"
1246453629541920769,2020-04-04 15:04:37,"I’m staying in close contact with labor and small business leaders to ensure no one gets left behind as we confront #COVID19. This week, I held listening calls to answer questions and hear their ideas to help our communities.

This is just the beginning. We're in this together. https://t.co/emOOZnTO1O"
1246450988137025536,2020-04-04 14:54:08,RT @NitaLowey: We will get through this crisis together. @HouseDemocrats are committed to supporting working families struggling to pay ren…
1246225516136411138,2020-04-03 23:58:11,"Small businesses are cornerstones of our communities. This isn’t just a public health crisis, but also an economic one threatening businesses and their employees' livelihoods.

Learn more about aid at https://t.co/8rPo9OMsgg and support local business today. #COVID19 https://t.co/mGEwsNmOMq"
1246161186615410690,2020-04-03 19:42:34,"America is more than capable of defeating #COVID19 - we need a coherent, organized strategy to marshal supplies and get them to the frontlines.

No more blame. No more spin. We need President Trump to invoke and utilize the full extent of the Defense Production Act, now. https://t.co/jb2omUHtrs"
1246143605737246721,2020-04-03 18:32:42,"Local businesses need help right now and cannot afford any delay. @USTreasury needs to take immediate steps to clear up any confusion with banks and online applications. 

These are people’s livelihoods, we need to act quickly to resolve this:

https://t.co/HosqqjbOjb"
1246143604378292224,2020-04-03 18:32:42,"We’re in an economic crisis, and must do more for our small businesses and their employees feeling the pain of #COVID19.

Today, Maryland businesses can apply for the Paycheck Protection Program through @SBAgov. We’re working to keep their doors open and protect working families https://t.co/FPhel7tzMt"
1245852847121588224,2020-04-02 23:17:20,"As we work to aggressively expand testing, @drJoshS is correct, we need a strategy to limit the spread of #COVID19 in our communities once it's found.

Our approach must be comprehensive, quick and precise. If we work together and #StayHome we can defeat this virus. https://t.co/4qYedo7Zei"
1245812813374816256,2020-04-02 20:38:15,"No one should fear paying for health expenses. If you are uninsured or recently lost health insurance coverage, Maryland has extended its emergency sign-up period until June 15th. 

Visit @MarylandConnect at the link below for more information:

https://t.co/6mbmMEcsA9"
1245792271531999234,2020-04-02 19:16:37,"After I joined my colleagues raising the alarm, the Trump Administration reversed course and our seniors will now be able to receive stimulus checks without having to file a tax return.

This fight against #COVID19 requires solidarity to ensure no one gets left behind. https://t.co/MBTM1fRFyB"
1245736952751669249,2020-04-02 15:36:48,"Our doctors and nurses need PPE. Our firefighters, police officers and EMTs need PPE. Our grocery store workers need PPE.

The only way we can protect those on the frontlines fighting #COVID19 is if we use the Defense Production Act to the fullest extent, right now. https://t.co/uGEaUpiX8p"
1245483591796240391,2020-04-01 22:50:02,"The Trump Administration must make clear that those who receive Social Security checks do not have to file a tax return to receive a stimulus check. Our seniors need aid, not additional paperwork.  

We’re in this together, we need to ensure that no one gets left behind. #COVID19 https://t.co/KnOpFU6w4I"
1245435932041494530,2020-04-01 19:40:39,"You can help your community, right now, by filling out the census. For the first time, you can finish the census online at https://t.co/yNGNbIL0ab.

Your civic duty secures more funding for our schools and hospitals. It only takes a few minutes #ShapeYourFuture #ProudToBeCounted https://t.co/a3tFFgxots"
1245425375611621381,2020-04-01 18:58:43,"RT @AACoExec: Our hardworking team at #AnneArundel @RecParks is opening 6 additional sites (48 slots) for child care for essential workers,…"
1245396584348688396,2020-04-01 17:04:18,"Maryland needs more PPE and ventilators from the federal gov’t and thus far has only received a fraction of our requests.

We need a comprehensive national solution. We need to mobilize the full might of the private sector with the Defense Production Act, and we need to do it now https://t.co/dFwyxIx3g7"
1245163219590819841,2020-04-01 01:37:00,"Trans Americans deserve the right to a part of every aspect of American life - health care, schools, sports and yes, the military.

While far too many people today will try to erase you or tear you down, we won’t let that happen. We see you, you matter #TransDayOfVisibility https://t.co/b4ejzfvm8m"
1245140003270819840,2020-04-01 00:04:45,"Using the Defense Production Act to ensure medical professionals have vital supplies isn’t radical, but rather acknowledges the realities on the ground. 

This crisis calls for decisive leadership. We can't wait for the situation to get worse, we must prepare now. #COVID19 https://t.co/WtX2sXKAMY"
1245099988700540932,2020-03-31 21:25:44,"We can’t beat this virus without intel. Today, I visited the pilot #COVID19 testing site at FedEx Field with @SecArmy. 

This site, in partnership with @MDNG, is critical to effectively responding to this public health crisis and building capacity. Their work is saving lives. https://t.co/1fL708qcc7"
1245020893937631234,2020-03-31 16:11:27,"We’re making progress increasing Maryland’s testing and medical capacity to defeat this virus, but we still have work to do.

With over $2 billion on the way to Maryland to ramp up these efforts, new testing sites opening and the public is doing its part we will beat #COVID19 https://t.co/sBGl9hAjWY"
1244791582768889856,2020-03-31 01:00:15,"Doctors are on the frontlines stopping the spread of #COVID19 in our communities. They are there for us in our times of greatest need and are putting their lives on the line to protect us.

They deserve our gratitude, today and everyday. #NationalDoctorsDay https://t.co/uVWgx8cSC0"
1244750640217284609,2020-03-30 22:17:33,"Our medical professionals need an unprecedented amount of supplies because they are facing down an unprecedented threat to public health.

Our country can meet this challenge. We owe it to our doctors to use the Defense Production Act to get them all that they need. #DPAnow https://t.co/dwwQkvCtY7"
1244695127664230402,2020-03-30 18:36:58,RT @AACoExec: We have received so many inquiries about donations for the COVID crisis. @AACO_OEM has compiled a list of the most needed ite…
1244689365604995073,2020-03-30 18:14:04,"Join myself, @CEXAlsobrooks and Prince George’s County officials for a Tues. Spanish TeleTownhall discussing the federal, state and local response to #COVID19 and providing important information to keep the Latino community safe

Register below or call 311
https://t.co/H53aZuyvbp https://t.co/ZX59PpXhvs"
1244670762159669248,2020-03-30 17:00:09,"We can beat #COVID19 if we act together. That means limiting unnecessary contact and staying home unless you need food or medicine.

You can still go outside for exercise or pet needs, but follow proper social distancing guidelines. Your actions today will make a difference. https://t.co/fbry9eygYU"
1244018373178130433,2020-03-28 21:47:47,"This is a heartbreaking loss for @pgcps. A coach and counselor, Terrance Burke touched the lives of many kids at Northwestern High. His family is in my prayers and those of all Prince George’s County residents. 

#COVID19 is serious, we must do everything possible to save lives. https://t.co/jCDf4szD8u"
1243625785354792965,2020-03-27 19:47:47,"It was an absolute privilege and honor to preside over today’s historic debate and vote. 

We should be proud and equally committed to providing the relief that our country will no doubt require in the weeks ahead. America will rise to this challenge. #COVID19 https://t.co/J5wM9DZcA2"
1243612421060780032,2020-03-27 18:54:41,"Governors are pleading for more ventilators as the number of #COVID19 cases rise. 

We can avert devastating choices if we do everything in our power to produce the medical equipment doctors need. President Trump needs to use the #DefenseProductionActNOW.

https://t.co/PEXyoPQhxd"
1243589517887639616,2020-03-27 17:23:40,You do a lot of counting as a battalion logistics officer. Let’s get this done. #COVID19 https://t.co/fQnjCiwp8K
1243571321558241286,2020-03-27 16:11:22,"The urgency of the moment requires us to act, and act quickly to get help to the American people. We’re not playing around here.

We will pass this bill today. #COVID19 https://t.co/MvVZfFM6vP"
1243541689777688586,2020-03-27 14:13:37,"It's an honor to preside over the House as we pass legislation to confront #COVID19, provide relief to workers and small businesses and give our healthcare workers what they need.

This is a critical moment. Today, Congress will deliver #ForThePeople https://t.co/Lomd3QwJex"
1243316175897067520,2020-03-26 23:17:30,"Today, I visited Kenmoor Middle School to see firsthand the great work being done by Prince George's County schools ensuring our kids are fed and have the learning materials they need to stay ahead

As a community we’ve banded together, and as a community we’ll beat this #COVID19 https://t.co/JjkHFwqnSL"
1243276537845166080,2020-03-26 20:40:00,"Wishing @SpeakerPelosi a happy birthday.

A true trailblazer and most importantly a native Marylander, I can’t imagine a more capable Speaker during these challenging times. I look forward to continuing our work delivering for working families and #ForThePeople https://t.co/sZiTDwYJlk"
1243262670750564353,2020-03-26 19:44:54,"I joined the entire Maryland delegation urging President Trump to quickly approve @GovHogan’s request for a Major Disaster Declaration for our state.

Maryland needs emergency funding to aid our aggressive response to #COVID19 in our communities and we need it fast. https://t.co/3Ad2f73968"
1243156719502602241,2020-03-26 12:43:53,RT @WPGC: .@RepAnthonyBrown is chatting with the Joe Clair morning show! Tune in at https://t.co/PyoG4XERpd !
1242957938521759745,2020-03-25 23:34:00,"With states facing a shortage of ventilators to treat #COVID19 patients and our current reserves falling short, now is the time for the federal gov't to act.

We need a whole of government, whole of country effort to protect the health of our citizens. 

https://t.co/MgiBgRpFcB"
1242936808406765570,2020-03-25 22:10:02,"On #MarylandDay we commemorate all that our state has accomplished 386 years since its founding, and look ahead.

Our resiliency, diversity and willingness to look out for one another is our strength. It will carry us through these challenges and make our communities whole again. https://t.co/yaaJT30j34"
1242872949037838336,2020-03-25 17:56:17,"The number of positive cases in Maryland are rising and more widespread in our communities than we think. We are actively ramping up testing to get a handle on the number of cases and inform public health decisions.

We need the public to do its part, #StayHome save lives. https://t.co/f4jwQmmIYU"
1242867226509746176,2020-03-25 17:33:32,"RT @CEXAlsobrooks: Today the State Superintendent of Schools announced Maryland public schools will remain closed through April 24th, and G…"
1242591272470286338,2020-03-24 23:17:00,"This is a good first step, but states need more aid. First responders and health care workers are facing an unprecedented challenge that will require unprecedented action from the federal gov't.

With lives at stake, this can’t be limited action. This can’t wait #COVID19 https://t.co/ttZQ9veghB"
1242568105253052424,2020-03-24 21:44:56,"Tomorrow, the Y’s 11 Family Centers in Maryland will open to provide child care for first responders and frontline health care workers fighting #COVID19.

We get through this together, by leaning on each other and the strength of our communities. 

https://t.co/aenitDQuOa"
1242538490316947456,2020-03-24 19:47:15,"Without action, our hospitals face devastating choices as #COVID19 cases climb.

A patchwork system will not stop the spread. I joined my colleagues demanding a national standard requiring Americans stay at home unless they are traveling for essential services. #StayHome https://t.co/FPUFxOk2BH"
1242476278005055489,2020-03-24 15:40:03,"If you want to understand just what’s at stake and how your actions in the days ahead can save the lives of others, read this thread

If you think that we can give up public health measures at this moment, read this thread

If you need motivation, read this thread #StayHome https://t.co/iU0MBOKIRG"
1242465346847735809,2020-03-24 14:56:37,RT @CEXAlsobrooks: #PGCCOVID19 Update: Metrobus will operate on a modified Sunday schedule the week of March 23-27. WMATA encourages reside…
1242440482057261059,2020-03-24 13:17:49,"Take some time today to respond to the #2020Census. This year you can fill out the questionnaire online.

Each response online is one less door census workers have to knock on and gives our communities more federal dollars to work for you.

More here ⬇️ 
https://t.co/l46o0188a4"
1242160404853391364,2020-03-23 18:44:53,"After 5:00 PM only essential businesses in Maryland will remain open including:
Grocery stores
Pharmacies
Banks
Gas Stations
Liquor Stores
Hardware Stores
Auto Service
Laundromats

All Marylanders should #StayHome to protect our most vulnerable. Your choices now can save lives. https://t.co/p4Y9Lb3qBg"
1242129228050640906,2020-03-23 16:41:00,"10-years ago, the #AffordableCareAct passed into law covering over 20 million Americans and protecting over 133 million Americans with pre-existing conditions.

The fight to #ProtectOurCare is more important than ever before. No one should go bankrupt just because they got sick. https://t.co/VQnzr7AlU7"
1242090344394690562,2020-03-23 14:06:29,"As this country faces challenges, we can draw inspiration from our own history. 

100 years since the 19th amendment was ratified, we still have work to do to ensure equality under the law. These fights will be hard, but I'll be with you every step of the way #WomensHistoryMonth https://t.co/ZgDnP6klEC"
1241834621630889984,2020-03-22 21:10:20,"Want to know how you can help our communities and neighbors? In addition to staying home, more help is needed.

Marylanders have stepped up to help each other get through this pandemic. We’ll get through this together. Visit Maryland Unites for more: 

https://t.co/VPd4oNe3UV"
1241126484657537024,2020-03-20 22:16:27,"RT @CEXAlsobrooks: Thank you to our partners with the Capital Area Food Bank for announcing two more pop-up food pantries tomorrow, March 2…"
1241114670192304137,2020-03-20 21:29:30,"Today, I convened labor and business leaders to discuss community needs as we respond to #COVID19

My top priority moving forward is getting money in the pockets of working families and helping the business community get back on its feet.

https://t.co/UUGmzRBEMW"
1241093402881675264,2020-03-20 20:05:00,"Lack of supplies isn’t just an issue in MD, it’s an issue everywhere in this country and the federal government must step up.

The private sector can produce and get these supplies to our frontline health care workers and first responders. The president shouldn’t delay. #COVID19 https://t.co/rSCC5YA5fX"
1241075648430518272,2020-03-20 18:54:27,"All MD small businesses can now apply for up to $2M in emergency low-interest, long term loans to help pay bills and their employees.

Ensuring small businesses can retain their workforce and weather this public health emergency is my priority #COVID19

https://t.co/IuLLK0Yeql"
1241055644561682434,2020-03-20 17:34:58,"RT @AACountyGovt: Have questions about #COVIDー19 response on the county, state, and federal level? Submit them to covidtownhall@aacounty.or…"
1241006915083276288,2020-03-20 14:21:20,"RT @CEXAlsobrooks: We are #PrinceGeorgesProud of Safeway, Giant, and Save-A-Lot grocery stores for setting aside specific hours to serve ou…"
1241006589039034372,2020-03-20 14:20:02,"RT @AACoExec: If you've lost work hours, earnings, or your job as a result of COVID-19, you may qualify for partial or full unemployment in…"
1240785057326993408,2020-03-19 23:39:44,"Taking food from vulnerable children and families at their moment of greatest need is a moral low point. 

To push restrictions during a crisis, with so many working families worried about making ends meet, is unconscionable. We’ll keep fighting this, lives depend on it. #COVID19 https://t.co/6NE9TEDQOD"
1240687792276946944,2020-03-19 17:13:15,"We need to take bold action to protect the American people. That means doing everything in the federal government’s power to get state health care workers the medical equipment they so desperately need.

Steps need to be taken RIGHT NOW to save lives. #COVID19 https://t.co/bXNw71dMdi"
1240673171470274560,2020-03-19 16:15:09,"RT @PGCountyDPWT: As a reminder, please only use TheBus for essential travel. You can practice social distancing during your commute by usi…"
1240670113969340416,2020-03-19 16:03:00,"Prince George’s County small businesses can now apply for emergency loans.

These are low interest, long-term loans with payments deferred for 1 year to help during this crisis. This is but the first step to aid these community cornerstones. #PGCCOVID19

https://t.co/IuLLK0Yeql"
1240638885425745922,2020-03-19 13:58:54,"This is a tragedy for his family and all of Maryland.

We are using every available resource to care for our communities and protect the vulnerable. Pray for his loved ones. Pray for all those who are sick. Together, we’ll get through this. #PGCCOVID19

https://t.co/WHYKLEyPqb"
1240445021981212673,2020-03-19 01:08:34,"Expanding our testing sites and medical capacity in the DMV is our top priority.

My colleagues and I urge the Trump admin. to aid our region's response efforts with federally-supported #COVID19 testing sites. Our communities are mission critical. We can't treat if we can't test. https://t.co/ewwB7qGEoM"
1240428602132443144,2020-03-19 00:03:19,"This cannot be a time for equivocation, second guessing or delay. Our communities need help now. Our doctors need help now.

We don't have enough masks and ventilators. I urge President Trump to do everything he can to give us a fighting chance. Lives are at stake. https://t.co/xcKfz0pwTD"
1240379406553677826,2020-03-18 20:47:50,"RT @wmata: Reminder: Metrorail hours are changing, starting today:
     • Mon-Fri 5A-11P   • Sat-Sun 8A-11P

** STAY HOME IF YOU CAN; ESSEN…"
1240348768240840709,2020-03-18 18:46:05,"To protect public health, Maryland primary elections have been rescheduled from April 28th to June 2nd. As always, any Marylander can choose to vote by mail. The new deadline to request an absentee ballot is May 26th.

To request a mail-in ballot visit: https://t.co/1kGc2V6y60"
1240339312136372224,2020-03-18 18:08:31,"RT @CEXAlsobrooks: All Maryland driver’s and business licenses, ID cards, permits, and registrations that expire while Maryland is under a…"
1240308989822468099,2020-03-18 16:08:01,".@MarylandConnect has opened a special enrollment period until April 15, 2020 for uninsured Marylanders. Please note everyone, no matter your health insurance or immigration status, can get tested for COVID19.

For more information, visit:
https://t.co/jPA3nk7K1l"
1240299210857222144,2020-03-18 15:29:10,"RT @shopsativerson: The Capital Area Food Bank, Shops at Iverson, &amp; the Community of Hope AME Church are giving away fresh produce tomorrow…"
1240057561942036481,2020-03-17 23:28:56,"Congress is not done with its work. We will be pushing legislation in the coming days to respond to this public health crisis, protect working families and safeguard our small and local businesses.

#PGCCOVID19"
1240056536073932802,2020-03-17 23:24:51,"Q: How will the coronavirus effect the primary elections in Maryland?

A: The primary has been moved from April 28th to June 2nd. We are encouraging people to vote by mail. To request a ballot visit: https://t.co/i3UVTIxf1O

#PGCCOVID19"
1240055054159265793,2020-03-17 23:18:58,"Q: Will people without health insurance be able to be tested for COVID19?

A: Yes, everyone, no matter their health insurance status, can get tested for COVID19. Current guidance in MD requires a physician to order the test #PGCCOVID19"
1240053785436839938,2020-03-17 23:13:56,"Q: What can the community do to help seniors in our community?

@CEXAlsobrooks: ""Make sure you are calling and checking in on the seniors you know to make sure they have everything they need to stay healthy."""
1240052841529716747,2020-03-17 23:10:11,"Q: Is there consistent information being given to federal government employees on telework? 

A: My colleagues and I in the regional federal delegation are putting together legislation that would mandate telework for federal government employees during this crisis #PGCCOVID19"
1240052045706678272,2020-03-17 23:07:01,"Federal, state and local officials are actively exploring ways to ramp up testing for everyone who needs it in Maryland. 

Our elderly, sick and vulnerable neighbors are counting on us to get this done #PGCCOVID19"
1240049038700969984,2020-03-17 22:55:04,"Today, the Pentagon announced it would give 5 million respirators and 2,000 ventilators to @HHSGov for virus response"
1240048344807997441,2020-03-17 22:52:19,"Yesterday, the @CDCgov  awarded $10.2 million to Maryland that will be used for improved testing, tracking and public awareness campaigns to contain this pandemic #PGCCOVID19"
1240047771924803587,2020-03-17 22:50:02,Congress is taking urgent action to combat this pandemic and cushion the economic toll on working families right here in Prince George's County #PGCCOVID19
1240046630503616513,2020-03-17 22:45:30,".@CEXAlsobrooks and I are taking questions from Prince George's County residents on the federal, state and local response to #COVID19 . Follow along here for updates. https://t.co/MjKvEUYgdv"
1239990837582405635,2020-03-17 19:03:48,"Join me and @CEXAlsobrooks for a tele-townhall discussion on the federal, state and local response to the #COVID19 outbreak.

County residents can call 311 to add their number to the call OR tune in at 6:30 PM to CTV Channel 76 (Verizon Fios 42) to listen live. #PGCCOVID19 https://t.co/TeLDMQ9B0E"
