id,created_at,text
1247341784117764102,2020-04-07 01:53:50,"RT @Jim_Jordan: We’re all pulling for Prime Minister Boris Johnson. 

Our prayers are with him, his family, and all of the other families w…"
1247341219233095680,2020-04-07 01:51:35,"RT @DougBurgum: As ND increases testing capacity, we're seeing among the lowest rates of confirmed positives in the nation with one of the…"
1247196099372355585,2020-04-06 16:14:56,"RT @NDDOH: The NDDoH &amp; private labs are reporting 426 total completed tests today for COVID-19, with 18 new positive cases, bringing the st…"
1247167183160889344,2020-04-06 14:20:02,"April is #WorldAutismMonth and the theme this year is to make 2020 the Year of Kindness. Even though our lives and livelihoods have been disrupted, we can each dedicate ourselves to be kinder &amp; more understanding of each other, especially to our friends and neighbors with autism https://t.co/MtnFXwRaJi"
1246989801548627969,2020-04-06 02:35:11,"RT @NDDOH: Day Two of ""Operation Drive-In"" drive-up COVID-19 testing in Gladstone was another huge success! Thank you to residents of the G…"
1246837163293097990,2020-04-05 16:28:39,"RT @NDDOH: The NDDoH &amp; private labs are reporting 580 total completed tests today for COVID-19, with 21 new positive cases, bringing the st…"
1246174382432505857,2020-04-03 20:35:00,Tune in to @theflagwzfg tonight at 7 PM CT as I discuss the latest coronavirus developments with @SteveHallstrom. You can listen live online here: https://t.co/zt6Cm1HVXl
1246124613815451648,2020-04-03 17:17:14,"RT @GOPoversight: Congress has ""an obligation to challenge China for their deceit and misinformation campaign"" and ""ensure the Chinese Comm…"
1246109813400010759,2020-04-03 16:18:25,"RT @NDDOH: The NDDoH &amp; private labs are reporting 818 total completed tests today for COVID-19, with 14 new positive cases, bringing the st…"
1246094002950209536,2020-04-03 15:15:36,"RT @DougBurgum: All North Dakotans should be staying home and avoiding non-essential trips. However, if you need to pick up food and suppli…"
1246092755484499970,2020-04-03 15:10:38,"RT @Jim_Jordan: Speaker Pelosi just announced a new committee to oversee the #coronavirus crisis. 

That’s ridiculous! 

We already have an…"
1245866663565656064,2020-04-03 00:12:14,Fantastic. Thank you. https://t.co/dWZpsfKHpV
1245862168387448832,2020-04-02 23:54:22,This 👇🏻 is just one more reason to love @TheRedPepper. You guys rock. https://t.co/WCNVm1XjwQ
1245797219279790083,2020-04-02 19:36:17,"During these unprecedented times, scammers are working overtime to spread disinformation and steal from you. Arm yourself by knowing what common red flags to look for: https://t.co/fe98OI1uY4"
1245770727959269381,2020-04-02 17:51:01,Good news: @ENERGY opened up 30M barrels of storage in the Strategic Petroleum Reserve for US oil producers that are struggling due to the effects of COVID-19 and the intentional disruption of world oil markets by foreign actors. #NDoil https://t.co/kF6kHMC4mf
1245749083702202368,2020-04-02 16:25:01,RT @stevenmnuchin1: .@SocialSecurity recipients don’t need to file a tax return to receive Economic Impact Payments. Recipients will receiv…
1245746973082296321,2020-04-02 16:16:37,"RT @NDDOH: The NDDoH &amp; private labs are reporting 353 total completed tests today for COVID-19, with 12 new positive cases, bringing the st…"
1245738241426444290,2020-04-02 15:41:56,"RT @NDDOH: Please note: starting today (4/2), the ND Dept of Health Joint Information Center will move from releasing the statewide COVID-1…"
1245724779598041090,2020-04-02 14:48:26,Social Security recipients who do not typically file a tax return do NOT need to file one in order to receive the one-time coronavirus tax rebate. Learn more here: https://t.co/SL4IADYF5D
1245721422556811266,2020-04-02 14:35:06,"RT @realDonaldTrump: Just spoke to my friend MBS (Crown Prince) of Saudi Arabia, who spoke with President Putin of Russia, &amp; I expect &amp; hop…"
1245496283890159616,2020-04-01 23:40:28,"RT @DougBurgum: Today, I signed an executive order waiving the mandatory 1-week waiting period for unemployment benefits as claims continue…"
