id,created_at,text
1247301048538202112,2020-04-06 23:11:58,"THANK YOU to essential employees, frontline workers, and everyone helping fight this virus! We are always #InThisTogetherOhio https://t.co/8y81tvirfZ"
1247300735810899968,2020-04-06 23:10:43,RT @CDCemergency: Don’t put family at risk for #COVID19 by visiting them in person. Call grandparents or invite them to a video chat. Keep…
1247300706668883968,2020-04-06 23:10:36,"RT @apprenticeohio: A heartfelt thank you to our first responders, healthcare and grocery store workers, electricians, truck drivers, bus d…"
1247300670325227521,2020-04-06 23:10:28,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1247143594563194880,2020-04-06 12:46:18,RT @OHdeptofhealth: Our call center is open and ready to help. Contact us at 1-833-4-ASK-ODH. #InThisTogetherOhio https://t.co/Z78PcMMnAC
1247143285686181894,2020-04-06 12:45:04,"RT @GovMikeDeWine: There is still an urgent need for #PPE in #Ohio for our frontline workers. If you can help, please visit: https://t.co/3…"
1247142880642301952,2020-04-06 12:43:28,"RT @LtGovHusted: Yesterday, Lt. Governor @JonHusted announced that #BroadbandOhio has been working with providers to find public Wi-Fi hots…"
1247142725905977344,2020-04-06 12:42:51,"We are facing a blood shortage 💉

Find out how you can donate HERE: https://t.co/mUkQ4n1xc4 https://t.co/0fTzndOTvM"
1247142207611645953,2020-04-06 12:40:47,"Job for a job, Ohioans? Check out this new website that matches essential businesses with those able to work during #COVID19 pandemic. ⬇️⬇️⬇️ https://t.co/osqoP5QCYD"
1247141746473144321,2020-04-06 12:38:57,"RT @SBAgov: The #CARESAct has established new programs to help small businesses impacted by #COVID19 including:
1️⃣ Paycheck Protection Pro…"
1247141707768123392,2020-04-06 12:38:48,"Thank you, @tim_cook @Apple for your work to protect medical workers! https://t.co/MAetw3P6Ky"
1247141355954069505,2020-04-06 12:37:24,RT @OHdeptofhealth: Looking for a list of FAQs related to #COVID19? Find them here: https://t.co/MPyauxVc2Z #InThisTogetherOhio https://t.c…
1247139700529410050,2020-04-06 12:30:49,"RT @GovMikeDeWine: Can you help with meal deliveries to older Ohioans? Providers need your help with: 

1⃣ donations to provide more meals…"
1246468175350423556,2020-04-04 16:02:25,"RT @SBAgov: 📣JOB ALERT! SBA now has several positions open to assist with the agency’s response to #COVID19.

➡️ Learn more and apply: http…"
1246467745249669120,2020-04-04 16:00:43,"RT @GovMikeDeWine: ❗️ 100% of the loan can be forgiven if the funds are used to maintain employee payroll. ❗️

https://t.co/edCQrnhcV9
#InT…"
1246467646520020993,2020-04-04 16:00:19,"RT @OHdeptofhealth: #COVID19, cold, or flu? Compare the common symptoms. https://t.co/jU4ZAkDEH6 #InThisTogetherOhio https://t.co/dj6gvuZtPk"
1246467566635290624,2020-04-04 16:00:00,RT @MountCarmel: Thank you to the compassionate community members who placed these signs along the walkway to Mount Carmel East! We think h…
1246467152816877569,2020-04-04 15:58:22,"This week, I asked @BetsyDeVosED how K-12 students w/o reliable access to internet &amp; broadband can best receive educational services as schools operate remotely. Their education shouldn't suffer as a result. We must also ensure schools benefit from funds appropriated by #CARESAct https://t.co/pxgOYsL9Q2"
1246166399778725888,2020-04-03 20:03:17,RT @LtGovHusted: Check out this new tool that offers some relief to Ohio’s small business community. The @SBAgov’s Paycheck Protection Prog…
1246166358095781889,2020-04-03 20:03:07,"RT @GOPLeader: Small business owners: this is a two-page form for a 100% federally-guaranteed loan. If you use it for payroll, rent, and ut…"
1246166279599411200,2020-04-03 20:02:48,RT @CDCgov: HCPs: Using #telemedicine instead of face-to-face encounters for routine medical visits can help slow the spread of #COVID19 in…
