id,created_at,text
1247278460063617024,2020-04-06 21:42:12,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Noma8NXmag
1247223011075375105,2020-04-06 18:01:52,"Whether it be rain, shine, or a pandemic, the Army’s 3rd U.S. Infantry Regiment continues to stand guard at the Tomb of the Unknown Soldier. To the service members who carryout this hallowed tradition, thank you. https://t.co/sVgdMTD7Ur"
1247187715482963968,2020-04-06 15:41:37,The Smithsonian is committed to supporting teachers and students as schools across the country shift to online programs. The Institute’s Learning Lab provides countless resources for educators to enhance distance learning opportunities. https://t.co/PnnbWsMZbj
1246876972476743680,2020-04-05 19:06:50,"The President has updated social distancing guidelines until the end of April. Following these simple steps can help flatten the transmission curve and slow the spread of COVID-19. To learn more, visit https://t.co/DeirdJMPtm. https://t.co/adrEGJouyQ"
1246784778256494594,2020-04-05 13:00:29,https://t.co/xZGc0Py6F2
1246543250699288583,2020-04-04 21:00:45,"Many have asked questions about medical supplies and other personal protective equipment. To learn more, visit the @US_FDA's Frequently Asked Questions page below. https://t.co/GVWREqsx8M"
1246491656297340935,2020-04-04 17:35:44,"This Administration is thinking outside the box and using every possible resource to combat the coronavirus. The @US_FDA, @NIH, and the @DeptVetAffairs have teamed up with private companies to 3D print PPE &amp; other critical medical supplies to aid the relief effort. https://t.co/JvniRN7RwK"
1246463396914049024,2020-04-04 15:43:26,Please be advised that the @USDOT issued an enforcement notice clarifying that both U.S. and foreign airlines must provide refunds to passengers for flights that have been canceled or significantly rescheduled as a result of COVID-19. https://t.co/FQ9p4ks7Vd https://t.co/Bhrwz9bmBS
1246189622914416640,2020-04-03 21:35:33,"Restaurant Takeout Week runs through Sunday here in Virginia. As restaurants face difficult times, I encourage you to support your neighbors and eat local. #VirginiaEatsLocal https://t.co/mceX5Ntxdf"
1246187160287535109,2020-04-03 21:25:46,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl
1246156665415782402,2020-04-03 19:24:36,"Americans abroad are facing difficulties returning to the United States due to flight cancellations and travel restrictions. If you or your family are in this situation, please contact my office.  https://t.co/jvHlCLDeI7 https://t.co/dRHK27pRsQ"
1246125948312961025,2020-04-03 17:22:32,"The @US_FDA is working around the clock to combat COVID-19. To learn more about their contribution, visit the link below.
https://t.co/ObdTIbMESD https://t.co/hZOUXcFUVl"
1246094234790367238,2020-04-03 15:16:31,"Banks are now accepting loan applications for the @SBAgov's Paycheck Protection Program. If you are a small business seeking relief for financial hardship caused by the coronavirus, visit the link below to find a lender near you. 
https://t.co/Lk5kNwWrjc"
1246065605557411844,2020-04-03 13:22:45,"The CARES Act makes $349 billion in forgivable loans available to businesses to help keep their doors open and employees on payroll. The Paycheck Protection Program is now up and running. Learn more, below. https://t.co/QvsLOME84N"
1245823980080107525,2020-04-02 21:22:37,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/L80j4W1c8O
1245803706093797376,2020-04-02 20:02:04,"In an effort to ensure that people across the country can operate remotely in these unprecedented times, the FCC has asked broadband and telephone service providers to sign the Keep Americans Connected Pledge. To learn more, click below. https://t.co/uwA8WNaZX7"
1245743893817237505,2020-04-02 16:04:23,"I am pleased to announce the 2020 Congressional Art Competition. This event will allow students to remain engaged and hone their skills even as schools remain closed. Learn more, below. https://t.co/NYA3T7Hy7l"
1245713113745424389,2020-04-02 14:02:05,"Many are applying for unemployment insurance for the first time as a result of COVID-19, and those affected may not be fully aware of how the system works. Please be advised that you must file a claim every week to receive your benefits. Contact my office if you have questions. https://t.co/ehsPk41QUm"
1245517686882406403,2020-04-02 01:05:31,"RT @kyledcheney: NEW: A primer on all of the mechanisms Congress set up to police the $2 trillion coronavirus law:

-The Congressional Over…"
1245464754430316548,2020-04-01 21:35:11,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/T3zyHz14lF
1245437931738877952,2020-04-01 19:48:36,The CARES Act authorized stimulus checks for individuals to help mitigate the financial hardship many Americans are facing. The @IRSnews will begin distributing these checks in the next three weeks. https://t.co/3v8qgn4Ejp
1245412921397706752,2020-04-01 18:09:13,"If you’re looking for an afternoon activity for your elementary school student, I encourage you to check out my page tomorrow around 2pm. I’ll be posting a video of me reading House Mouse, Senate Mouse. https://t.co/4I0103m5qu"
1245382120152981504,2020-04-01 16:06:50,"Since January, Blue Water Navy Veterans have received $140 million in retroactive benefits. If you need help collecting the benefits you’ve earned, contact my office. https://t.co/wooyLnT7ZC"
1245342771717734400,2020-04-01 13:30:28,"This week, I joined my colleagues from both parties in sending a letter to Secretary Azar urging him and the entire Department of Health and Human Services to utilize funding made available by the CARES Act to provide financial relief to our rural hospitals. https://t.co/Ywxsw3lWsS"
1245101253774004224,2020-03-31 21:30:46,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/CurosT0chF
1245089915446202373,2020-03-31 20:45:43,"Times of crisis can bring out the best in humanity. I applaud Harrisonburg and @JMU for teaming up to convert a university gym into a temporary homeless shelter.
https://t.co/Tn40CWgBsQ"
1245050378695192580,2020-03-31 18:08:36,"Project Airbridge creates a public-private partnership to ensure the timely delivery of equipment to hospitals.
https://t.co/FJU1PQ6Xip"
1245016637692149762,2020-03-31 15:54:32,"Just like you, I’m looking for both fun and educational opportunities for my kids as schools remain closed. That’s why on Thursday, around 2pm, I’ll be posting a video of me reading House Mouse, Senate Mouse for our elementary school youngsters. I encourage you to check it out. https://t.co/hZ9a9jQ2Bd"
1244978982250045441,2020-03-31 13:24:54,"The CARES Act created the Paycheck Protection Program, an initiative which provides 100% federally guaranteed loans to small businesses to help them through this difficult time. To learn more, please visit the link below.  https://t.co/GouZseJX2t https://t.co/2mORn28b7X"
1244734561390596097,2020-03-30 21:13:40,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/MLnQHuBDwj
1244694873548128257,2020-03-30 18:35:57,The USNS Mercy and Comfort are now docked in Los Angeles and New York City respectively. These Navy Hospital ships will provide additional medical aid and relief to two of our Nation’s most afflicted cities. https://t.co/stdbxlCqLP
1244667520612794369,2020-03-30 16:47:16,"As we celebrate National Doctors Day, we recognize our health care providers and thank them for their tireless efforts to treat those in need during this difficult time. https://t.co/V5M5s3gxk7"
1244617767904522241,2020-03-30 13:29:34,"The President announced that he is extending social distancing guidelines until April 30. The more closely we adhere to these guidelines, the quicker we can get through this pandemic. https://t.co/VbxHmE8CAv"
1244380093218271233,2020-03-29 21:45:08,RT @YahooFinance: LIVE: President Trump and the White House Coronavirus Task Force brief reporters on coronavirus https://t.co/2eAcsqRRmE
1244311231915319301,2020-03-29 17:11:30,"As we celebrate National Vietnam War Veterans Day, we recognize the courage and sacrifice of those who served in one of our nation’s longest fought conflicts. I and all Americans salute you today for your efforts in keeping our country free. https://t.co/Jfm3mVLvoU"
1244247997992570881,2020-03-29 13:00:14,https://t.co/1mHbUfcF0S
1243978912335564800,2020-03-28 19:10:59,China knew the danger COVID-19 posed to the world back in November and recklessly failed to warn the global health community. That is why I recently urged President Trump to evaluate the long-term threat China poses to the United States’ economic and national security. https://t.co/52mwHZBSm1
1243911714430648320,2020-03-28 14:43:58,"The Virginia Department of Emergency Management has begun accepting donations to aid in the coronavirus pandemic relief effort. To find out how you or your business can help, please follow the link below. https://t.co/0iGwjRHmfM"
1243658930624094209,2020-03-27 21:59:29,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/jd1mZa6Izv
1243644714911502336,2020-03-27 21:03:00,"I understand that the current situation our country finds itself in can be distressing. If you need help dealing with the mental or emotional effects caused by the coronavirus pandemic, please know that there are resources available. https://t.co/YEsryIS4eV"
1243615043394195457,2020-03-27 19:05:06,"The @USArmy is reaching out to gauge the interest of retired officers, Non-commissioned officers &amp; Soldiers who would be willing to assist with the coronavirus pandemic response effort should their skills and expertise be required. Please find more information below. https://t.co/oh41WGX4qh"
1243593789698191361,2020-03-27 17:40:38,"As the COVID-19 virus rages, our economy is in free fall via government fiat. No bill is perfect, but the CARES Act will help American businesses and workers weather this storm, while ensuring our hospitals and health care workers have the resources needed to defeat this virus. https://t.co/Q3D9EdiOg2"
1243534093159186432,2020-03-27 13:43:26,"At 2:00pm, the @CDCgov is hosting an informational conference call for those who are at higher risk for COVID-19 complications because of their age or underlying medical conditions. Please find more information below. https://t.co/x3tLA4saH8 https://t.co/c0VmuPCWhY"
1243288509122830341,2020-03-26 21:27:34,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Z8tK225cN6
1243280438157660160,2020-03-26 20:55:30,"Small businesses across our country are struggling. In times of crisis, our communities must come together and lend a hand to our neighbors in need. There are many safe ways we can support local shops and businesses to help them through this difficult time. https://t.co/PC48aNMy8z"
1243253237219762181,2020-03-26 19:07:24,"The @VDHgov has activated coronavirus call centers throughout the Commonwealth. For more information, please follow the link below. https://t.co/MvxFpsnBPs"
1243218338278408194,2020-03-26 16:48:44,"Last night, the Senate passed the CARES Act, which provides relief to individuals and businesses. As I continue to read the text of the bill, a summary can be found at https://t.co/DNj5LMJKCJ https://t.co/4CfOiGJOug"
1243200832243466245,2020-03-26 15:39:10,"This week, the @IRSnews unveiled their People First Initiative in an effort to provide relief to American taxpayers. To learn more, visit the link below.
https://t.co/YrVpRDHHOQ"
1243162189239685121,2020-03-26 13:05:37,"While these can certainly be frightening times, the last thing we want to do is overwhelm our healthcare facilities as they work to treat those in need. So before you head to the doctor’s office or to a testing facility, @sentarahealth urges you to ask yourself these questions: https://t.co/XpDT0ShGzi"
1242932870227746816,2020-03-25 21:54:23,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/P79mKt4zBu
