id,created_at,text
1247263525170556933,2020-04-06 20:42:52,"There is financial support available to small businesses struggling as a result of the #coronavirus. Take a look at my blog:
▶️take my business owner survey
▶️find info about loans and other programs
▶️helpful links to additional resources
https://t.co/OUGjq6jyX7
#utpol #covid19"
1246193155776618496,2020-04-03 21:49:36,"Small business owners and nonprofits can apply today for forgivable loans to cover 
✅payroll
✅utilities
✅rent

Application here: https://t.co/s5rVGjDsic

#utpol #covid19 #coronavirus https://t.co/tCqJAIek4V"
1246152654964682752,2020-04-03 19:08:39,"Yes! You are likely receiving a #coronavirus relief payment. Check your eligibility and how you’ll get the payment.👇

Questions? Contact my office. 
#utpol #covid19 

https://t.co/AzignDlnu5"
1245837231245287425,2020-04-02 22:15:17,"With thousands seeking unemployment each day and businesses seeking help, we can’t let them down. I sent a letter to Treasury and SBA seeking clearer guidance for our businesses on how to access critical support provided by Congress. #utpol #coronavirus #COVID19 https://t.co/ww2W9RlQ98"
1245791533967663105,2020-04-02 19:13:42,"We must come together and support bipartisan solutions to the challenges families are facing due to #coronavirus.

#utpol #covid19 https://t.co/tuijGuvCuZ"
1245788739260936192,2020-04-02 19:02:35,"Proud to be part of this team working together to respond to the needs of small businesses. 

#utpol #covid19 #coronavirus https://t.co/tWnh9g8qpF"
1245736262004133889,2020-04-02 15:34:04,This is good news. I’m glad the IRS made this change after I called on them to do so. #utpol #covid19 #coronavirus https://t.co/YTv9ARFwqt
1245432474974457856,2020-04-01 19:26:55,"We're home anyway, because, #coronavirus- it’s a good time to fill out your census. The census determines how much federal funding Utah receives for things like health clinics, schools, and housing. Learn more: https://t.co/IrwKYdbpZV. #utpol #CensusDay 
https://t.co/PWf7oPY5By"
1245377490534780929,2020-04-01 15:48:26,"Americans will receive one-time direct payments to help with the economic impact of #coronavirus. Check out this article to find a stimulus check calculator to see how much you may be receiving. 
#utpol #covid19 👇
https://t.co/ROLiPAtJZf"
1245112823346233345,2020-03-31 22:16:44,"I’m so grateful to everyone who played a role in my recovery. My heart goes out to all who've lost their lives to this virus. Please, everyone, practice social distancing, hand washing, and all the health and safety guidelines.
https://t.co/z9EIGz7XIL
#utpol #covid19 #coronavirus"
1244401695972413440,2020-03-29 23:10:58,"Both Bob and his wife Kathy were generous supporters of many community endeavors, along with operating a successful business.  Julie and I send our deepest sympathies to the Garff family at this sad time. 2/1 #utpol"
1244401452191068161,2020-03-29 23:10:00,"I am deeply saddened by the loss of Bob Garff. I got to know Robert when I served as student body president at the University of Utah 20 years ago. I was inspired then with his commitment to our community and to public service, a legacy he continued all his life. 1/1 #utpol"
1244019186973597696,2020-03-28 21:51:01,Today my doctors are releasing me from the hospital to continue my recovery at home. I'm grateful to the staff at the @UofUHealth. I urge everyone to take the threats of #coronavirus seriously- follow @CDCgov and public health guidelines. We will get through this. #utpol #covid19 https://t.co/s7YYqvWlMU
1243632212638982144,2020-03-27 20:13:19,"The bipartisan #CARESAct helps Utah.

#utpol #coronavirus #covid19 https://t.co/fV4pPJftAI"
1243612103954649088,2020-03-27 18:53:25,"The #CARESAct #coronavirus relief bill passed in the House and will now go to the President for his signature. We must take quick action to help Utah families and businesses. I’m glad accountability measures are included. #covid19 #utpol
https://t.co/6IigSMDZwP"
1243255370904035329,2020-03-26 19:15:53,@RobertGehrke @BenWinslow @RepAStoddard @becca_ferry @VoteSuz @gopTODD @msharleyluxury @HaileyHiggins @TaylorWAnderson @RFHGina Favorite movie? Easy! I tag @RepJohnCurtis @SLCoMayor @kslmrichards to post a gif of your favorite movies https://t.co/w3DBu4oNvT
1243248163399405570,2020-03-26 18:47:15,"The #coronavirus relief bill, the #CARESAct, helps Utah working families and businesses. While supporting those in need, we also must keep careful oversight on how tax dollars are spent. I’m glad the accountability measures I pushed for are included in the bill. #utpol #covid19"
1243216911753568256,2020-03-26 16:43:04,"The bipartisan #coronavirus relief package that passed in the Senate last night is urgently needed for Utahns and expected to pass the House tomorrow. This bill isn’t perfect, but we must take swift action to help Utahns in need.
#utpol #COVID19 #CARESAct https://t.co/bo4MRVDv1Q"
1242906072748261382,2020-03-25 20:07:54,"The tax filing deadline for both Utah state and federal income taxes is rescheduled to July 15, 2020. As we all make adjustments to help prevent the spread of #coronavirus, pushing back the tax filing deadline is the right decision.

#utpol #COVID19
https://t.co/vVOaYS5TSd"
1242584286898917378,2020-03-24 22:49:14,"I learned this virus can suddenly turn your life from active and normal, to struggling to breathe. In order to get through this, we must follow the @CDCgov and @UtahDepOfHealth guidelines.

#utpol #coronavirus #COVID19
https://t.co/9ITbM1CZrb"
1242553833647153152,2020-03-24 20:48:14,"Partisan games must stop now. Swift action is needed to support communities grappling with this urgent public health emergency. At the advice of my doctors, I am still in the hospital. My experience further shows me the seriousness of this issue. #utpol #coronavirus #covid19 https://t.co/YHRWxCQyMw"
1242519747192934400,2020-03-24 18:32:47,"Proud to be part of the Problem Solvers Caucus - bipartisanship is more important now than ever.

#utpol #coronavirus #COVID19 https://t.co/ADL6tZjRN1"
1242203424655134727,2020-03-23 21:35:50,"I’m continuing to work for Utahns, and fight for your priorities, to lessen the impacts of this public health and economic crisis.

#utpol #coronavirus #covid19
https://t.co/wAvjNeKcHX"
