id,created_at,text
1247228845805252608,2020-04-06 18:25:03,"The coronavirus crisis has starkly illustrated the lack of high-speed broadband in sections of E/SE Ohio. “The Serving Rural America Act, if enacted, would greatly help the hard-working people I represent. Proud to introduce w/ @RobWittman of VA. Link: https://t.co/Yj29URhQQF"
1247195557568876549,2020-04-06 16:12:47,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1246802192574619649,2020-04-05 14:09:41,"Create in me a pure heart, O God, and renew a steadfast spirit within me. Do not cast me from your presence or take your Holy Spirit from me. Restore to me the joy of your salvation and grant me a willing spirit, to sustain me.

Psalms 51:10-12"
1246167569863774211,2020-04-03 20:07:55,"It is great to see our community come together and provide a healthy and safe way to make walks more fun! We are #InThisTogetherOhio 

https://t.co/ZRgRzO1SoE"
1246163788224704512,2020-04-03 19:52:54,"RT @SBAJovita: Latest #PaycheckProtectionProgram numbers: 6,820 loans valued at more than $2,200,000,000. 

Are you a small business owner?…"
1246129688793276424,2020-04-03 17:37:24,"RT @GovMikeDeWine: Our next #COVID19 update for #Ohio is coming up in about an hour. 

Check your local media or: 
📺 TV: Ohio's @PBS statio…"
1246092241527078912,2020-04-03 15:08:36,"RT @HouseGOP: The @USTreasury and @SBAgov’s #PaycheckProtectionProgram application is LIVE!

These loans are 𝗳𝗼𝗿𝗴𝗶𝘃𝗮𝗯𝗹𝗲 when used for payro…"
1245787474049273860,2020-04-02 18:57:34,"#ICYMI: 
https://t.co/uhlIHjB3QL"
1245779536966561792,2020-04-02 18:26:01,RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq
1245711148760080384,2020-04-02 13:54:16,"This month 16 lineworkers from rural electric co-ops in Ohio traveled to Guatemala to help bring electricity to homes/churches/schools in remote villages. They unexpectedly found themselves stranded due to the rapid coronavirus outbreak. @NRECANews 

More: https://t.co/MySXycnVqJ"
1245509809736163328,2020-04-02 00:34:13,RT @FTC: Want to get your Coronavirus relief check? Scammers do too. Here are some things to know: https://t.co/msih64IQS9 #COVID19 https:/…
1245396619199217668,2020-04-01 17:04:27,"It’s #CensusDay2020. Make sure to fill out your questionnaire when it comes in the mail! Your participation has a direct impact on local funding from the federal government.

If you have questions regarding the census, check out their website: https://t.co/Rz1GFbvjBT https://t.co/p8Xi8gUFQd"
