id,created_at,text
1247233071553884160,2020-04-06 18:41:51,RT @chicagosmayor: CORONAVIRUS UPDATE: Mayor Lightfoot joins CDPH Commissioner Dr. Allison Arwady to discuss new data regarding the spread…
1246190690050195457,2020-04-03 21:39:48,"Today, I sent a letter to @USTreasury and @SBAgov calling on them to clarify antiquated SBA requirements to ensure more small businesses are eligible for loan programs, such as the Paycheck Protection Program, established under the CARES Act. 

More here: https://t.co/tLi0mN46Ei"
1246167444940603397,2020-04-03 20:07:26,"The @US_FDA has issued warnings regarding fraudulent coronavirus tests, vaccines, and treatments. 

Don't be fooled. There are currently no vaccines to prevent or drugs to treat COVID-19 approved by FDA.  Pass it along. 

For more info, please visit: https://t.co/r5cFQDe2vh."
1246119121852542976,2020-04-03 16:55:25,"You always seem the most triggered whenever someone advocates for black and brown folks. 

Keep it up and @FoxNews might send you on another impromptu “vacation.” https://t.co/AWd3eRI56F"
1246097315649269764,2020-04-03 15:28:46,"6.6 million Americans filed for unemployment last week, but rent is still due on the 1st.

The CARES Act would put money directly in the hands of millions, but now Trump's admin is saying some will have to wait 20 WEEKS to get their check. #WhereIsTheMoney https://t.co/yRDrebaKBe"
1246060872117751813,2020-04-03 13:03:57,"RT @IllinoisPIRG: With more people than ever at home caring for kids, and other loved ones, we should support that essential work. Our @Bey…"
1245833474101186560,2020-04-02 22:00:21,"I’m #AllInIllinois! Are you? 

Stay Home. Stay Safe. Stay Strong. Together we will defeat this dreaded disease. https://t.co/y6ENeMVF2S"
1245829466594529286,2020-04-02 21:44:25,RT @SpeakerPelosi: We have no right to even pay respects to frontline medical workers if we can’t get them the equipment they need to stay…
1245828620825825281,2020-04-02 21:41:04,"RT @HouseDemocrats: From health care professionals to grocery store workers, janitorial staff to caretakers, first responders to postal wor…"
1245794355362893827,2020-04-02 19:24:54,"These numbers are staggering. It has been nearly two weeks since the President claimed his administration was ""looking into"" the release of elderly, nonviolent prisoners. What happened? 

The longer we wait, the more inmates will die. https://t.co/c0wAkqIK2Y"
1245468087077482496,2020-04-01 21:48:26,RT @USofCare: TY @RepLBR for leading a letter to U.S. House leadership prioritizing $ to front line health care workers (including the $5k/…
1245407002500661249,2020-04-01 17:45:42,"Today is #CensusDay, and for the first time ever, the #2020Census is available online! Complete your Census form safely from the comfort of your own couch or bed by going to https://t.co/zPa9YKnPRK. It only takes a few minutes to #ShapeYourFuture. https://t.co/AdgzrpyW7x"
1245401669363474433,2020-04-01 17:24:31,"Better late than never, I suppose. https://t.co/QTAtw2b2te"
1245401113152675840,2020-04-01 17:22:18,"Once again, @RepDevinNunes has no idea what he is talking about. The economy won't survive this pandemic if the American people don't survive it first and foremost. 

Stay Home. Stay Safe. Stay Healthy. https://t.co/C9aB7NGrLJ"
1245395713363714048,2020-04-01 17:00:51,"It is indefensible that this Admin would not reopen ACA enrollment during a pandemic.

Just yesterday, the President said the death toll could reach over 100,000. We should be making it easier, not harder, for Americans to get health insurance. The President must reconsider. https://t.co/w0xVs95A0I"
1245381730191781891,2020-04-01 16:05:17,What planet does Mike Pence live on? https://t.co/DaDf7HgPqh https://t.co/vg7Z9uTO9v
1245358736912326656,2020-04-01 14:33:55,"Following the passage of the Coronavirus Aid, Relief, and Economic Security (CARES) Act, the IRS will work to deliver cash rebates in the form of advance payments directly to most Americans. The amount of the rebate depends on family size. 

More here: https://t.co/qrKXwPmkbs"
1245352391840587780,2020-04-01 14:08:42,"Please pray for my comrade and friend, Reverend Walter “Slim” Coleman. Your prayers are needed as he is in the hospital fighting for his life. 

Slim has been on the frontlines of the struggle for justice &amp; equality for more than 60 years. Please pray for him—prayer counts. https://t.co/Q4wirbPJAl"
1245042184639963137,2020-03-31 17:36:03,RT @UCCMediaJustice: Champion @RepBobbyRush just introduced the Martha Wright Act H.R. 6389 which will immediately block predatory fees &amp; r…
