id,created_at,text
1247284823808512000,2020-04-06 22:07:30,"RT @ORemployment: If you received a notice asking you call in number of days, know that if you can't get through because the phone lines ar…"
1247021189819592705,2020-04-06 04:39:54,"It's wrong, but scammers are trying to take advantage of seniors &amp; others. The @IRSNews will NOT contact you to ask for your account number. You DO NOT need to do anything to receive your economic impact payment by direct deposit or check. Spread the word: https://t.co/qocd2SYcYz"
1246824865836838912,2020-04-05 15:39:47,"May her memory be a blessing and her legacy inspire the creativity in us all.

https://t.co/INkTPvqBeH"
1246824862061977601,2020-04-05 15:39:46,"Arlene Schnitzer was a champion for the arts as a gallery owner, a collector, and an exceptional philanthropist over many decades. The arts community in our region benefitted tremendously from her life’s work and will always be grateful for her spirited advocacy. 1/2"
1246561232942964736,2020-04-04 22:12:12,"As this pandemic continues, more people will need assistance. I am here to help you. Please contact my office with questions about any federal programs or if you’re having challenges with the VA, IRS, Medicare, Social Security, or any federal agency. https://t.co/PxhCaI5emA"
1246484015667871745,2020-04-04 17:05:22,Our goal in establishing direct payments was clear: help families make ends meet &amp; help strengthen our economy. I hope that @stevenmnuchin1 agrees &amp; directs the Treasury to protect these benefits like they do Social Security &amp; other essential benefits. https://t.co/u1oMEYov7T
1246452110058835968,2020-04-04 14:58:35,"The proposed rule is deeply troubling, but our fight is not over. I have opposed this rule since the beginning and as a senior member of @HouseScience, I will keep working to #DefendScience."
1246451898120638472,2020-04-04 14:57:45,"@RepPaulTonko @RepDianaDeGette @RepSherrill @RepCasten @RepDonBeyer Particularly in the face of a pandemic, it is critical that the EPA be able to consider the best available scientific evidence when determining what actions may be necessary to address risks and protect public health."
1246451748400762886,2020-04-04 14:57:09,"I helped lead my colleagues in calling on @EPAAWheeler to withdraw the @EPA's proposed #CensoredScience rule. This effort to censor science jeopardizes bedrock public health &amp; environmental standards, &amp; endangers the well-being of every person who benefits from clean air &amp; water https://t.co/iaEp31ZCNc"
1246224819944751105,2020-04-03 23:55:25,"Happy belated 104th birthday to Oregonian Bill Lapschies! Your amazing recovery from COVID-19 gives us hope. 
https://t.co/egtZWPIsOn"
1246198300157431808,2020-04-03 22:10:02,"Oil &amp; gas companies don’t need a bailout. We are facing a #ClimateCrisis, &amp; I will continue to oppose an oil bailout in the next #COVID19 bill. https://t.co/X9YTwdpV6l"
1246194928733933568,2020-04-03 21:56:38,The ocean is resilient and awe-inspiring. Please share these terrific educational tools from @NOAAOceanToday with parents or kids who would enjoy them. https://t.co/G1XbagZ3P6
1246159332359589888,2020-04-03 19:35:12,RT @familyforward: Child care is the work that makes all other work possible. https://t.co/zcIe2FdAGQ
1246156888372170752,2020-04-03 19:25:29,"Nonprofits are facing the same dire economic circumstances as small businesses, and their missions are more important than ever. The National Council of #Nonprofits has helpful resources, including a free webinar, next Tuesday April 7 at noon. More here: https://t.co/nEKV6H0CSu"
1245896097484210177,2020-04-03 02:09:11,"It’s allergy season and coughs &amp; sneezes are normal, but this year many are worried about whether they’re experiencing normal allergy symptoms or if they’re coming down with #COVID19. @OHAOregon’s Dr. Ann Thomas shared advice for those who are unsure. https://t.co/axPhlbmtxm"
1245863860700975105,2020-04-03 00:01:06,My SAFE Lending Act would give consumers the tools they need to hold predatory payday lenders accountable when they try to avoid state law by doing business online.
1245863761686085634,2020-04-03 00:00:42,".@CFPB must protect consumers, not help lenders profit during a crisis. This guidance incentivizes lending practices that take advantage of consumers &amp; traps them in cycles of debt. 
 
https://t.co/TacgcYjQ5w"
1245824986457112577,2020-04-02 21:26:37,RT @RepSpeier: Sent letter to @BetsyDeVosED w/ 49 Members demanding @usedgov halt plans to gut Title IX civil rights in the midst of the #C…
1245798325477167106,2020-04-02 19:40:41,More information about direct payments can be found here: https://t.co/650I68E7fd. I encourage you to review this Q&amp;A from the IRS here: https://t.co/V7lhq1A3AQ
1245798234406162434,2020-04-02 19:40:19,I will also continue to fight for more direct payments during this pandemic.
1245798181595688963,2020-04-02 19:40:06,"This is an important move that must be expanded to other vulnerable groups, like Supplemental Security Income beneficiaries and veterans who receive pensions, so they can receive their payments without having to file simplified tax returns."
1245797967019335681,2020-04-02 19:39:15,These payments will provide immediate assistance to individuals and families during the coronavirus pandemic.
1245797772982452229,2020-04-02 19:38:29,Good news: Last night the IRS announced that Social Security beneficiaries will automatically receive the CARES Act direct payments without filing a simplified tax return. https://t.co/Rl2clWSmFO
1245782898915115008,2020-04-02 18:39:23,"Many working families were already struggling to make ends meet before the coronavirus pandemic upended livelihoods &amp; our economy. I know how important unemployment benefits are during this pandemic, &amp; I’m working in Congress to strengthen &amp; improve access
https://t.co/5wj3n95a8B"
1245782560149389312,2020-04-02 18:38:02,"More than 6.6 million people in the U.S. filed for unemployment insurance benefits last week. The House recently passed the CARES Act to expand unemployment benefits, but our work is not over. You can contact @ORemployment to check eligibility and apply for benefits. https://t.co/qazobLViFi"
1245772612309061634,2020-04-02 17:58:30,"#COVID19 has exposed health care inequalities in our country, especially the health care available to Native communities. Tribes need access to medical resources now. I will keep fighting to make sure they have access to necessary supplies &amp; resources. #CoronavirusIndianCountry. https://t.co/VhUvkGsjin"
1245770481329778689,2020-04-02 17:50:02,"RT @Americans4Arts: We're grateful for leaders like @RepBonamici &amp; @chelliepingree, co-chairs of the Congressional STEAM &amp; Arts Caucuses, f…"
1245758017263611905,2020-04-02 17:00:31,"Working families struggled to find affordable, quality child care before the pandemic. Now many facilities are closed – but essential workers still need #ChildCare. If you have experience and want to support them, please fill out this form – and thank you.
https://t.co/S5CRXYMIvS"
1245727386659893249,2020-04-02 14:58:48,.@Americans4Arts has prepared recommendations for the arts community as the pandemic has forced unprecedented shutdowns &amp; cancellations. This information includes numerous resources from the CDC and WHO as well as guidance for businesses and employers: https://t.co/7OgeKiFMt5
1245727209668726784,2020-04-02 14:58:05,"The COVID-19 outbreak has disrupted lives &amp; created significant financial hardship for many, including those who work in the arts industry. I joined @ChelliePingree to advocate for the arts &amp; cultural sectors, and funding was included in a recently passed coronavirus relief bill."
1245531731924525058,2020-04-02 02:01:20,OHSU’s Dr. Campbell has made us smile despite these extremely challenging times. I stand - and dance -  with you and your colleagues. Thank you for your work on the frontlines of the pandemic. https://t.co/btAeW2cgZg
1245453417931329536,2020-04-01 20:50:08,"During this time of social distancing, I'm doing my part to fill out the #Census2020. Oregon and our communities rely on an accurate count for schools, hospitals, and more. Please log onto https://t.co/n9D7KPCgxF, or call 844-330-2020 to fill it out over the phone. #wecountoregon https://t.co/wia63fY09D"
