id,created_at,text
1247261693673078785,2020-04-06 20:35:35,Caregivers: Visit @AARP's caregiver resource page for information on how to protect yourself and your loved ones during the coronavirus outbreak. https://t.co/wVXdkZzHEb
1247230044218540033,2020-04-06 18:29:49,"It’s all hands on deck in the fight against coronavirus, and @HerkimerBOCES is one of the many incredible groups giving back to #NY22. Thank you for your service to give our health care professionals the equipment they need. https://t.co/LYs7v2CJBW"
1247190864784502785,2020-04-06 15:54:08,".@Apple created a #COVID19 screening app in partnership with the CDC, FEMA, and the White House Coronavirus Task Force to ensure you have trustworthy information about coronavirus symptoms, spread, and treatment. Check it out ⬇️ https://t.co/RiWiTq9TJ9"
1247162810225827841,2020-04-06 14:02:39,"ICYMI: We launched a new #COVID19 website. It’s a one-stop shop for state and federal resources for families, farmers, business owners, seniors, and more. Questions? Call our Utica office at (315) 732-0713. We’ll do everything we can to help. https://t.co/rc4VvrpX83"
1246879220254552064,2020-04-05 19:15:46,We need to focus our #COVID19 relief on the workers who are the basis of our country’s economy. I’m proud to sign @GoIUPAT’s pledge to put #WorkersFirst. https://t.co/XBT9gnC82R
1246861071819976705,2020-04-05 18:03:39,"We are in the midst of an unprecedented public health crisis. The only way we will get through this is by working together. I’ll keep working with local, county, state, and federal officials to ensure #NY22 has all the resources we need to fight this. https://t.co/aAhCQkiGjL"
1246823753725685760,2020-04-05 15:35:22,"Domestic violence hotlines &amp; advocacy groups across the country have reported a rise in calls since social distancing rules were implemented. If you are in a dangerous situation, you are not alone. The @ndvh is free and available 24/7 at 1(800) 799-7233. https://t.co/SscmoGPUjd"
1246517033635844097,2020-04-04 19:16:34,"BUSINESS OWNERS: Be aware of the coronavirus scams targeting businesses. If you get a suspicious call or email, hang up, delete it, and contact the @FTC. https://t.co/MDOdcWQF4r"
1246463391239229440,2020-04-04 15:43:25,Check out these tips to stay safe and healthy while grocery shopping ⬇️  https://t.co/Tj7KusPOMz
1246446938322546689,2020-04-04 14:38:02,"Now is the time to cut the politics, work together, and deliver strong public health supplies and economic relief for all Americans.

That’s why I fought to include funding for #NY22 health care facilities in the latest coronavirus relief bill. https://t.co/5muTZR862z"
1246227992491286536,2020-04-04 00:08:01,I joined my friend @RepJohnKatko in issuing the following statement: https://t.co/h3DObzHZfE
1246192065454669824,2020-04-03 21:45:16,"We’re working to ensure our community has the information we need to protect ourselves against coronavirus. Subscribe to our #BrindisiBulletin for updates on our work in Congress and new resources for small business owners, farmers, families, and more. https://t.co/qyADH2DtfV"
1246142804688060417,2020-04-03 18:29:31,"We can't rely on other countries to fill the breaks in our domestic #COVID19 supply chain.

@RepBrianFitz, @HurdOnTheHill, @RepTomSuozzi &amp; I introduced the #MadeInAmerica Emergency Preparedness Act because our emergency supplies should be made on U.S. soil.https://t.co/h21DfUDtD6"
