id,created_at,text
1247345939020275712,2020-04-07 02:10:21,"RT @CountyVentura: COVID-19 Update:
5 new cases
226 total cases
64 recovered cases
45 ever hospitalized, of the 45, 36 had preexisting cond…"
1247309202965417984,2020-04-06 23:44:22,"Check out these helpful tips on how to shop for groceries while protecting yourself and others from coronavirus.
https://t.co/AxsQMElYLB"
1247306130285453314,2020-04-06 23:32:09,RT @RepJimmyGomez: I led members of CA’s Congressional Delegation in urging @USDOL to issue guidance letting our state and others implement…
1247294082998652928,2020-04-06 22:44:17,The CARES Act allocated $100 billion for our hospitals and other medical providers.  It is critical that HHS get these funds to healthcare providers as quickly as possible. https://t.co/w15BDhzpbO
1247225966260174848,2020-04-06 18:13:37,"RT @HouseDemocrats: Staying home during this crisis is difficult for many, but especially for those who experience abuse. 

If you or a lov…"
1247211005739851780,2020-04-06 17:14:10,"If you work for a company with less than 500 employees, you are now eligible for two weeks of fully paid sick leave if you come down with #COVID19. Your employer will be fully reimbursed by the government within 3 months.  Click the link for more details:
https://t.co/szBDsNTNhN"
1246937443493801984,2020-04-05 23:07:08,"Attention: Nonprofits! The Council of Nonprofits is hosting an upcoming webinar about #CARESAct resources for nonprofit organizations. This webinar is FREE and will take place on Tuesday, April 7, at 12:00 PM PT. To register, click the link below:
https://t.co/os6yx2BpCv"
1246911774336548864,2020-04-05 21:25:08,"RT @CountyVentura: Good Morning, Here's your daily update on COVID-19 cases in the County of Ventura for 4/5/20. 
18 new cases
221 total ca…"
1246906425227374592,2020-04-05 21:03:52,"The #CARESAct brings needed resources and support to Americans and small businesses suffering from the #COVID19 pandemic, including:
✅ Grants
✅ Loans
✅ Unemployment Insurance
✅ Payroll taxes
✅ More https://t.co/is5n3Bc57P"
1246842892636680198,2020-04-05 16:51:25,I’ve joined @RepDebHaaland to ask the DoD to protect our military families who are stuck in limbo between duty stations from the financial strain of putting their moves and lives on hold. https://t.co/mGTVSoAEG9
1246635036113158144,2020-04-05 03:05:28,"RT @CountyVentura: Good Afternoon, Here's your daily COVID-19 Update from the County of Ventura. 

14 new cases 
203 total cases
60 recover…"
1246514130342694912,2020-04-04 19:05:02,"ATTN VETERANS: Even if you wouldn't ordinarily file, all veterans must file a tax return in order to receive their economic impact payment. I believe this is burdensome and have urged the IRS to cut this unnecessary red tape. Visit
https://t.co/pqVYzI2Rd2 for more information."
1246279675950727168,2020-04-04 03:33:24,"RT @CountyVentura: Here’s your daily #VenturaCounty #Covid19 update:
12 new cases
189 total cases
50 recovered cases
42 hospitalized
133 ac…"
1246196390306492419,2020-04-03 22:02:27,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1246195755762642946,2020-04-03 21:59:56,"RT @HouseSmallBiz: As of this morning, small business owners can apply for forgivable loans through the @SBAgov Paycheck Protection Program…"
1246158358496727040,2020-04-03 19:31:19,"RT @CAgovernor: Older Californians now have a one-stop shop to answer their non-emergency #COVID19  related questions.
 
Call for assistanc…"
1246143722166738945,2020-04-03 18:33:10,"Our public transit agencies provide critical transportation services for many #CA26 residents. I'm pleased to report that #CARESAct funding is now flowing to help our transit agencies get through this crisis, incl. more than $71 million for Ventura County transit agencies."
1245912592784097280,2020-04-03 03:14:44,"RT @CountyVentura: Here is your daily #COVID19 Update 
17 new cases
177 total cases
36 recovered cases
40 hospitalized
135 active cases und…"
1245865237116403712,2020-04-03 00:06:34,"On https://t.co/F3xHFZATX4, you can find resources and information including:
📖 COVID-19 Resource Guide
📜Legislation passed by Congress
💵 Economic Impact Payments
📝 Small Business Loans
⚠️ Updates on #COVID19"
1245851292104179713,2020-04-02 23:11:09,"While this fix helps seniors, I’m still working to ensure that automatic payments are also issued for SSI recipients and veterans w/ disabilities. There is no reason for the Administration to force disabled veterans and SSI recipients to jump through hoops to get these resources!"
1245851291168858112,2020-04-02 23:11:09,"Good news! Social Security beneficiaries will no longer have to file tax returns to receive their economic impact payment. This fix came after many of us in Congress urged Secretary Mnuchin to reverse course and lessen the burden on seniors. 
https://t.co/LZhswbw4QX"
1245820599538053121,2020-04-02 21:09:11,"It is also not recommended Californians use N-95 or surgical masks, which are needed for our health care workers and first responders."
1245820598682447876,2020-04-02 21:09:11,California’s public health officials released new guidance on the use of cloth face coverings to protect against COVID-19. The guidance does not require people to wear face coverings – and is not a substitute for social distancing and hand washing.  https://t.co/RCewnpOyYM
1245803436890714118,2020-04-02 20:00:59,"If you have a background in health care, including if you're retired or in med school, our community and our nation need you now more than ever. Please join CA's fight against #COVID19 by registering for #CAHealthCorps today.
https://t.co/HPboPiQ8jv"
1245775034133577728,2020-04-02 18:08:08,"Please refer to these points if you or others want to learn more about medical care, prevention techniques, support for workers (including the unemployed), support for small businesses, and the general assistance my office can provide to you."
1245775032929980421,2020-04-02 18:08:07,"This #COVID19 Resource Guide 📖 will help you understand all the benefits that are available to you and your community — and how to access them. 
https://t.co/QfSHDHIQS3"
1245765380217303040,2020-04-02 17:29:46,"RT @VetAffairsDems: How can veterans help #FlattenTheCurve?

By using My HealtheVet to set up routine telephone or video appointment with @…"
1245540716610088960,2020-04-02 02:37:02,"RT @CountyVentura: County of Ventura COVID-19 Update: 
11 new cases
160 total cases
31 recovered cases
34 people have ever been hospitalize…"
1245476482433990659,2020-04-01 22:21:47,"The U.S. Department of Labor has published a Q&amp;A with helpful information for businesses and individuals who may have questions about paid leave authorized under the #FamiliesFirst Coronavirus Response Act.
https://t.co/2QtE3VvT9X"
1245448572419493888,2020-04-01 20:30:53,"Today is #CensusDay! While many of us are spending more time indoors with our families to #flattenthecurve, this this a great opportunity to help our community get the resources it needs by completing the 2020 Census online at https://t.co/QxOxT3cmpY. https://t.co/dWfuFxfVpt"
1245437783444819968,2020-04-01 19:48:01,"Protect yourself and your personal information from coronavirus scams!
https://t.co/PUa6yjkT9B"
1245390934428151809,2020-04-01 16:41:51,"RT @KCLUlive: .@FoodShareVC is hosting pop-up food pantries for low income residents in Oxnard, Thousand Oaks, Ventura, Ojai, Santa Paula,…"
1245387719221506053,2020-04-01 16:29:05,RT @cityofventura: The Ventura County Area Agency on Aging is offering a full-service delivery or door-to-car Food &amp; Supply Pantry at no co…
1245160666782031872,2020-04-01 01:26:51,"RT @CountyVentura: County of Ventura COVID-19 Update: March 31, 2020: 23 new cases, 149 total cases, 27 recovered cases, 5 deaths, 2,987 pe…"
1245133052671479808,2020-03-31 23:37:07,"This #TransVisibilityDay, I'm honored to show my support for the trans community. Trans people are particularly vulnerable to being denied health care due to discrimination during this public health crisis - we should remember that if this hurts some of us, it hurts all of us. https://t.co/EVObVUQZYS"
1245114803556769792,2020-03-31 22:24:36,"By rolling back #CleanerCars standards in the midst of the #COVID19 crisis, @realDonaldTrump and @EPAAWheeler are prioritizing polluters over public health and the economy, and threatening the safety of the public. 
https://t.co/YiZcVJXxhV"
1245096105555058689,2020-03-31 21:10:18,"Cada año, el Día de César Chávez honra la vida del líder icónico y activista laboral. Este año, agradezcamos y honremos a los trabajadores de nuestra nación, especialmente a los que están en la primera línea de esta crisis."
