id,created_at,text
1247275004074635265,2020-04-06 21:28:28,"Join me on Thursday, April 9th for my third #COVID19 virtual workshop on non-profit grants. You can join the discussion by dialing in or through Zoom using this link ➡️ https://t.co/26cRjUreMN https://t.co/w9PDgwBeeB"
1247242931360141316,2020-04-06 19:21:02,"The brave men and women of our Armed Forces put their lives at the risk serving our country and keeping us safe. The least we can do is make sure that their families are not burdened with unfair costs because of #COVID19. 

https://t.co/b3wtiN9Rg9"
1247221483333726209,2020-04-06 17:55:48,"We had a shortage of physicians and healthcare workers long before the pandemic, but this health crisis has created an influx of patients at hospitals. We should allow internationally-physicians residing in the U.S. to practice and provide our hospitals with much-needed support."
1247220041633980419,2020-04-06 17:50:04,"Today, @RepZoeLofgren and I sent a letter a to @SecPompeo and @DHS_Wolf urging @DHSgov &amp; @StateDept to allow foreign-born physicians to practice in the U.S. as we work to contain the #COVID19 outbreak. https://t.co/ZGrtzvnt7n"
1246863611559055368,2020-04-05 18:13:45,"America is filled with everyday heroes. 

https://t.co/6zcLjSmLao"
1246205399193341955,2020-04-03 22:38:15,"Rather than wasting taxpayer dollars and government resources on an ineffective border wall, @realDonaldTrump should be directing all federal agencies to focus on combating the coronavirus. https://t.co/i9fnMsW05H"
1246204180487954433,2020-04-03 22:33:24,"Today, I, along with @RepDMP, introduced H.R. 6432, legislation to address the physician shortage in the U.S. This #COVID19 pandemic has opened our eyes to how woefully understaffed our hospitals are. This bill is the first step to addressing that problem. https://t.co/pJuEFVHhQl https://t.co/imTV0mq9cZ"
1246136952115650561,2020-04-03 18:06:16,Making the American Dream in reach of all families was the dream of César Chávez and I am honored to have the opportunity to recognize that dream.
1246136273083006979,2020-04-03 18:03:34,They came to this country because they heard of the promise of America. My father worked hard in the fields to provide for his 11 children. César Chávez spent his entire life fighting for people like my father &amp; the millions of hardworking families in California &amp; across America.
1246136271061352449,2020-04-03 18:03:33,"These American heroes are putting their own health at risk to keep us safe. Those values of selflessness and service are what César Estrada Chávez lived by and fought for.

My parents came to the United States of America with nothing but a grade school education."
1246136269685641217,2020-04-03 18:03:33,"As our nation responds to the national emergency caused by the COVID-19 global pandemic, thousands of healthcare workers, emergency responders, and service employees are on the frontlines treating patients, keeping essential services running, and working to contain the virus."
1246134809673584657,2020-04-03 17:57:45,"Today, I introduced a resolution honoring the legacy of the renowned civil rights and labor leader, César Chávez.

https://t.co/tjVlHcRumj https://t.co/bw3CZvdkMc"
1246101372484935680,2020-04-03 15:44:53,"STARTING SOON:  My #COVID19 telebriefing on housing at 12PM PST. Find out what resources are available to Californians impacted by the coronavirus pandemic. 

Registration info below ⬇️ https://t.co/FxAoD9IgzG"
1245830228858953728,2020-04-02 21:47:27,"I understand that many of you have questions and concerns about this public health crisis, so I have directed my office to extend phone hours of operation and we will now be welcoming constituent calls at (818) 221-3718 Mon-Fri from 9:00a.m.-8:00p.m. https://t.co/QU3A03oPZ6"
1245781923252842496,2020-04-02 18:35:30,"Join me tomorrow for my second #COVID19 telebriefing as we discuss the housing situation during this national public health emergency. We'll discuss what resources are available to families who have been affected by the coronavirus pandemic.

Registration info below ⬇️ https://t.co/ugqktEIjtr"
1245746742705950723,2020-04-02 16:15:42,"STARTING SOON:  My #COVID19 telebriefing on small business assistance and unemployment benefits at 10AM PST. Learn about the various resources available for California business owners and workers impacted by the coronavirus pandemic. 

Registration info below ⬇️ https://t.co/WRdYJMD6iC"
1245427723981512709,2020-04-01 19:08:02,"¡Es #CensusDay!
¡Por primera vez, el # 2020Census está disponible en línea! Complete el formulario del Censo de forma segura desde su hogar en https://t.co/xuTwiIng4b. Dar forma a su futuro solo tarda unos minutos. https://t.co/zsw0prExXA"
1245423109085302784,2020-04-01 18:49:42,"This is wrong. Despite repeated calls from doctors and health care workers to re-open enrollment for the exchange amid the national public health crisis — Trump is once again choosing partisan politics over American working families. 

PEOPLE ARE DYING! 

https://t.co/KYYpWypq8q"
