id,created_at,text
1247282304625541123,2020-04-06 21:57:29,RT @NPHW: It's finally here! #NPHW kicks off with a focus on #mentalhealth. Learn more and take action: https://t.co/DrNhbdDzCZ https://t.c…
1247264730705788930,2020-04-06 20:47:39,You may also contact our office at https://t.co/rWBhUz5nWG.IL06@mail.house.gov or call (630) 520-9450.
1247264729871106053,2020-04-06 20:47:39,"From the U.S. &amp; Canada  - 1-888-407-4747
From Overseas - +1 202-501-4444"
1247264729036394498,2020-04-06 20:47:39,"For any questions, please contact the nearest U.S. embassy or consulate, or call the Department of State assistance call center:"
1247264727937495041,2020-04-06 20:47:38,"Anyone abroad, whether they plan to return home or not, should enroll in the Smart Traveler Enrollment Program (STEP) https://t.co/mvV77OIgOe"
1247264726758932480,2020-04-06 20:47:38,The Department of State issued a global Level 4: Do Not Travel advisory. That means any US citizen or legal permanent resident abroad should make plans to return home immediately or prepare to shelter in place indefinitely.
1247262959061151748,2020-04-06 20:40:37,Are you a small business impacted by the COVID-19 crisis? I encourage you to check-out my website for FAQ’s and other helpful resources for small businesses impacted by COVID-19. https://t.co/UodwJ9CUKN
1247249221218156544,2020-04-06 19:46:01,"RT @EricSReporter: .@RepCasten, @RepBillFoster, @LaurenUnderwood discuss  federal response to COVID-19, when CARES Act checks go out
https:…"
1247193789523005441,2020-04-06 16:05:45,Last week I supported a fix to the CARES act to help teens and young adults left out of the recovery rebates. Read more here: https://t.co/s5XSFL8ODB
1247193788541546497,2020-04-06 16:05:45,"This pandemic has impacted everyone, including many young adults like college students who may have lost their jobs or cannot find summer employment."
1246809317132644352,2020-04-05 14:38:00,I’m hosting a Facebook Live Town Hall today with Rep. Lauren Underwood and Rep. Bill Foster on the CARES Act. Join us at 3 PM Central. https://t.co/jiJB0pIhgv
1246125562667597824,2020-04-03 17:21:00,"RT @CDCgov: To slow the spread of #COVID19, stay at home except to get groceries, medications, or other essentials. Avoid outings you don’t…"
1246125504119349249,2020-04-03 17:20:46,"RT @IDPH: 🥖🧀🥒🥬🍅🥚
Grocery shopping in the age of #COVID19. Always stay 6ft apart from others!
#SocialDistancing ⬇️⬇️⬇️ https://t.co/qmpiTt6N…"
1246106443000033285,2020-04-03 16:05:02,"Last Friday, the House passed and the President signed the $2.2 trillion emergency funding package -- The CARES ACT. Here is a snapshot of the funding coming to Illinois and a brief breakdown of where some of the money will go. https://t.co/HB0RjGfeZd"
1246099623980216327,2020-04-03 15:37:56,"COVID-19 continues to spread through the region. @chicagotribune reported increasing rates of residents testing positive for the virus in Lake, Dupage, Kane, and McKenry counties. Social distancing works, so please #stayhome. Do it for your community. https://t.co/g89sDVU2Kj"
1246070337764233217,2020-04-03 13:41:34,Last night I hosted a Facebook Live with State Rep. Terra Costa Howard to answer questions from constituents on the coronavirus pandemic. Watch here: https://t.co/ajTIInwyuk
1245805143947386880,2020-04-02 20:07:46,Happening tonight! Tune into my Facebook at 7 PM CT and comment any questions you have. https://t.co/tReCyohsVa
1245745561359302657,2020-04-02 16:11:01,"On Friday, the House passed and the President signed the $2.2 trillion emergency funding package — the CARES Act. Here is a snapshot of the funding coming. https://t.co/XxeeekZhLx"
1245496330891509761,2020-04-01 23:40:40,"I'm hosting a Facebook Live with State Rep.Terra Costa Howard to answer questions from constituents on the coronavirus pandemic. During the event, I will provide an update on the latest legislation passed in Congress &amp; IL Rep Costa Howard will provide updates from the state. https://t.co/hgY1hBPdxi"
1245451536722952193,2020-04-01 20:42:40,"Today is #CensusDay 

You can fill out your #Census2020 form today or anytime in the next few weeks at https://t.co/eJB6ff44Om and help our community get the resources that it needs for hospitals and schools. https://t.co/J8sn4L3HAO"
1245415554380451843,2020-04-01 18:19:41,"Constituents were able to ask questions specific to their concerns. Health officials provided informative responses on a local, state and federal level.

You can listen to the entire recording here: https://t.co/ae1dlLrgLv"
1245415552778145795,2020-04-01 18:19:41,"Pat Collier – Dep. Chief of Staff for Federal Affairs, Governor JB Pritzer’s Office
Laura Vaught – @IDPH
Mary Lou Mastro – President &amp; CEO, Edward-Elmhurst Health
Dr. Sanjeeb Khatua – Chief Physician Executive, Edward-Elmhurst Health
Karen Ayala – Executive Director,@DuPagehealth"
1245415551830237187,2020-04-01 18:19:40,"Last night, we hosted a Telephone Town Hall to provide accurate information on COVID-19. Thank you to the 6,000+ participants for joining the call. We heard from the following experts:"
1245363203347021824,2020-04-01 14:51:40,Unsure if you qualify for a government stimulus check or if you need to take action? This article helps explain who is eligible and a step by step process if you don't traditionally file tax returns. https://t.co/6liD9AlmU5
1245356453671698432,2020-04-01 14:24:50,"RT @IDPH: Fear and anxiety during these times can be overwhelming and cause strong emotions. If you or a friend are struggling right now, c…"
1245341199214546944,2020-04-01 13:24:13,"RT @IDPH: The Stay at Home Order has been extended until the end of April. A reminder of what this means:
https://t.co/hP16l2FemK https://t…"
1245109835827482626,2020-03-31 22:04:52,"RT @RepUnderwood: As the coronavirus pandemic continues to spread across Illinois communities, I joined Crystal Lake Mayor Shepley, @RepCas…"
1245091238216335360,2020-03-31 20:50:58,"RT @GovPritzker: Saving as many lives as possible is the one goal I will put above all others—every time.

As science guides our decisions,…"
1245066035990081536,2020-03-31 19:10:49,"RT @RepUnderwood: Today, I called on President Trump to implement a federally coordinated effort to get the protective equipment we need to…"
1245042296711774209,2020-03-31 17:36:29,"Now more than ever, the #COVID pandemic has made clear that we are nothing without our nation’s workers.
 
From health care workers to the grocery store workers, we must fight so that ALL our workers receive #EqualPay. https://t.co/eQFwiiIrPA"
1245021701596995585,2020-03-31 16:14:39,"In the midst of a global pandemic, &amp; despite his own Admin. concluding that it could cost the US economy $22 billion, Trump is still acting to increase carbon emissions, exacerbate the #climatecrisis, &amp; make Americans pay more at the pump. Unacceptable. https://t.co/c5Fpu4Qbdg"
1244990271970050048,2020-03-31 14:09:46,"TONIGHT I'm hosting a telephone town hall with officials from the Governor's Office, @IDPH, Edward-Elmhurst Health, and the @DuPageHD to share the latest information and answer questions about COVID-19. More information ⤵️ https://t.co/t4ByJoXump"
1244980298787495939,2020-03-31 13:30:08,The Defense Production Act allows the president to focus manufacturing in the private sector to fill shortcomings of medical equipment needed to battle the pandemic. It is overdue that he use that authority and provide the PPE necessary to combat #COVID19. #DefenseProductionAct
1244980297780862976,2020-03-31 13:30:08,"The President must initiate a nationally coordinated response and distribution of protective gear for our frontline heroes, doctors, nurses, and health care workers, NOW."
1244980296786862080,2020-03-31 13:30:08,"In IL and across the country, we have seen too many shortages of equipment and devices such as ventilators, masks and gowns. This is unacceptable."
1244783252549885953,2020-03-31 00:27:09,"I provided an update on the CARES act, the third package passed in Congress to help Illinois families, small businesses, and health care systems impacted by the coronavirus pandemic. Click the link to watch the entire video: 

https://t.co/WmOqnKizxZ"
1244783251253858305,2020-03-31 00:27:08,"Tonight Mayor Shepley, @RepUnderwood, Dr. Hafiz, and I discussed recent developments on COVID19 in a video conference call."
1244649064433623040,2020-03-30 15:33:56,"I'm holding a telephone town hall tomorrow at 6:50 PM CT. If you would like to submit a question before, please fill out this form: https://t.co/d4zGDlXJE3"
1244635584569671680,2020-03-30 14:40:22,"RT @IDPH: Health Check:
✅Wash your hands for 20 seconds
✅Stay home as much as possible 
✅Disinfect frequently touched surfaces 
🚨Avoid touc…"
1244623233707651074,2020-03-30 13:51:17,"RT @IDPH: How does #COVID19 spread? Facts down below:
#StayHomeSaveLives https://t.co/J52CcWPpxP"
