id,created_at,text
1247244778019979270,2020-04-06 19:28:22,"UPDATE: Paper applications are now available from @FLDEO for those seeking unemployment compensation and are unable to complete their application through the CONNECT website. Complete the application and send to the address listed in the link below 👇
 https://t.co/PhpKJxnDOZ"
1247226119595741191,2020-04-06 18:14:13,Hat tip to @USFHealthMed and @EngineeringUSF for working together to create face shields and other PPE for Tampa Bay healthcare workers. Bulls give back! 🐂https://t.co/HtuYcEaTYE
1247205056757346304,2020-04-06 16:50:32,"Kudos to @USFHealth, @NorthwellHealth, and @FormLabs for working together to design and mass produce 3D printed #COVID19 tests for the people of Tampa Bay. #GoBulls 💛💚https://t.co/vrvBNojZMF"
1246891977569951745,2020-04-05 20:06:28,STARTING SOON: Joining @jenniferwebbfl for a town hall on the coronavirus crisis and what state and federal government are doing to help. Tune in LIVE at five to ask your questions! https://t.co/RALBqNvBLO https://t.co/L9ebMQIOsy
1246480147169116160,2020-04-04 16:50:00,Thank you to the dedicated retail and grocery workers working selflessly to help their neighbors during the #COVID19 pandemic. We must continue to fight for fair pay and paid sick leave for workers during this crisis and beyond! https://t.co/9qcWoFXlLf
1246443377417224192,2020-04-04 14:23:53,"The #COVID19 pandemic requires us as Americans to rally behind our doctors, nurses, retail workers, and neighbors the same way we stood behind our soldiers in WWII. Thanks to historic legislation, help is on the way for every American - read more in my op-ed for @TB_Times 👇 https://t.co/atun3mlUcq"
1246437640951431168,2020-04-04 14:01:05,Tune in to MSNBC’s @amjoyshow around 10:50am for my interview with @JoyAnnReid about the #COVID19 crisis our country is facing and what we must do to #flattenthecurve and come out on the other side. https://t.co/I3TXoHbZHL
1246121271349428231,2020-04-03 17:03:57,Keeping healthcare workers safe is of the highest priority during this crisis. Standing w/ @1199SEIU &amp; healthcare workers everywhere calling for more resources &amp; critical equipment for our #HealthcareHeros. RT to lend your support. #GetMePPE https://t.co/DqQJqmBJ8h
1246115972471234561,2020-04-03 16:42:54,Great FAQ for Pinellas #smallbiz from @washingtonpost on how to apply for the federal Paycheck Protection Program &amp; other #smallbiz loans &amp; grants through the #CARESAct. Pinellas #smallbiz in need of assistance are always welcome to call my office at (727) 318-6770 https://t.co/oo3nuB6rGL
1245799451987447810,2020-04-02 19:45:09,Always the right time for good news stories. Thanks to @TB_Times and all the kind-hearted people of Tampa Bay for going the extra mile to make our neighbors smile. https://t.co/ehseWMNTaB
1245724653563400200,2020-04-02 14:47:56,Non-Social Security recipients who have not filed taxes in 2018-2019 will still have to file a “simple tax return” – @IRSNews to release this document soon.
1245724651105460224,2020-04-02 14:47:55,"UPDATE: As of April 1, Social Security recipients will no longer need to file an abbreviated tax return to receive a stimulus check; recipients will receive their rebate just as they would their Social Security benefits. https://t.co/Uoi9CI3mlr"
1245466850118508544,2020-04-01 21:43:31,"IMPORTANT INFO FROM FDA: Pinellas, if you use Zantac or the generic ranitidine, @US_FDA is recommending folks halt usage and immediately throw it away! Product is currently not safe and will be pulled from shelves across country. Stay safe and learn more here ⬇️ https://t.co/7LdwI2Ka4D"
1245435899061710858,2020-04-01 19:40:32,"Stuck inside while we work to #flattenthecurve? Use this time to fill out your #2020Census ONLINE at https://t.co/pqW53Cyzc1 &amp; help secure funding for Pinellas schools, hospitals, and other important programs. Your voice matters – together we can #MakePinellasCount! #CensusDay https://t.co/GgYTSsO8Jy"
1245425699940380673,2020-04-01 19:00:00,"Another victory for voting rights with U.S. Court of Appeals decision upholding the will of the people. ALL returning citizens should have their voting rights restored, plain and simple. https://t.co/fpKBvFGN3H"
1245411856644177920,2020-04-01 18:04:59,"Breaking News: Statewide Stay-At-Home Order issued taking effect tonight at midnight. All are advised to remain home to #flattenthecurve. Limit activity outside to jobs deemed essential &amp; getting necessities: groceries, medicine &amp; socially distanced exercise. Stay safe, Pinellas. https://t.co/1yaANcGnLb"
