id,created_at,text
1247286194955829255,2020-04-06 22:12:56,"Congratulations on your appointment, Taylor! Your desire to step up and serve is inspiring. I have no doubt the leadership skills you have already displayed will serve you well into the future. It was an honor to nominate you."
1247286193424826369,2020-04-06 22:12:56,"""'They say that they train soldiers to be terrific leaders, and that for me was one of the biggest draws,' said Puglisi, a two-time diving team captain, gymnastics coach and National Honor Society committee chairperson."" ⬇️
 
https://t.co/eT2TrfMgP5"
1247276908640862209,2020-04-06 21:36:02,#HometownHeroes are all around us. Have you seen an Illinoisan step up to help a neighbor during this critical time? Share the story with me here: https://t.co/6db57ZXpQo
1247255094342623232,2020-04-06 20:09:22,Thank you to all of the retail workers who continue to keep the shelves stocked when we need to make a trip to the store! https://t.co/n1Y4fLkb3w
1247238764793118720,2020-04-06 19:04:28,ICYMI: @IRSnews recently warned taxpayers of coronavirus-related scams. I encourage Illinoisans to remain vigilant and follow tips on how to handle potential scams here ⤵️ https://t.co/0zgI145nPM
1246825110079787010,2020-04-05 15:40:45,Are you a small business located in #IL17? Join me for a small business webinar on #coronavirus information ⤵️ https://t.co/EKMice7tMc
1246465086274908166,2020-04-04 15:50:09,"This is welcome news. Social Security beneficiaries should not have to complete their tax returns to see relief. Learn more here:
 
https://t.co/eluqHlYBx3"
1246171228370620422,2020-04-03 20:22:28,"Even as we stay home, Illinoisans have been going above and beyond for one another. If you’ve seen a neighbor respond to the coronavirus outbreak in an extraordinary way, submit them to be a #HometownHero ⤵️
 
https://t.co/W75DMtNJOU"
1246155851880181760,2020-04-03 19:21:22,"If you are a local business interested in participating, please fill out the form here:

https://t.co/FWytlr5OUW"
1246155850475098113,2020-04-03 19:21:21,"These webinars will focus on providing information to questions on how small businesses can apply for access relief programs in the wake of the coronavirus and will be separated into the Northern, Western and Southern parts of the region."
1246155848797347848,2020-04-03 19:21:21,"Next week, my office will host three regional small business webinars on Monday, Tuesday, and Wednesday at 10:00 a.m. CST. Learn how to participate in this thread ⬇️"
1246064983332487168,2020-04-03 13:20:17,An important update for Social Security beneficiaries from the @WaysMeansCmte ⬇️ https://t.co/lCYc7X5cPo
1245874892215640064,2020-04-03 00:44:56,"“More than 50 farmers and their tractors lined the streets, making sure they stood to support a man despite the threat of the coronavirus.”

Read the full story from @wqad about how neighbors came together in Reynolds, IL ⤵️ #HometownHeroes

https://t.co/28Ql0jdVSc"
1245857965355094019,2020-04-02 23:37:40,"If you have seen a neighbor go above and beyond like this, I want to hear about it. Share stories of #HometownHeroes below!

https://t.co/iA82bmMGLr"
1245857963350175744,2020-04-02 23:37:40,"During this time of need, Illinoisans are stepping up to help their neighbors. In Galesburg, one family started a movement by placing hearts in the windows, and in Peoria a distillery has shifted to making hand sanitizer before officially opening."
1245857676560461825,2020-04-02 23:36:31,"RT @congressfdn: For excellence in Constituent Service, we recognize @RepKendraHorn, Rep. @RobWittman, @MikeKellyPA, @RepShalala, @RepCheri…"
1245701775321112580,2020-04-02 13:17:01,"As always, my office stands ready to help. If you are in need of assistance, please don’t hesitate to reach out:

https://t.co/41E1MH2B7u"
1245701773689577478,2020-04-02 13:17:01,"I’m honored to have our team recognized in this critical service and proud of what our office is able to accomplish for Illinoisans every day.

https://t.co/f7zpz2LbrK"
1245701770749382660,2020-04-02 13:17:00,"As our country faces the impact of COVID-19, our team is focused on helping the people of Northwest and Central Illinois navigate the vital resources they need, from unemployment benefits to small business grants and loans."
1245701769394520064,2020-04-02 13:17:00,"Every morning, my staff and I show up to work motivated by the belief that government should work #ForThePeople. It’s this mentality that drives every aspect of our operation, especially constituent services."
