id,created_at,text
1247235608197640194,2020-04-06 18:51:56,"RT @LeadershipInst: Join @RepChipRoy (R-TX) as he talks about the government's coronavirus response.

A link for for the zoom conference ro…"
1247202118227935239,2020-04-06 16:38:51,"For our government to work more effectively, we need accurate data reflecting our current population. Of course, that only works if we take the time to fill out the census. Do your part by filling out the census today! https://t.co/qHY36xQy5a https://t.co/tyE9FYUbwp"
1247200202961956864,2020-04-06 16:31:14,"Also, please check out the @SBAgov page on resources for small business owners: https://t.co/QLnqCCl27i"
1247199802447802368,2020-04-06 16:29:39,"Hey #TX21 small businesses! Please check out this Coronavirus resource page. You can read up on the latest information, find an approved lender in your area, and find other resources for small businesses. 

https://t.co/MdQrCvdjhx"
1246499705846185987,2020-04-04 18:07:43,"RT @LeadershipInst: Mark your calendars for next Monday's Digital Town Hall with @RepChipRoy!

Save your spot now ➡ https://t.co/roVDZ7vaZ3…"
1246431904318083072,2020-04-04 13:38:18,"@DanaPerino Wrote about that this morning, mam. Happy to come on to discuss. 

https://t.co/tVmvlxSr5I"
1246430837933039616,2020-04-04 13:34:03,"LATEST: As our country unites to combat the pandemic, we must remember that our lives – the very lives our front-line health care heroes are working to save – also depend on each other and our economic, social, and spiritual interconnection as a people.

https://t.co/tVmvlxSr5I"
1246191828417810432,2020-04-03 21:44:19,"Today I sent a letter to Kinder Morgan related to recent events in Blanco County. 
 
“Water is quite literally the lifeblood of the Texas Hill Country. Any negligent activity that threatens or endangers this critical resource is unacceptable.”

#TX21 
#HillCountry https://t.co/1WJ6pwfK3n"
1246108915290517506,2020-04-03 16:14:51,"RT @henryrodgersdc: ""How about we make Phase III actually work first, and stop talking about spending long-term money on transportation inf…"
1246105204723986435,2020-04-03 16:00:06,"This is the question we’ve been asking for weeks, @benshapiro. 

We must announce a date to signal our economic restart, get folks back to work, and build the confidence we need to get capital flowing. Full stop. 

https://t.co/T6AHhkZICT https://t.co/88lfh8xjQi"
1246102713743654915,2020-04-03 15:50:13,"RT @christensen2023: This is absolutely FALSE. 

It’s a shame @TexasMonthly would allow this to be published. Here’s what @TDEM distributed…"
1246099217204088833,2020-04-03 15:36:19,"Glad to join my friends @RepArrington, @SteveScalise and many others in this effort to help American energy producers through #coronavirus. https://t.co/TC5HohyYVM"
1246098577576820742,2020-04-03 15:33:46,RT @RepArrington: @RepAlexMooney @RepRonEstes @michaelcburgess @RepLarryBucshon @HurdOnTheHill @RepBrianBabin @RepDanCrenshaw @GReschenthal…
1246086234037985287,2020-04-03 14:44:44,SBA Debt Relief:  https://t.co/70PhMD17wo
1246086232951664641,2020-04-03 14:44:43,SBA Express Bridge Loans:  https://t.co/tGqPwzgLZQ
1246086231999553538,2020-04-03 14:44:43,Economic Injury Disaster Loan (EIDL) Emergency Advance:  https://t.co/LK0azSr0xp
1246086229852147714,2020-04-03 14:44:43,"Hey #TX21 small business owners and workers! 

This thread includes a list of resources to consider as we continue to fight #coronavirus. 

Paycheck Protection Program (PPP):  https://t.co/1Hur73nB69"
1246066070160584704,2020-04-03 13:24:36,"RT @GregAbbott_TX: So many Texas businesses are stepping up to help respond to the #coronavirus. 

Reyes Hayashi Automotive which is a supp…"
1245826911663685637,2020-04-02 21:34:16,"RT @GOPoversight: Since the coronavirus outbreak began in December 2019, the Chinese government has taken extraordinary steps to hide its o…"
