id,created_at,text
1247269720975462400,2020-04-06 21:07:29,"From direct cash assistance to small business disaster loans, navigating these unprecedented times can be difficult for all of us. That is why we compiled a list of resources for you. If you need further assistance, please contact my office at 603-285-4300 https://t.co/1OJoqTBSo1"
1247246851499311104,2020-04-06 19:36:36,Today I spoke with advocates from @NHCADSV about the increasing risk of domestic violence during the COVID-19 pandemic. We must continue to support survivors and ensure our state’s frontline organizations and crisis centers have adequate funding. https://t.co/YuG61yrjEh
1246823865629712385,2020-04-05 15:35:49,"New Hampshire's Main Street economy and workers have been hit incredibly hard by coronavirus. That's why I've made it a priority to advocate for direct support and relief to help small businesses weather this unprecedented challenge.

https://t.co/1lis59YvQp"
1246180364642586627,2020-04-03 20:58:46,"I am glad the administration heeded calls made by myself, our federal delegation, and Governor to approve New Hampshire's disaster declaration request. This will further expedite support to families and communities as we work to conduct a comprehensive response to COVID-19. https://t.co/ntYXXDggvU"
1246136707705167875,2020-04-03 18:05:17,"New Hampshire is receiving $11.7 million to give much needed help to our vulnerable homeless population and provide assistance to communities in need with a variety of flexible applications including community heath, child care, and senior services.

https://t.co/Odiu93etoc"
1246106137495318528,2020-04-03 16:03:49,"This former Editor-in-Chief of The Little Green is glad to see that even in these unprecedented, challenging times, student journalists are still on the beat. 

Looking forward to reading online!

https://t.co/5Tgr4ckGyd"
1246078753207390240,2020-04-03 14:15:00,"This is not your average marathon!  Dover Middle School teacher Matt LeBlanc ran *623* laps in his backyard to raise money for the Community Food Pantry in Somersworth. 

Nice run, Matt!

https://t.co/43nHinJjFo"
1246065428088176640,2020-04-03 13:22:03,RT @wkxlnhchris: . @RepChrisPappas is.on with us right now! #nhpolitics https://t.co/DT5aRL4980
1246062257664077825,2020-04-03 13:09:27,"I'll be joining @MikePompNH on @981WTSN and @wkxlnhchris on @wkxlnh this morning to discuss coronavirus and the federal response.  

Listen in:

WTSN: https://t.co/1uhEHPX4P6
WKXL:  https://t.co/4vW3fgfdys https://t.co/0Yfi67BwkX"
1245806886521274368,2020-04-02 20:14:42,"Less than an hour away from tonight's telephone town hall with @RepAnnieKuster to take your questions and provide information on the coronavirus response. 

We will be joined by a medical specialist and @sbagov NH.

Dial 866-478-3366 at 5PM or go to https://t.co/H6GOzunVAP https://t.co/6OHc7a0vO0"
1245758109013991425,2020-04-02 17:00:52,"In February, I wrote to @US_FDA calling for a change to its outdated, discriminatory blood donor policy. This announcement is a step forward, but more must be done to follow science and allow healthy individuals to give blood—especially during a crisis where donations are needed. https://t.co/kiEHMfR7hq"
1245688098752774145,2020-04-02 12:22:41,"📻 I'll be live on @NHTodayShow this morning in a few minutes to discuss the coronavirus and the federal and state response. 

Tune in: https://t.co/S5X3JezD0L https://t.co/MRmyEMvHMe"
1245474794579152898,2020-04-01 22:15:05,"Tomorrow afternoon at 5:00 PM I will be holding a telephone town hall with @RepAnnieKuster and NH medical and small business officials to discuss the response to coronavirus and answer your questions.

🗓Thursday, April 2
⏱5:00 PM
☎️ 866-478-3366
💻 https://t.co/H6GOzunVAP https://t.co/kDZizhTOje"
1245452530034884611,2020-04-01 20:46:37,".@AARPNH is compiling a lot of helpful local, state, and federal resources for older Granite Staters looking for assistance and information at this time. 

Take a look and please share with those in need ⬇️ 

https://t.co/BA4t3RUZVK"
1245406833000566785,2020-04-01 17:45:02,"It has never been easier to complete the census. It just takes a few minutes and you can complete it online, on the phone, or by mail. 

Go to https://t.co/0ADrYQnkgK to make sure you are counted and to help shape the direction of your community in the decade ahead. #CensusDay"
1245342418993647620,2020-04-01 13:29:04,"Great job, Joey! Thank you for pitching in to help our first responders and health care workers.

https://t.co/HmWFRz1Uf7"
