id,created_at,text
1247346332718845958,2020-04-07 02:11:54,RT @GordonGChang: The great @RepChrisSmith suggests ways to hold #China's leaders accountable for making sure the planet was engulfed in #c…
1246188951792164871,2020-04-03 21:32:53,"Click links below to check the status of Direct Impact Payments to qualified taxpayers, Social Security recipients, and other announcements from the U.S. Department of the Treasury and the Internal Revenue Service. #CARESAct 

https://t.co/pu3EZnIjPc
 
https://t.co/53fuP3IwL0 https://t.co/sDwkkEpWwl"
1245382773919100930,2020-04-01 16:09:26,https://t.co/bmNfUigWJO #2020Census https://t.co/vGw0Ol8cfj
1245331796637687808,2020-04-01 12:46:52,"RT @ChasingNews: After Peru closed its borders, stranding students and travelers, Rep. Chris Smith (R-NJ) helped 17 NJ residents get home.…"
1243312237881839616,2020-03-26 23:01:51,"Thanks to @theNJGlobe and @wildstein covering this important issue. Personal Protective Equipment (PPE) products will protect many of our doctors, nurses, other medical professionals and first responders who are giving their all on the front lines. https://t.co/pN33SA45tu"
1242831374974947330,2020-03-25 15:11:05,"TY for all that you &amp; fellow #alzheimers advocates do to #ENDALZ. At this time, isolation is especially dangerous-it is good to check in on our seniors w/#AlzheimersDisease. Please know there are resources such as the @alzassociation helpline: 800.272.3900 if you need assistance. https://t.co/4I93wUT8jr"
1242180052156125190,2020-03-23 20:02:57,"Happy to help in any way we can.  We are all in this together.  

And thank you @centrastate for your expertise and extraordinary commitment. https://t.co/pA06Zpp1iR"
1240408584791490567,2020-03-18 22:43:46,"The Senate has passed and sent to President Trump the #coronavirus aid package to provide relief to those impacted directly. Read my statement on House passage of this package and access important COVID-19 information on my website.
 
https://t.co/ulNqXnePdK"
1224713291399823360,2020-02-04 15:16:17,"TY @BillSpadea for highlighting my landmark law-Trafficking Victims Protection Act-to assist victims(primarily women)&amp;punish traffickers. If u are a victim or suspect a trafficking situation, pls📞Nat’l Hotline @ 1-888-373-7888 or NJ Hotline 1-855-END-NJHT https://t.co/6sdb79Vxh2"
1223264981074042881,2020-01-31 15:21:13,"TODAY I will be speaking on a panel at the @WhiteHouse on #HumanTrafficking “The 20th Anniversary of the Trafficking Victims Protection Act of 2000”- a landmark law I authored to combat #HumanTrafficking.

Tune in via livestream at 10:30 AM EST to watch https://t.co/16H7RAFFMQ"
1223023062397980674,2020-01-30 23:19:55,"As co-chair of the Neglected Tropical Diseases (NTD) &amp; Malaria Caucus, I welcome the inaugural #WorldNTDDay and urge everyone around the world to redouble our efforts to #BeatNTDs. My law (The End Neglected Tropical Diseases Act PL 116-94) is a start, but more can be done. https://t.co/iQFB9J3ZjO"
1222677651573395456,2020-01-30 00:27:23,"Very productive day of meetings w/Joanne &amp; Jill informing Members of Congress on the need to educate coaches &amp; athletes about exertional heat stroke through their advocacy of “Braeden’s Law” (HR4145). 

https://t.co/MMnNQvllXi https://t.co/AA0KnJTmqX"
1222677368654962688,2020-01-30 00:26:15,Thank you Chairman @BobbyScott for meeting with us today. I look forward to working together on HR 4145 - Braeden's Commission: Protect our Athletes from Exertional Heat Stroke. https://t.co/8QEfdl9L2z
1222239334654496774,2020-01-28 19:25:40,ICYMI: @SSAPress has a new campaign to fight scammers. If u/someone u know receives a suspicious call stating there is a problem w/their SSN/account. Hang up. Never give the caller money/personal info. Ppl should then report the scam to https://t.co/Mp0WRgDICh or 📞1.800.772.1213 https://t.co/PVdpI9pisG
1217853078294138880,2020-01-16 16:56:15,"RT @AARPNJ: Thank you @RepChrisSmith for voting yes on #HR1230, a bipartisan bill that would restore older NJ workers’ rights to fight back…"
1217853038020431872,2020-01-16 16:56:05,"As a cosponsor of the Protecting Older Workers Against Discrimination Act (HR 1230), I am pleased the House passed this key legislation, pushing reform to provide equal opportunity for older workers in America and legally recognize age discrimination in the workplace. https://t.co/hQQzNj8fLz"
1217516356410773505,2020-01-15 18:38:14,"TODAY: I invite you to watch @tlhumanrights hearing I am chairing on the 20 years of my landmark law to combat #HumanTrafficking at 2:00 PM EST: “The Trafficking Victims Protection Act at 20: A Look Back–and a Look Ahead”.
 
https://t.co/FrQapeW2tJ"
1216048120888512512,2020-01-11 17:23:59,"Today, #NationalHumanTraffickingAwarenessDay , we renew our commitment to eradicate the scourge of #humantrafficking once &amp; for all. As the author of 5 anti-human trafficking laws, I continue to work to help the victims, who are mostly women &amp; children, &amp; punish the perpetrators. https://t.co/wT9fJKIiuC"
