id,created_at,text
1247271927565205504,2020-04-06 21:16:15,"To assess what Iowans need to deal with #COVID19, it's essential to hear from folks in every part of Southwest Iowa.

Today, I launched my #IA03VirtualTour to connect with health workers, businesses, stakeholders &amp; constituents across #IA03.

Read more: https://t.co/a1vlqu4ur9 https://t.co/p2OsplwlQR"
1247229230204833800,2020-04-06 18:26:35,"Want a quick reference guide to #COVID19 symptoms, direct payments to Iowans, programs available to small businesses, and other information about coronavirus legislation passed by Congress?

Check out my new #IA03 Coronavirus Resource Guide here:
https://t.co/a5DaBAvbPh https://t.co/va8g6X7svT"
1247186332155293697,2020-04-06 15:36:07,"I'm working to ensure that Iowa's health care workers have the PPE they need during this #COVID19 outbreak.

This $44 million from @FEMA will help cover costs of Iowa's PPE orders as we keep fighting to prevent shortages at our hospitals and clinics. #IA03
https://t.co/XeIHoKjPLx"
1246915594143793157,2020-04-05 21:40:18,"We need @FCC &amp; @TheJusticeDept to crack down on growing scam attempts – particularly on our seniors – through robocalls purporting to be the government, a health care provider, or to have a miracle cure.

Proud to join @RepHarley’s bipartisan effort to curb these #COVID19 scams. https://t.co/g76MJ6oOJQ"
1246521404897574912,2020-04-04 19:33:56,"ICYMI: @CDCgov is now recommending wearing cloth face coverings to slow spread of #COVID19 in public settings where social distancing measures are difficult to maintain (like grocery stores &amp; pharmacies) &amp; in areas of significant community-based transmission. 

Learn more ⤵️ https://t.co/imC5CPHPFh"
1246201087348084741,2020-04-03 22:21:07,"First responders like #IowanOfTheWeek @WaukeeFire have gone beyond their call of duty during this public health crisis – protecting Iowans while still taking the time to celebrate community birthdays &amp; bring smiles to Iowans. #ia03

Read more: https://t.co/zXWGYULVFK https://t.co/z1lbBCFIOV"
1246143707608424452,2020-04-03 18:33:06,"This program gives critical aid to small businesses for payroll &amp; other expenses– but without timely &amp; proper guidance it won’t help anyone.

I’m working w @USTreasury, @SBAgov &amp; our local lenders to ensure updated guidance is implemented quickly.

https://t.co/QxcgbEYXHk"
1246126848850919424,2020-04-03 17:26:07,".@IAPublicHealth is predicting the first peak in #COVID19 cases will come soon &amp; now the Iowa Board of Medicine voted to recommend that @IAGovernor enact a 'stay-at-home' order.

We need that order NOW to protect Iowa health systems from being overloaded.

https://t.co/ttanjuk6Dt"
1246100085894676481,2020-04-03 15:39:46,"🚨 With #COVID19 unemployment claims rising to record highs across our state, Iowa Workforce Development is recommending that anyone seeking to file for benefits do so 🚨 ASAP 🚨 to have your claim on file.

File here: https://t.co/uO1ZoxY2D7 https://t.co/L7FgXpOcql"
1245825387684343808,2020-04-02 21:28:13,"Other FAQs: https://t.co/oFPhmWnQrx

More questions? https://t.co/v85zN5SCbf"
1245825385931120643,2020-04-02 21:28:12,"Symptoms &amp; prevention: https://t.co/aan9ssQw4d or https://t.co/E7gjbLRA3e

Unemployment benefits: https://t.co/uO1ZoxY2D7

Direct payments: https://t.co/4kCFdjd3Hk

Small business assistance: https://t.co/sKwYnxu5x2 or https://t.co/BFGtIiGZGK"
1245824763320246278,2020-04-02 21:25:44,"There's a lot of information being shared about coronavirus and the impacts it's having on Iowa. 

Watch &amp; read the thread below to help you find the information you're looking for! https://t.co/l2EX7g6eMd"
1245755785252134914,2020-04-02 16:51:38,"The Paycheck Protection Program will provide $350 billion in loans to small businesses affected by #COVID19

But banks say they don't have enough information to start lending. That is unacceptable.

@SBAgov &amp; @USTreasury need to issue more guidance TODAY.

https://t.co/5lY08YSTU0"
1245741221575823362,2020-04-02 15:53:46,"Thanks to everyone who joined #IA03’s 2nd coronavirus tele-town hall yesterday!

Even while we’re #socialdistancing, I want to ensure everyone can ask #COVID19 questions &amp; learn what tools there are to keep families healthy, bills paid, &amp; businesses afloat during this outbreak. https://t.co/te1esKDYkE"
1245506552628498433,2020-04-02 00:21:17,"Good.

Iowans who already receive Social Security shouldn’t need to file additional paperwork to get direct payments, especially when Congress already granted @USTreasury this authority.

We should not be making it harder for our citizens to get the assistance we promised them. https://t.co/P6TGpK4cPd"
