id,created_at,text
1246143128291205122,2020-04-03 18:30:48,"RT @realDonaldTrump: The Paycheck Protection Program is now available! #CARESAct

Small Business Guidance &amp; Loan Resources: https://t.co/lf…"
1246077711258451969,2020-04-03 14:10:52,RT @HSBCgop: BREAKING: Applications are open for the Paycheck Protection Program.  These 100% federally guaranteed loans can be forgiven if…
1245864679638855684,2020-04-03 00:04:21,RT @RepArrington: Proud to have @SteveScalise &amp; 41 of my colleagues join me in sharing our thoughts w/@realDonaldTrump about helping our en…
1245799545285619714,2020-04-02 19:45:32,"Industry demand for storage has reached a critical point, and the SPR is well-equipped to meet that need. This decision from @ENERGY will help avert any stoppage in production and save scores of thousands of U.S. jobs while we await a restoration in global demand. https://t.co/Zz9lNgvOGw"
1245408231310098442,2020-04-01 17:50:35,"SMALL BUSINESS RESOURCES: 

@USTreasury has released additional guidance on the Paycheck Protection Program, which helps small businesses maintain their workforce and cover additional costs for up to 8 weeks.

Learn more here: https://t.co/iYnQbgZJ4b."
1244720117394612225,2020-03-30 20:16:16,GOMESA provides critical funding for mitigation and restoration efforts along Louisiana's coast. We support this endeavor and will continue working with @realDonaldTrump’s admin to expand these important revenue-sharing provisions. https://t.co/6E8J9ABtoI
1242669933852536834,2020-03-25 04:29:34,The President and his team are doing a tremendous job with the federal response to this virus. I’m grateful for @realDonaldTrump’s decisive action and swift approval of Louisiana’s disaster request.
1242669783251857410,2020-03-25 04:28:58,We must ensure Louisiana is positioned for a quick economic recovery. The federal support authorized under a disaster declaration and the restoration of personal freedoms are critical to that end.
1241441865125318656,2020-03-21 19:09:40,.@LEDALafayetteLA publishes help wanted list for local businesses https://t.co/h5XXVchKWU
1241048455910510594,2020-03-20 17:06:24,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1240710634666369024,2020-03-19 18:44:01,"The Strategic Petroleum Reserve is a critical national security asset, &amp; with the current price of oil, now is the time to refill our supply. This will save taxpayers billions and provide needed support for U.S. energy producers.

My full statement here: https://t.co/Pg9RwRnWEp https://t.co/Iw72QdvUIm"
1240702548471730176,2020-03-19 18:11:53,Louisiana businesses experiencing a loss in revenue due to COVID-19 can now apply for low-interest disaster loans through the U.S. Small Business Administration. Apply online here: https://t.co/JFc5JwDo7U
1238870960515751938,2020-03-14 16:53:48,"@FroMAGAMot @realDonaldTrump Yes, sir. It excludes treatments unrelated to COVID-19, ensuring Hyde protections remain intact and no funds go toward abortion."
1238825906384314368,2020-03-14 13:54:47,"The coronavirus response bill builds on @realDonaldTrump's commitment to expand testing, limits new spending and health treatments to COVID-19, and provides U.S. families with much-needed economic stability. Overall, this legislation is a win.

https://t.co/JkPyOWMup6"
1238505493011877889,2020-03-13 16:41:34,"Everyday actions can help mitigate the spread of COVID-19.

- Stay home when sick
- Disinfect frequently touched objects
- Avoid touching your face
- Wash your hands often for at least 20 seconds

For additional health tips and information, visit https://t.co/OhOSHKzfda https://t.co/x7TADEZrTr"
1238193081159168004,2020-03-12 20:00:09,"RT @LADeptHealth: With Louisiana 211 now equipped and trained to answer questions from the public, the Louisiana Department of Health is as…"
1237757731555233792,2020-03-11 15:10:14,"Proud to stand with @RepWesterman, @GOPLeader, and many other colleagues in support of the Trillion Trees Act. This legislation improves the environment forever, without restricting personal freedoms or harming private industry.

https://t.co/go6DviY51b"
1236356974071230466,2020-03-07 18:24:07,".@RepMarkMeadows is a patriot. We’ve battled together for Conservative principles on @GOPoversight, and Mark will serve America well in his new role. I look forward to working with him and @realDonaldTrump to keep America great. https://t.co/LUbzaDTinc"
1236104917779189760,2020-03-07 01:42:32,"@Janellj86 In ag, H2A &amp; H2B employers are often the same. For example, rice farmers are crawfish farmers &amp; crawfish farmers are crawfish processors. Farmers &amp; many other employers need H2A &amp; H2B. These jobs are temporary, labor intensive &amp; w/o benefits. That’s not what we want for Americans"
1235987583831879680,2020-03-06 17:56:18,"Apparently,  Sen. Tom Cotton lacks understanding of workforce realities regarding American farming. H2B employers are solid Americans. We want U.S. families to have permanent jobs... not temporary seasonal heavy labor jobs. Spend a day on a LA farm, Tom. Bring your boots."
1233162074995425286,2020-02-27 22:48:44,"We should continue to invest in our ports, waterways, and water management systems. These projects support thousands upon thousands of jobs and hundreds of billions of dollars in economic activity across Louisiana. https://t.co/zDQHsRctgJ"
1232794346111602690,2020-02-26 22:27:30,".@RepAbraham is my friend. He’s a good man and a great Congressman for Louisiana. It’s been an honor to serve with him, and he will be missed greatly. https://t.co/hKXPux4smS"
1232754424516399104,2020-02-26 19:48:52,"Sanctuary cities should be barred from receiving federal grants if they continue to harbor criminal aliens and ignore the law. Sanctuary policies are a threat to law enforcement officers and American citizens.

Stand up America.

https://t.co/p2k7uYQfdR"
1232744269758242818,2020-02-26 19:08:31,"RT @RepAbraham: Today, @RepClayHiggins &amp; I sent a letter asking @USTradeRep to focus on opening U.K. &amp; Kenya markets to American rice - whi…"
1232362651478614017,2020-02-25 17:52:06,"Happy Mardi Gras, Louisiana! https://t.co/K5t6C3qOOn"
1230971369657192450,2020-02-21 21:43:39,RT @AcadiaChamber: @RepClayHiggins Announces Funding for LeGros Memorial Airport!  https://t.co/AVsW0Ze4BS https://t.co/zJmxG8QIrV
1229428634714300416,2020-02-17 15:33:22,"If you are a Veteran in need of assistance, join us tomorrow in Church Point for our Veterans Outreach Clinic. 

More details here: https://t.co/JXLd0g8IP9 https://t.co/rsfcsRh2oF"
1228054673401270274,2020-02-13 20:33:44,Veterans Outreach Clinic Scheduled for Tuesday in Church Point https://t.co/R0LHP6NGnB
1227385782219964416,2020-02-12 00:15:48,"The Army Corps’ 2020 Work Plan delivers significant funding for #LA03 projects. Since coming to Congress, my office has worked closely with the Corps to secure more than $406M for dredging and water management. 

https://t.co/TWlQka8aPJ"
1225802350306217986,2020-02-07 15:23:49,"Another day, more great economic news. Our economy is booming.

✅ 225,000 new jobs
✅ Wages up 3.1%
✅ More Americans joining the labor force"
1225185978333245444,2020-02-05 22:34:34,"RT @SenateGOP: They never believed @realdonaldtrump could win.
 
They refused to accept it when he did.
 
While they opened endless investi…"
1225170320585261057,2020-02-05 21:32:21,The partisan impeachment has been defeated. @realDonaldTrump is acquitted. https://t.co/Fo9D6zhjJ6
1225080173701357568,2020-02-05 15:34:08,"ICYMI: My thoughts on last night's State of the Union address #SOTU

https://t.co/Kc3Kqjl3DV"
1224902527952609280,2020-02-05 03:48:14,@realDonaldTrump My full statement on tonight's State of the Union address: https://t.co/2KRc1CEKQX
1224902307307040768,2020-02-05 03:47:22,".@realDonaldTrump is delivering on his promises. America is safer, stronger, and more prosperous under his leadership. #SOTU"
1224897249886527489,2020-02-05 03:27:16,"Promises made. Promises kept.

Thanks, @realDonaldTrump.

#SOTU https://t.co/LCrOpG7CP7"
1224896822373687296,2020-02-05 03:25:34,".@realDonaldTrump: ""Our spirit is still young; the sun is still rising; God's grace is still shining; and my fellow Americans, the best is yet to come!"" #SOTU https://t.co/FOJv7MXOzl"
1224896162307760128,2020-02-05 03:22:57,".@realDonaldTrump: ""Our ancestors built the most exceptional Republic ever to exist in all of human history— and we are making it greater than ever before!"" #SOTU"
1224894403975831558,2020-02-05 03:15:58,".@realDonaldTrump: ""Our message to the terrorists is clear:  You will never escape American justice.  If you attack our citizens, you forfeit your life!"" #SOTU"
1224894153630343169,2020-02-05 03:14:58,"RT @GOPoversight: No pallets of cash given to our enemies. 
No bad nuclear deals. 
No Benghazi. 

America is winning again on the internati…"
1224893119835099136,2020-02-05 03:10:51,"Under @realDonaldTrump, America is winning the fight against terror. No longer will we sit idle while American interests are threatened and attacked. #SOTU"
