id,created_at,text
1247359376387702784,2020-04-07 03:03:44,RT @RepCohen: Former President George W Bush knew of potential as did #BarackObama. Trump went the opposite direction and has put fuel on t…
1247359177325936641,2020-04-07 03:02:57,"RT @RepCohen: This was retaliation and a warning to other and future inspector generals. #Trump believe s all owe loyalty to him , not the…"
1247345227913932807,2020-04-07 02:07:31,Several of my colleagues will be joining me in a letter to secretary of defense Mark Esper calling for the reinstatement of #CaptainBrettCrozier to his command of the #USSTheodoreRoosevelt.Captain Crozier has the respect of his sailors and has acted for their safety. A.M. release
1247312739724337159,2020-04-06 23:58:25,"This Thursday, I will host a Telephone Town Hall. If you have any questions about the #coronavirus or the congressional response, reply to this tweet. I will answer as many of these as I can on Thursday. #Memphis

Click below to sign up for the call.
https://t.co/uyrnHxmXBT"
1247210316737454088,2020-04-06 17:11:26,If Republicans don’t stand up for transparency and fairness the #CARESAct  will be used as a political opportunity by team #Trump .https://t.co/RgzoRPvr8F
1247208215403692034,2020-04-06 17:03:05,"This was retaliation and a warning to other and future inspector generals. #Trump believe s all owe loyalty to him , not the law. That is counter ro #American values and trait of authoritarian leader. Wake up to #TrumpMadness https://t.co/oVCssBJ1vh"
1247205520177594370,2020-04-06 16:52:22,RT @RepCohen: Angela Merkel responded quickly and communicated clearly &amp; regularly. Her actions inspired trust &amp; kept the death toll in Ger…
1246905892530016257,2020-04-05 21:01:45,"Angela Merkel responded quickly and communicated clearly &amp; regularly. Her actions inspired trust &amp; kept the death toll in Germany much lower than elsewhere. We need that kind of leadership, but Trump can’t provide it. #COVID19 #Coronavirus #TrumpIsALoser
https://t.co/l4yAiRndG7"
1246903011697451008,2020-04-05 20:50:18,Former President George W Bush knew of potential as did #BarackObama. Trump went the opposite direction and has put fuel on the fire . https://t.co/U4R8o3hSyj
1246839863124602888,2020-04-05 16:39:23,Senator Collins is sadly either over the hill in her blindness and weakness or never made it up the hill. She needs to retire in shame for #Kavanaugh &amp; #impeachment vote. She isn’t #prochoice pro woman or pro #truth https://t.co/T0azQ28BbO
1246548473287192579,2020-04-04 21:21:30,Good advice for #Memphis from Larry! #coronavirus https://t.co/re0e4IeGD2
1246547547948290055,2020-04-04 21:17:49,#MLKDay in #Memphis .We will never forget the dream and the dreamer.#MLK52 https://t.co/X3md7f4LZM
1246483548225314817,2020-04-04 17:03:31,I don’t take responsibility at all.#TrumpMadness https://t.co/WHeFoNEgMu
1246479828854939648,2020-04-04 16:48:44,"RT @RepCohen: When I was a kid at 5 o’clock the Mickey Mouse show came on with Dumbo,Goofy and all the other characters. Deja Vous."
1246479779961995269,2020-04-04 16:48:32,RT @RepCohen: From a man who knows what he’s talking about!#TrumpPressConference #TrumpGenocide
1246284214850502657,2020-04-04 03:51:26,"When Jared speaks,if it wasn’t right when he said it,it’s right immediately after daddy-in-law learns of it.#JaredKushnerisanidiot #TrumpPressConference https://t.co/KIgJA9xTGr"
1246274606970830851,2020-04-04 03:13:15,#Trump doesn’t care about anyone but himself. #Fauci says you wear mask so as not to infect other(s) if you are asymptotic. But Trump cavalierly dismisses it’s use because caring out for others not in his quiver.#TrumpPressBriefing #masksforall https://t.co/32zsHMclG8
1246253308358144000,2020-04-04 01:48:37,This injustice must be rectified #NAVYCaptain #USSRoosevelt #DOD https://t.co/Kl16w3Lcwk
1246250796112543745,2020-04-04 01:38:38,RT @MiaFarrow: A disgusting human being. Unfit in every way for the presidency
1246246516530036737,2020-04-04 01:21:38,"RT @washingtonpost: ""Why is Jared Kushner in charge of anything?"": Trump’s son-in-law sparks outcry, confusion after coronavirus briefing d…"
1246246208684900352,2020-04-04 01:20:24,From a man who knows what he’s talking about!#TrumpPressConference #TrumpGenocide https://t.co/DbbQA469py
1246214406108844032,2020-04-03 23:14:02,https://t.co/AFHgg58jen
1246196493436030976,2020-04-03 22:02:51,"When I was a kid at 5 o’clock the Mickey Mouse show came on with Dumbo,Goofy and all the other characters. Deja Vous."
1246188257727131648,2020-04-03 21:30:08,".@HouseDemocrats are working to put #FamiliesFirst as we confront the #coronavirus. Visit my website to learn more about the resources available to you &amp; your family, and sign up for my eNewsletter to receive regular updates. #COVID19 #Memphis #Choose901
https://t.co/MnODN94qsU"
