id,created_at,text
1247262423050063873,2020-04-06 20:38:29,"Glad to see Gov. McMaster take this action. This is what is needed to save lives, flatten the curve, protect heath care workers + those on the frontlines and return to normal as quick as possible. https://t.co/vmwMpSc6YU"
1247252488769724417,2020-04-06 19:59:00,"🚨👀Check out the #COVID19 screening tool Apple created with the CDC, FEMA, and the White House! 

It’s a helpful resource that provides users with information on symptoms, testing recommendations, social distancing, and when to contact a medical provider https://t.co/BsZuaWNJLR"
1247198127431581697,2020-04-06 16:23:00,"RT @WhipClyburn: Have you filled out your census yet? It only takes 10 minutes and can be done by:

☎️ Phone (844-330-2020)
💻 Online (https…"
1247190515453435906,2020-04-06 15:52:45,Helpful thread on applying for unemployment insurance ⬇️ https://t.co/h4xzkAJj3p
1246170247352266753,2020-04-03 20:18:34,"I know how frustrating this is for South Carolina businesses. While hiccups are to be expected in the coming days, know that you can always contact me at (843) 352-7572 or https://t.co/QxaetSplZ2 if you encounter any problems."
1246170246483976192,2020-04-03 20:18:34,Small businesses can now apply for the @SBAgov Paycheck Protection Program but agency guidance on eligibility and availability of relief continues to evolve. You should check with your business’ financial institution for info on its timeline for application + approval of loans.
1246143827032846336,2020-04-03 18:33:35,We offer hazard pay to servicemembers doing dangerous work. The military medical professionals serving on the front lines of this public health crisis and putting themselves in harm's way deserve the same sort of compensation.
1246143826135339013,2020-04-03 18:33:35,NEW: Today I introduced legislation that would expand hazard pay to military medical professionals serving on the front lines of public health emergencies like COVID-19.
1246135716066836482,2020-04-03 18:01:21,"This global health crisis is tough on all of us, including Lowcountry veterans. Congress has passed critical legislation to care for our vets throughout this period. https://t.co/SAVTj3nSF9"
1246117740458500102,2020-04-03 16:49:55,"Reminder to our veterans: help is always available. 

📞 call the Veteran Crisis Line at 1-800-273-8255 and press 1
💻 visit the https://t.co/TQOu6lTqpg
📲 text 838255

These times are hard, but you are not alone."
1245809657677000709,2020-04-02 20:25:43,"So glad my office could help 11 of our constituents get back to the Lowcountry safe and sound. As always, my office is ready to offer any assistance South Carolinians might need. Don't hesitate to reach out if you think we can help! 
https://t.co/OhvHCT6qwl"
1245771690291986433,2020-04-02 17:54:50,"This is good news. Seniors should not have to jump through extra hoops to get the relief they need. 

https://t.co/LwpY7lZIie"
1245726496544694275,2020-04-02 14:55:15,"Last week, Congress passed bipartisan legislation that expands unemployment insurance and helps South Carolinians stay afloat. It’s going to take more to make sure those hit hardest by this crisis have the resources they need, but this is a strong start. https://t.co/SOPjiOxE0w"
1245483037196013574,2020-04-01 22:47:50,Folks across the Lowcountry are stepping up and pitching in to help their communities. I’m so inspired by these high school students who are creating PPEs for health care workers on the frontlines. https://t.co/1M50hquJBk
