id,created_at,text
1247238708690108419,2020-04-06 19:04:15,"RT @GOPLeader: China lied to the world.

If the Chinese Communist Party would have allowed our scientists, our researchers, and our doctors…"
1246174312295522304,2020-04-03 20:34:43,Glad to join the fight with my colleague @RepBryanSteil to request full access for religious nonprofits for the #PaycheckProtectionProgram. https://t.co/VwAHevdY9K
1246170102153859072,2020-04-03 20:17:59,"RT @SecondLady: I am honored to announce that I will be the lead Ambassador for PREVENTS, a task force designed to prevent suicide for #Vet…"
1246152438333214721,2020-04-03 19:07:48,"The #PaycheckProtectionProgram is eligible for small businesses with less than 500 employees. The loans provide 8 weeks of assistance and can be used for payroll costs, interest on mortgages, rent, and utilities. 

Apply at https://t.co/Oue2CPFvGk https://t.co/XKq6f2NEt3"
1246132722839498752,2020-04-03 17:49:27,"RT @GOPLeader: Small business owners: this is a two-page form for a 100% federally-guaranteed loan. If you use it for payroll, rent, and ut…"
1246096821413384198,2020-04-03 15:26:48,"Starting today, small businesses can apply for the paycheck protection program from @SBAgov. This program provides assistance to small businesses, and the loans can be fully forgiven under most circumstances. #PaycheckProtectionProgram https://t.co/m5rz5mXr43"
1245838732411854848,2020-04-02 22:21:15,"RT @SpaceForceCSO: Proud of our @SpaceForceDoD professionals at 2 SOPS @50thSpaceWing for executing our critical mission to provide #GPS, n…"
1245838686056407041,2020-04-02 22:21:03,A good graphic explaining the effects of social distancing. We will defeat this virus together. https://t.co/C23sPYzLF0
1245825755923116032,2020-04-02 21:29:41,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/L80j4W1c8O
1245825710914244610,2020-04-02 21:29:30,Some best practices from the @WhiteHouse Coronavirus Task Force. If we all follow this advice we can beat this virus. #InItTogether https://t.co/mfmZp5ZN45
1245812350483079169,2020-04-02 20:36:25,RT @CDPHE: .@211Colorado is a confidential and multilingual service connecting people to vital resources across the state. No matter where…
1245763941151670274,2020-04-02 17:24:03,"RT @CDCgov: Everyone can help prevent spread of #COVID19. Clara, the #Coronavirus Self-Checker, can help you decide when to call your docto…"
1245440407451906058,2020-04-01 19:58:26,"RT @RepStefanik: Thanks to @RepGallagher, @RepTrentKelly, @RepDLamborn &amp; @RepMikeTurner for joining my Resolution with @HawleyMO to hold Ch…"
1245415476127203330,2020-04-01 18:19:22,"Due to China's lies and misinformation, #COVIDー19 was allowed to spread unchecked. This is why I have joined my colleague @RepJimBanks in a resolution that calls on the #CCP to announce that the virus originated in China, end detainment of the Uyghurs &amp; end forced labor."
1245408463892762624,2020-04-01 17:51:31,"What @WHO really meant when they named the virus COVID-19:

𝗖hina
𝗢riginated
𝗩irus
𝗜n
𝗗ecember
𝟭𝟵"
1245400564579655680,2020-04-01 17:20:07,"Starting April 3, small businesses can apply for assistance from @SBAgov. Small businesses with less than 500 employees can apply, and the loans can be fully forgiven. https://t.co/hGW38jvqVR"
1245384099143049219,2020-04-01 16:14:42,"The Chinese Communist Party is a totalitarian regime that has a history of deceit and oppression. It comes as no surprise that they have lied about the numbers of individuals affected by #COVIDー19. The #CCP and China must be held accountable.

https://t.co/Ch0QgyFv4L"
1245088341932081162,2020-03-31 20:39:27,"The third #COVID19 spending bill should have given full tax deductibility for contributions made to nonprofits. Our nonprofits are struggling, but Speaker Pelosi once again managed to put her interests ahead of the American people.

https://t.co/saywiffFbw"
1245064797995053057,2020-03-31 19:05:54,A #COVID19 relief bill should not contain funding for the Kennedy Center. This is one of the myriad elitist wish list proposals crammed into this bill. I have signed on to legislation from @RepBryanSteil that would revoke this ridiculous funding. #skipthepork
1245035937844924419,2020-03-31 17:11:13,"I joined my colleagues in calling on @SecAzar to provide immediate relief to rural hospitals. Rural hospitals are the backbone of our communities, and they are being severely impacted by the coronavirus. We must ensure they have the necessary resources to fight #COVID19 https://t.co/JSidAirqnI"
1245027483952517134,2020-03-31 16:37:38,"RT @SteveScalise: In the middle of a national emergency, Nancy Pelosi fought to give the Kennedy Center $25 MILLION...and then they stopped…"
1244731314936446978,2020-03-30 21:00:46,.@realDonaldTrump is correct. We cannot let the cure be worse than the problem itself. We cannot pass this debt on to our children. We cannot keep passing legislation containing liberal wish lists. We must cut the pork from future #COVID19 bills.
1244710270074793986,2020-03-30 19:37:08,RT @SBAgov: STAY UPDATED: Subscribe to our e-newsletter and get updates on SBA programs and resources for small businesses impacted by #COV…
1244697715143049216,2020-03-30 18:47:15,"After supporting the first two #COVID19 bills, I could not support the third $2.2 trillion bill. Aid should be targeted &amp; only go to individuals who need it. It shouldn't go to gov bureaucrats who are still receiving their taxpayer-funded salaries and haven't lost their jobs."
1244677481896042500,2020-03-30 17:26:51,I want to thank our doctors and healthcare professionals on the front-lines facing the #Covid_19 pandemic. Their tireless work during these challenging times does not go unnoticed. I will continue to fight to ensure our medical personnel have access to PPE. #NationalDoctorsDay https://t.co/c963tIcwBo
1244295125183778816,2020-03-29 16:07:30,"Tune in to the @TRONSHOW this morning at 10:20. We will be talking about why I opposed the Democrats $2.2 trillion CARES Act- aka Nancy Pelosi’s “wish list.” During these difficult times- we should be fighting for people, not things. Listen here: https://t.co/bln6QFNuT1"
1243596076906659842,2020-03-27 17:49:44,@RepMullin Keeping you and your family in our prayers.
1243289160758308870,2020-03-26 21:30:09,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Z8tK225cN6
1243287778839928834,2020-03-26 21:24:40,RT @SpaceForceCSO: Congrats @ulalaunch on today’s successful launch of #AEHF6—our 1st USSF Nat’l Security Space Launch! Great teamwork by a…
1243274474360918017,2020-03-26 20:31:48,"RT @AF_Academy: Check out our COVID-19 site for up-to-date information, news, and communication from top Academy leaders: https://t.co/lzuN…"
1243256814784991233,2020-03-26 19:21:37,"RT @DHSgov: Due to circumstances resulting from the #coronavirus pandemic and the national emergency declaration, DHS, as directed by Presi…"
1243251931612659713,2020-03-26 19:02:13,RT @SpaceForceDoD: We are go for launch of #AEHF6! T-4 minutes. Watch here: https://t.co/sAsDcGIcaU
1243251401158950922,2020-03-26 19:00:07,The #AEHF6 satellite is on track to launch very soon. This is a huge milestone for @SpaceForceDoD and a mission being conducted at @SchrieverAFB in Colorado Springs.
1242458227922669570,2020-03-24 14:28:19,"RT @GOPLeader: How does bailing out the postal service save lives?
How does ballot harvesting help a family pay rent?
How does regulating a…"
1242199082699051008,2020-03-23 21:18:34,"It seems like the Democrats see an opportunity in this crisis.
 
They are not here to help the American people, but to hold an emergency relief bill hostage until they get their radical wish list.

Unbelievable."
1242195399957458946,2020-03-23 21:03:56,"Pelosi's ""coronavirus"" bill:
-Bailout all current debt at USPS
-Same-day voter registration 
-Expands union collective bargaining
-Offsets airline emissions by 2025
-$15 min wage

While @senatemajldr is working on bipartisan solutions, Pelosi pushes her radical proposals."
1242154747567706112,2020-03-23 18:22:24,"#SenateDemocats are once again playing partisan games by blocking the #COVIDー19 supplemental bill. The lives and livelihood of Americans are at risk, but Democrats still refuse to act. The American people deserve better."
1242144303486578688,2020-03-23 17:40:54,"RT @SteveScalise: Why isn't Congress acting quickly? Pelosi &amp; Schumer are exploiting this crisis to play politics.

Unrelated liberal wish…"
1242134628300881920,2020-03-23 17:02:27,"We must continue to engage in basic common-sense measures, and Americans at heightened risk must take additional precautions. Please continue to monitor the recommendations for individuals, families, and employers from @CDCgov.

https://t.co/8kIa0Rt4tf"
1242121029507592204,2020-03-23 16:08:25,"While people are suffering, Democrats are delaying the process &amp; politicizing a bill that should be used to support small businesses, health care professionals &amp; Americans who are struggling. Pelosi and Schumer should not use a pandemic to force through their liberal wishlist."
1241042926018473985,2020-03-20 16:44:25,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1241042883093975041,2020-03-20 16:44:15,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/km5CdvLvGG
1240737263459414017,2020-03-19 20:29:50,"RT @GOPLeader: Veterans shouldn't have to worry about how to pay the rent or tuition during this pandemic.

That’s why the House just unani…"
1240397791182061575,2020-03-18 22:00:53,"If you are looking for a fun, family-friendly activity to do while still practicing social distancing, stop by our National parks. @NatlParkService's has suspended park entrance fees until further notice. https://t.co/eYj4tExZWy"
1240373869762039810,2020-03-18 20:25:50,"RT @GOPLeader: This is teamwork ⟶ Stores across the country are reserving hours for our most vulnerable populations, and it’s truly heartwa…"
1240312212952158211,2020-03-18 16:20:50,I joined my colleagues to call on @SBAgov to quickly approve Colorado's disaster loan and provide aide to businesses throughout the fifth congressional district. https://t.co/YPX4F4Qaok
1240309071884029952,2020-03-18 16:08:21,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/3WQV4egsWc
1240030316661784582,2020-03-17 21:40:40,"RT @WhiteHouse: NEW: Medicare will dramatically expand telehealth services in response to the Coronavirus.

Medicare patients can now visit…"
1240020847286464514,2020-03-17 21:03:03,I signed a letter asking the @CDCgov to expedite grant requests for Colorado to combat #COVID19. I am thankful for their quick action and the initial $9.8 million they have sent to support the immediate needs of our state. https://t.co/wMbXem8SIl
1239914613107539971,2020-03-17 14:00:54,"RT @FLOTUS: I want to take a moment to thank the medical staff, doctors, nurses &amp; first responders who are working tirelessly to help keep…"
1239660438318702600,2020-03-16 21:10:54,"The short answer is NO @realDonaldTrump did not dissolve the pandemic response office. We must fight back against Chinese disinformation and complicit left-wing media outlets who are attempting to politize a pandemic.

https://t.co/9fcUFJUgtr"
1239654469996077057,2020-03-16 20:47:11,RT @realDonaldTrump: I ask all Americans to band together and support your neighbors by not hoarding unnecessary amounts of food and essent…
1239648686675812353,2020-03-16 20:24:13,Together we can slow the spread of #COVID2019. We must follow these guidelines provided by @CDCgov and @realDonaldTrump and implement social distancing. https://t.co/pj2M7gs1Li
1239597474542686208,2020-03-16 17:00:43,"Visit this website for information to locate your nearest U.S. Embassy or Consulate. 

https://t.co/YB4DJr6Q8J"
1239597473376722951,2020-03-16 17:00:42,"For anyone with loved ones overseas, I encourage registration with the @StateDept's Smart Traveler Enrollment Program. The STEP Program is a free service for citizens traveling &amp; living abroad to enroll their trip with the nearest U.S. Embassy.

https://t.co/qIEDe9nREI"
1239568395244363777,2020-03-16 15:05:10,"RT @HouseGOP: Everyone can help stop the spread of #COVID19.
 
Call your doctor if you develop these symptoms, have been in close contact w…"
1239314063567523844,2020-03-15 22:14:32,RT @realDonaldTrump: TODAY IS A NATIONAL DAY OF PRAYER. GOD BLESS EVERYONE!
1239313643147272193,2020-03-15 22:12:52,"On this national day of prayer declared by @realDonaldTrump, I encourage everyone to pray for the health and wellbeing of their fellow Americans and the country. Please join me in praying for those in Colorado and across the globe who are affected by #COVID19."
