id,created_at,text
1247320760122855424,2020-04-07 00:30:17,Thanks to @tide for supporting first responders in our community with free laundry and dry cleaning services! #loadsofhope Learn more about their work in Peoria here: https://t.co/pxPFb1JS81
1247276719381381120,2020-04-06 21:35:17,"Thanks to Potter’s House Apothecary in Peoria for stepping up during this crisis and making hand sanitizer for local police and fire departments. We will get through this if we work together! @pccarx 

https://t.co/JnkQxfm6Cg"
1246859209469243393,2020-04-05 17:56:15,"As we celebrate Palm Sunday today, please remember that God loves you. May God continue to bless you and our great nation. https://t.co/tVcCeZeegH"
1246491988939223042,2020-04-04 17:37:03,(3/3) My thoughts and prayers are with all TSA agents during this time.
1246491987831816198,2020-04-04 17:37:03,"(2/3) As the Ranking Member of the Transportation and Maritime Security Subcommittee on @HomelandGOP, which oversees the TSA, it has been my honor to work with the dedicated professionals at the TSA and I know this is a difficult time for their entire community."
1246491986628153346,2020-04-04 17:37:02,"(1/3) I am deeply saddened to hear of the passing of @TSA Agent Francis “Frank” Boccabella III due to COVID-19. In his 16 years of service, he served as an Explosive Detection Canine Handler &amp; was dedicated to keeping our country safe. My thoughts &amp; prayers are with his family."
1246252541106630657,2020-04-04 01:45:34,Great to join @oann to discuss Coronavirus response efforts across our nation. @realdonaldtrump and his administration are doing a great job and working every day to keep Americans safe! https://t.co/GFkMMeDsaS
1246229177189138432,2020-04-04 00:12:44,"(2/2) With oil prices at a historic low, we must continue to protect this vital industry that plays a role in our national security. Read the full letter on my website: https://t.co/RkOIrbTaqY"
1246229176211955713,2020-04-04 00:12:44,(1/2) I joined with members of the House Energy Action Team to send a letter to @realDonaldTrump asking he continue to help America’s oil &amp; natural gas producers &amp; their workforce during the Coronavirus outbreak.
1246149948464410627,2020-04-03 18:57:54,"(2/2) Protecting the health and well-being of pregnant mothers, and their newborn children, is extremely important, especially during these uncertain times. Read the full letter on my website: https://t.co/rTCbk88mib"
1246149947344510976,2020-04-03 18:57:54,"(1/2) As co-chair of the Bipartisan Congressional Women’s Caucus, I was proud to send a letter to the @CDCgov requesting additional guidance for health providers and doctors on the effects of Coronavirus on pregnant women."
1245867804009562114,2020-04-03 00:16:46,"Today, I joined @Newsmax to talk about Coronavirus response in Arizona and what I’m doing to ensure our state is safe and prepared. I’m so encouraged by the work of @realdonaldtrump and @dougducey and I know we will beat this virus if we all work together! https://t.co/73HFyrqksm"
