id,created_at,text
1247248954003251200,2020-04-06 19:44:58,"Working men &amp; women face brutal economic conditions in the face of this #coronavirus public health crisis. 

That’s why I commit to making sure our government puts #FamiliesFirst now and going forward. https://t.co/XMiGszEULF"
1246922571846647810,2020-04-05 22:08:02,"It's unacceptable for @IRS to require veterans injured while serving - therefore receiving VA disability benefits - to fill out added paperwork to receive rebates. 

They served our nation w/ distinction &amp; honor and should not have to wait. Fix this now. 
https://t.co/wQ9AzuCT6b"
1246789024787976194,2020-04-05 13:17:22,"Then-Gov., now @SenRickScott gutted Fla's unemployment system &amp; left people w/o jobs to struggle on paltry benefits. 

My office is flooded w/ their desperate pleas.

It's now clearer Scott similarly weakened #Florida's public health system. 

Shameful. 

https://t.co/DJ07GcuH9a"
1246543503246725120,2020-04-04 21:01:45,"No access to Fla's unemployment claim process online? You can now submit applications by paper. 

You can wait for @FLDEO to release a way to submit forms electronically, but it’s unclear when that'll be.

Find mailing address info, app links in this story
https://t.co/OcDFyeeuUl"
1246425293440638976,2020-04-04 13:12:02,"This GOP President fired an Intel watchdog late Friday, hoping few noticed.

Patriots who defend the law, nat’l security &amp; the Constitution are endangered in this Administration. 

Mr. President, stop attacking those who do their job to keep us all safe

https://t.co/c5HpDLuubX"
1246210737925763074,2020-04-03 22:59:28,"#LeadingFromBehind on #coronavirus
https://t.co/NOXR91WWvw"
1246167419040792576,2020-04-03 20:07:20,"Why is @BankofAmerica creating extra requirements for the Paycheck Protection Program?

PPP offers small biz funding to keep paying employees &amp; is 100% guaranteed by the fed government.

This requirement is NOT what the CARES Act outlined. BOA should drop it. https://t.co/R7PfxYbe65"
1246124412295938048,2020-04-03 17:16:26,"March's jobs report is horrific. April's will be worse. 

Congress must do even more to aid small biz, bolster unemployment benefits &amp; give direct payments. Hospitals, health workers &amp; local govts need more help, too. 

My hope: Congress delivers it ASAP.

https://t.co/B3xw9L2vuE"
1245813300492935168,2020-04-02 20:40:11,"Sadly, this belated half-measure is consistent with Trump’s overall pandemic response strategy.  

Obviously, 3 months is better than 12, but the @US_FDA needs to work to eliminate this discriminatory policy.

https://t.co/2rM36Alvng"
1245534721385340928,2020-04-02 02:13:13,"This was an obvious, needed fix. 

Forcing vulnerable Americans to leap extra hurdles to get relief is cruel.

https://t.co/WVzZEQGxtP"
1245465964465930240,2020-04-01 21:40:00,"It's #CensusDay! With only 10 questions, it takes 10 minutes to complete. Yet our community’s funding for roads, schools &amp; other services rely on it for the next 10 years. Whether by 📬, by ☎️ at 844-330-3030, or online at https://t.co/N4087qLrG9, fill out the #2020Census today! https://t.co/ptjwiSbEkE"
1245443901349138432,2020-04-01 20:12:19,"After resisting @GovRonDeSantis finally issued a statewide stay-at-home order. 

It's overdue, riddled w/ loopholes &amp; still leaves many open to #COVID-19. 

Days of delay &amp; mixed messages = more viral spread, more risks to health workers, and more deaths.
https://t.co/avQpzrl7Ol"
1245115129877987330,2020-03-31 22:25:54,"The #COVID19 stimulus bill has $2 Trillion in relief, including direct payments to Americans. Call in to my telephone townhall tonight at 7 to get the details. Dial 855-905-3297 or register &amp; watch online here: https://t.co/koli3MzKfl"
1245024458450055169,2020-03-31 16:25:36,Do you have question about the #COVID19 stimulus bill? Call in to 855-905-3297 tonight @ 7 to participate in my telephone townhall or register &amp; watch online here: https://t.co/koli3MzKfl
1244991044690853888,2020-03-31 14:12:50,Now we need the Senate to help put some teeth behind the law. The Senate must send this long overdue legislation to the President so that we can finally remove this date from our calendars. #EPD2020 (8/8)
1244991043814244352,2020-03-31 14:12:50,"It is already illegal under the Equal Pay Act, to pay women lower wages for the same work performed by their male counterparts. (7/8)"
1244991042744655872,2020-03-31 14:12:50,"But we can address this inequity. Last year, House Democrats passed the Paycheck Fairness Act, which would provide legal remedies to millions of women who receive unjust wages. (6/8)"
1244991041851338754,2020-03-31 14:12:49,"And with more people to care for, the ‘second shift’ of looking after the sick will ultimately fall heavier on women. The time for gender pay parity is needed now more than ever. (5/8)"
1244991040559493120,2020-03-31 14:12:49,"Even in female-dominated professions – many of them on the COVID-19 front lines – it is nurses, psychiatric and home health aides and grocery store cashiers who feel this gap. (4/8)"
1244991039468904449,2020-03-31 14:12:49,"Given the current crisis, this inequality gap will take a deeper toll on families as women are the sole or co-breadwinner in two thirds of all households with children. That means less food on the table, and smaller college savings &amp; retirement accounts for working families.(3/8)"
1244991038126796800,2020-03-31 14:12:48,"For women of color, it is far worse: Hispanic and Black women earn just 53 cents and  61 cents, respectively, for every dollar white men earn. At this rate, American women will suffer wage inequality until 2058. (2/8)"
1244991036889411589,2020-03-31 14:12:48,"Today  is National #EqualPayDay, the date that marks how far into the next year a woman must work just to earn the same wages a man earned in the previous year. A full-time working woman still makes only 82 cents for every dollar earned by men. (1/8) https://t.co/DfL8z0W8ox"
1244767612795416579,2020-03-30 23:25:00,"There’s $2 trillion in relief included in the #CARESAct, our bipartisan #coronavirus stimulus package, with about $377 billion going to small businesses. Here’s a breakdown of the bill that’s focused on businessowners. Stay tuned for more. https://t.co/gtNXCFwDsF"
1244756913268633600,2020-03-30 22:42:29,"This #NationalDoctorsDay let’s give a heartfelt thank you to those on the #coronavirus front lines.
 
The best gift: #StayHome #StaySafe https://t.co/8tdlD7FkSG"
1244710133395054592,2020-03-30 19:36:36,RT @RepHarley: Those who fail to learn from history are doomed to repeat it—the United States cannot afford for the Administration to repli…
1244409407561248768,2020-03-29 23:41:37,"There’s $2 trillion in relief for families, hospitals &amp; small businesses in the #CARESAct, our bipartisan #coronavirus stimulus package. I'll break down that $2T investment, including direct payments to individuals like you. Here’s my first breakdown. Stay tuned for more. https://t.co/iwprFMUJei"
1243999678359842816,2020-03-28 20:33:30,"Masks. Face shields. Ventilators. These are the tools our hospitals need to take on the #coronavirus. @HouseDemocrats secured resources in the #CARESAct to help them access all that and more.

https://t.co/fFAPdBknuw"
1243658054018662401,2020-03-27 21:56:00,"Working men &amp; women face tough times ahead in this public health crisis, and brave nurses &amp; doctors need resources to fight #coronavirus. The bipartisan CARES Act puts #FamiliesFirst and provides relief to workers, hospitals &amp; small businesses. We are all in this together. https://t.co/SX0V2uOCCt"
1243607927166042118,2020-03-27 18:36:49,"RT @RepDMP: Ran into my favorite South Florida congresswomen at the airport! 

Staying a safe distance apart as we discuss how #COVID19 has…"
