id,created_at,text
1247276427629793283,2020-04-06 21:34:08,Our nation’s farmers are on the front lines working hard to ensure our food supply chain remains intact during this health crisis. Thank you for your hard work! https://t.co/KbD8TI8ZNb
1247220331451998210,2020-04-06 17:51:13,Small businesses can apply for the Paycheck Protection Program now! This program provides much needed certainty and relief for small businesses at this time. https://t.co/O435kwltoZ
1246824486177050626,2020-04-05 15:38:17,"Good news! All churches and religious organizations are eligible for the Paycheck Protection Program’s forgivable loans. For more information, visit the website below.
https://t.co/2m4M3zqsAY"
1246443028266594309,2020-04-04 14:22:30,"As a reminder, the @IRSnews has extended Tax Day from April 15 to July 15 to give Americans some relief during this time. To learn more, visit the website below. https://t.co/Ly72QHhlJs"
1246112199418023938,2020-04-03 16:27:54,"Rural hospitals are a lifeline for West Tennesseans. To continue to treat their community and be on the front lines combating this global pandemic, our rural hospitals must receive proper federal funding to keep them afloat.
https://t.co/WmejTWtiuU"
1246071052146532352,2020-04-03 13:44:24,"Today, applications are open for the Paycheck Protection Program. These loans can be 100% forgiven if used for payroll, mortgage, rent, and utilities. Learn more, here: https://t.co/taMWA4FSwB https://t.co/JGxgOokCEB"
1245834062532694016,2020-04-02 22:02:41,Thank you @realDonaldTrump for approving a major disaster declaration for the state of Tennessee. This declaration will give our state and local communities increased funding to combat COVID-19.
1245804180515835911,2020-04-02 20:03:57,In order to #SlowTheSpread every American should follow @realDonaldTrump's coronavirus guidelines. We're in this fight together. https://t.co/K2ZG6y4q8Y
1245732107068084225,2020-04-02 15:17:33,"The CARES Act provides direct economic relief to Americans across the country. Click the link below to learn more about these economic impact payments and to see if you are eligible.

https://t.co/DVBuqdet93"
1245440247565082632,2020-04-01 19:57:48,".@realDonaldTrump announced that applications for the Paycheck Protection Program will begin this Friday, April 3. To begin preparing your application, visit the website below for a sample form.
https://t.co/cVKaJvE9Ii"
1245383584606756865,2020-04-01 16:12:39,"I spoke with the Dyersburg @StateGazette to discuss how the #CARESAct gives our families and businesses the resources to get through the #coronavirus. Read the article below to learn more.
https://t.co/j2fCJnWoli"
1245078706864955395,2020-03-31 20:01:10,"Small businesses have been hit especially hard by COVID-19. The @SBAgov Paycheck Protection Program provides guaranteed loans for 8 weeks while encouraging businesses to keep their employees on payroll. Learn more about this program below.
https://t.co/WjSA6lRB54"
1245000800700596225,2020-03-31 14:51:36,"COVID-19 has hurt TN businesses, families, &amp; healthcare workers. That is why, along w/ my colleagues in the TN delegation, I sent a letter to @realDonaldTrump asking him to approve @GovBillLee's request for additional federal assistance to combat the effects of the #coronavirus. https://t.co/ag9GJYYi5J"
1244745802154684418,2020-03-30 21:58:20,"Today, @GovBillLee issued a two-week ""safer at home"" order for the state of Tennessee. I encourage West Tennesseans to take this order seriously. The quicker we get rid of this virus, the quicker our businesses can open.
https://t.co/wvGod6tXBe"
1244695448981516290,2020-03-30 18:38:15,"Great article showing West Tennessee's community effort to help our healthcare workers during the #coronavirus. #InItTogether.

https://t.co/b8N2gfq99x"
1244661247728971777,2020-03-30 16:22:20,"Today on #NationalDoctorsDay, it is important we recognize the brave men and women fighting on the front lines of the #coronavirus. Our country thanks you! https://t.co/E7Uaw2qhec"
1244319155991568386,2020-03-29 17:42:59,We as Americans are #InItTogether. I have no doubt we will come out stronger and more resilient. https://t.co/8f6nKFsGk2
1243951452965539840,2020-03-28 17:21:52,"Yesterday, @realDonaldTrump signed the #CARESAct into law giving relief to our nation’s hospitals and providing resources to our heroic healthcare workers. https://t.co/fI24R45Zz6"
