id,created_at,text
1247332894823112704,2020-04-07 01:18:31,"Here's today's COVID-19 update, which includes some helpful instructions from U.S. Surgeon General Dr. Jerome Adams on how to make your own face covering, some updates from the IRS and other items:

READ: https://t.co/73dhRSUyUX"
1247331997053325314,2020-04-07 01:14:57,"RT @ncdhhs: 📱 To receive twice daily updates about COVID-19, send a text message with COVIDNC to 898211."
1247277526214459392,2020-04-06 21:38:30,"RT @IRSnews: An #IRS warning: Stay vigilant to coronavirus-related scams, especially schemes tied to economic impact payments. Learn more a…"
1247194618934018050,2020-04-06 16:09:03,"RT @RedCrossENC: Blood donation is essential to ensuring the health of our communities, and we sincerely appreciate those who have stepped…"
1247189995217211392,2020-04-06 15:50:41,"Are you signed up for our regular, daily updates on the COVID-19 outbreak and the federal/state response in North Carolina? Visit https://t.co/8XyvSaQhZd to sign up today. https://t.co/byRKpR7GKq"
1247187004913258498,2020-04-06 15:38:48,"RT @NewHanoverCo: @CDCgov has shared that homemade masks can be worn in public to protect yourself &amp; others, especially in areas with commu…"
1246853513180860416,2020-04-05 17:33:37,"RT @ncdhhs: NC's Stay at Home order allows individuals &amp; families to go outside. Some ideas:
🚶‍♀️Go for a walk or hike
🌲Use the greenways &amp;…"
1246843999643750401,2020-04-05 16:55:49,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1246830707227398144,2020-04-05 16:03:00,"RT @NWSWilmingtonNC: Enjoy the sunshine today while you're #SocialDistancing, because rain will return to the forecast! Parts of our area c…"
1246549564255080448,2020-04-04 21:25:50,"RT @ncdhhs: Dial 2-1-1 or text COVIDNC to 898211 for free, confidential information 24/7 to help you find resources within your community.…"
1246490391257456640,2020-04-04 17:30:42,RT @ncdhhs: You can get data about #COVID19NC on the COVID-19 NC Dashboard on our website. It includes detailed information about the state…
1245855272288940032,2020-04-02 23:26:58,"RT @NewHanoverCo: We can't stress this enough. 
The decision to stay home can help save lives. 
#StayHome #InThisTogether https://t.co/RSWB…"
1245419414406782977,2020-04-01 18:35:01,RT @NewHanoverCo: Take one minute to hear the latest information and guidance on COVID-19 in New Hanover County from New Hanover County Pub…
1245410519592378369,2020-04-01 17:59:41,RT @USTreasury: Treasury and IRS release FAQs to help small and midsize businesses navigate paid sick and family leave tax credits. https:/…
1245409195760979969,2020-04-01 17:54:25,"RT @ncdhhs: Don’t go overboard at the grocery store. Make sure you leave enough for others, especially for families that can’t afford to bu…"
1245004191233388546,2020-03-31 15:05:04,RT @ncdhhs: A message from the @NCSHP on traffic stops during #COVID19NC. Remember to only call 911 or *47 (*HP) when there is an emergency…
