id,created_at,text
1247256851244294156,2020-04-06 20:16:20,"From being my hero as a teenager watching the Tigers win the World Series, to the days that Al Kaline became my friend after I married John, he was one of the most decent human beings I knew. Kind, gentle, real with great stories. Heaven welcomed another Michigan giant today. https://t.co/H2WBQIbYRi"
1247219630952910848,2020-04-06 17:48:26,Wishing Karen a speedy recovery. Another person we all know who is positive. This is real friends! We all have to do our part to keep our community safe.  PLEASE STAY HOME UNLESS YOU ARE ESSENTIAL. https://t.co/xGW82mN69P
1247214525717364741,2020-04-06 17:28:09,"It’s not what happens; it’s how you handle it.

Here’s an update for Monday, April 6.

https://t.co/GZvmPgj6pA"
1247171143494139905,2020-04-06 14:35:46,"The Arsenal of Health is working with all their might and strength. 
https://t.co/eTlGDkWJGc"
1247145147894312962,2020-04-06 12:52:28,RT @LisaWEMU: Listen to @WEMU891 at 6pm tonight(4/6) or view on our WEMU Facebook page as I host an hour long LIVE special broadcast with @…
1247145037781176325,2020-04-06 12:52:02,"RT @RethinkTrade: .@RepDebDingell and @WallachLori discuss how our current regime of hyper-globalization, fueled by decades of bad trade de…"
1246943558176825345,2020-04-05 23:31:26,"If you are not an essential worker, your job is to stay home. Not enough of us are, a lot of people still don’t understand how important it is, and the only way we mitigate this is for each and every one of us to stay home. https://t.co/HVFO66DWwz"
1246895348574011392,2020-04-05 20:19:51,"To my fellow Michiganders, we will get through this because we are going to support each other and we are a community. https://t.co/rVlzsuyeyM"
1246825086130311176,2020-04-05 15:40:40,"If we don’t stay at home, stop mingling, even with one other person from outside your home, things will not get better. Michigan is the next Ground Zero. We have to do all we can to defeat this virus.

Here is an update for Sunday, April 5, 2020.
https://t.co/MPceEK7KXG"
1246471339147505665,2020-04-04 16:15:00,"Thought of the day: “Coming together is the beginning. Keeping together is progress. Working together is success.” -Henry Ford

Here is a daily update for Saturday, April 4.

https://t.co/N6gVIPB5Qo"
1246450856557457410,2020-04-04 14:53:36,RT @NitaLowey: We will get through this crisis together. @HouseDemocrats are committed to supporting working families struggling to pay ren…
1246198891911041032,2020-04-03 22:12:23,"Immediately expanding Medicare &amp; Medicaid is one of the fastest &amp; effective ways to fix our broken healthcare system &amp; prevent more Americans from getting sick.

@RepJayapal &amp; I have specific proposals around this expansion that we would welcome discussing with President trump. https://t.co/WGOeERN5K9"
1246182906118189056,2020-04-03 21:08:52,"RT @EmgageAction: A message from @RepDebDingell and @AHammoudMI👇🏼

Thank you Rep. Dingell and State Rep. Hammoud for your partnership and f…"
1246177459055321088,2020-04-03 20:47:13,RT @RepJayapal: The President said it himself: It isn’t fair that so many people can’t afford health insurance &amp; don’t qualify for Medicare…
1246158742451863552,2020-04-03 19:32:51,"RT @EmgageAction: HAPPENING NOW!

Emgage is proud to be working with Rep. Debbie Dingell and State Rep. Abdullah Hammoud for a live town ha…"
1246120814803591171,2020-04-03 17:02:08,"Henry Ford said it best, “If everyone is moving forward together, then success takes care of itself.”

Here is a daily update for Friday, April 3.
https://t.co/l45jjuyrHl"
1246105952388087809,2020-04-03 16:03:05,"RT @GovWhitmer: Since our announcement yesterday, I’ve watched educators and administrators rally together with positivity and enthusiasm t…"
1246102501067292672,2020-04-03 15:49:22,I hear from people every day who are struggling. Small business owners are worried about their livelihood and their employees. Seniors don’t know what to do. People don’t know how they’re going to afford rent. This is the reality for millions we’re working every day to address. https://t.co/twCJyd9VCl
1246098647445618692,2020-04-03 15:34:03,"RT @PCGTW: RSVP: @RepDebDingell and @WallachLori discuss how our current regime of hyper-globalization, fueled by decades of bad trade deal…"
1246064825903525890,2020-04-03 13:19:39,"The healthcare workers are doing so much for us. They’re working so hard and helping us. They need to get the PPE they need. They need to have relief. Today and every day, we stand with them. #Hailtothefrontline https://t.co/saEMHzWbIn"
