id,created_at,text
1247222001829384199,2020-04-06 17:57:52,"I’ve been inspired by folks across #WA10 as we fight #COVID19 together. This story from @CityofSumnerWA highlights just one way a local manufacturer is shifting their focus to assist those on the front lines. Thank you, McConkey!
https://t.co/U6C8y8HoqD"
1247196541514919936,2020-04-06 16:16:41,Thanks to @NLIHC for inviting me to participate on your call today to talk about the need for rental assistance in a federal #COVID19 reponse. You can listen in by registering for the call at: https://t.co/Vsdav9WjkC
1246448130616418307,2020-04-04 14:42:46,"The President decided to announce that he was firing the ICIG late last night. Instead of leading our nation through a pandemic, he is using the pandemic for cover to again punish a public servant who faithfully carried out his duties."
1246448128812859393,2020-04-04 14:42:46,"President Trump fired Col. Vindman and his brother. He fired Gordon Sondland. He fired DNI Maguire. He punishes those who have the courage to stand up to him. And now he is firing ICIG Atkinson, who dutifully worked to uphold the rule of law. https://t.co/wgHrNrmjVF"
1246195925069987841,2020-04-03 22:00:36,"The CARES Act was a big step in helping Americans endure hard times, but there's more that needs to be done, like getting immediate assistance to those who can't afford their rent. Thanks to @Up4Growth for supporting my bill to do exactly that. https://t.co/ZhLcbdz86H"
1246171970934394882,2020-04-03 20:25:25,"RT @WANationalGuard: Guardsmen are working today at the Nourish Food Bank Warehouse processing, packing and preparing boxes to be delivered…"
1245787056472719360,2020-04-02 18:55:54,Question: “What is going on with the economy?” My answer with UW’s Dr. Baird below. Join me for my next Facebook live town hall today at 5pm. ESD Commissioner Suzi LeVine will join us to discuss economic assistance available to South Sound workers and families. https://t.co/cizevl1deC
1245742433498955776,2020-04-02 15:58:35,Join me today at 5pm for my next Facebook live town hall with @ESDwaWorks Commissioner Suzi LeVine to talk about financial assistance available for individuals during the #COVID19 pandemic. https://t.co/4WmfCYopps
1245741589294731269,2020-04-02 15:55:14,Question from my last live town hall with Dr. Geoff Baird from UW’s Dept. of Laboratory Medicine: “We need enough N95 masks. We need adequate ventilators. We need protective gear for health care and frontline workers. We need them now. What are you doing to make this happen?” https://t.co/rUkadJsLD6
1245468620181946369,2020-04-01 21:50:33,"For the first time ever, the #2020Census is available online. Complete your household’s Census form by going to https://t.co/qgk7vStvvP. It only takes a few minutes to #ShapeYourFuture."
1245174077985341447,2020-04-01 02:20:09,I grieve with the JBLM community this week. They are under strain in protecting the nation while also fighting COVID-19. Now they must also make sense of two untimely deaths in their ranks. My thoughts are with the families and colleagues as they mourn and search for answers. https://t.co/xP5AyHm4LB
1245069049589108740,2020-03-31 19:22:48,"Be on the lookout for scammers who claim they can help you access stimulus aid.

""The federal government will not ask to confirm your personal or banking details by email, phone or text message, or demand a 'processing fee' to obtain or expedite your stimulus payment."" https://t.co/mjNpyHcmSt"
