id,created_at,text
1247308813046353921,2020-04-06 23:42:49,"A new IG report details widespread supply shortages at our nation’s hospitals. Instead of addressing these urgent issues, the president is attacking the inspector general who wrote the report.

The administration is failing our health care heroes on the frontlines of this crisis. https://t.co/SNdRlSMokr"
1247292626858119168,2020-04-06 22:38:30,"The Trump admin refuses to lift its baseless restrictions on human fetal tissue research, which is preventing our nation's scientists from advancing studies to find treatments and cures for coronavirus.

We're calling on HHS Secretary Azar to immediately lift these restrictions. https://t.co/ysjtfNLVDc"
1247207126046474243,2020-04-06 16:58:45,"Spent some time this weekend sewing masks for my family with things we had around the house.

What are you using as a mask when out in public for essential activities?

#DoingMyPartCO https://t.co/RPICdaHW2h"
1246187554434670607,2020-04-03 21:27:20,"Congress approved the Paycheck Protection Program to bring immediate relief to small businesses. Now, we're hearing that too many people are having trouble applying. The Trump administration needs to immediately remedy these issues so our businesses can get the funds they need."
1246172835749527554,2020-04-03 20:28:51,"Governor Polis is asking all Coloradans to wear cloth masks when going out in public. Please remember, this is NOT a substitute for social distancing. It’s just one more precaution we can all take to help prevent the spread of coronavirus &amp; keep our community safe. #DoingMyPartCO"
1246110303273865216,2020-04-03 16:20:22,"The Trump admin should be spending every waking moment getting life-saving supplies to our health care providers on the frontlines.

Instead, they’re spending valuable time editing the Strategic National Stockpile website to scapegoat our state and local officials.

Despicable. https://t.co/By686nRnXR"
1246103768938287105,2020-04-03 15:54:24,"IMPORTANT DEADLINE: Although Colorado’s special health insurance enrollment period has been extended through April 30, today is the LAST DAY to sign-up for health insurance effective April 1. If you sign-up after today, coverage will begin starting May 1.
https://t.co/YlHpEFIg2C"
1245881373254131712,2020-04-03 01:10:41,"Someone please direct the president’s son-in-law to the HHS website:

""The Strategic National Stockpile is the nation’s largest supply of life-saving pharmaceuticals and medical supplies for use in a public health emergency severe enough to cause local supplies to run out."" https://t.co/Hk7CU4JCvG https://t.co/WnXrHRAinl"
1245832951578976256,2020-04-02 21:58:16,"Hard to imagine Denver without Racines. Thank you, Lee Goodfriend and David Racine, for decades of friendship and service to our community. https://t.co/88G5uz8gDz"
1245830434761641987,2020-04-02 21:48:16,"We can’t just take this president at his word. The bill I introduced last week would call on the admin to provide Congress details on how it plans to invoke the Defense Production Act, including the companies it’s seeking to target and the timelines it’s preparing to implement. https://t.co/WBmDP6eXCq"
1245791574602252289,2020-04-02 19:13:51,"American families need relief NOW. They can't wait weeks or months.
 
The Trump administration needs to get it together and figure out how to immediately get the cash payments – that Congress approved last week – out to those in need.
https://t.co/xfQiF9cp9t"
1245773412997517314,2020-04-02 18:01:41,"""A citywide phone bank recently launched by Denver state and local leaders is bringing community together when it’s forced to stay apart.""

What an amazing initiative to help our seniors during this difficult time. So proud of our community! #DoingMyPartCO
https://t.co/4ZDC4K1KDb"
1245766026786209792,2020-04-02 17:32:20,"Important update on the direct cash payments to Americans: Social Security beneficiaries who typically do not file a tax return will automatically get the $1,200 payment.

If you have further questions, please feel free to call my office at (303) 844-4988.
https://t.co/ezYqQ9jzZR"
1245741016113651714,2020-04-02 15:52:57,"The economic relief package passed by Congress dramatically expands unemployment insurance, including for workers with non-traditional employment.

Unsure about how these benefits impact you? Learn more from the Colorado Department of Labor &amp; Employment: https://t.co/JPMqGAAMYr"
1245486875516829696,2020-04-01 23:03:05,"Millions of Americans are struggling to make ends meet because of this pandemic. While help is on the way, there's much more that needs to be done.
 
The next coronavirus response package must include rent relief for American families.
https://t.co/x9arpZm46p"
1245449521741672448,2020-04-01 20:34:39,"If the president won't act, Congress must.

The legislation I introduced last week would create a special health insurance enrollment period so anyone who needs coverage can get it. https://t.co/iuK7BQn1G7"
1245385378829414401,2020-04-01 16:19:47,"Many people have asked what they can do to help our community during this difficult time.

Here’s one thing you can do right now: Fill out the #2020Census.

You can do it by 🖥️, 📱 or ✉️. And the more people who do it from home, the less people have to go door-to-door. #CensusDay https://t.co/xscajwDnQS"
1245375618654654464,2020-04-01 15:41:00,"Attention Veterans: The Department of Veterans Affairs is expanding virtual services to support our veterans during this pandemic.

This includes virtual briefings and individualized counseling for transitioning service members. 

Learn more: https://t.co/HWgURjpXiw"
1245172110839947270,2020-04-01 02:12:20,"Thanks to everyone that tuned in to our town hall meeting. If I wasn’t able to get to your question, feel free to call my office at (303) 844-4988 &amp; leave your message. Please be sure to state your name, address, phone number &amp; email so we can get back to you as soon as possible. https://t.co/ptnc2tq9O4"
