id,created_at,text
1247264088109068290,2020-04-06 20:45:06,"I was sad to hear of the passing of Jersey City Councilman Michael Yun.  He was a dedicated family man, businessman, and community organizer for Jersey CIty.  
My sincere condolences to his family.  Please keep them in your prayers during this holy week. https://t.co/jt5o00Dp3x"
1247247727429324800,2020-04-06 19:40:05,"While we social distance, it is the brave men and women of our U.S. mail and other delivery companies who are handling our survival needs.

I want to thank every one of them for their incredible work to supply us during this difficult time.  
 #USPS #FedEx #UPS #DHL #delivery https://t.co/cpML9Cxo2w"
1246487727060779015,2020-04-04 17:20:07,"Today is the 52nd Anniversary of the death of Dr. Martin Luther King.  

I wanted to send this out to remind us of what really makes people great.  Stay safe and remember that these temporary sacrifices will help us defeat this dreaded disease. https://t.co/pLqNuuNTrk"
1246475175236861952,2020-04-04 16:30:14,"GREAT NEWS for Newark Small Business Owners!!

Mayor Baraka has a new program to give property owners tax relief in exchange for not evicting tenants for one year.
 
For more information, e-mail the Newark Department of Economic Housing and Development at ehd@ci.newark.nj.us. https://t.co/2PKuiY46TA"
1246157294766866438,2020-04-03 19:27:06,"I was absolutely delighted to hear that Majority Whip Jim Clyburn will chair the panel to oversee the more than $2 trillion from the coronavirus stimulus fund.  

He is a man of incredible integrity who will make sure that money is spent wisely and effectively. https://t.co/TptbLjI30d"
1246136659185467392,2020-04-03 18:05:06,"SCAM WARNING!

Even with thousands of Americans sick and dying of coronavirus and thousands more losing their jobs, there are still horrible people trying to scam Americans out of their stimulus checks.

Please visit the website below and be ready.

https://t.co/JdBJObby3f"
1246125099838779392,2020-04-03 17:19:10,"RT @GerryConnolly: If anyone believes we were too busy impeaching @realDonaldTrump to prepare for #coronavirus:

I told him he was gutting…"
1246115275847667712,2020-04-03 16:40:08,"NEWARK NEEDS YOUR HELP!!

If you haven't filled out our census form, please do so today.

If you have, please resend this around and encourage others to do the same so we can get everyone counted.  Newark is counting on you.   
#newarkcounts @CityofNewarkNJ @rasjbaraka https://t.co/A5J7ONfLGf"
1246086338077757442,2020-04-03 14:45:08,"I was sad to hear of the passing Tuesday of a medical hero, Dr. Frank Gabrin, due to #covid19. 

Dr. Gabrin worked to treat patients at East Orange General Hospital despite the risks.   We owe him and all our medical heroes a tremendous debt during this crisis.
#stayhomestaysafe https://t.co/rqGLKd2U1o"
1245779364316426240,2020-04-02 18:25:20,"RT @SBAgov: Small businesses can get up to a $10,000 advance on an Economic Injury Disaster Loan even if your previous application was decl…"
1245773483885441026,2020-04-02 18:01:58,"NJ GETS MORE MONEY!!!!

The Federal Transit Administration (FTA) said New Jersey will get almost $1.8 billion to help the state's transit industry, more than the projected $1.25 billion.  It's great news and will help maintain our infrastructure during this coronavirus crisis. https://t.co/NMnjcGVLAr"
1245735275969552385,2020-04-02 15:30:09,"Rutgers will graduate 192 qualified medical students early and Gov. Murphy will reactivate retired doctors and nurses to help combat coronavirus statewide.   

I'm delighted because our medical heroes need all the help they can get right now.  
@RU.NJMS @governorphilmurphy https://t.co/dyNAE4vMYt"
1245725190266466304,2020-04-02 14:50:04,"CORONAVIRUS SUPPORT UPDATE:
Small Businesses can begin to apply for stimulus help tomorrow, April 3rd and direct deposits of stimulus checks begin in two weeks.  Mailed checks will begin May 1.  

Find more info at https://t.co/X7zH0M40lk and https://t.co/TGcYcZ7gyh https://t.co/u5hyLq54Dp"
1245442088377909249,2020-04-01 20:05:07,"CORONAVIRUS UPDATE:

Proud to hear the VA Medical Facility in East Orange will make its excess space available to coronavirus patients and they will do it in a way that won't threaten the veterans there with infection.  
@VeteransAffairs https://t.co/vaL6J1h1vO"
1245390273015922690,2020-04-01 16:39:13,"Today is national Census Day.  Yet, the numbers of responses in our 10th district are surprisingly low.  You should have received a notice in the mail with your census number.  Use it to fill out your census questions and get information at https://t.co/oz5RDENWsL. https://t.co/YolXaiJXte"
1245025598113751043,2020-03-31 16:30:08,"CORONAVIRUS INFO UPDATE:

If you want to contact the Governor's office for any reason during this coronavirus crisis, contact the Office of Constituent Relations at Constituent.Relations@nj.gov.  

It's far more effective than a phone call. Please pass it on. https://t.co/Z3PQP7S61Z"
1245024409439666177,2020-03-31 16:25:25,"@Lady_Quinnzel I'd like to help, so let me know more details on your situation.  Please call my office at (973) 645-3213 and we can figure out the best way to help you.  Thank you."
1244648134342565892,2020-03-30 15:30:14,"Today, we celebrate the 150th anniversary of the 15th Amendment.  It gave African-Americans the right to vote and we need to exercise it on Nov. 3rd to vote for a new President.

Register to vote here:  https://t.co/cdXQeJ24kx 

Please retweet it to increase registrations. https://t.co/J2Ck4Dgo69"
1243998841243828224,2020-03-28 20:30:10,"I am absolutely FURIOUS at how Trump has handled our coronavirus crisis.  Now he wants to delay desperately needed payment checks until he can sign his name to the bottom.

People are dying from this disease!!  We need leadership now!!   
#DeposittThePeoplesMoneyNOW https://t.co/4lyPO7GeIc"
1243957295232532482,2020-03-28 17:45:05,"Glad to hear Gov. Murphy will provide mortgage payment relief to New Jersey homeowners.

Visit the website below to see if you qualify.

https://t.co/uQCs4bdrof https://t.co/LdQny7ZZq8"
1243938455484272640,2020-03-28 16:30:13,"Sad to hear of Rev. Joseph Lowery's passing.  He really was the dean of the civil rights movement and a true man of God.  He was an inspiration to me and millions of other African-Americans.  My condolences to his family during this difficult time.   
https://t.co/XTnzwI1BJt https://t.co/BNsOMr2KeE"
